datetime,arrivals
1376334240,1
1376334540,1
1376335440,1
1376337060,1
1376338080,1
1376339400,1
1376339580,1
1376339940,2
1376340120,1
1376340240,1
1376340360,1
1376341560,2
1376341800,1
1376341920,1
1376342640,1
1376342880,1
1376343360,1
1376343420,2
1376344080,1
1376344200,1
1376344500,1
1376344740,1
1376344800,2
1376345160,1
1376345640,1
1376346300,1
1376346780,1
1376347200,2
1376347440,1
1376347680,2
1376347800,1
1376347920,2
1376348040,1
1376348160,2
1376348400,1
1376348580,1
1376348880,1
1376349060,1
1376349300,1
1376349600,1
1376350380,1
1376353140,1
1376353800,2
1376354400,1
1376354520,1
1376355900,1
1376356980,1
1376357100,1
1376357400,1
1376358900,1
1376359260,1
1376365080,1
1376387820,1
1376392980,1
1376393640,1
1376394360,1
1376394960,1
1376396100,1
1376397120,1
1376398260,1
1376398680,1
1376416020,1
1376420220,1
1376420700,1
1376421600,1
1376423040,1
1376423460,1
1376423580,2
1376423940,1
1376427960,1
1376428080,2
1376428140,1
1376428260,1
1376428380,1
1376428440,1
1376428680,1
1376428740,2
1376428860,2
1376429520,1
1376429760,1
1376430240,1
1376430720,1
1376431140,1
1376431320,1
1376431620,2
1376431980,1
1376432340,1
1376432700,1
1376432820,1
1376433060,1
1376433300,1
1376433360,1
1376435280,1
1376435400,1
1376435940,1
1376436300,2
1376436420,2
1376437380,2
1376437920,1
1376438520,1
1376438700,1
1376440380,1
1376443200,1
1376443860,1
1376444520,1
1376444640,3
1376444820,1
1376445300,1
1376446500,2
1376446860,1
1376446920,1
1376447040,1
1376449980,1
1376450100,1
1376461320,1
1376473860,1
1376475900,1
1376479560,1
1376479740,2
1376481000,1
1376481660,1
1376483460,1
1376483700,1
1376484840,1
1376485380,1
1376487720,1
1376488320,1
1376491500,1
1376493840,1
1376493900,1
1376499360,1
1376499960,1
1376501940,1
1376502060,1
1376503980,1
1376504100,1
1376506020,1
1376506320,1
1376507760,1
1376509260,1
1376510520,1
1376510640,1
1376511840,1
1376511900,1
1376512380,1
1376512500,1
1376512740,1
1376513640,1
1376514300,1
1376514960,1
1376515020,1
1376516220,1
1376516340,1
1376516580,1
1376516820,1
1376517480,1
1376517840,1
1376518200,1
1376518260,1
1376518380,1
1376518740,1
1376518980,1
1376519160,1
1376519280,1
1376519760,2
1376519880,1
1376520000,1
1376520120,1
1376520240,1
1376520600,1
1376520660,1
1376520960,3
1376521080,1
1376521320,1
1376521680,1
1376522040,3
1376522220,3
1376522280,1
1376522460,1
1376524620,1
1376525580,1
1376525640,1
1376525700,1
1376525820,1
1376525880,1
1376526420,1
1376526720,2
1376526840,1
1376526900,1
1376527080,1
1376527140,1
1376527320,2
1376527620,2
1376527920,1
1376527980,1
1376529900,1
1376530080,1
1376530560,1
1376531880,1
1376532900,1
1376533320,1
1376534400,1
1376537280,1
1376540940,1
1376557560,1
1376560380,1
1376563860,1
1376565300,1
1376566020,1
1376566140,1
1376566320,1
1376567040,1
1376569200,1
1376572080,1
1376572920,1
1376573040,1
1376574480,1
1376574540,1
1376574660,2
1376574720,2
1376574840,1
1376574900,1
1376575080,2
1376575140,1
1376576280,1
1376576820,1
1376577480,1
1376579100,1
1376580000,1
1376583420,1
1376583660,1
1376583720,1
1376584080,1
1376585520,1
1376586960,1
1376587320,1
1376587500,1
1376588280,1
1376589300,1
1376589960,1
1376593080,1
1376593200,1
1376595120,1
1376596560,1
1376597100,1
1376598300,1
1376598420,1
1376598780,1
1376600040,1
1376600640,1
1376600880,1
1376601720,1
1376601840,1
1376602080,1
1376602620,1
1376603160,1
1376603340,1
1376603520,1
1376603820,3
1376604060,3
1376604240,1
1376604720,1
1376605320,1
1376605620,1
1376605860,1
1376606280,1
1376606340,1
1376606460,1
1376606580,1
1376606760,1
1376606820,1
1376607180,1
1376607300,3
1376607420,2
1376607720,1
1376608020,2
1376608200,2
1376608260,1
1376608500,2
1376608620,2
1376608680,1
1376608800,1
1376608920,2
1376610000,1
1376610060,1
1376610840,2
1376612160,1
1376612280,1
1376612340,1
1376613300,1
1376614740,2
1376614860,1
1376617260,2
1376618160,1
1376618700,1
1376619120,1
1376620620,1
1376622300,1
1376630700,1
1376631360,1
1376634600,1
1376637660,1
1376638800,1
1376647440,1
1376648460,1
1376648940,1
1376652780,1
1376653380,1
1376654280,2
1376655480,1
1376656020,1
1376656380,1
1376657640,1
1376661180,1
1376661240,1
1376662620,1
1376663520,1
1376664720,1
1376665440,1
1376666220,1
1376670060,1
1376671620,1
1376674620,1
1376675520,1
1376675820,1
1376676060,1
1376676180,1
1376676480,1
1376676600,1
1376676840,1
1376677680,1
1376678100,2
1376678160,1
1376678460,1
1376678880,1
1376681400,1
1376681460,1
1376681580,1
1376682120,1
1376683260,1
1376684700,1
1376685000,1
1376685180,1
1376685360,1
1376685720,2
1376686200,1
1376686740,1
1376687040,1
1376687160,1
1376687460,1
1376687940,1
1376688360,1
1376688840,1
1376689080,1
1376689380,1
1376689620,1
1376689680,2
1376690400,1
1376690880,3
1376691480,2
1376692740,1
1376692860,4
1376693460,1
1376693640,1
1376693880,1
1376694360,1
1376694660,1
1376694720,2
1376695440,1
1376695860,1
1376696040,1
1376697060,1
1376697180,1
1376697720,1
1376697900,1
1376698020,1
1376698260,1
1376698440,1
1376698800,1
1376698980,3
1376700060,1
1376700660,2
1376700900,1
1376702880,1
1376703060,1
1376703120,1
1376703240,1
1376703600,2
1376704080,2
1376704140,1
1376705040,1
1376705460,1
1376705880,1
1376706420,1
1376706900,1
1376707080,1
1376707260,1
1376707440,2
1376707500,1
1376707800,1
