datetime,arrivals
1371317700,3
1371318600,2
1371318660,1
1371318960,1
1371319920,1
1371319980,1
1371321120,1
1371321600,1
1371321720,1
1371322380,1
1371322620,2
1371323280,2
1371324060,1
1371324660,1
1371325440,2
1371326220,1
1371326640,2
1371326880,1
1371327300,2
1371327600,3
1371327720,1
1371328560,1
1371329040,1
1371329400,2
1371329940,1
1371330000,1
1371330300,3
1371331380,2
1371331740,1
1371332760,1
1371333240,1
1371334080,2
1371334800,1
1371335400,1
1371337500,1
1371337980,1
1371338100,1
1371338220,1
1371339540,3
1371340620,1
1371342360,1
1371344160,1
1371344760,1
1371344820,1
1371345240,1
1371353160,1
1371353340,1
1371353520,1
1371355920,1
1371356400,1
1371356520,1
1371357180,1
1371357900,1
1371358140,1
1371358380,1
1371359160,1
1371359880,1
1371359940,1
1371360000,3
1371360600,1
1371378000,2
1371378060,3
1371382740,1
1371390000,2
1371392400,1
1371392880,1
1371394560,1
1371396180,1
1371397740,1
1371397800,1
1371397860,2
1371398580,2
1371399960,2
1371400260,2
1371400680,2
1371401040,1
1371401100,1
1371401460,1
1371402000,2
1371402720,2
1371402780,1
1371403320,2
1371403560,2
1371403620,1
1371404580,1
1371404640,1
1371405240,1
1371405360,1
1371405600,1
1371405720,1
1371405840,1
1371406080,1
1371406500,3
1371406560,3
1371406860,1
1371407460,2
1371407760,2
1371408240,1
1371408900,1
1371409680,1
1371410100,1
1371410220,1
1371411180,1
1371411300,1
1371411600,2
1371411780,2
1371411840,1
1371411900,1
1371412020,1
1371412440,1
1371413040,2
1371413880,1
1371414000,1
1371415200,1
1371415380,1
1371416400,1
1371416520,1
1371416640,1
1371416940,1
1371417480,3
1371417900,1
1371418080,1
1371418320,1
1371419040,1
1371419280,1
1371419640,1
1371420600,1
1371421020,1
1371421380,1
1371421980,2
1371422820,1
1371425040,1
1371425400,1
1371426480,1
1371427020,1
1371429960,1
1371431700,1
1371432120,1
1371432540,1
1371433080,1
1371436260,1
1371438960,1
1371439380,1
1371467340,1
1371468540,1
1371469080,1
1371471360,1
1371476820,2
1371478200,1
1371478800,1
