datetime,arrivals
1384479000,1
1384486800,1
1384490760,1
1384504800,1
1384505100,1
1384512660,2
1384516860,1
1384519200,1
1384534500,1
1384535400,1
1384537320,1
1384546800,1
1384548480,1
1384553820,1
1384556760,1
1384560960,1
1384562040,1
1384564260,1
1384573260,1
1384573500,1
1384598940,1
1384612020,1
1384612740,1
1384615260,1
1384618620,1
1384620540,1
1384627440,1
1384628340,2
1384631940,1
1384633620,1
1384633800,1
1384634160,1
1384635840,1
1384636500,1
1384637940,1
1384642440,1
1384645380,1
1384646400,2
1384647780,1
1384648320,2
1384648500,2
1384656660,1
1384658160,1
1384660620,1
1384669560,1
1384679100,1
1384680000,1
1384683300,1
1384683660,1
1384698000,1
1384698600,1
1384698720,1
1384723200,1
1384742520,1
1384788960,1
1384789140,1
1384792260,1
1384800720,2
1384808460,1
1384815840,1
1384816500,1
1384816740,1
1384817580,1
1384818300,1
1384818720,1
1384819260,1
1384820340,1
1384820520,1
1384822980,1
1384823460,1
1384828500,1
1384829640,1
1384829760,1
1384831560,1
1384833840,1
1384835100,1
1384839960,1
1384844100,1
1384849560,1
1384849800,1
1384850100,1
1384851300,1
1384855860,1
1384858560,1
1384866720,1
1384871400,1
1384885020,1
1384885200,1
1384885500,1
1384891920,1
1385589120,2
1385590800,1
1385612460,1
1385612760,1
1385614140,1
1385631000,1
1385636100,1
1385638680,1
1385639100,1
1385639700,1
1385641200,1
1385641800,1
1385649600,1
1385652600,1
1385666400,1
1385667600,1
1385707800,1
1385710500,1
1385711100,1
1385719500,1
1385734500,1
1385737800,1
1385751720,2
1385751780,1
1385755800,1
1385759700,1
1385761980,1
1385777100,1
1385780580,1
1385781900,1
1385785500,1
1385796300,1
1385803500,1
1385807100,1
1385816700,1
1385820600,2
1385821200,1
1385822400,1
1385823300,1
1385824500,1
1385825100,2
1385827200,1
1385829600,1
1385830800,1
1385831700,1
1385832900,1
1385834400,1
1385835300,1
1385836200,1
1385837100,1
1385838000,1
1385838900,1
1385839260,1
1385839500,1
1385840100,1
1385840700,1
1385841960,1
1385845800,1
1385851200,1
1385852100,1
1385857500,2
1385861400,1
1385869800,1
1385874900,1
1385895600,1
1385897700,1
1385902800,1
1385903400,1
1385906940,1
1385908980,1
1385910000,1
1385920320,1
1385925600,1
1385927640,1
1385928000,1
1385933700,1
1385934600,1
1385934780,1
1385936700,1
1385939700,1
1385941800,1
1385943480,1
1385943600,1
1385946900,1
1385948100,1
1385952180,1
1385962200,1
1385964300,1
1385967300,1
1385968500,1
1385973300,1
1385974500,1
1385976300,1
1385979900,1
1385981700,1
1385982300,1
1385982900,1
1385988060,1
1385991660,1
1385997000,1
1386004080,1
1386005640,1
1386013380,1
1386024000,1
1386025800,1
1386028800,1
1386029400,1
1386030300,1
1386031020,1
1386032520,1
1386033300,1
1386034500,1
1386036480,1
1386039600,1
1386043200,1
1386049080,1
1386049200,1
1386057600,1
1386059700,1
1386061500,1
1386064200,1
1386078780,1
1386080940,1
1386110820,1
1386112020,1
1386113220,1
1386114000,1
1386114360,1
1386114720,2
1386115680,1
1386116400,1
1386120060,1
1386120600,1
1386121800,1
1386122220,1
1386122400,1
1386123060,1
1386129540,1
1386130500,1
1386130680,1
1386131340,1
1386136320,1
1386136800,1
1386140400,1
1386149700,1
1386155940,1
1386158160,1
1386159960,1
1386162660,1
1386163800,1
1386165660,1
1386167100,1
1386167700,1
1386174600,1
1386181200,1
1386183900,1
1386186600,1
1386187800,1
1386195960,1
1386196500,1
1386197400,1
1386198600,1
1386199500,2
1386207600,1
1386209100,1
1386212700,1
1386216660,1
1386220200,1
1386221400,1
1386225600,1
1386234600,2
1386240000,1
1386242100,1
1386242340,1
1386242700,1
1386244200,1
1386246900,1
1386250200,1
1386252420,1
1386252600,1
1386253020,1
1386274380,1
1386308040,1
1386308400,1
1386311220,1
1386328380,1
1386349740,1
1386351000,1
1386389100,1
1386399300,1
1386401700,1
1386422940,1
1386431400,1
1386439680,1
1386440580,1
1386441720,1
1386442800,2
1386445200,1
1386447600,1
1386451320,2
1386457800,1
1386458700,1
1386463020,1
1386465060,1
1386466200,1
1386468300,2
1386482100,1
1386500700,1
1386503400,1
1386510600,1
1386521400,1
1386538200,1
1386544800,1
1386547500,1
1386560280,2
1386574800,1
1386604620,1
1386609120,1
1386610140,1
1386626820,1
1386632940,1
1386633300,1
1386636480,1
1386637080,1
1386643500,1
1386652980,1
1386667200,1
1386672300,1
1386678180,1
1386704040,1
1386713580,1
1386720420,1
1386723360,1
1386723780,1
1386725160,1
1386725700,1
1386732600,1
1386736800,1
1386738000,1
1386739500,1
1386742800,1
1386743400,1
1386744900,1
1386745500,1
1386746400,1
1386748200,1
1386749700,1
1386751200,1
1386752100,1
1386753300,1
1386754500,1
1386755100,1
1386756300,1
1386756900,1
1386759300,1
1386761400,1
1386762000,1
1386762900,1
1386764700,1
1386765900,1
1386767700,1
1386769800,1
1386771000,1
1386780600,1
1386789900,1
1386803880,1
1386812520,1
1386825300,1
1386826200,1
1386827700,1
1386831600,1
1386836100,1
1386847260,1
1386896940,1
1386951660,1
1386952800,1
1386954420,1
1386974820,1
1386977100,1
1386993540,1
1386996060,1
1387001700,1
1387003800,1
1387031400,1
1387117620,1
1387118640,1
1387138620,1
1387142460,1
1387142580,1
1387142640,1
1387203240,1
1387204200,1
1387205100,1
1387205700,1
1387206900,1
1387207500,1
1387208700,1
1387209300,1
1387217400,1
1387218720,1
1387221900,1
1387224540,1
1387224600,1
1387224780,1
1387225500,1
1387229400,1
1387231200,1
1387231800,2
1387233000,1
1387233600,1
1387234800,1
1387236300,1
1387237260,1
1387237800,1
1387239240,1
1387239900,1
1387241100,1
1387242300,1
1387243500,1
1387244700,2
1387247340,1
1387247400,1
1387248900,1
1387250700,1
1387251300,1
1387253400,1
1387254600,1
1387255800,1
1387256760,1
1387258200,1
1387260900,1
1387261800,1
1387263000,1
1387263900,1
1387266900,2
1387267500,1
1387268100,1
1387268700,1
1387270500,1
1387272000,1
1387273200,1
1387274100,2
1387275000,1
1387277100,1
1387280400,1
1387281000,1
1387281900,1
1387282800,1
1387284000,1
1387284600,1
1387285800,1
1387286400,1
1387287000,1
1387307100,1
1387317360,1
1387365240,1
1387370520,1
1387400340,1
1387405140,1
1387413180,1
1387429800,1
1387433100,1
1387438200,1
1387439700,1
1387443000,1
1387443600,1
1387444200,1
1387446000,1
1387447800,1
1387448400,1
1387451820,1
1387453500,1
1387455300,1
1387465500,1
1387492020,1
1387498620,1
1387503720,1
1387514100,1
1387516320,2
1387524540,1
1387525800,1
1387529100,1
1387538700,1
1387559280,1
1387569000,1
1387570140,1
1387579560,1
1387584600,1
1387586640,1
1387598400,1
1387598700,1
1387598820,1
1387603320,1
1387605000,1
1387606800,1
1387608900,1
1387610100,1
1387612500,1
1387614000,1
1387616100,1
1387617300,1
1387618800,1
1387628220,1
1387632540,1
1387646820,1
1387648320,1
1387652640,1
1387660740,1
1387662300,1
1387664760,2
1387668900,1
1387672740,1
1387676460,1
1387716180,1
1387722420,1
1387735740,1
1387736100,1
1387738320,1
1387754580,1
1387757100,1
1387757400,1
1387758960,1
1387763340,1
1387764360,1
1387808040,1
1387808700,1
1387815600,1
1387899660,1
1387899900,1
1387908900,1
1387915680,1
1387917060,1
1387919700,2
1387934100,1
1387945500,1
1387954800,1
1387965300,1
1387969800,1
1387993380,1
1387993500,1
1388013000,1
1388016000,1
1388048700,1
1388077500,1
1388091300,1
1388093880,1
1388105700,1
1388108340,1
1388113200,1
1388123400,1
1388124300,1
1388127600,1
1388133900,1
1388142900,1
1388147400,1
1388167560,1
1388168220,1
1388170680,1
1388178840,1
1388179200,1
1388183400,1
1388185500,1
1388187780,1
1388189700,1
1388191500,1
1388196600,1
1388201100,1
1388202900,1
1388205000,1
1388220900,1
1388221500,1
1388222100,1
1388222700,1
1388224800,1
1388232600,1
1388233500,2
1388234400,1
1388235600,1
1388237400,1
1388247000,1
1388259600,1
1388259660,1
1388262900,1
1388264280,3
1388266200,1
1388270040,1
1388271300,1
1388272500,1
1388275200,1
1388279700,1
1388290200,1
1388310300,1
1388313600,1
1388322600,1
1388325000,1
1388326200,1
1388327580,1
1388329800,1
1388330700,1
1388333700,1
1388356500,1
1388358000,1
1388374800,1
1388378040,1
1388387400,1
1388389200,1
1388390700,1
1388395200,1
1388400000,1
1388401800,1
1388404200,1
1388404800,1
1388412300,1
1388414700,1
1388418000,1
1388419200,1
1388422200,1
1388428800,1
1388432820,1
1388433300,1
1388433600,1
1388434800,1
1388436900,1
1388438700,1
1388441040,1
1388441400,1
1388442300,1
1388443500,1
1388444700,1
1388445300,1
1388446200,1
1388446500,1
1388447100,1
1388447700,1
1388448900,1
1388449500,1
1388451000,1
1388451900,1
1388452500,1
1388454300,1
1388455200,1
1388455800,1
1388456700,1
1388457300,1
1388458200,1
1388459400,1
1388460600,1
1388460720,1
1388461500,1
1388466300,1
1388468400,1
1388469600,1
1388470200,1
1388471700,1
1388473500,1
1388474700,1
1388475300,1
1388477100,1
1388478000,1
1388479800,1
1388481900,1
1388483400,1
1388484000,1
1388484600,1
1388485800,1
1388486700,1
1388488200,1
1388490000,1
1388490900,1
1388491800,1
1388492700,1
1388493300,1
1388493900,1
1388494800,1
1388495700,1
1388496300,1
1388496900,1
1388498700,1
1388499300,1
1388500800,1
1388501700,1
1388502600,1
1388503800,1
1388504400,1
1388506200,1
1388506800,1
1388507400,1
1388508300,1
1388509800,1
1388511600,1
1388513400,1
1388513700,1
1388515020,1
1388515380,1
1388516100,1
1388517300,2
1388518800,1
1388519400,1
1388520000,1
1388520600,1
1388522640,1
1388523300,1
1388523900,1
1388524740,1
1388525700,1
1388526300,1
1388528400,1
1388529000,1
1388530200,2
1388531100,1
1388532000,1
1388532300,1
1388533200,1
1388533800,1
1388534400,1
1388535300,1
1388537100,1
1388537400,1
1388539200,2
1388539800,1
1388543100,2
1388544000,2
1388545200,1
1388546100,1
1388547300,1
1388547900,1
1388548200,1
1388548800,1
1388550000,2
1388550900,1
1388552700,1
1388553000,1
1388553600,2
1388555100,1
1388555700,1
1388556600,2
1388558700,1
1388559300,1
1388559900,2
1388560800,2
1388561400,1
1388562300,1
1388562900,2
1388563800,1
1388564100,1
1388565000,2
1388565600,1
1388565900,1
1388566500,2
1388567100,1
1388567700,2
1388568300,1
1388569800,1
1388571600,2
1388573700,1
1388574000,1
1388574900,1
1388576100,2
1388576700,2
1388577300,1
1388577900,1
1388579100,1
1388579700,1
1388581800,2
1388582400,1
1388582700,1
1388583600,1
1388584200,1
1388584800,1
1388585700,3
1388586900,2
1388589000,1
1388589060,1
1388589600,2
1388591100,1
1388592000,1
1388593200,1
1388595000,1
1388595900,1
1388596200,1
1388597400,1
1388598300,1
1388599200,1
1388600100,1
1388600400,1
1388601300,1
1388602800,1
1388603100,1
1388604600,2
1388605200,2
1388605800,1
1388606400,1
1388606700,1
1388607600,1
1388608200,1
1388608800,1
1388610900,1
1388611500,1
1388614200,1
1388615100,2
1388615700,1
1388616900,1
1388618400,1
1388618700,1
1388619900,1
1388621700,1
1388623800,1
1388624400,2
1388625600,2
1388627100,2
1388627700,1
1388629200,2
1388629800,1
1388631000,1
1388631900,1
1388633100,1
1388634000,1
1388634900,1
1388636340,1
1388636400,1
1388637300,1
1388639100,1
1388639700,1
1388640600,1
1388641800,1
1388642400,1
1388643300,2
1388643900,2
1388644800,1
1388645700,2
1388648400,1
1388648700,1
1388649300,1
1388650500,2
1388651700,1
1388653200,2
1388654400,1
1388656200,1
1388658300,1
1388659200,1
1388659800,1
1388661600,1
1388663400,1
1388664900,2
1388665800,1
1388666400,1
1388667300,1
1388667600,1
1388669700,1
1388670300,1
1388670900,1
1388671800,2
1388673000,1
1388673300,1
1388674500,1
1388675100,1
1388675700,2
1388676300,1
1388676900,1
1388677500,1
1388678400,1
1388679000,1
1388679300,1
1388679900,1
1388681700,1
1388682300,1
1388683800,1
1388685000,1
1388685600,1
1388685900,1
1388687400,1
1388688600,1
1388688900,1
1388689800,1
1388690700,1
1388690880,1
1388691300,2
1388692500,2
1388693100,1
1388694000,1
1388694300,1
1388696100,1
1388697300,1
1388697900,1
1388699100,1
1388700300,1
1388702700,1
1388703900,1
1388705400,1
1388706300,1
1388707200,1
1388707800,1
1388708400,2
1388709900,1
1388711400,1
1388712600,1
1388714400,1
1388716200,1
1388717100,1
1388717700,1
1388718900,1
1388721600,1
1388724600,1
1388725800,1
1388726400,1
1388729460,1
1388732340,1
1388734500,1
1388735100,1
1388735280,1
1388735700,1
1388736600,1
1388737500,1
1388737800,1
1388739000,1
1388740200,1
1388741100,1
1388741400,1
1388742900,1
1388744400,1
1388745300,1
1388747700,1
1388749200,1
1388750400,1
1388752800,1
1388754000,1
1388754600,1
1388755500,1
1388756100,1
1388757900,1
1388758500,1
1388760000,1
1388761200,1
1388762100,1
1388763000,1
1388764500,1
1388765400,1
1388766900,1
1388767500,1
1388768400,1
1388769000,1
1388769900,1
1388770500,1
1388771100,1
1388771700,1
1388772300,1
1388772900,1
1388773500,1
1388774100,1
1388775000,1
1388776800,1
1388778000,1
1388778900,1
1388781000,1
1388781600,1
1388783400,1
1388785200,1
1388787300,1
1388787900,1
1388788800,1
1388789700,1
1388790600,1
1388792100,1
1388792640,1
1388794200,1
1388794800,1
1388795400,1
1388796300,1
1388796900,1
1388799900,1
1388801400,2
1388802000,1
1388802600,1
1388803200,1
1388803800,1
1388804400,1
1388805300,1
1388806800,1
1388807700,1
1388809200,1
1388810400,1
1388813100,1
1388817000,1
1388817600,1
1388819100,1
1388819700,1
1388820600,1
1388821200,1
1388821800,1
1388822700,1
1388824500,1
1388825700,1
1388826900,1
1388828400,1
1388829000,1
1388831040,1
1388831700,1
1388832600,1
1388834100,1
1388835900,1
1388836800,1
1388838600,1
1388840400,1
1388842140,1
1388842740,1
1388844900,1
1388845440,1
1388846100,1
1388847300,1
1388847840,1
1388851440,2
1388852220,1
1388852640,1
1388853540,2
1388854440,1
1388854800,1
1388855340,1
1388857140,1
1388858640,1
1388859180,1
1388859300,1
1388859540,1
1388860440,1
1388861400,1
1388863200,1
1388864100,1
1388865000,1
1388865900,2
1388866800,1
1388867400,1
1388868000,1
1388868900,1
1388869800,1
1388870400,2
1388871000,1
1388871900,1
1388872800,1
1388873400,1
1388874600,1
1388877300,1
1388879700,1
1388880600,1
1388882100,1
1388883300,1
1388883900,1
1388884800,1
1388885700,2
1388886600,1
1388887200,1
1388888400,1
1388889000,1
1388890200,1
1388891700,1
1388893800,1
1388894520,2
1388894700,1
1388895300,1
1388896200,1
1388897100,1
1388897700,1
1388898300,1
1388898900,1
1388900400,1
1388901600,1
1388902200,1
1388904000,1
1388905800,1
1388907600,1
1388908200,1
1388910600,1
1388911200,1
1388912700,1
1388913900,1
1388914800,1
1388916240,1
1388916840,1
1388917500,1
1388918700,1
1388920500,1
1388922900,1
1388923500,1
1388924340,1
1388926740,1
1388929140,2
1388930040,1
1388931540,1
1388932800,1
1388934000,1
1388934840,1
1388936340,1
1388937540,1
1388940000,1
1388940600,1
1388941200,1
1388942100,1
1388943000,1
1388944500,1
1388945700,1
1388946600,1
1388947200,1
1388952300,1
1388954700,1
1388955900,1
1388957100,1
1388958000,1
1388958600,1
1388959800,1
1388961000,1
1388961300,1
1388963100,1
