datetime,arrivals
1371152340,1
1371156600,1
1371157500,1
1371158640,1
1371158940,1
1371160080,1
1371160500,1
1371161340,1
1371161580,1
1371161700,1
1371162480,2
1371162540,1
1371162660,1
1371162720,1
1371162840,1
1371163860,1
1371164220,1
1371165300,1
1371167280,1
1371169860,1
1371174240,1
1371182400,1
1371208920,1
1371209520,1
1371210000,1
1371212100,1
1371215100,1
1371215580,1
1371216300,1
1371216840,2
1371216900,1
1371220200,2
1371222120,1
1371222840,1
1371224700,1
1371226620,1
1371226980,2
1371228300,1
1371228540,1
1371229020,1
1371229680,1
1371229740,1
1371231060,1
1371231180,1
1371231360,1
1371232440,1
1371233460,1
1371233820,1
1371234660,1
1371235320,1
1371235740,2
1371238140,3
1371239460,1
1371239880,2
1371241320,1
1371242880,1
1371243240,1
1371243840,1
1371244260,2
1371244560,1
1371244920,1
1371245160,1
1371245400,1
1371245520,1
1371246540,1
1371246900,1
1371247500,1
1371248220,1
1371248700,1
1371249240,2
1371249480,1
1371249780,1
1371250140,1
1371250380,1
1371252300,2
1371253500,1
1371253680,1
1371256380,1
1371257640,2
1371261660,1
1371261840,1
1371263220,1
1371266340,1
1371266940,1
1371267660,1
1371271740,2
1371278580,2
1371295860,2
1371296040,1
1371300180,1
1371303720,1
1371305400,2
1371306360,1
1371307740,1
1371308100,1
1371309660,1
1371309960,2
1371310020,1
1371310560,1
1371310620,1
1371311820,1
1371313620,1
1371313980,1
1371316020,1
1371317640,1
1371317700,1
1371318600,1
1371319500,3
1371320940,4
1371322200,5
1371323220,1
1371323280,1
1371325920,1
1371325980,1
1371326340,1
1371328440,2
1371328560,1
1371329220,1
1371329340,1
1371329640,1
1371329880,1
1371330180,1
1371331200,2
1371331440,2
1371331920,2
1371332100,1
1371332220,1
1371332340,1
1371333960,3
1371334980,2
1371335160,1
1371335520,1
1371335640,2
1371336480,1
1371336900,2
1371337500,1
1371338100,2
1371339600,1
1371339660,3
1371340500,3
1371340620,1
1371341220,1
1371341520,1
1371341700,1
1371341820,1
1371342360,2
1371342600,2
1371343260,2
1371343320,1
1371345300,1
1371346800,1
1371346860,1
1371348120,1
1371348300,1
1371348420,1
1371348480,1
1371355260,1
1371355920,1
1371356040,1
1371357660,1
1371374280,1
1371384900,1
1371388860,1
1371390720,2
1371392400,1
1371392460,1
1371392880,1
1371394980,1
1371395160,1
1371396120,5
1371396960,1
1371397080,1
1371397440,1
1371397980,2
1371398100,1
1371398340,1
1371398760,2
1371399540,1
1371399660,1
1371400320,1
1371400500,1
1371402420,2
1371402780,3
1371403440,1
1371404880,2
1371406140,3
1371406500,1
1371407040,1
1371407700,1
1371408120,2
1371408780,1
1371408900,1
1371409140,1
1371409500,2
1371409680,2
1371409920,1
1371411000,1
1371411540,2
1371412080,1
1371412380,1
1371413520,1
1371414120,1
1371414300,1
1371414420,1
1371417540,1
1371418020,2
1371418080,1
1371418920,1
1371419460,2
1371420060,1
1371420780,1
1371420840,2
1371420960,3
1371422040,1
1371424860,1
1371424920,3
1371425760,3
1371426060,2
1371426120,3
1371426360,1
1371429360,1
1371429540,1
