datetime,arrivals
1371209160,1
1371213600,1
1371224880,1
1371233880,1
1371238260,1
1371240900,1
1371328320,1
1371340680,2
1371342120,1
1371342240,1
1371404280,1
1371407940,1
1371468720,1
1371475080,1
1371489540,1
1371497040,1
1371500940,1
1371555060,1
1371560460,1
1371562080,3
1371563460,1
1371579300,1
1371586500,1
1371632580,3
1371632640,1
1371644220,1
1371648360,1
1371649200,1
1371660480,1
1371660540,1
1371661020,1
1371662460,1
1371665760,1
1371671100,1
1371674940,1
1371734820,1
1371735840,1
1371736680,1
1371738720,1
1371748860,1
1371756540,1
1371757080,1
1371768780,1
1371771840,1
1371819960,2
1371821340,1
1371822480,2
1371831480,1
1371842040,1
1371851040,1
1371909120,1
1371920640,1
1371930540,1
1372007880,1
1372078920,1
1372081080,1
1372083480,1
1372084140,1
1372086480,1
1372090680,1
1372095180,1
1372096740,1
1372107840,1
1372109040,1
1372114500,1
1372125960,3
1372165140,1
1372166340,1
1372167780,1
1372186800,2
1372201440,1
1372252440,1
1372253460,1
1372254060,1
1372256160,1
1372260540,1
1372264380,1
1372267620,1
1372282860,1
1372291200,1
1372334580,1
1372338540,1
1372338840,1
1372340400,1
1372341120,1
1372342680,2
1372358100,1
1372426140,1
1372436880,1
1372437240,1
1372438380,1
1372439340,1
1372450200,1
1372453560,1
1372509600,1
1372523400,1
1372537140,1
1372563000,1
1372585080,1
1372595520,1
1372632720,1
1372674840,1
1372687020,4
1372687620,1
1372693440,1
1372773720,2
1372856520,1
1372856880,1
1372858320,1
1372861260,1
1372865520,1
1372876020,1
1372876200,1
1372885440,1
1372947240,1
1373136300,1
1373208660,1
1373215920,1
1373284500,1
1373289660,2
1373373180,1
1373375580,1
1373376240,1
1373380140,1
1373383380,1
1373405460,1
1373458080,1
1373463120,1
1373472780,1
1373481540,1
1373481780,1
1373481960,1
1373485140,1
1373508540,2
1373510820,1
1373511660,1
1373511780,1
1373513100,1
1373543820,1
1373548260,1
1373548620,1
1373549460,1
1373549640,1
1373549700,1
