datetime,arrivals
1371318840,2
1371320220,1
1371321000,1
1371321120,2
1371321960,1
1371322200,1
1371324000,1
1371324060,1
1371325080,1
1371325440,2
1371326760,1
1371328020,2
1371330000,1
1371330660,1
1371330840,1
1371331140,2
1371331200,1
1371331380,1
1371331620,3
1371331680,1
1371331860,1
1371333720,1
1371334800,2
1371335040,1
1371335160,2
1371335640,1
1371336600,1
1371338100,1
1371338760,2
1371340140,1
1371340320,2
1371340860,1
1371341820,1
1371342000,1
1371342540,2
1371343560,1
1371344040,2
1371345240,1
1371346320,3
1371346620,1
1371346680,1
1371346980,1
1371347040,2
1371347100,1
1371348900,2
1371348960,1
1371349080,1
1371349560,1
1371349740,1
1371350520,1
1371350820,2
1371351660,1
1371351720,1
1371368760,1
1371382440,1
1371384780,1
1371385320,1
1371385380,1
1371388860,1
1371388920,1
1371392280,1
1371393420,1
1371394020,1
1371394200,1
1371396120,1
1371396720,1
1371397680,1
1371397860,2
1371401280,2
1371405960,1
1371407100,2
1371408420,2
1371409500,1
1371410340,3
1371411420,2
1371413340,1
1371413640,2
1371414180,1
1371416520,2
1371417900,2
1371418200,1
1371418440,1
1371419640,1
1371419940,2
1371420360,1
1371420960,2
1371421320,1
1371421980,1
1371423240,1
1371425280,1
1371425400,1
1371425760,1
1371426060,2
1371428280,2
1371428700,1
1371429720,1
1371431280,1
1371431640,1
1371431880,2
1371435060,1
1371435540,1
1371437040,1
1371439860,1
1371439980,1
1371440400,3
1371440880,1
1371443640,3
1371444540,1
1371445560,2
1371468360,1
1371472800,1
1371475980,1
1371476040,1
1371476220,1
1371476400,1
1371476700,4
1371476820,3
1371476880,1
1371477180,1
1371483600,3
1371483660,3
1371483780,5
1371483840,3
1371484080,1
1371484140,2
1371485940,1
1371487140,3
1371487260,1
1371488280,2
1371488340,1
1371489300,1
1371490380,1
1371491580,1
1371492720,1
1371495840,1
1371496440,1
1371499320,1
1371501300,1
1371503880,1
1371505380,1
1371505440,1
1371505500,1
1371505620,3
1371506040,1
1371506460,1
1371506520,1
1371507900,1
1371508020,1
1371508080,1
1371508440,1
1371509220,1
1371509760,1
1371510360,2
1371510480,1
1371510780,1
1371510960,1
1371512040,1
1371512220,2
1371514380,1
1371514500,1
1371516240,1
1371516300,1
1371517440,1
1371518280,1
1371519360,1
1371521460,1
1371521520,1
1371522360,1
1371522600,1
1371524880,1
1371525420,2
1371526080,1
1371528840,1
1371531960,1
1371538620,1
1371545640,1
1371553020,1
1371557460,1
1371558240,1
1371558900,1
1371559380,1
1371559800,1
1371564000,1
1371564120,1
1371565080,1
1371566280,1
1371567000,1
1371568200,1
1371571080,2
1371571260,2
1371571320,1
1371571980,1
1371572760,1
1371574320,1
1371576720,2
1371576840,2
1371577140,2
1371577200,1
1371579840,1
1371579900,1
1371580500,1
1371580800,1
1371581400,1
1371583080,1
1371584220,1
1371584280,1
1371588960,1
1371589140,1
1371594060,1
1371594180,1
1371596340,1
1371601680,1
1371602700,1
1371604680,1
1371606240,1
1371607200,1
1371610020,2
1371610740,1
1371631380,4
1371639240,1
1371643680,1
1371645240,1
1371645360,1
1371650580,1
1371655740,1
1371656280,1
1371656460,2
1371657000,1
1371657120,1
1371657720,1
1371658260,1
1371659040,1
1371659760,1
1371660120,1
1371660240,1
1371661980,1
1371670920,1
1371671580,1
1371673560,1
1371673680,1
1371673800,1
1371675240,1
1371676140,1
1371677580,1
1371677760,1
1371678540,1
1371678840,2
1371679140,1
1371679380,1
1371679440,1
1371680400,1
1371680880,1
1371681180,1
1371682080,1
1371682380,1
1371682500,1
1371682560,1
1371682980,1
1371683400,1
1371684240,1
1371684300,1
1371684540,1
1371686580,2
1371687600,2
1371688140,1
1371688440,1
1371689400,1
1371689940,1
1371690360,1
1371691620,1
1371692640,1
1371693180,1
1371694140,1
1371694620,1
1371695700,1
1371695880,1
1371696360,1
1371697680,2
1371697740,1
1371699960,1
1371701340,1
1371705060,1
1371713040,1
1371726120,1
1371727620,1
1371728940,1
1371730620,1
1371730980,1
1371731280,1
1371733080,1
1371734160,1
1371735660,1
1371736140,1
1371736440,1
1371738060,1
1371739380,1
1371740280,1
1371741840,1
1371742140,1
1371744360,1
1371745500,1
1371747120,1
1371749220,1
1371750540,1
1371751200,1
1371752400,1
1371752580,1
1371756300,1
1371757080,1
1371757740,1
1371757860,1
1371758040,1
1371758340,1
1371758400,1
1371758640,1
1371758760,1
1371760140,1
1371760620,1
1371760680,2
1371760740,1
1371761340,2
1371761400,2
1371761940,1
1371762720,1
1371764400,1
1371764640,1
1371764820,1
1371765420,2
1371765600,1
1371766560,2
1371766920,1
1371768060,1
1371768300,1
1371768960,1
1371769440,1
1371769680,1
1371770760,1
1371770820,1
1371770880,1
1371771000,1
1371771600,1
1371771720,1
1371772440,1
1371772800,1
1371773580,1
1371774660,1
1371775560,1
1371775680,1
1371778200,1
1371778380,1
1371779040,1
1371779700,1
1371780180,1
1371780420,1
1371780600,1
1371781320,1
1371781500,1
1371781920,1
1371783540,1
1371784080,1
1371784140,1
1371784500,1
1371785400,1
1371785520,1
1371786060,1
1371786720,1
1371787080,1
1371787920,2
1371788340,1
1371788640,1
1371788940,1
1371789780,1
1371802620,1
1371811860,1
1371813600,1
1371814980,1
1371815400,2
1371816120,1
1371816720,1
1371816960,1
1371818220,1
1371820920,1
1371821220,1
1371821460,1
1371822540,1
1371823200,1
1371823680,1
1371824640,1
1371824880,1
1371826860,1
1371827400,1
1371827760,1
1371828060,1
1371829980,1
1371834060,1
1371834240,1
1371834300,1
1371834900,1
1371836100,1
1371837540,2
1371838200,1
1371839340,1
1371839700,1
1371839940,2
1371840360,1
1371841320,1
1371841740,1
1371842040,2
1371842160,1
1371842340,1
1371842580,2
1371843000,1
1371843240,1
1371844020,1
1371844440,1
1371845640,3
1371846180,1
1371846480,1
1371846720,2
1371848280,4
1371848880,1
1371849060,1
1371849780,1
1371850560,1
1371850680,1
1371850860,1
1371852180,1
1371854700,1
1371854880,1
1371856500,1
1371856620,2
1371856860,1
1371857220,1
1371858000,1
1371858660,1
1371859920,2
1371861600,1
1371864360,1
1371865860,1
1371867660,1
1371867780,2
1371867960,1
1371871140,1
1371871620,1
1371871920,1
1371872100,1
1371872280,1
1371873180,2
1371877980,1
1371878580,3
1371880800,1
1371905640,1
1371907860,1
1371909240,1
1371910740,1
1371910860,1
1371915420,1
1371916200,1
1371917220,1
1371919140,1
1371919860,1
1371920640,1
1371920880,1
1371921780,1
1371922620,1
1371922920,1
1371923100,2
1371923160,3
1371924360,1
1371924960,1
1371926040,1
1371927240,2
1371927360,1
1371927480,1
1371927720,1
1371928500,2
1371929880,1
1371930300,1
1371930900,1
1371931380,2
1371931440,1
1371931500,1
1371932280,1
1371932460,1
1371932880,1
1371932940,1
1371933060,1
1371933720,1
1371934020,1
1371934560,1
1371934680,1
1371935340,1
1371935460,2
1371935760,1
1371935940,5
1371937680,1
1371937980,3
1371938220,2
1371938340,1
1371938820,2
1371939600,2
1371940560,1
1371940920,1
1371941820,1
1371942720,1
1371943020,2
1371943560,1
1371944220,1
1371945300,1
1371945360,7
1371945840,1
1371946560,1
1371946740,1
1371947460,1
1371948840,1
1371949140,1
1371949200,1
1371950160,2
1371950640,1
1371950760,1
1371951180,1
1371952620,4
1371955740,1
1371955920,1
1371957540,1
1371959220,1
1371960780,1
1371961320,1
1371961800,1
1371962220,1
1371964020,1
1371967740,1
1371968580,1
1371968880,1
1371969420,1
1371969720,1
1371986700,1
1371994440,1
1371994980,1
1371995400,1
1371995760,2
1371996540,1
