datetime,arrivals
1371154260,1
1371160980,2
1371162600,1
1371164460,1
1371214740,1
1371216060,1
1371220260,2
1371220440,1
1371226860,1
1371233400,1
1371233820,1
1371234180,1
1371234840,1
1371234900,2
1371235680,3
1371236160,1
1371239640,3
1371242880,2
1371243600,2
1371243900,1
1371247140,1
1371247200,1
1371248040,2
1371249660,1
1371250260,1
1371252060,1
1371252360,1
1371257220,1
1371259560,1
1371259680,1
1371260880,1
1371260940,1
1371265860,3
1371267420,1
1371271380,2
1371278760,1
1371297660,1
1371298380,1
1371298560,1
1371301800,1
1371303420,1
1371304200,1
1371304320,2
1371306180,2
1371307560,2
1371308160,1
1371309000,1
1371312780,1
1371313020,1
1371313800,2
1371313920,2
1371314340,1
1371314400,1
1371314460,1
1371314520,1
1371314820,1
1371314880,1
1371315720,2
1371316440,1
1371316560,1
1371318060,1
1371318120,2
1371318720,1
1371318840,1
1371319620,1
1371320100,1
1371320220,1
1371320280,1
1371320760,1
1371320940,1
1371322140,1
1371322800,1
1371323340,1
1371324180,2
1371324240,1
1371324540,1
1371324900,1
1371326280,1
1371326460,1
1371328440,2
1371329100,1
1371330600,1
1371331080,2
1371331320,2
1371331500,2
1371331740,1
1371332700,2
1371333120,4
1371333420,1
1371333540,3
1371333600,2
1371333840,1
1371333960,2
1371334620,2
1371334920,2
1371335400,1
1371336720,2
1371337440,1
1371338760,2
1371338940,1
1371339060,2
1371340080,2
1371340320,1
1371340440,1
1371340680,1
1371342000,1
1371342360,1
1371342420,1
1371345540,3
1371353880,2
1371355020,1
1371379980,2
1371388680,1
1371388860,1
1371391800,2
1371395580,1
1371397560,2
1371398280,1
1371398520,1
1371398760,1
1371399000,2
1371400620,1
1371400740,1
1371401340,1
1371401940,1
1371402480,1
1371403140,1
1371406980,1
1371411420,2
1371412080,2
1371412200,3
1371413040,3
1371413460,1
1371414120,2
1371414600,1
1371414900,2
1371415140,1
1371415500,1
1371415560,1
1371415620,1
1371416220,2
1371419280,1
1371419760,1
1371420600,1
1371421620,1
1371421980,1
1371423000,2
1371423540,1
1371424680,2
1371425100,1
1371426060,1
1371426780,1
1371427080,1
1371427140,1
1371427320,1
1371429900,2
1371430140,1
1371430320,1
1371432420,2
1371432720,1
1371446580,1
1371474660,1
1371488460,1
1371494640,1
1371494700,1
1371495060,2
1371502620,1
1371502800,1
1371503460,1
1371503820,1
1371506160,1
1371506940,1
1371507120,1
1371507540,1
1371507780,1
1371508620,1
1371508680,1
1371508980,1
1371509400,2
1371510660,1
1371511800,1
1371512460,1
1371512640,1
1371515280,1
1371516000,1
1371516120,1
1371516420,1
1371516960,1
1371517140,1
1371517260,2
1371517920,1
1371518940,1
1371519780,1
1371521040,1
1371521100,1
1371521220,1
1371525480,1
1371544800,1
1371553380,1
1371554700,1
1371556260,1
1371561060,2
1371567600,2
1371568980,1
1371571560,1
1371575580,1
1371577560,1
1371577620,1
1371578460,1
1371578700,1
1371583020,1
1371588480,1
1371592560,1
1371592680,1
1371595860,1
1371600840,1
1371611160,1
1371615420,1
1371616620,1
1371646080,2
1371648480,1
1371650580,2
1371651060,1
1371652680,2
1371653220,2
1371660720,1
1371665460,1
1371667140,2
1371667260,1
1371668220,2
1371669840,1
1371669960,1
1371670380,1
1371671400,1
1371671700,1
1371673980,1
1371674160,1
1371675000,1
1371675240,2
1371679440,1
1371680280,2
1371680580,3
1371680760,3
1371681120,1
1371681600,1
1371681660,1
1371681780,1
1371682740,1
1371682860,2
1371685500,3
1371686160,1
1371686880,1
1371687300,1
1371687360,1
1371687480,1
1371687720,1
1371688440,1
1371690360,1
1371690600,2
1371691620,1
1371691860,1
1371692760,1
1371693180,1
1371693420,1
1371694800,1
1371694920,2
1371695460,2
1371696900,1
1371698220,2
1371732300,1
1371739440,1
1371740340,1
1371742020,1
1371745080,1
1371747900,1
1371748020,1
1371752400,1
1371754080,1
1371754140,2
1371756480,1
1371756600,1
1371758340,1
1371759780,1
1371759960,1
1371760620,1
1371760680,2
1371760860,2
1371760920,2
1371761820,1
1371762300,1
1371762900,3
1371763200,1
1371763920,1
1371766500,2
1371766860,1
1371767100,2
1371767640,1
1371768060,1
1371772020,2
1371772320,1
1371773760,1
1371774000,2
1371777300,1
1371780840,1
1371781500,1
1371781980,2
1371784140,1
1371787500,1
1371787800,1
1371788340,1
1371789900,2
1371790080,1
1371790200,1
1371791160,1
1371791220,1
1371791460,1
1371815220,1
1371818580,1
1371822600,1
1371824040,1
1371826800,1
1371826860,1
1371827340,1
1371829680,1
1371830280,1
1371834300,1
1371834360,1
1371836580,1
1371837960,1
1371840600,1
1371840960,1
1371842160,1
1371843360,1
1371846120,1
1371846600,1
1371848820,1
1371849480,2
1371849960,1
1371850080,2
1371850440,1
1371850740,1
1371859440,1
1371860400,1
1371860520,1
1371861660,1
1371863820,1
1371864180,1
1371865980,1
1371867900,1
1371871560,1
1371872100,2
1371879420,1
1371879480,2
1371879540,1
1371900600,1
1371902340,1
1371905880,1
1371907740,1
1371907860,1
1371908580,1
1371910200,1
1371912300,1
1371912600,1
1371913560,1
1371913740,1
1371914220,1
1371914700,1
1371916500,1
1371917700,2
1371919200,1
1371919680,2
1371919980,2
1371920160,1
1371920940,1
1371921600,1
1371921900,1
1371922080,1
1371922800,1
1371923280,2
1371924480,1
1371924900,1
1371925500,3
1371925560,1
1371927240,2
1371927300,1
1371927840,1
1371927900,1
1371929340,2
1371929460,1
1371930180,1
1371931020,2
