datetime,arrivals
1371163800,1
1371163860,1
1371223740,1
1371237960,1
1371239040,1
1371245880,1
1371254880,1
1371271980,1
1371272100,1
1371272220,3
1371272400,1
1371272460,1
1371274320,3
1371274440,3
1371274560,1
1371274680,1
1371308700,1
1371310080,1
1371310140,1
1371316200,1
1371326880,1
1371329820,1
1371330300,1
1371331080,1
1371333060,1
1371333420,1
1371335160,2
1371335760,2
1371338580,2
1371347340,1
1371347400,1
1371404580,1
1371407460,1
1371410580,2
1371435960,2
1371490680,2
1371508320,1
1371509220,1
1371512100,1
1371512760,1
1371517020,1
1371560700,1
1371561060,1
1371575580,1
1371595740,1
1371663780,1
1371673200,1
1371674040,1
1371679020,1
1371679500,1
1371684060,1
1371686880,1
1371689580,1
1371694920,1
1371703380,3
1371746460,2
1371754140,2
1371755640,1
1371766440,1
1371767700,1
1371772740,1
1371772800,1
1371783480,2
1371818580,1
1371834060,2
1371834900,1
1371835380,1
1371847440,1
1371848820,1
1371855240,1
1371868440,1
1371870120,2
1371870300,1
1371873060,1
1371874260,1
1371874440,1
1371875040,1
1371875100,1
1371882180,1
1371882900,1
1371883080,1
1371883620,2
1371886260,1
1371886380,1
1371911700,2
1371923400,3
1371923760,1
1371924780,1
1371927540,1
1371928500,1
1371928860,1
1371932940,1
1371934980,1
1371938220,2
1371939300,1
1371940500,1
1371942300,1
1371944040,2
1371945360,2
1371945420,1
1371948240,2
1371956280,2
1371964320,1
1371980100,1
1371996660,1
1372006200,1
1372011720,1
1372019700,1
1372020300,1
1372021440,2
1372021560,1
1372025520,1
1372031820,1
1372032000,1
1372033080,1
1372081860,1
1372097520,1
1372100400,1
1372107540,2
1372113840,1
1372118820,1
1372119600,1
1372122960,1
1372123560,1
1372124940,1
1372125780,1
1372125840,1
1372126080,1
1372128540,1
1372135980,1
1372161660,1
1372164720,1
1372172940,1
1372174260,1
1372187640,1
1372196640,1
1372199220,1
1372199280,1
1372202160,1
1372203060,1
1372203360,1
1372209840,1
1372211340,1
1372211400,1
1372212960,1
1372214400,1
1372219740,1
1372222740,3
1372222800,1
1372227180,1
1372247400,1
1372267440,1
1372267680,1
1372268220,1
1372269120,1
1372269240,1
1372272480,1
1372282860,1
1372285500,1
1372285560,1
1372286640,1
1372287540,1
1372289220,1
1372289700,2
1372292580,2
1372294380,1
1372296780,1
1372300680,1
1372302180,1
1372302660,1
1372303080,1
1372303200,1
1372303440,1
1372303500,1
1372303680,2
1372304580,1
1372304640,1
1372332960,1
1372347600,1
1372347660,1
1372358580,1
1372360800,1
1372370580,1
1372374060,2
1372376640,1
1372378140,2
1372416060,1
1372434060,1
1372444380,1
1372444860,1
1372445520,2
1372447920,1
1372448040,1
1372452780,1
1372455840,1
1372458540,1
1372458960,2
1372459620,1
1372460340,1
1372462860,1
1372463880,1
1372464060,1
1372471320,1
1372472880,1
1372482960,4
1372483980,1
1372484400,1
1372486920,3
1372493820,1
1372512720,1
1372519080,1
1372542240,1
1372546980,1
1372550220,1
1372553580,3
1372553700,1
1372554180,1
1372554780,1
1372556940,1
1372560900,1
1372562940,1
1372567140,2
1372575900,1
1372577460,1
1372600980,1
1372601460,1
1372606500,1
1372620720,1
1372624320,2
1372630560,1
1372631460,1
1372631640,2
1372634340,2
1372634820,1
1372660740,1
1372702860,1
1372711620,2
