datetime,arrivals
1371151740,1
1371151800,1
1371152640,1
1371154680,1
1371154980,1
1371156900,1
1371158100,1
1371158640,1
1371159420,1
1371159480,1
1371159720,1
1371159780,1
1371160800,1
1371161280,1
1371161340,1
1371161580,1
1371161820,1
1371163980,1
1371164100,1
1371164460,1
1371164760,1
1371169260,1
1371176040,1
1371189180,1
1371210420,1
1371210720,1
1371211320,1
1371214200,1
1371214920,4
1371214980,3
1371215100,1
1371215340,1
1371217620,1
1371217860,1
1371218760,1
1371221040,1
1371221520,1
1371227880,1
1371228300,1
1371230460,2
1371232740,1
1371233400,1
1371233760,2
1371234180,2
1371234240,1
1371234420,1
1371234600,1
1371234840,1
1371235260,2
1371235380,1
1371235560,1
1371235800,1
1371236700,1
1371238680,1
1371238800,1
1371239280,1
1371239400,1
1371239460,1
1371239760,1
1371239820,1
1371240420,1
1371240840,1
1371241980,1
1371242940,1
1371243240,1
1371243660,1
1371244380,1
1371244680,1
1371244860,1
1371244980,1
1371245040,1
1371245460,1
1371246000,1
1371246180,1
1371246960,1
1371247980,2
1371248520,1
1371249180,1
1371249240,2
1371249360,2
1371250080,2
1371250380,1
1371250440,1
1371250500,1
1371250560,3
1371251220,1
1371252060,1
1371252300,1
1371252780,1
1371253680,1
1371253920,1
1371255720,1
1371257520,1
1371257880,1
1371258060,1
1371258900,1
1371258960,1
1371259080,1
1371259380,1
1371259740,1
1371260580,2
1371296760,1
1371298980,1
1371299580,1
1371300900,1
1371306720,2
1371307680,1
1371308160,1
1371308460,1
1371308940,1
1371309300,1
1371309540,2
1371309840,1
1371310260,1
1371310320,2
1371312120,1
1371312360,1
1371312660,3
1371312780,1
1371312900,2
1371312960,1
1371313560,1
1371314100,1
1371314220,1
1371317700,1
1371317820,2
1371318120,1
1371318300,1
1371319740,2
1371320340,1
1371321420,1
1371323580,2
1371323700,1
1371323820,1
1371323940,1
1371324660,1
1371325320,1
1371325380,2
1371328320,1
1371329700,1
1371330120,3
1371331140,1
1371331500,3
1371331740,1
1371332280,1
1371332460,1
1371333240,1
1371333540,1
1371333600,1
1371333720,1
1371333900,1
1371333960,1
1371334500,1
1371334620,1
1371335640,2
1371336360,1
1371337920,2
1371339300,3
1371339420,2
1371339720,1
1371340020,1
1371340080,4
1371340140,3
1371340320,1
1371340980,2
1371341340,2
1371342720,3
1371342960,1
1371343200,1
1371352320,1
1371353280,1
1371372480,1
1371388560,1
1371390000,1
1371390600,1
1371392640,1
1371397680,1
1371397740,1
1371400380,1
1371400860,1
1371400980,1
1371401160,1
1371401760,1
1371402000,2
1371402060,1
1371402960,1
1371403020,1
1371403440,1
1371404580,1
1371406800,2
1371407040,1
1371407580,2
1371408660,1
1371409980,1
1371410340,1
1371410580,1
1371411420,1
1371411480,1
1371413100,1
1371413520,1
1371414300,1
1371414900,1
1371415140,1
1371415680,1
1371415980,2
1371417180,1
1371417900,1
1371418320,1
1371419100,1
1371421020,1
1371421800,1
1371422400,1
1371422880,1
1371422940,1
1371423120,1
1371424380,2
1371424800,1
1371425640,1
1371425760,2
1371426240,2
1371426900,1
1371427380,1
1371427800,3
1371428100,1
1371428520,3
1371428820,1
1371431340,1
1371431940,1
1371432240,1
1371433320,1
1371438060,1
1371438240,1
1371444420,1
1371469740,1
1371470580,1
1371473100,1
1371473220,1
1371474840,1
1371475200,1
1371475440,1
1371476400,1
1371476460,1
1371477240,1
1371477720,1
1371477960,1
1371478860,1
1371479040,1
1371479160,1
1371480180,1
1371482160,1
1371484560,1
1371486540,1
1371488460,1
1371488580,1
1371490260,1
1371490560,1
1371493500,1
1371495420,1
1371499080,1
1371500580,1
1371500700,1
1371502140,1
1371502500,1
1371503160,1
1371503580,1
1371504060,1
1371504600,1
1371505200,1
1371505500,1
1371506520,1
1371506820,1
1371506940,1
1371507840,1
1371508080,2
1371508200,1
1371508800,3
1371508920,1
1371509220,1
1371510180,2
1371510540,1
1371510600,1
1371510660,1
1371510780,2
1371510840,2
1371510900,1
1371511320,1
1371511740,3
1371512100,1
1371512520,1
1371513720,2
1371513840,1
1371514200,2
1371514620,2
1371514740,1
1371514800,2
1371515100,1
1371515280,2
1371515340,2
1371515460,1
1371516060,1
1371516780,1
1371516900,1
1371516960,1
1371518640,1
1371520800,1
1371527220,1
1371527580,1
1371528480,1
1371558000,1
1371559620,1
1371560460,1
1371560820,2
1371561060,1
1371561420,1
1371561840,1
1371562080,1
1371562440,1
1371563700,2
1371563760,2
1371563880,6
1371564840,1
1371565680,1
1371566100,1
1371566280,1
1371566940,1
1371567000,1
1371567300,1
1371570600,1
1371571980,1
1371575640,1
1371576600,1
1371576720,1
1371577440,1
1371577800,1
1371578640,1
1371579000,2
1371579300,1
1371579840,2
1371581760,1
1371582240,3
1371583140,1
1371583320,1
1371585240,1
1371585360,1
1371589020,1
1371589500,1
1371590220,1
1371592320,1
1371592380,1
1371594300,1
1371596040,1
1371597600,1
1371600120,1
1371601140,1
1371601200,1
1371603780,1
1371604920,1
1371605880,1
1371606180,1
1371606420,1
1371609540,2
1371610560,1
1371611700,1
1371613380,1
1371614460,1
1371619560,1
1371625740,1
1371639360,1
1371640920,2
1371645780,1
1371646200,1
1371646500,1
1371646980,1
1371647040,1
1371647160,2
1371647640,1
1371647820,1
1371648600,1
1371648660,1
1371648720,1
1371648780,1
1371648840,1
1371649020,1
1371649140,1
1371649440,1
1371649500,1
1371650040,1
1371650760,2
1371650820,1
1371651060,1
1371651180,1
1371651540,2
1371652320,1
1371653400,2
1371653580,2
1371654180,1
1371656340,1
1371658740,1
1371662520,1
1371662640,1
1371662820,2
1371662880,1
1371664800,2
1371665340,1
1371668220,2
1371668400,1
1371669660,2
1371670620,1
1371671940,1
1371672300,1
1371672660,1
1371674460,1
1371674700,1
1371674820,1
1371675120,2
1371675300,1
1371675420,1
1371676740,1
1371677100,1
1371678660,1
1371679260,1
1371679860,3
1371680040,1
1371680460,1
1371680580,1
1371680700,2
1371680760,1
1371681300,1
1371682140,1
1371682260,1
1371682320,2
1371682380,1
1371682740,1
1371682860,3
1371682980,2
1371683700,1
1371684060,1
1371684480,1
1371684600,2
1371685260,1
1371685500,1
1371687780,1
1371687900,2
1371688080,1
1371688920,2
1371690000,2
1371690600,1
1371690660,1
1371690900,1
1371691200,1
1371692640,1
1371694380,1
1371695460,1
1371696600,1
1371702480,1
1371702900,1
1371729000,1
1371730200,1
1371731220,2
1371732660,1
1371732840,1
1371733260,1
1371733800,1
1371734160,1
1371734580,2
1371735000,1
1371735300,1
1371735420,2
1371735480,2
1371735900,1
1371736080,1
1371737340,1
1371737820,1
1371737880,2
1371738960,1
1371739860,1
1371740220,1
1371740940,1
1371741300,1
1371741420,1
1371743340,1
1371743520,2
1371743640,1
1371744360,1
1371745320,1
1371745680,1
1371746160,1
1371749220,1
1371749460,1
1371749520,1
1371753060,1
1371753120,1
1371753420,1
1371754140,1
1371754860,1
1371756540,1
1371756960,1
1371757260,1
1371757440,2
1371757740,1
1371758280,1
1371760140,1
1371760260,1
1371760320,1
1371760860,2
1371762120,1
1371762900,1
1371763020,1
1371763200,1
1371764520,1
1371765420,2
1371766860,4
1371766920,2
1371767100,1
1371767520,1
1371767820,1
1371768540,1
1371769140,1
1371769680,1
1371769740,1
1371769860,1
1371769980,1
1371770160,1
1371770220,3
1371771000,5
1371771180,4
1371771420,1
1371771600,3
1371771840,1
1371772320,1
1371772620,1
1371772680,1
1371772800,1
1371772860,3
1371773160,6
1371774000,1
1371774180,1
1371775200,1
1371775620,1
1371775680,1
1371776520,1
1371776940,1
1371777000,2
1371777120,1
1371778200,1
1371780000,1
1371783300,1
1371814020,1
1371815940,1
1371817440,1
1371817980,1
1371819960,2
1371820680,1
1371820860,2
1371821220,1
1371821460,2
1371822480,2
1371822840,1
1371823320,3
