datetime,arrivals
1371160320,1
1371161160,1
1371162600,1
1371163440,1
1371164340,1
1371164460,1
1371165000,1
1371225960,2
1371234120,1
1371235440,2
1371242100,1
1371242220,1
1371242580,1
1371244320,1
1371246540,1
1371247140,1
1371249240,1
1371249360,1
1371250140,1
1371252900,1
1371254220,1
1371254580,1
1371257340,1
1371258480,1
1371261120,1
1371262500,1
1371264900,1
1371265200,1
1371266940,2
1371267300,1
1371267960,1
1371271440,1
1371282960,1
1371300960,1
1371308580,1
1371310260,1
1371310620,1
1371315900,1
1371317040,2
1371317580,1
1371318600,2
1371319020,1
1371323280,2
1371325080,1
1371325320,1
1371327360,2
1371328620,1
1371328680,3
1371328920,2
1371331080,1
1371331200,1
1371331320,1
1371331380,1
1371333000,1
1371333240,1
1371333420,2
1371334680,1
1371336600,2
1371340680,1
1371341400,2
1371342540,6
1371344400,1
1371345240,1
1371346380,1
1371347220,2
1371351120,2
1371355920,1
1371357900,1
1371361020,1
1371375120,1
1371386220,1
1371387000,1
1371394980,1
1371396120,1
1371399240,1
1371399360,1
1371400620,2
1371401160,2
1371402240,2
1371402480,1
1371402600,2
1371403140,1
1371403560,1
1371406440,1
1371407160,2
1371407340,1
1371407760,1
1371408900,1
1371409260,1
1371410280,1
1371410460,1
1371412080,1
1371415620,1
1371417540,3
1371417600,1
1371418440,1
1371421500,2
1371421560,1
1371422460,1
1371423960,1
1371425220,2
1371427500,1
1371427560,1
1371427620,1
1371427980,1
1371430800,1
1371492000,3
1371493980,1
1371505020,1
1371506820,1
1371507840,1
1371508200,1
1371509220,1
1371510240,1
1371512040,1
1371512520,1
1371512880,1
1371513060,1
1371513840,1
1371514020,2
1371516060,1
1371516420,1
1371516540,1
1371516960,1
1371519960,1
1371525840,2
1371529440,1
1371557100,1
1371562680,1
1371570060,1
1371581400,1
1371582480,1
1371594480,1
1371602820,1
1371609540,1
1371610080,1
1371640080,1
1371652980,1
1371657720,1
1371661380,1
1371662700,1
1371668400,1
1371670500,1
1371672960,1
1371678780,1
1371679140,2
1371679200,1
1371679620,1
1371679680,1
1371680280,1
1371681480,1
1371681900,1
1371683700,1
1371684600,1
1371685080,2
1371686280,1
1371686880,1
1371688140,1
1371689940,1
1371690360,1
1371694080,1
1371697440,1
1371700920,1
1371701280,1
1371727080,1
1371728340,1
1371728640,1
1371729480,1
1371738720,1
1371743760,1
1371743940,1
1371747540,2
1371750060,1
1371751380,1
1371754920,1
1371756120,1
1371759600,1
1371760620,1
1371762600,1
1371764940,2
1371765480,1
1371766020,1
1371768480,1
1371768540,1
1371769260,2
1371769860,1
1371770100,2
1371770820,1
1371772020,3
1371772320,1
1371772440,1
1371773160,2
1371773220,2
1371773280,1
1371773400,1
1371773580,1
1371775620,1
1371776220,1
1371776520,1
1371778380,2
1371780000,1
1371780720,2
1371784140,1
1371787260,1
1371789960,1
1371794940,1
1371820200,1
1371827100,1
1371827340,1
1371831060,1
1371832320,1
1371834240,1
1371835200,1
1371835980,1
1371844860,1
1371844980,1
1371845700,1
1371846300,1
1371846960,1
1371847500,1
1371847740,1
1371847920,1
1371848040,1
1371848100,1
1371848220,1
1371848280,2
1371848460,1
1371849960,2
1371850080,1
1371851820,1
1371853260,3
1371854160,1
1371855540,1
1371855960,2
1371856200,2
1371856320,3
1371859200,1
1371859500,2
1371859920,1
1371860280,1
1371861120,1
1371865980,1
1371868440,2
1371878580,1
1371907860,1
1371910020,1
1371918540,1
1371919440,1
1371919740,1
1371921240,1
1371922980,1
1371923700,1
1371923760,1
1371924000,1
1371925140,1
1371925320,1
1371925680,1
1371934080,2
1371934140,1
1371935880,2
1371936720,1
1371936900,1
1371936960,1
1371937080,1
1371937260,1
1371940320,1
1371940800,2
1371942720,2
1371943200,3
1371943320,1
1371943500,1
1371943560,1
1371943860,2
1371945360,1
1371946560,1
1371946680,1
1371947340,1
1371950280,1
1371964080,1
1371965940,1
1371990600,1
1371993720,1
1371994440,1
1371998640,1
1372004640,1
1372005540,1
1372008420,1
1372008600,2
1372009800,1
1372010040,1
1372011480,1
1372013760,1
1372014300,1
1372017240,2
1372017720,1
1372020180,1
1372022040,1
1372022160,2
1372022340,1
1372023120,2
1372024680,1
1372025040,2
1372026540,2
1372027860,1
1372029780,1
1372030620,1
1372031760,1
1372032840,1
1372034580,1
1372034640,1
1372039800,2
1372053240,2
1372053300,4
1372053420,2
1372053480,2
1372073580,1
1372073640,1
1372079220,1
1372086000,1
1372086120,2
1372091940,1
1372107900,1
1372110660,1
1372113900,1
1372116000,1
1372116660,2
1372121700,1
1372123980,1
1372130640,1
1372133580,1
1372159260,1
1372159440,1
1372161780,1
1372169820,2
1372170600,2
1372172280,1
1372177680,1
1372181280,1
1372193160,1
1372194000,1
1372197660,1
1372198860,1
1372199160,1
1372199580,1
1372201080,1
1372203180,1
1372205700,2
1372206360,2
1372207500,1
1372208880,1
1372210440,1
1372213800,1
1372214700,1
1372216260,1
1372217820,1
1372219500,1
1372222740,1
1372243560,1
1372247220,1
1372248600,1
1372254000,1
1372254120,1
1372254720,1
1372260060,1
1372260600,2
1372260960,1
1372262640,1
1372263600,1
1372263900,1
1372264440,1
1372264620,1
1372270980,1
1372273320,1
1372277040,1
1372277340,1
1372279800,1
1372285020,1
1372285260,1
1372285560,2
1372286580,1
1372287060,1
1372287240,1
1372288800,1
1372289100,1
1372291320,1
1372295760,1
1372296720,1
1372302840,1
1372303980,1
1372305540,1
1372333980,1
1372338780,1
1372339080,1
1372350900,1
1372350960,1
1372359480,1
1372363320,1
1372364760,1
1372370520,1
1372374060,3
1372374180,2
1372375140,1
1372375980,1
1372377780,1
1372382100,1
1372384440,1
1372389360,1
1372397700,1
1372416960,1
1372419180,1
1372419360,1
1372423080,1
1372428660,1
1372429980,2
1372434840,1
1372445100,1
1372450680,1
1372451100,1
1372451940,1
1372455180,2
1372455420,1
1372456440,1
1372456860,1
1372458000,1
1372458180,1
1372458300,1
1372458360,1
1372458900,1
1372459380,2
1372459560,1
1372459620,1
1372459800,2
1372459980,2
1372460400,1
1372460760,1
1372461300,1
1372462740,1
1372463700,1
1372466280,1
1372468800,1
1372469820,1
1372470720,1
1372472280,1
1372478640,2
1372511040,1
1372512240,1
1372513080,1
1372514820,1
1372519020,2
1372519080,1
1372519380,1
1372519620,1
1372524000,1
1372527420,2
1372530600,1
1372531140,1
1372532940,1
1372533240,1
1372533780,2
1372535520,1
1372535640,1
1372537140,2
1372540800,2
1372542060,1
1372548360,2
1372549860,1
1372550940,1
1372556040,1
1372557540,2
1372558440,2
1372563660,1
1372565580,2
1372572300,1
1372599960,1
1372607100,1
1372607280,1
1372608420,1
1372610220,2
1372610520,1
1372614360,1
1372614480,1
1372616340,1
1372617120,2
1372619340,1
1372619520,1
1372619760,1
1372620360,1
1372620420,1
1372621740,2
1372621920,2
1372624800,1
1372628100,2
1372628640,1
1372631820,1
1372632540,1
1372632900,3
1372633380,2
1372634820,2
1372637400,1
1372639560,1
1372639680,2
1372640820,1
1372644300,1
1372645980,1
1372647900,1
1372677120,1
1372680120,1
1372682520,7
1372694460,1
1372694880,2
1372695000,1
1372695120,5
1372695180,2
1372701000,1
1372701180,1
1372703880,1
1372717860,3
1372718100,1
1372718520,1
1372718580,1
1372719540,1
1372720200,1
1372720740,1
