datetime,arrivals
1371160800,1
1371165900,1
1371168420,1
1371175980,1
1371210120,1
1371230820,1
1371236460,1
1371236640,1
1371238140,1
1371242220,1
1371246180,1
1371249000,1
1371251040,1
1371251700,1
1371251760,1
1371254580,1
1371258780,1
1371259620,1
1371259980,1
1371260160,1
1371260460,1
1371264780,1
1371266820,1
1371267180,1
1371270840,1
1371270900,2
1371278580,1
1371301980,1
1371312540,2
1371313680,2
1371314940,1
1371315420,1
1371315600,1
1371316200,1
1371317040,2
1371318000,1
1371319380,1
1371319440,1
1371320100,3
1371320280,1
1371321600,2
1371322680,2
1371323400,1
1371324780,1
1371324900,4
1371325080,1
1371326280,1
1371326760,2
1371327120,1
1371327840,1
1371329040,4
1371331740,2
1371331860,1
1371332100,1
1371333060,1
1371333300,1
1371333540,1
1371333960,2
1371334200,2
1371336120,1
1371337380,1
1371338700,1
1371338880,1
1371338940,1
1371340440,2
1371340500,1
1371342000,1
1371343380,1
1371345780,1
1371347940,2
1371350340,2
1371351360,1
1371354180,1
1371354240,1
1371357900,1
1371361020,1
1371370500,2
1371370740,1
1371375000,1
1371387540,1
1371391320,1
1371395460,3
1371402720,1
1371405960,1
1371408780,2
1371409620,1
1371410160,1
1371413880,1
1371415020,1
1371415980,1
1371417480,1
1371417780,1
1371417840,1
1371418920,1
1371423240,1
1371425160,1
1371426180,2
1371428340,1
1371433320,1
1371433740,1
1371434280,2
1371434340,1
1371439380,1
1371470580,2
1371473580,1
1371492720,1
1371501900,1
1371502140,1
1371505800,2
1371507300,1
1371508680,1
1371512640,1
1371516360,1
1371517500,1
1371518940,3
1371519000,1
1371519060,1
1371519120,1
1371519180,5
1371519240,1
1371519360,2
1371519480,2
1371519900,1
1371519960,1
1371520440,1
1371520800,1
1371523920,1
1371527100,2
1371527820,1
1371527880,1
1371559140,1
1371569400,1
1371579000,1
1371579840,1
1371595800,1
1371601860,1
1371611340,1
1371612300,1
1371613380,1
1371614280,1
1371641880,1
1371648840,1
1371650940,3
1371651180,2
1371651240,2
1371661020,1
1371669540,1
1371681780,1
1371686100,1
1371687480,1
1371688440,1
1371690240,1
1371691320,1
1371691380,1
1371691500,1
1371691620,1
1371691800,1
1371692040,2
1371692220,1
1371692340,2
1371698520,1
1371701580,1
1371707400,1
1371728340,1
1371733800,1
1371736140,1
1371740400,1
1371743340,2
1371751920,1
1371753180,1
1371761640,1
1371763200,1
1371765840,2
1371768480,1
1371768600,1
1371769860,1
1371770040,1
1371770760,1
1371771180,1
1371773220,1
1371774960,1
1371776040,1
1371782400,2
1371784860,1
1371785640,1
1371793500,1
1371823140,1
1371831660,1
1371832920,1
1371837840,2
1371840720,1
1371846060,1
