datetime,arrivals
1371151740,1
1371152100,1
1371154260,1
1371155280,1
1371157080,1
1371157260,1
1371158880,1
1371159360,1
1371160440,1
1371160560,1
1371160740,1
1371162240,1
1371162780,1
1371163860,1
1371163980,1
1371164160,1
1371164280,1
1371165060,1
1371165660,1
1371171480,1
1371171900,1
1371184260,3
1371184320,1
1371184380,4
1371184440,2
1371184800,1
1371205020,1
1371207840,1
1371210840,1
1371211560,1
1371213000,1
1371213900,2
1371214020,1
1371215580,1
1371215640,1
1371215700,2
1371215880,2
1371216000,1
1371216180,2
1371216480,1
1371216600,1
1371217020,1
1371217680,1
1371217980,1
1371218880,1
1371219240,1
1371219540,1
1371219840,1
1371220140,1
1371220260,1
1371220380,1
1371220440,1
1371220980,1
1371221700,1
1371222600,1
1371222660,1
1371222780,1
1371222900,1
1371223200,1
1371223560,1
1371223680,1
1371224400,1
1371224460,1
1371224880,1
1371225180,1
1371226440,1
1371228420,1
1371228540,1
1371228600,1
1371229920,1
1371230280,1
1371231060,1
1371231480,1
1371232920,1
1371234120,1
1371234720,1
1371235620,1
1371235680,1
1371235740,1
1371235980,1
1371236040,1
1371236340,1
1371237480,2
1371237540,1
1371237780,2
1371238620,1
1371238920,1
1371240060,1
1371240420,2
1371240480,1
1371240960,2
1371241080,2
1371241320,1
1371242760,1
1371242940,1
1371243120,2
1371257340,1
1371257400,2
1371257520,3
1371260400,1
1371261360,1
1371262680,1
1371267660,2
1371283080,1
1371293100,1
1371298320,1
1371299760,1
1371303000,1
1371303180,1
1371303240,1
1371303300,1
1371304500,1
1371305640,1
1371305880,1
1371306180,2
1371306360,1
1371307800,1
1371307860,1
1371307980,1
1371308040,1
1371308220,1
1371308700,2
1371309420,1
1371310800,1
1371311280,2
1371311340,1
1371311700,1
1371311820,2
1371312720,1
1371313740,1
1371314340,2
1371314700,1
1371315300,1
1371315900,1
1371316320,2
1371316560,1
1371317220,3
1371317820,1
1371317880,3
1371318600,2
1371318840,1
1371320040,1
1371320100,2
1371320940,1
1371321480,2
1371323340,2
1371323400,2
1371324060,1
1371324240,2
1371324420,2
1371324540,1
1371324660,1
1371324720,1
1371325260,1
1371325320,1
1371326280,1
1371326580,2
1371326640,1
1371326700,1
1371326760,1
1371327000,1
1371327120,1
1371327180,1
1371328020,2
1371328440,1
1371328680,1
1371328920,1
1371329160,1
1371330000,1
1371330480,1
1371330720,4
1371332100,2
1371332160,1
1371332520,1
1371332580,3
1371333120,1
1371334440,1
1371334620,1
1371335040,1
1371335160,2
1371336240,2
1371340980,1
1371342360,1
1371343020,1
1371343320,1
1371345000,1
1371345120,1
1371345300,1
1371348180,1
1371348720,1
1371349680,2
1371355440,2
1371357120,2
1371359640,1
1371367560,3
1371367680,4
1371367740,1
1371367860,2
1371367920,2
1371368040,3
1371368100,2
1371368220,2
1371377580,1
1371385860,1
1371386580,1
1371388800,1
1371389580,1
1371390720,1
1371391200,2
1371391500,2
1371393180,1
1371394080,1
1371394320,1
1371394860,1
1371394980,1
1371395580,2
1371396300,1
1371396600,1
1371396840,1
1371397800,1
1371398280,1
1371398580,1
1371398700,1
1371398760,1
1371399240,1
1371400860,2
1371401940,2
1371402060,2
1371402420,4
1371402780,1
1371402840,3
1371402960,2
1371403380,1
1371404280,1
1371404520,2
1371405120,1
1371406260,1
1371406440,1
1371406500,1
1371407280,2
1371407640,1
1371408240,1
1371409080,1
1371409140,1
1371409260,2
1371409380,1
1371409920,1
1371411420,1
1371411600,2
1371411780,2
1371412440,1
1371412740,1
1371414180,1
1371414780,1
1371415560,1
1371415680,1
1371416220,1
1371416520,2
1371416700,1
1371416940,2
1371417180,6
1371417660,1
1371418140,2
1371418200,1
1371418680,1
1371418860,1
1371419640,1
1371419760,1
1371422640,1
1371423300,1
1371423360,1
1371423780,1
1371424140,1
1371424680,1
1371425160,2
1371425460,1
1371425880,2
1371425940,2
1371426240,3
1371426540,1
1371427620,1
1371428700,1
1371429360,1
1371435300,2
1371471600,1
1371472320,1
1371472440,1
1371473220,2
1371473340,2
1371473580,1
1371473880,8
1371473940,2
1371474060,6
1371474120,2
1371474180,1
1371474420,2
1371474540,1
1371475260,1
1371475800,1
1371476280,1
1371476340,2
1371476400,1
1371476460,1
1371476520,1
1371476640,2
1371476820,2
1371476880,1
1371478680,1
1371479400,1
1371479580,2
1371480720,2
1371481800,1
1371483480,1
1371484380,1
1371484560,1
1371485400,1
1371485820,1
1371486420,1
1371486840,2
1371487080,1
1371487140,1
1371488460,1
1371488940,1
1371489060,1
1371489600,1
1371490080,1
1371490680,1
1371491280,1
1371491340,1
1371491580,2
1371492180,2
1371492480,1
1371493980,1
1371494340,1
1371494880,1
1371495060,1
1371495120,1
1371495480,1
1371496680,1
1371496860,2
1371497040,1
1371497160,1
1371497520,1
1371498600,1
1371500160,1
1371500280,2
1371500340,1
1371501300,1
1371502200,2
1371502320,2
1371502620,1
1371504300,1
1371504840,1
1371505200,1
1371505380,1
1371505740,1
1371506520,1
1371507060,1
1371507300,1
1371507360,1
1371507780,1
1371507840,1
1371508020,1
1371508140,1
1371508980,1
1371509100,1
1371509400,1
1371509520,1
1371510360,1
1371511320,1
1371511680,1
1371512400,1
1371512640,2
1371512940,2
1371513120,1
1371514260,1
1371514500,1
1371514920,1
1371515880,1
1371516420,1
1371517500,1
1371518220,2
1371518280,4
1371518400,2
1371519420,2
1371521040,1
1371522000,1
1371522060,1
1371522420,1
1371525060,2
1371529740,2
1371537180,1
1371537240,2
1371537360,5
1371537420,1
1371537480,2
1371537540,2
1371549780,1
1371550080,1
1371552360,1
1371553260,1
1371553380,1
1371554100,1
1371555780,1
1371556080,1
1371556440,1
1371556740,1
1371557280,1
1371557820,1
1371557940,2
1371558600,1
1371558900,1
1371559020,1
1371559320,1
1371559380,2
1371559440,2
1371559620,1
1371559680,2
1371559800,2
1371559980,1
1371560100,1
1371560580,1
1371560940,1
1371561000,1
1371561060,1
1371561420,1
1371561540,1
1371561720,1
1371561960,1
1371562680,1
1371563340,1
1371563880,1
1371564600,1
1371566760,1
1371566880,1
1371567300,1
1371567720,1
1371568800,1
1371568860,1
1371569040,1
1371569880,1
1371570480,2
1371571320,1
1371571800,1
1371572160,1
1371572820,1
1371573060,1
1371573300,1
1371573480,1
1371573600,1
1371574080,1
1371574680,1
1371575880,1
1371576540,1
1371577200,1
1371578340,1
1371578640,1
1371579120,1
1371579180,1
1371579480,1
1371580200,1
1371580320,1
1371580500,1
1371581400,1
1371582780,1
1371583620,4
1371583740,1
1371583800,1
1371583980,1
1371584760,1
1371584820,1
1371585240,1
1371585360,1
1371585480,1
1371589260,1
1371590160,1
1371591240,2
1371591420,1
1371592560,1
1371593880,1
1371594120,1
1371594420,1
1371594780,1
1371595680,1
1371599040,2
1371604020,1
1371604800,1
1371607440,1
1371609660,1
1371632580,1
1371635040,1
1371636840,1
1371637260,1
1371638580,1
1371640020,1
1371641220,1
1371641880,1
1371642240,2
1371642480,1
1371643560,1
1371643680,1
1371644220,1
1371644580,1
1371644700,1
1371644820,2
1371644880,1
1371645000,2
1371645720,1
1371646080,1
1371646440,1
1371646560,1
1371646860,2
1371646920,1
1371646980,1
1371647040,1
1371647220,1
1371647640,2
1371647700,1
1371648240,2
1371648480,1
1371648540,2
1371648660,1
1371648840,1
1371649140,1
1371649680,2
1371649800,1
1371652800,1
1371653100,1
1371655200,1
1371655440,1
1371655560,1
1371655740,1
1371656460,1
1371656580,1
1371657780,1
1371658860,1
1371660180,1
1371660540,1
1371660960,2
1371661020,1
1371661200,1
1371661620,1
1371661980,1
1371662460,2
1371662820,2
1371663240,1
1371663420,1
1371663480,1
1371663780,1
1371664200,1
1371664260,1
1371664320,1
1371664440,2
1371665520,1
1371665760,1
1371665880,1
1371666660,2
1371667680,1
1371668580,2
1371668820,1
1371668940,1
1371669480,1
1371670560,1
1371670920,1
1371671340,1
1371671580,1
1371672240,1
1371672780,1
1371673560,1
1371674220,3
1371674460,1
1371674520,1
1371674700,1
1371675000,1
1371676020,1
1371676320,1
1371676500,1
1371677100,1
1371677220,1
1371677340,1
1371677580,2
1371677640,1
1371678120,1
1371678240,1
1371678780,1
1371678960,2
1371679020,2
1371679260,3
1371679440,2
1371679680,1
1371679860,1
1371680280,2
1371680880,1
1371681420,2
1371681780,1
1371682260,2
1371682740,1
1371683580,2
1371684240,3
1371684600,1
1371685500,1
1371685860,1
1371688080,1
1371689220,2
1371689280,1
1371689580,2
1371692040,2
1371693000,1
1371693180,1
1371693420,1
1371696180,1
1371697800,1
1371698340,1
1371724860,10
1371725280,3
1371726360,1
1371727080,1
1371727380,1
1371727560,1
1371728040,1
1371728940,1
1371729480,1
1371729660,1
1371729780,1
1371730800,1
1371730980,1
1371731040,1
1371731640,1
1371731700,1
1371731820,1
1371732060,1
1371732180,2
1371732600,2
1371732660,1
1371732720,1
1371732960,5
1371733680,3
1371734040,1
1371734100,4
1371734640,3
1371736080,1
1371736980,1
1371740940,2
1371741240,1
1371743040,1
1371743580,2
1371743940,1
1371745260,1
1371745680,1
1371746160,1
1371746280,1
1371746340,1
1371746460,1
1371747420,2
1371747540,1
1371747840,2
1371747900,1
1371748800,1
1371748860,1
1371749220,2
1371749820,1
1371749880,1
1371749940,2
1371750240,1
1371750720,1
1371751320,1
1371751560,2
1371751740,2
1371751800,1
1371752340,1
1371752760,1
1371752940,1
1371753120,1
1371753540,1
1371753780,1
1371754080,1
1371754860,2
1371754920,1
1371755880,1
1371755940,2
1371756840,1
1371759540,1
1371759780,2
1371760080,3
1371760140,1
1371760680,1
1371761040,1
1371761820,1
1371762060,1
1371763920,4
1371763980,1
1371764520,2
1371765000,1
1371765540,1
1371766260,1
1371767400,4
1371767520,2
1371767880,1
1371769020,1
1371769140,2
1371769860,2
1371769980,1
1371770520,1
1371771960,1
1371772980,1
1371773100,1
1371774480,1
1371775980,1
1371777120,1
1371777420,2
1371779280,1
1371779640,2
1371779880,1
1371780720,1
1371809940,1
1371812100,1
1371812760,1
1371812820,1
1371814260,1
1371814620,1
1371814920,2
1371815100,1
1371815700,3
1371816900,2
1371817500,1
1371817620,1
1371817800,1
1371818100,1
1371818220,1
1371818400,2
1371818520,1
1371819960,11
1371820080,3
1371820260,1
1371820500,1
1371821100,2
1371821160,1
1371821220,2
1371821400,1
1371821460,1
1371821580,1
1371821640,1
1371822480,1
1371822720,1
1371822780,1
1371822960,1
1371823140,2
1371824280,1
1371824520,1
1371824580,1
1371825000,1
1371826560,1
1371826620,1
1371826800,1
1371826920,1
1371827100,1
1371827340,1
1371827880,1
1371828240,1
1371828840,1
1371829440,1
1371829860,1
1371830640,1
1371831600,1
1371831840,2
1371832320,1
1371832740,1
1371833400,1
1371834240,1
1371834900,1
1371835440,1
1371837000,2
1371837480,1
1371837540,1
1371837660,1
1371837840,2
1371838200,1
1371838380,3
1371838440,2
1371839040,1
1371841020,2
1371841560,1
1371841740,2
1371842700,1
1371843060,1
1371843120,1
1371843300,1
1371843360,1
1371843660,1
1371844860,1
1371844920,1
1371845520,5
1371846120,2
1371846960,1
1371847140,1
1371847500,1
1371848040,2
1371849900,1
1371850140,1
1371850620,1
1371850920,1
1371853380,1
1371853440,1
1371854160,1
1371854880,1
1371856080,2
1371856740,2
1371858120,1
1371858660,3
1371859680,1
1371859920,1
1371860820,1
1371863340,1
1371863400,1
1371864000,1
1371864180,1
1371864720,1
1371868620,1
1371869520,1
1371869940,2
1371873420,2
1371873660,1
1371874380,1
1371880860,1
1371893400,7
1371898380,1
1371901680,1
1371902340,1
1371902760,1
1371903480,1
1371903780,1
1371906840,1
1371908040,1
1371908280,1
1371908940,1
1371909600,2
1371910920,1
1371911640,1
1371911700,1
1371912240,1
1371913140,1
1371913920,1
1371914280,2
1371914640,1
1371914880,2
1371914940,1
1371915900,4
1371916500,1
1371916740,4
1371917040,1
1371917220,1
1371919500,1
1371919680,1
1371919740,1
1371920220,1
1371920400,2
1371921000,1
1371921180,1
1371921420,2
1371921480,1
