datetime,arrivals
1371151080,1
1371151140,1
1371151800,1
1371152700,1
1371152880,1
1371153600,1
1371153660,1
1371157140,1
1371157500,1
1371159240,1
1371161700,1
1371164220,1
1371164460,2
1371165900,3
1371171000,2
1371171060,3
1371192360,2
1371192420,1
1371192480,2
1371192540,2
1371192600,2
1371192720,1
1371192780,1
1371200940,1
1371207720,1
1371208860,1
1371211740,1
1371211800,1
1371211920,2
1371213000,1
1371213660,1
1371213900,1
1371213960,1
1371214380,1
1371214440,1
1371214920,1
1371215580,1
1371215880,1
1371216240,1
1371216480,1
1371216660,1
1371216720,1
1371216900,1
1371217200,1
1371217800,1
1371220620,1
1371222180,1
1371222300,1
1371222480,1
1371222960,1
1371223140,1
1371224820,1
1371227640,1
1371229140,1
1371229380,1
1371230520,1
1371231060,1
1371231240,1
1371231480,1
1371233100,1
1371233220,1
1371234720,1
1371235800,1
1371236340,1
1371237360,1
1371237540,1
1371239160,1
1371239280,1
1371240240,1
1371241260,1
1371241800,1
1371242760,1
1371242880,1
1371244140,1
1371244260,1
1371244320,1
1371244560,1
1371244620,1
1371246900,1
1371247140,2
1371248640,1
1371252360,2
1371254880,1
1371259260,2
1371260760,1
1371260880,1
1371264900,2
1371264960,1
1371265080,6
1371265200,2
1371265260,2
1371265560,1
1371268320,2
1371272280,1
1371284940,1
1371295020,1
1371295740,1
1371298560,1
1371299820,1
1371301860,1
1371304620,1
1371305340,1
1371309420,2
1371309600,1
1371310260,1
1371311040,1
1371311100,2
1371311160,1
1371311460,1
1371311940,1
1371312900,1
1371313140,2
1371313380,3
1371315000,2
1371315180,1
1371315420,1
1371317520,1
1371317640,1
1371317700,2
1371318480,1
1371318540,1
1371319380,1
1371319980,1
1371320820,1
1371322500,1
1371322680,1
1371324060,3
1371324240,1
1371326340,2
1371326460,1
1371326700,1
1371326760,1
1371327060,1
1371328200,1
1371328500,1
1371329940,1
1371330180,1
1371330600,1
1371331320,2
1371331920,3
1371332100,2
1371334080,1
1371334140,1
1371334440,1
1371344760,8
1371344940,1
1371345300,2
1371345840,1
1371348120,1
1371348600,1
1371352140,1
1371352200,1
1371352560,1
1371353280,2
1371355320,2
1371356160,1
1371357180,1
1371357960,1
1371358260,1
1371359580,1
1371359640,2
1371359700,1
1371363660,1
1371363720,1
1371364140,1
1371367020,1
1371367080,1
1371367740,1
1371367860,2
1371374040,1
1371378360,2
1371380880,4
1371381240,2
1371388140,1
1371390780,1
1371398040,2
1371400620,1
1371400740,2
1371401640,1
1371402600,1
1371402780,1
1371402840,7
1371402960,1
1371404580,2
1371405000,2
1371405120,1
1371407160,1
1371408420,2
1371409740,2
1371409800,1
1371410100,1
1371410340,1
1371411720,1
1371412440,1
1371413640,1
1371414000,1
1371415200,2
1371417540,2
1371419280,1
1371420180,1
1371420540,1
1371420780,1
1371420900,1
1371422640,2
1371422700,1
1371422820,1
1371423840,3
1371425100,2
1371427620,1
1371429120,1
1371432240,1
1371432300,1
1371432420,3
1371434340,1
1371434400,4
1371435480,1
1371441000,1
1371444240,1
1371444660,1
1371444720,1
1371459720,1
1371464760,1
1371464940,1
1371467580,1
1371468180,1
1371470220,1
1371470460,1
1371471720,1
1371472320,1
1371472680,2
1371473760,1
1371474180,1
1371474300,1
1371474960,1
1371475680,1
1371475800,1
1371476700,1
1371477240,1
1371477300,3
1371477420,6
1371477480,1
1371477840,1
1371478380,2
1371479160,1
1371482580,1
1371483120,1
1371484260,1
1371485040,1
1371485160,1
1371486420,1
1371487560,2
1371488100,1
1371488700,1
1371488820,1
1371490560,1
1371490860,1
1371491760,1
1371492180,1
1371492480,1
1371492900,2
1371493860,1
1371494880,1
1371496080,1
1371496860,1
1371499320,1
1371501660,1
1371501780,2
1371502200,1
1371506940,1
1371507360,2
1371507660,1
1371508020,1
