datetime,arrivals
1371150660,1
1371157260,1
1371159000,1
1371159780,1
1371214980,1
1371215340,1
1371225060,1
1371229920,1
1371230760,2
1371230820,1
1371231060,1
1371234300,1
1371234360,1
1371237300,1
1371244260,1
1371251520,1
1371265080,1
1371274560,2
1371274680,1
1371303420,2
1371305040,1
1371310440,1
1371310560,1
1371313680,2
1371320460,3
1371320940,1
1371321420,2
1371321960,1
1371322080,2
1371323760,2
1371324540,1
1371324660,1
1371324900,1
1371325080,2
1371326640,1
1371326700,2
1371328260,2
1371329520,2
1371329640,1
1371330000,2
1371331380,1
1371331620,1
1371333060,2
1371333720,2
1371335880,1
1371336720,1
1371337440,2
1371344760,2
1371385500,4
1371392040,1
1371394920,1
1371394980,1
1371396480,1
1371396540,1
1371399180,1
1371399240,1
1371400260,5
1371401640,1
1371405420,2
1371405960,3
1371408900,2
1371409380,2
1371410220,1
1371410280,1
1371410820,2
1371412440,1
1371413040,1
1371415560,3
1371416700,1
1371416820,2
1371418260,1
1371418320,1
1371421020,2
1371433320,3
1371433440,1
1371472260,1
1371482940,1
1371483300,1
1371489540,2
1371493140,1
1371493260,1
1371493440,1
1371493680,3
1371494520,1
1371496560,2
1371500160,1
1371503340,1
1371508020,1
1371510960,1
1371516840,2
1371526440,1
1371526500,1
1371526560,2
1371526680,3
1371526860,1
1371568080,1
1371568200,1
1371571440,1
1371574080,1
1371574320,2
1371574860,1
1371575880,1
1371576000,1
1371585060,1
1371585900,1
1371592020,1
1371592080,1
1371646800,1
1371651060,1
1371652860,2
1371653340,1
1371653700,1
1371654300,1
1371655560,1
1371657300,1
1371657780,1
1371658080,2
1371658260,1
1371662820,1
1371662880,1
1371663060,1
1371663480,1
1371664260,2
1371669420,1
1371670560,2
1371674520,1
1371677160,1
1371678960,1
1371680280,1
1371681600,1
1371682860,1
1371683100,1
1371683580,1
1371691320,1
1371692340,2
1371693060,1
1371696900,1
1371732960,1
1371736440,1
1371737040,1
1371739080,1
1371739680,1
1371740820,1
1371741060,1
1371741300,1
1371741960,1
1371742140,1
1371744300,1
1371746640,1
1371749040,1
1371749940,1
1371750840,1
1371751680,2
1371752580,1
1371753240,1
1371754860,1
1371754920,1
1371755100,1
1371758820,2
1371759840,1
1371761040,2
1371761340,1
1371764940,1
1371768480,1
1371769860,1
1371769920,1
1371771360,1
1371776640,1
1371779400,2
1371779880,1
1371783960,2
1371790380,3
1371820020,1
1371823680,1
1371824040,1
1371825540,1
1371825600,1
1371825660,2
1371828900,1
1371828960,1
1371832320,2
1371836220,1
1371836280,2
1371839520,2
1371839640,1
1371844680,3
1371844740,2
1371848040,1
1371851820,2
1371874140,2
1371912660,2
1371913740,1
1371914640,1
1371917100,1
1371919140,1
1371920640,2
1371920820,2
1371921180,1
1371921240,1
1371923280,2
1371924360,1
1371925140,3
1371928020,1
1371928140,1
1371928380,1
1371928440,3
1371928500,1
1371929880,3
1371930540,2
1371932700,2
1371934440,1
1371936600,1
1371937080,1
1371937140,1
1371937260,3
1371937320,1
1371938460,4
1371940680,2
1371940980,1
1371945360,1
1371951420,2
1371953640,1
1371959220,1
1371966720,1
1371969480,1
1371992220,2
1372001340,1
1372001580,1
1372002060,1
1372002120,1
1372003380,2
1372003500,1
1372006440,1
1372007040,1
1372008600,1
1372010160,1
1372010760,3
1372011420,1
1372011600,1
1372011660,1
1372011720,1
1372012440,1
1372012740,1
1372012860,1
1372014300,1
1372019640,1
1372020840,1
1372021920,1
1372023120,1
1372023240,1
1372023960,1
1372027260,1
1372027860,1
1372029180,1
1372031820,2
1372044720,2
1372044780,4
1372044840,3
1372044960,3
1372045020,2
1372077360,1
1372078080,1
1372078680,1
1372079460,1
1372080300,1
1372082280,1
1372083720,1
1372084620,1
1372086960,1
1372089000,1
1372090080,1
1372090800,1
1372092000,2
1372095720,2
1372096860,1
1372099020,2
1372099080,2
1372102680,1
1372105740,1
1372110900,2
1372113180,1
1372114500,1
1372114680,1
