datetime,arrivals
1371151680,1
1371154680,1
1371156720,1
1371157860,1
1371161160,4
1371165240,1
1371217020,1
1371223380,1
1371296280,6
1371349320,1
1371350640,1
1371375000,1
1371402960,1
1371403020,1
1371403320,1
1371404580,1
1371404820,1
1371405240,3
1371405360,1
1371406260,1
1371406800,3
1371406860,1
1371407280,1
1371408360,3
1371408660,1
1371409620,1
1371414960,3
1371415800,2
1371418680,3
1371420600,2
1371423900,2
1371424500,2
1371425160,1
1371426360,3
1371426480,1
1371426540,2
1371426660,2
1371427620,2
1371429780,1
1371430080,1
1371431040,1
1371431100,1
1371473760,1
1371483300,2
1371491880,2
1371492060,1
1371495060,1
1371495240,1
1371495900,1
1371495960,1
1371500100,1
1371501960,1
1371513240,1
1371514680,2
1371514920,1
1371516060,1
1371516120,1
1371517500,5
1371523620,1
1371523680,1
1371523920,1
1371535440,3
1371557100,2
1371560460,1
1371565860,1
1371571080,2
1371574920,2
1371575880,3
1371576000,2
1371579180,1
1371579300,1
1371584760,1
1371590220,1
1371599460,1
1371609540,1
1371610320,1
1371646560,1
1371646740,1
1371648120,1
1371653880,2
1371666000,1
1371671160,2
1371673080,2
1371673980,1
1371675240,2
1371679500,2
1371680460,1
1371680520,4
1371681120,1
1371683040,1
1371683400,2
1371684240,1
1371686160,1
1371686280,4
1371686460,1
1371687900,2
1371688020,1
1371689460,4
1371690000,2
1371690120,1
1371693960,1
1371726540,1
1371732060,1
1371732960,2
1371734880,1
1371745020,1
1371745080,1
1371745200,1
1371747240,1
1371748860,1
1371749040,2
1371753360,2
1371754380,2
1371755340,1
1371760200,1
1371760260,1
1371763260,1
1371764640,1
1371765480,1
1371766440,2
1371767280,3
1371767880,1
1371768000,1
1371768480,1
1371769440,2
1371769680,2
1371770040,1
1371770100,1
1371772020,2
1371774000,1
1371774180,1
1371774240,1
1371774960,1
1371775020,1
1371776520,1
1371783840,2
1371787620,1
1371788820,1
1371789240,2
1371790800,1
1371791160,1
1371791460,1
1371800580,1
1371802800,2
1371804120,1
1371813480,1
1371813780,2
1371820500,1
1371821460,1
1371822720,1
1371825000,1
1371828660,1
1371834900,2
1371844260,1
1371844620,1
1371850860,1
1371850980,1
1371853260,1
1371854340,1
1371854400,1
1371866760,1
1371869160,1
1371892440,1
1371892500,1
1371892560,1
1371892620,1
1371892680,1
1371892740,1
1371893400,1
1371893460,1
1371897060,1
1371898920,1
1371904860,1
1371908040,1
1371908160,1
1371912420,1
1371913980,1
1371914520,1
1371914640,1
1371914820,1
1371915420,4
1371918120,2
1371919740,2
1371920340,2
1371920820,1
1371922200,1
1371924540,1
1371924720,1
1371924900,1
1371924960,1
1371925800,1
1371925980,1
1371927240,1
1371927300,1
1371928020,1
1371928380,1
1371930300,1
1371930420,2
1371930720,1
1371931200,1
1371931620,1
1371931680,1
1371931860,1
1371932460,1
1371933180,1
1371934680,1
1371934860,1
1371935280,1
1371936000,1
1371936060,1
1371938160,3
1371938940,1
1371939060,1
1371939360,1
1371939960,1
1371940680,1
1371940800,1
1371945720,1
1371946020,1
1371947100,1
1371948240,2
1371948360,3
1371948720,1
1371949080,1
1371979860,1
1371987840,1
1371987960,1
1371998880,1
1372000320,1
1372000380,1
1372001460,2
1372002300,1
1372002360,1
1372002960,1
1372003680,1
1372004400,2
1372005660,1
1372006140,2
1372006980,1
1372007100,3
1372007280,1
1372008240,1
1372011960,2
1372014780,1
1372014840,2
1372017240,3
1372018020,1
1372018380,1
1372019700,1
1372020180,1
1372021020,1
1372022580,1
1372022880,4
1372023120,2
1372023540,1
1372023780,1
1372023840,1
1372025280,3
1372025520,2
1372027560,3
1372028040,1
1372028940,1
1372029540,2
1372030500,5
1372030620,3
1372031040,1
1372031220,2
1372031520,2
1372033380,1
1372033920,1
1372034340,2
1372034460,2
1372035480,1
1372035600,1
1372037340,1
1372037520,1
1372041420,1
1372045260,1
1372045320,1
1372048920,1
1372076160,1
1372076460,1
1372080060,1
1372081080,1
1372083120,1
1372084860,2
1372086240,1
1372087500,2
1372087740,2
1372087920,1
1372090620,1
1372097220,1
1372097520,1
1372098900,1
1372099020,1
1372105020,1
1372109640,1
1372109820,2
1372114140,1
1372117020,2
1372120200,1
1372120260,1
1372120740,2
1372120920,1
1372125000,1
1372126140,1
1372126200,1
1372137120,1
1372161840,1
1372164480,1
1372173660,1
1372174020,1
1372177680,2
1372178760,1
1372181760,1
1372183020,1
1372186800,1
1372187460,1
1372195380,1
1372195440,1
1372198860,3
1372198980,3
1372199040,5
1372199160,1
1372199220,5
1372199280,2
1372199400,1
1372203240,1
1372203600,1
1372211640,1
1372212420,2
1372250580,1
1372253820,1
1372254120,1
1372255320,1
1372256700,1
1372262760,1
1372262820,1
1372263900,2
1372273860,1
1372274400,1
1372274520,1
1372279860,1
1372282500,1
1372283940,1
1372284120,1
1372284240,1
1372290480,2
1372291020,1
1372293720,3
1372294020,1
1372294080,1
1372296420,1
1372299840,1
1372303380,1
1372304400,5
1372304520,1
1372335120,2
1372335780,1
1372335900,1
1372343940,1
1372344060,2
1372345920,1
1372351260,1
1372358640,1
1372361520,1
1372362660,1
1372370520,2
1372370580,1
1372370820,1
1372371000,1
1372376160,1
1372378740,1
1372380300,1
1372425360,1
1372425780,1
1372426560,1
1372429440,1
1372430640,1
1372431360,1
1372436820,2
1372439520,2
1372440420,1
1372440720,1
1372443900,1
1372445520,1
1372447260,1
1372450020,2
1372450860,1
1372451760,1
1372452600,1
1372452900,1
1372459620,2
1372460640,1
1372460760,1
1372461360,2
1372462020,1
1372473720,1
1372483380,1
1372508460,1
1372511160,1
1372511520,1
1372513620,2
1372518120,1
1372518660,2
1372520940,1
1372522560,1
1372523820,2
1372525800,2
1372525920,3
1372526220,1
1372526820,5
1372530540,1
1372533600,2
1372537380,1
1372541340,1
1372542480,1
1372542840,1
1372543800,1
1372548660,1
1372548720,1
1372552980,1
1372553820,1
1372574160,2
1372595700,2
1372597080,1
1372599180,2
1372603440,2
1372613160,2
1372614120,1
1372617120,1
1372618140,3
1372618260,2
1372619520,1
1372620540,1
1372624740,1
1372625760,1
1372626060,1
1372626180,2
1372626420,3
1372626600,2
1372626720,2
1372629600,2
1372630260,1
1372630560,2
1372630680,2
1372632720,1
1372633020,1
1372633800,2
1372636860,1
1372638180,2
1372640220,1
1372645860,3
1372648140,1
1372682520,1
1372689180,1
1372718280,1
1372720980,1
1372721460,1
1372726440,1
1372735500,2
1372745640,2
1372775280,1
1372785180,1
1372785420,1
1372788060,1
1372788420,1
1372788600,2
1372791480,1
1372795320,1
1372795680,1
1372801740,2
1372807380,1
1372817760,1
1372818120,1
1372829040,2
1372864080,1
1372864200,1
1372864260,2
1372864380,2
1372864500,2
1372864860,7
1372867020,3
1372868820,4
1372869360,3
1372869720,1
1372870080,1
1372870440,1
1372871460,1
1372874280,1
1372876620,1
1372876920,2
1372879860,1
1372882380,2
1372886700,1
1372889760,1
1372890480,1
1372891080,1
1372899240,1
1372912260,2
1372916760,2
1372927080,2
1372936200,2
1372944300,1
1372947240,1
1372949580,1
1372949640,3
1372952580,1
1372952640,1
1372954200,1
1372954260,1
1372956660,1
1372959000,2
1372959480,1
1372959540,1
1372962540,1
1372964760,1
1372964820,1
1372965420,2
1372965660,2
1372967520,3
1372968360,1
1372968660,1
1372968780,1
1372971780,2
1372971900,1
1372974300,1
1372974420,1
1372974480,1
1372975860,2
1372976580,1
1372976940,1
1372977540,1
1372978620,3
1372978860,1
1372979400,1
1372982640,1
1372982700,1
1372982940,2
1372983480,2
1372993020,2
1372993080,2
1373001000,2
1373013000,3
1373024460,1
1373027460,1
1373033580,1
1373036220,1
1373036520,1
1373038320,1
1373039940,2
1373040120,2
1373040180,1
1373040780,2
1373041140,1
1373041380,1
1373044560,2
1373045460,1
1373045820,2
1373045880,1
1373046000,1
1373046240,1
1373046780,1
1373047020,2
1373051700,3
1373051820,1
1373052120,2
1373053920,3
1373062140,1
1373062260,1
1373063340,2
1373063520,1
1373065980,1
1373066640,2
1373067780,2
1373068800,1
1373068860,1
1373069220,2
1373070120,2
1373073240,1
1373077380,1
1373077500,1
1373077800,2
1373078220,1
1373078460,3
1373079960,1
1373080080,1
1373083200,1
1373083260,1
1373084940,4
1373089560,4
1373114580,1
1373119620,1
1373124840,2
1373125200,1
1373125320,2
1373125860,1
1373127780,2
1373128440,3
1373129040,1
1373129220,2
1373129760,2
1373130420,1
1373130720,2
1373131200,1
1373131860,2
1373142180,1
1373143860,2
1373146320,1
1373147160,2
1373164860,1
1373168520,1
1373170740,1
1373197260,1
1373198940,1
1373206020,1
1373208000,1
1373209440,1
1373209620,1
1373217720,1
1373218380,2
1373219700,2
1373219820,1
1373220420,1
1373220540,1
1373220780,1
1373221020,1
1373221260,2
1373222520,2
1373222880,3
1373223420,1
1373224320,1
1373228400,3
1373229900,2
1373230260,4
1373231220,2
1373231280,1
1373231580,1
1373237520,1
1373238360,2
1373239320,1
1373239800,2
1373243400,2
1373245320,1
1373249100,2
1373253060,3
1373255640,2
1373300700,1
1373317860,1
1373318280,1
1373330100,1
1373330280,1
1373330340,2
1373330880,5
1373331540,1
1373334600,1
1373335320,1
1373345940,2
1373368620,1
1373371020,1
1373371080,3
1373371320,2
1373371800,1
1373377560,1
1373386980,1
1373388120,1
1373389560,1
1373389980,1
1373390400,2
1373392260,2
1373393280,1
1373395860,1
1373405460,1
1373405640,1
1373406960,1
1373407980,1
1373410080,2
1373410860,2
1373411580,2
1373411820,1
1373414820,1
1373419680,1
1373460240,1
1373463120,1
1373471820,1
1373473380,1
1373480640,2
1373482500,1
1373483220,1
1373483340,2
1373483460,2
1373488200,2
1373488980,3
1373490720,1
1373491320,1
1373492220,1
1373497080,3
1373499120,1
1373501580,1
1373501700,1
1373503680,1
1373506020,1
1373511120,2
1373514300,2
1373515680,3
1373545860,1
1373549280,1
1373550600,1
1373554020,1
1373558700,1
1373566140,1
1373569680,2
1373573760,1
1373576460,3
1373579160,2
1373580900,1
1373584620,1
1373585580,1
1373589600,1
1373594640,1
1373595600,1
1373600940,1
1373633400,1
1373636880,1
1373637120,1
1373637420,1
1373637780,2
1373639520,1
1373642340,3
1373644440,1
1373655840,1
1373677500,5
1373694900,1
1373701080,1
1373715240,1
1373717220,1
1373717520,1
1373723340,2
1373728380,2
1373728560,1
1373734080,2
1373734260,1
1373736540,2
1373737080,2
1373737140,3
1373737260,1
1373737380,1
1373738400,1
1373739120,3
1373742000,4
1373742120,2
1373745000,3
1373745660,1
1373746140,1
1373746620,2
1373747880,4
1373748960,2
1373750400,1
1373750880,2
1373750940,1
1373752200,1
1373752260,1
1373754000,2
1373755140,1
1373755740,1
1373755800,1
1373755920,1
1373758740,2
1373760000,1
1373760180,4
1373760780,1
1373761020,1
1373762760,1
1373813760,1
1373818440,1
1373818680,1
1373821380,2
1373822160,1
1373822580,1
1373823780,1
1373824140,2
1373824620,1
1373825940,1
1373827860,1
1373828700,1
1373832600,2
1373834760,1
1373834940,1
1373835180,1
1373836560,1
1373837280,2
1373837760,2
1373839380,2
1373840040,2
1373841900,2
1373842260,1
1373842980,4
1373845680,2
1373845980,1
1373846100,1
1373846400,2
1373847180,2
1373847900,2
1373850720,2
1373852220,1
1373854200,1
1373854560,2
1373854620,2
1373854980,1
1373860980,1
1373893800,1
1373893920,1
1373894520,1
1373895600,1
1373897100,1
1373906160,2
1373908920,1
1373909100,1
1373909400,1
1373909520,1
1373909760,1
1373914020,1
1373915640,2
1373918340,1
1373924040,1
1373924760,2
1373926200,1
1373927100,1
1373928720,1
1373929380,1
1373938200,1
1373938320,1
1373940540,1
1373949420,2
1373976780,1
1373980920,1
1373981220,1
1373983080,1
1373983380,1
1373984760,1
1373985240,1
1373987100,2
1373988240,2
1373990400,3
1373990520,1
1373994000,1
1373998620,1
1373998920,1
1373998980,1
1373999160,1
1374008340,2
1374010140,1
1374011340,1
1374012960,1
1374014220,1
1374015720,1
1374017640,1
1374017820,1
1374021840,1
1374021960,1
1374024420,1
1374037560,1
1374063360,1
1374066780,1
1374068340,1
1374068460,2
1374069600,1
1374071100,1
1374072660,1
1374076560,1
1374079740,1
1374083580,1
1374088320,1
1374095940,1
1374096540,1
1374098460,1
1374099300,1
1374101520,1
1374101580,1
1374101700,1
1374102960,1
1374104880,1
1374106980,1
1374109980,3
1374119820,4
1374120000,3
1374120120,4
1374155820,1
1374157260,1
1374158220,1
1374162960,2
1374165360,2
1374170700,1
1374173220,2
1374173400,2
1374174360,1
1374174720,2
1374175260,1
1374176520,1
1374178260,1
1374178860,1
1374197580,2
1374199740,1
1374199860,1
1374212640,3
1374226800,1
1374226920,2
1374227040,3
1374227160,2
1374231780,1
1374253080,1
1374257580,1
1374259560,1
1374263820,1
1374276420,1
1374276600,4
1374278220,2
1374280500,1
1374281760,1
1374282060,1
1374285900,1
1374290160,1
1374312300,1
1374317280,1
1374326100,1
1374326940,2
1374328500,1
1374330780,1
1374333480,1
1374334620,1
1374335940,2
1374337140,1
1374337500,2
1374339240,2
1374339960,1
1374340020,1
1374340560,1
1374345780,2
1374346860,1
1374347220,1
1374347400,1
1374347580,1
1374348960,1
1374350460,2
1374351360,1
1374351420,1
1374351840,1
1374351900,2
1374359340,4
1374361620,2
1374362220,1
1374362880,2
1374363480,2
1374364500,2
1374364560,1
1374364920,1
1374368640,2
1374369540,2
1374369900,2
1374372480,3
1374372540,1
1374372720,3
1374377880,1
1374408300,1
1374409560,1
1374414060,2
1374417480,1
1374417660,1
1374420660,1
1374421200,1
1374422400,2
1374424200,2
1374430080,2
1374432360,1
1374432600,1
1374432840,3
1374433260,1
1374433920,1
1374433980,1
1374435840,2
1374436740,3
1374436800,2
1374441120,2
1374444180,1
1374444660,1
1374446100,1
1374446160,1
1374447120,1
1374449100,2
1374450720,2
1374453180,1
1374457260,1
1374465720,1
1374483060,1
1374483360,1
1374496320,1
1374496560,1
1374500340,1
1374500520,1
1374503460,1
