datetime,arrivals
1371152880,2
1371153420,1
1371153840,1
1371153900,1
1371154140,1
1371154260,1
1371155700,1
1371157500,1
1371158220,1
1371159480,2
1371159780,1
1371160320,1
1371162420,1
1371162540,1
1371162600,1
1371162660,1
1371163560,1
1371163740,1
1371163800,1
1371163860,1
1371164160,1
1371164400,1
1371165480,3
1371166500,1
1371204780,1
1371205320,1
1371206520,1
1371211980,1
1371213540,1
1371213960,1
1371216060,2
1371216600,1
1371217020,2
1371218460,1
1371219480,1
1371219540,1
1371219600,1
1371219720,1
1371220020,2
1371221100,1
1371224940,1
1371225120,1
1371225300,1
1371225780,6
1371226740,1
1371227400,2
1371227880,1
1371228000,2
1371228600,1
1371228900,1
1371228960,5
1371229380,1
1371229860,3
1371229980,1
1371230040,6
1371230280,2
1371230520,1
1371230940,2
1371232080,1
1371232260,1
1371232740,2
1371234120,3
1371234300,1
1371234600,1
1371234840,3
1371234900,1
1371236460,3
1371236700,1
1371236760,1
1371236940,1
1371237000,3
1371237060,1
1371237540,1
1371237660,1
1371238140,1
1371238560,2
1371238800,2
1371239400,2
1371239640,2
1371240180,2
1371240420,2
1371240660,1
1371240780,2
1371241080,2
1371241260,1
1371241620,5
1371241860,2
1371242760,1
1371243420,2
1371243480,2
1371243720,1
1371243780,2
1371243840,2
1371244020,1
1371244620,1
1371244680,3
1371244800,1
1371244860,4
1371245100,2
1371245160,1
1371246300,1
1371246780,1
1371247500,1
1371247980,2
1371248640,1
1371249480,1
1371250920,1
1371251880,1
1371253500,1
1371253680,3
1371253980,1
1371254100,3
1371254400,1
1371254520,1
1371254580,1
1371255720,1
1371256020,1
1371256860,1
1371258360,1
1371258540,1
1371258660,2
1371260280,1
1371261360,1
1371261600,1
1371261720,1
1371263340,2
1371263760,1
1371264960,1
1371265920,1
1371265980,1
1371266460,1
1371266520,1
1371268320,1
1371272580,1
1371274140,1
1371275280,1
1371277500,1
1371282240,1
1371294840,1
1371296820,2
1371297960,1
1371298080,1
1371298320,2
1371299760,1
1371299880,1
1371300120,2
1371300420,1
1371301080,1
1371301800,1
1371303000,2
1371303180,3
1371303240,1
1371303300,1
1371303600,1
1371303960,1
1371304020,1
1371304200,1
1371304260,1
1371304740,2
1371304860,1
