datetime,arrivals
1371151260,1
1371152340,1
1371152940,1
1371153660,1
1371155580,1
1371156240,2
1371157320,1
1371158340,1
1371158880,2
1371158940,1
1371159240,1
1371161940,1
1371162000,1
1371162900,1
1371163020,1
1371163320,2
1371163380,1
1371163560,2
1371164040,1
1371164640,1
1371165660,1
1371170640,1
1371170760,1
1371211980,1
1371212400,1
1371213660,1
1371214860,2
1371216000,1
1371221040,1
1371221160,1
1371222000,1
1371222300,1
1371223980,1
1371224160,1
1371224820,1
1371225240,1
1371225660,1
1371227400,1
1371228000,1
1371229200,1
1371230520,1
1371230580,2
1371231360,1
1371231720,1
1371232140,2
1371232440,2
1371232620,2
1371232860,2
1371232980,1
1371233100,1
1371233520,1
1371234480,1
1371234840,2
1371235260,3
1371235320,3
1371235560,1
1371236640,1
1371236700,1
1371237660,1
1371238260,2
1371238440,1
1371239760,2
1371240480,1
1371240540,2
1371240600,2
1371241080,1
1371241500,1
1371242580,1
1371242880,1
1371243060,1
1371243420,1
1371244140,1
1371244740,1
1371244920,2
1371245160,2
1371245880,1
1371248460,1
1371248640,1
1371249240,1
1371249660,2
1371250080,1
1371250140,2
1371250500,1
1371251400,2
1371251460,1
1371253740,2
1371253860,2
1371254040,1
1371254220,1
1371254280,1
1371254880,5
1371255180,2
1371255720,2
1371256020,1
1371256740,1
1371256800,1
1371257520,1
1371258660,1
1371258720,1
1371258960,1
1371267360,1
1371267960,2
1371268560,1
1371276360,3
1371276420,4
1371276480,1
1371276600,5
1371295200,1
1371298260,1
1371299820,1
1371302580,2
1371303420,1
1371304200,1
1371305580,2
1371306360,1
1371306480,1
1371306540,1
1371307680,1
1371309000,1
1371309600,1
1371309660,1
1371310740,2
1371311100,1
1371311820,1
1371312360,1
1371312420,1
1371312660,2
1371312720,2
1371313260,2
1371313380,1
1371313980,4
1371314340,2
1371314700,1
1371314820,2
1371315000,1
1371315300,2
1371315420,4
1371315900,1
1371316620,2
1371316740,3
1371317220,2
1371317520,1
1371317640,1
1371317820,1
1371318060,1
1371318120,1
1371318480,2
1371318960,1
1371319740,2
1371320340,2
1371320460,1
1371321240,3
1371321300,2
1371321540,2
1371321960,2
1371322080,1
1371322260,1
1371322800,2
1371323100,1
1371323940,3
1371324000,2
1371324180,5
1371324240,1
1371324720,5
1371325080,1
1371325320,1
1371325740,1
1371325800,1
1371325860,2
1371326160,1
1371326220,2
1371326580,1
1371327000,5
1371327060,1
1371327120,1
1371327420,1
1371327480,1
1371328200,2
1371328440,2
1371328500,1
1371329040,1
1371329220,2
1371329340,2
1371329400,2
1371329640,1
1371330480,1
1371330960,1
1371331440,2
1371332520,1
1371333060,1
1371333420,1
1371334500,2
1371334860,2
1371335160,2
1371336240,2
1371336720,1
1371336960,2
1371337260,1
1371337620,1
1371337860,1
1371338100,1
1371338520,2
1371338700,1
1371339180,1
1371339360,1
1371339540,1
1371340020,2
1371342420,1
1371343140,1
1371343500,1
1371343740,1
1371343980,1
1371345180,1
1371345780,1
1371349320,2
1371349440,1
1371349620,1
1371349800,3
1371350940,1
1371351120,1
1371351300,1
1371351660,2
1371351720,2
1371351900,1
1371355440,1
1371356640,1
1371358380,2
1371360600,3
1371362040,2
1371363300,1
1371364020,4
1371364380,2
1371364500,1
1371367140,1
1371367500,2
1371367680,2
1371386520,1
1371387660,1
1371388860,1
1371389160,2
1371390780,2
1371394860,2
1371396960,1
1371397020,1
1371397440,3
1371397860,1
1371399960,1
1371400080,2
1371400200,2
1371401040,1
1371401820,1
1371402240,1
1371402720,1
1371402960,1
1371403320,1
1371404400,2
1371404700,1
1371404820,1
1371405960,2
1371406680,1
1371406800,1
1371407340,1
1371407580,1
1371407940,1
1371408600,2
1371409140,1
1371409920,2
1371410100,1
1371410340,2
1371410580,1
1371411000,3
1371411240,2
1371411300,3
1371411480,1
1371411600,2
1371411900,3
1371412260,1
1371412380,1
1371413160,1
1371413460,1
1371413760,1
1371413880,1
1371414060,2
1371414120,1
1371414360,2
1371415380,1
1371416280,1
1371416400,1
1371416520,1
1371416700,1
1371416940,1
1371417540,2
1371417780,1
1371418860,1
1371418920,1
1371419040,3
1371419580,1
1371419820,1
1371419880,2
1371420240,2
1371420540,3
1371420780,1
1371421140,6
1371422460,2
1371422520,1
1371422880,2
1371423240,2
1371423480,4
1371423540,2
1371424080,1
1371424440,2
1371425100,1
1371426900,2
1371427500,3
1371427920,1
1371427980,2
1371429540,5
1371429900,1
1371430200,1
1371431040,2
1371431700,6
1371431940,2
1371433500,1
1371433620,1
1371434940,4
1371436260,2
1371436620,1
1371439800,1
1371439860,2
1371445620,2
1371465120,2
1371465660,1
1371468360,1
1371469200,1
1371471000,2
1371472800,1
1371473160,2
1371473640,2
1371474240,2
1371475440,1
1371475560,1
1371476220,1
1371476400,1
1371477480,1
1371479040,1
1371479280,1
1371480060,2
1371480540,1
1371480720,1
1371480840,3
1371481320,1
1371482280,1
1371483180,1
1371484260,1
1371484380,1
1371484560,4
1371485940,1
1371486240,2
1371486600,1
1371486660,1
1371487260,1
1371487680,1
1371488400,2
1371488640,1
1371488940,2
1371489060,1
1371489120,2
1371490380,2
1371490980,1
1371491340,2
1371491580,1
1371491760,3
1371492480,1
1371492960,1
1371494760,1
1371495060,1
1371496140,1
1371496260,3
1371496680,1
1371497100,1
1371498840,1
1371499200,3
1371499980,1
1371501000,1
1371502200,1
1371503460,1
1371505380,1
1371505920,1
1371506040,1
1371507060,2
1371507120,1
1371507420,1
1371507600,1
1371508080,1
1371508440,1
1371508860,2
1371509100,1
1371509220,1
1371510480,2
1371511500,1
1371511740,1
1371511800,1
1371511980,1
1371512040,4
1371512220,2
1371512880,1
1371513120,1
1371514980,2
1371515100,2
1371516300,2
1371516420,3
1371516480,2
1371516540,2
1371516720,1
1371517800,1
1371519120,1
1371519180,2
1371522240,3
1371522420,1
1371522720,1
1371524880,1
1371524940,1
1371528660,3
1371533880,3
1371537240,2
1371549540,1
1371551280,1
1371552480,1
1371553140,2
1371555360,1
1371559080,1
1371560460,1
1371560760,1
1371560820,1
1371560940,1
1371561180,1
1371561300,3
1371561720,1
1371561840,1
1371562080,1
1371562140,1
1371562320,1
1371565080,1
1371565320,1
1371566460,2
1371568020,1
1371568080,1
1371569460,2
1371569640,1
1371570960,1
1371571200,2
1371571320,3
1371571380,2
1371571980,1
1371573360,1
1371573420,1
1371573720,2
1371573960,2
1371574440,2
1371575400,2
1371575880,1
1371576000,1
1371576060,3
1371576420,1
1371576840,1
1371578040,2
1371578460,1
1371578580,1
1371578640,3
1371579480,2
1371579660,3
1371579840,4
1371580380,2
1371581520,1
1371582720,1
1371583380,1
1371583680,1
1371585420,1
1371585780,2
1371585900,1
1371586260,1
1371587640,2
1371588480,1
1371588960,1
1371589320,1
1371589740,1
1371591120,1
1371594600,1
1371594840,1
1371597480,1
1371600600,1
1371610440,1
1371617580,2
1371637920,1
1371638280,1
1371640380,1
1371640500,1
1371641340,1
1371641640,1
1371643500,1
1371644040,1
1371644640,1
1371645480,1
1371646320,1
1371646740,1
1371648120,1
1371648480,2
1371648600,1
1371649500,1
1371651060,1
1371651180,1
1371651840,1
1371652320,2
1371653220,1
1371653580,3
1371654540,1
1371654900,1
1371655140,1
1371655860,1
1371656460,1
1371657060,1
1371658020,1
1371658740,1
1371658860,1
1371659280,1
1371659520,1
1371659580,1
1371659640,1
1371660300,1
1371660840,2
1371661320,3
1371661620,1
1371662220,1
1371662700,1
1371663000,2
1371663300,1
1371663420,2
1371664860,1
1371664980,3
1371665220,1
1371665820,2
1371665880,1
1371667200,1
1371668640,1
1371668940,1
1371669000,1
1371669120,3
1371670860,4
1371671100,1
1371671820,1
1371672720,1
1371673080,2
1371673380,2
1371675480,1
1371676320,1
1371676560,1
1371676860,2
1371677160,1
1371677220,1
1371677340,2
1371677700,1
1371678780,1
1371679380,1
1371679680,1
1371679980,2
1371680700,1
1371680880,1
1371681180,2
1371681960,1
1371682380,1
1371682740,2
1371682860,1
1371683100,1
1371683580,2
1371684600,1
1371684900,1
1371685080,1
1371685500,1
1371685740,3
1371686100,2
1371686280,1
1371686340,1
1371693120,1
1371693960,2
1371694860,1
1371694980,1
1371695280,1
1371698280,1
1371708660,1
1371727380,2
1371728520,1
1371728880,1
1371729000,1
1371729060,1
1371732960,2
1371733080,1
1371733320,1
1371734340,2
1371734580,1
1371734940,1
1371735060,1
1371735180,1
1371736260,1
1371736440,1
1371737040,1
1371737340,1
1371738300,1
1371738480,2
1371739080,1
1371739140,1
1371739320,1
1371739380,2
1371739560,1
1371741240,2
1371741660,1
1371741840,1
1371742020,1
1371742140,2
1371742620,1
1371745320,4
1371746460,3
1371746640,2
1371747540,2
1371747840,1
1371748560,1
1371748740,1
1371749040,2
1371749820,1
1371749880,1
1371750120,1
1371750240,1
1371750600,2
1371750720,1
1371751680,3
1371751740,8
1371751800,2
1371752580,1
1371752640,1
1371752760,1
1371753060,1
1371753420,1
1371754080,1
1371754500,1
1371755280,2
1371755640,4
1371756120,1
1371756300,1
1371756720,1
1371758580,1
1371758640,1
1371759360,2
1371759660,1
1371760320,3
1371760620,2
1371761040,1
1371761760,1
1371762240,1
1371762420,4
1371763200,2
1371764400,1
1371765000,1
1371766080,2
1371766500,1
1371766860,1
1371767280,1
1371767880,1
1371768120,3
1371768660,1
1371769260,1
1371769680,1
1371770040,1
1371770520,1
1371770760,1
1371770880,1
1371771360,1
1371771540,2
1371772140,1
1371772620,1
1371772680,1
1371773460,2
1371774000,2
1371774180,1
1371774240,2
1371775200,1
1371775680,2
1371777060,1
1371777360,1
1371778500,2
1371778560,1
1371780480,1
1371780720,3
1371781140,1
1371781320,2
1371782760,1
1371783120,1
1371785400,1
1371789000,2
1371789120,1
1371791100,1
1371791160,1
1371792240,2
1371801720,2
1371808920,1
1371810600,1
1371812220,1
1371812700,1
1371813720,1
1371815580,1
1371816480,1
1371817140,1
1371817620,1
1371818580,1
1371820620,1
1371822780,1
1371823140,1
1371824640,1
1371825780,1
1371826440,1
1371826620,1
1371828060,1
1371828120,1
1371828180,1
1371828240,3
1371828300,1
1371828360,3
1371828660,1
1371829860,1
1371830700,1
1371831240,2
1371831780,1
1371832740,2
1371833640,2
1371833820,1
1371834960,2
1371835200,2
1371835380,1
1371835920,4
1371837060,1
1371837420,2
1371838080,1
1371838440,1
1371838740,2
1371838860,1
1371839160,2
1371839940,1
1371840180,1
1371840420,2
1371840480,2
1371840660,3
1371841140,3
1371841980,2
1371842460,2
1371842700,1
1371844020,1
1371844380,1
1371844440,1
1371844680,1
1371845520,2
1371845640,1
1371845820,1
1371846120,1
1371846240,1
1371847020,1
1371847200,1
1371847920,1
1371848460,1
1371849120,1
1371849480,2
1371849540,1
1371849660,1
1371849720,1
1371850080,2
1371851820,1
1371853260,7
1371853740,5
1371854100,2
1371854160,1
1371854280,1
1371854700,1
1371854880,4
1371855120,3
1371855660,1
1371856080,1
1371856500,1
1371857040,1
1371857160,2
1371857640,1
1371857820,1
1371858660,3
1371860040,1
1371860100,1
1371860460,1
1371861180,1
1371861420,1
1371861480,1
1371861600,1
1371861660,1
1371861720,2
1371862020,1
1371862680,1
1371863400,1
1371863640,1
1371863700,1
1371864120,2
1371864180,1
1371864600,2
1371865200,1
1371865320,1
1371866160,1
1371866340,1
1371867240,2
1371867540,2
1371867660,2
1371869880,1
1371871560,2
1371872400,1
1371872580,1
1371872700,1
1371876300,1
1371876540,2
1371877980,1
1371880080,3
1371900240,1
1371905520,1
1371906720,1
1371907080,1
1371909060,1
1371910620,1
1371910920,1
1371911220,1
1371911400,3
1371913080,1
1371914820,2
1371914880,1
1371915540,1
1371915720,3
1371916440,1
1371917100,1
1371917460,1
1371917700,4
1371918060,1
1371918120,2
1371919140,3
1371919200,3
1371920400,1
1371921060,3
1371921240,1
1371921540,2
1371921600,1
1371921780,3
1371921900,1
1371921960,1
1371922260,1
1371923160,2
1371923280,6
1371923460,3
1371923520,1
1371923580,1
1371923940,1
1371924360,2
1371924600,1
1371924720,2
1371924840,3
1371925500,2
1371925980,1
1371926040,1
1371926400,3
1371926640,3
1371927240,4
1371927300,3
1371927900,2
1371928200,3
1371928260,3
1371928440,4
1371928500,1
1371928560,2
1371929100,3
1371929220,2
1371929580,2
1371929760,2
1371930240,3
1371931020,1
