datetime,arrivals
1371151260,1
1371153660,1
1371154680,2
1371155220,1
1371155520,1
1371156300,1
1371157260,1
1371157620,1
1371158760,1
1371158940,1
1371159180,1
1371159420,1
1371159660,1
1371159720,1
1371159960,1
1371160380,1
1371160500,1
1371160980,1
1371161040,1
1371161340,1
1371161820,1
1371162240,2
1371162600,1
1371162660,1
1371162720,2
1371162780,1
1371163560,1
1371163680,1
1371163800,1
1371164040,1
1371165540,1
1371167040,1
1371169800,1
1371173100,1
1371178500,1
1371179880,1
1371206400,1
1371210360,1
1371211260,1
1371214020,1
1371215100,1
1371216180,1
1371219360,1
1371219540,4
1371219600,2
1371219720,3
1371219840,2
1371220200,1
1371221460,1
1371221760,1
1371221820,1
1371224820,1
1371224880,1
1371225060,1
1371227100,1
1371228300,2
1371228600,1
1371228960,2
1371229020,2
1371229080,1
1371230280,1
1371230400,1
1371231780,1
1371232440,2
1371232680,1
1371233220,1
1371233820,1
1371234180,1
1371234300,1
1371234540,1
1371235380,1
1371235980,1
1371236700,1
1371237060,1
1371238620,1
1371239160,1
1371239880,1
1371241080,1
1371241800,1
1371242100,1
1371242460,1
1371242880,1
1371243060,1
1371243120,2
1371243420,3
1371243780,1
1371243840,3
1371243960,1
1371244260,1
1371244380,1
1371244440,1
1371244680,1
1371244860,1
1371245160,2
1371245280,1
1371246000,1
1371246060,1
1371246360,1
1371247380,1
1371247620,1
1371247800,2
1371247980,2
1371248220,1
1371248280,1
1371248700,1
1371248880,1
1371249000,1
1371249900,1
1371249960,1
1371250920,1
1371251160,1
1371251340,1
1371252000,1
1371252780,1
1371252840,1
1371253440,2
1371253500,2
1371253860,1
1371254340,1
1371254400,1
1371254880,1
1371254940,3
1371255060,1
1371255720,1
1371256380,1
1371257400,1
1371257640,2
1371257700,2
1371258540,1
1371258660,1
1371258960,1
1371261540,1
1371263340,1
1371266940,1
1371270180,1
1371271620,1
1371273000,1
1371274140,1
1371275040,1
1371276180,1
1371276600,2
1371296520,2
1371302220,2
1371303240,1
1371304980,2
1371305340,1
1371306180,1
1371306240,1
1371306540,1
1371307200,1
1371308160,1
1371308700,2
1371308940,5
1371309540,1
1371310140,1
1371310440,1
1371310740,2
1371311040,1
1371312360,2
1371312720,1
1371313500,1
1371314280,3
1371314520,3
1371314880,1
1371315000,1
1371315240,2
1371315720,4
1371316560,1
1371317040,1
1371317400,1
1371317700,2
1371318000,3
1371318300,2
1371318840,1
1371319020,1
1371319320,2
1371319380,1
1371319680,1
1371319920,1
1371320460,1
1371320580,1
1371320700,1
1371320820,1
1371321600,1
1371321720,4
1371321840,1
1371321900,1
1371322140,1
1371323280,2
1371323820,2
1371324060,2
1371324480,2
1371324660,1
1371324720,1
1371324900,2
1371325140,1
1371325320,1
1371325500,2
1371325860,1
1371326100,1
1371326460,2
1371326580,2
1371326700,2
1371327060,1
1371327120,2
1371327180,1
1371327480,1
1371327600,1
1371327720,2
1371327900,1
1371328080,1
1371328200,2
1371328320,1
1371328920,2
1371328980,1
1371329100,2
1371329340,1
1371329520,2
1371334500,2
1371334800,4
1371334860,1
1371335040,1
1371335760,3
1371336000,1
1371336120,2
1371336360,3
1371336780,1
1371336900,2
1371337140,1
1371337260,4
1371337620,3
1371337680,2
1371337740,1
1371337860,2
1371338100,1
1371338280,1
1371338400,1
1371338520,2
1371339120,3
1371339240,1
1371340200,1
1371341340,2
1371341400,1
1371343440,1
1371343680,1
1371344280,2
1371344580,2
1371344640,1
1371344820,1
1371345060,1
1371345360,2
1371345420,2
1371345900,1
1371346200,1
1371346320,3
1371346440,1
1371346560,1
1371346980,1
1371347520,2
1371348720,3
1371349080,1
1371351660,1
1371351720,1
1371353040,3
1371353160,2
1371354480,1
1371355440,1
1371356100,1
1371356520,1
1371356640,2
1371357540,1
1371358080,2
1371358560,1
1371358680,1
1371359160,1
1371359520,1
1371360600,1
1371361500,3
1371361620,1
1371364980,2
1371368460,1
1371383880,1
1371390180,1
1371390360,1
1371390600,2
1371392460,1
1371393180,4
1371393780,1
1371394860,1
1371396420,2
1371396480,1
1371397800,1
1371398100,1
1371398280,1
1371398760,1
1371398940,1
1371399000,1
1371399900,1
1371399960,1
1371400320,1
1371400500,1
1371400620,1
1371400740,2
1371400860,1
1371401040,1
1371401640,1
1371401760,1
1371402420,2
1371403020,3
1371403200,1
1371403380,1
1371403560,1
1371404040,1
1371404400,1
1371405600,1
1371405720,1
1371405780,1
1371406260,2
1371406800,1
1371406860,1
1371407340,6
1371407580,3
1371407640,1
1371407700,2
1371407940,2
1371408360,2
1371408660,2
1371408780,1
1371408900,2
1371409980,3
1371410280,1
1371410520,1
1371411000,1
1371411300,1
1371412080,2
1371412200,1
1371412440,2
1371413520,2
1371413880,1
1371414660,1
1371414840,1
1371415020,2
1371415140,2
1371415200,1
1371415800,1
1371416040,1
1371417060,1
1371417360,1
1371417660,3
1371418740,1
1371419100,1
1371419280,1
1371419640,2
1371419820,1
1371419880,1
1371420060,1
1371420240,1
1371420540,1
1371420600,1
1371420780,1
1371420840,1
1371420960,1
1371421020,3
1371421260,2
1371421320,1
1371422100,1
1371423000,1
1371423360,1
1371423420,1
1371424500,3
1371424680,2
1371424920,1
1371425040,1
1371425400,1
1371425760,2
1371425940,1
1371426060,1
1371426540,1
1371426600,2
1371428580,1
1371428700,1
1371429060,4
1371429240,1
1371429600,1
1371430140,1
1371430200,2
1371430320,1
1371430680,1
1371430800,1
1371430920,2
1371431700,1
1371433440,1
1371433500,1
1371434040,1
1371435180,1
1371435300,1
1371435480,1
1371436140,1
1371436920,1
1371437040,1
1371439740,1
1371443760,1
1371468720,1
1371469920,1
1371470040,1
1371471540,2
1371471960,1
1371472440,1
1371473760,1
1371473820,1
1371474300,1
1371477060,2
1371477480,1
1371477840,1
1371479040,1
1371479520,1
1371481260,1
1371482340,1
1371483060,1
1371484560,1
1371487080,1
1371487140,1
1371487320,2
1371488040,1
1371489540,1
1371491640,1
1371492000,1
1371492720,1
1371492900,1
1371493500,1
1371494040,1
1371494220,1
1371495660,1
1371496260,2
1371496380,1
1371496920,3
1371497040,1
1371499380,1
1371500400,1
1371500760,1
1371501960,1
1371502260,1
1371502380,1
1371502740,1
1371503280,2
1371503340,1
1371503460,1
1371503820,1
1371504060,1
1371504420,3
1371505260,1
1371505380,2
1371505620,2
1371505680,1
1371506640,3
1371506820,2
1371506940,2
1371507060,1
1371507420,2
1371507600,2
1371507660,1
1371507840,1
1371508020,1
1371508080,1
1371508200,1
1371508620,3
1371508680,1
1371509400,1
1371509580,1
1371509760,1
1371511080,1
1371511200,1
1371511740,1
1371512400,2
1371512520,1
1371512940,1
1371513240,1
1371513480,1
1371513540,1
1371514260,1
1371514380,1
1371515700,2
1371516420,1
1371516660,1
1371517080,1
1371517140,1
1371518280,1
1371522000,1
1371523140,1
1371524580,1
1371525840,1
1371528060,1
1371530820,1
1371532740,1
1371533160,1
1371540300,1
1371554700,1
1371555780,1
1371556560,1
1371558600,1
1371559020,1
1371559920,1
1371560160,1
1371561360,2
1371561420,5
1371561540,3
1371561660,1
1371561840,2
1371562260,1
1371562560,2
1371563340,2
1371563460,1
1371565860,1
1371566280,1
1371566340,1
1371566760,1
1371567840,2
1371568380,1
1371570180,1
1371571260,1
1371571320,1
1371571560,2
1371572100,2
1371572160,1
1371572400,1
1371574200,1
1371575580,1
1371575880,1
1371576120,2
1371576900,1
1371576960,1
1371577140,1
1371577680,1
1371577800,1
1371577980,1
1371578160,1
1371578220,1
1371578700,1
1371579180,1
1371581040,1
1371581160,1
1371582240,1
1371583260,1
1371583440,1
1371583500,1
1371584160,1
1371585420,2
1371586500,2
1371586740,1
1371587220,1
1371588540,1
1371590640,1
1371591360,2
1371591780,1
1371592620,3
1371593040,1
1371595140,2
1371596040,2
1371597600,1
1371598380,1
1371598680,1
1371599160,1
1371600300,1
1371600360,1
1371600960,1
1371603360,1
1371604560,1
1371604920,1
1371605340,1
1371606120,1
1371606420,1
1371606960,1
1371607440,2
1371609540,3
1371611880,1
1371616620,1
1371617760,1
1371624000,1
1371624420,1
1371627480,1
1371638040,1
1371640740,1
1371642180,4
1371642240,1
1371643560,2
1371643680,1
1371644880,1
1371645900,1
1371645960,1
1371646440,3
1371647820,1
1371648120,1
1371650640,1
1371653700,1
1371654240,1
1371655440,1
1371655860,1
1371656460,1
1371656520,1
1371657720,1
1371658260,1
1371658440,1
1371658620,2
1371659160,1
1371660000,1
1371660840,1
1371661020,2
1371661440,1
1371662460,1
1371662520,1
1371663660,1
1371664140,2
1371664320,2
1371665280,1
1371665340,1
1371666480,1
1371666780,1
1371668580,1
1371669240,1
1371669480,1
1371670560,1
1371670800,3
1371670860,1
1371671040,1
1371671640,1
1371671940,2
1371672180,1
1371672240,1
1371672480,1
1371672900,1
1371674160,1
1371674820,1
1371675120,1
1371675240,1
1371675540,1
1371675900,1
1371676020,1
1371676320,1
1371676500,1
1371676860,3
1371677160,1
1371677580,1
1371678120,2
1371678240,2
1371678480,2
1371678660,2
1371678840,2
1371679140,1
1371679260,1
1371679440,1
1371679500,1
1371679680,1
1371679740,2
1371680040,1
1371680100,1
1371680400,1
1371680760,1
1371681300,2
1371681480,1
1371681600,1
1371681720,1
1371681900,1
1371682560,1
1371682620,1
1371682740,1
1371683220,1
1371683580,1
1371683700,1
1371684180,1
1371684240,1
1371685140,1
1371685260,1
1371685560,1
1371685860,1
1371686160,1
1371686340,2
1371686460,1
1371686880,1
1371687180,1
1371687720,2
1371687780,1
1371688140,1
1371688440,3
1371689040,2
1371689100,1
1371689400,2
1371689460,1
1371689580,1
1371690240,1
1371691080,1
1371693300,1
1371694620,1
1371695340,1
1371696480,1
1371697200,1
1371698640,1
1371703680,1
1371705960,1
1371725640,1
1371726360,1
1371726540,1
1371727260,1
1371728040,1
1371729240,2
1371730740,1
1371731100,1
1371732300,2
1371732780,2
1371733860,1
1371734280,1
1371734340,2
1371736080,1
1371737880,1
1371738360,1
1371738660,1
1371739140,1
1371740640,1
1371741420,1
1371742200,1
1371744000,1
1371745200,1
1371745380,2
1371745500,1
1371746160,1
1371746700,2
1371747660,1
1371747840,1
1371749580,1
1371749640,1
1371749700,1
1371750360,1
1371751140,2
1371751920,1
1371752820,1
1371753720,1
1371753900,1
1371754080,1
1371754560,1
1371755160,1
1371756240,1
1371756480,1
1371757380,1
1371757500,1
1371757740,1
1371759060,1
1371759120,1
1371759180,1
1371760020,1
1371760140,1
1371760200,1
1371760320,1
1371761940,1
1371762300,1
1371762900,1
1371763200,1
1371763920,2
1371764100,1
1371764280,2
1371764400,2
1371764940,2
1371765600,1
1371765720,1
1371765840,5
1371765960,3
1371766020,1
1371766320,1
1371766500,1
1371767880,1
1371768120,1
1371768540,1
1371768960,1
1371770040,2
1371770460,1
1371771000,1
1371771180,1
1371771300,1
1371771420,2
1371771720,1
1371771960,1
1371772500,1
1371772680,1
1371772740,1
1371773040,1
1371773220,2
1371773460,1
1371774000,1
1371774660,1
1371774780,1
1371775080,3
1371775320,1
1371775560,1
1371775980,1
1371776220,1
1371776640,1
1371777060,2
1371777480,2
1371779280,1
1371779640,1
1371779820,1
1371780180,1
1371780300,1
1371780480,1
1371780600,1
1371780840,1
1371781140,1
1371782820,1
1371783480,1
1371783540,1
1371786060,1
1371786720,1
1371787800,1
1371788820,1
1371789600,1
1371809340,1
1371811440,1
1371814620,1
1371815400,1
1371816900,1
1371818580,1
1371820080,1
1371820380,1
1371821100,1
1371821460,1
1371821640,2
1371823140,1
1371823440,1
1371823560,3
1371823620,2
1371824520,1
1371824760,2
1371825420,1
1371825840,1
1371825960,1
