datetime,arrivals
1371157260,1
1371157620,1
1371161760,1
1371163380,1
1371164940,1
1371165300,1
1371213660,2
1371214200,1
1371214380,2
1371215760,1
1371216180,1
1371217500,1
1371222780,1
1371224340,1
1371226080,1
1371226440,1
1371228540,1
1371229200,1
1371229560,1
1371232440,1
1371233640,1
1371237360,1
1371238440,1
1371241440,1
1371250080,1
1371250920,1
1371252780,1
1371252840,1
1371255900,1
1371256020,1
1371256380,1
1371257940,1
1371259740,1
1371263580,1
1371268560,1
1371305220,1
1371306180,1
1371307380,1
1371311820,1
1371312000,1
1371313140,1
1371314040,1
1371317040,1
1371317700,1
1371317880,1
1371319440,1
1371320460,2
1371320760,4
1371326340,1
1371329400,1
1371330060,2
1371331140,1
1371331200,1
1371334440,1
1371336540,1
1371337380,1
1371342060,1
1371343380,1
1371343920,2
1371345180,1
1371345420,1
1371345540,1
1371346200,1
1371346560,1
1371347340,1
1371347400,1
1371347880,2
1371348900,1
1371349740,1
1371352560,3
1371356820,1
1371358680,2
1371359760,1
1371360000,2
1371381300,1
1371385380,1
1371394980,2
1371395460,1
1371396840,1
1371398280,2
1371399240,2
1371399480,1
1371405480,1
1371406320,1
1371406980,1
1371407220,1
1371411420,1
1371411780,1
1371413640,1
1371414780,1
1371420840,1
1371421800,1
1371422640,1
1371426720,2
1371427080,1
1371427380,1
1371427500,1
1371429060,2
1371432060,1
1371432300,1
1371433080,2
1371433620,2
1371438120,1
1371439080,1
1371444480,1
1371445320,1
1371469800,1
1371471180,1
1371472020,1
1371472980,1
1371474300,1
1371475140,1
1371475380,1
1371476580,1
1371479940,1
1371480120,1
1371480240,1
1371480720,1
1371480960,1
1371482040,1
1371484020,1
1371486360,3
1371486420,1
1371492060,1
1371493680,1
1371494340,1
1371495240,1
1371499560,1
1371500160,2
1371502320,2
1371504900,2
1371505380,3
1371505800,1
1371509700,1
1371511620,1
1371512220,2
1371512280,1
1371513600,1
1371513840,1
1371516240,1
1371516300,1
1371516960,1
1371518460,1
1371518640,1
1371525000,1
1371526980,1
1371528060,2
1371528480,1
1371538560,1
1371553380,1
1371556200,1
1371557460,1
1371557820,1
1371559980,1
1371560280,1
1371560820,1
1371561300,2
1371561660,1
1371562140,1
1371562440,1
1371562560,1
1371563460,1
1371572280,1
1371573360,1
1371574980,2
1371575220,1
1371577800,1
1371579840,1
1371579900,1
1371583020,1
1371584400,1
1371589500,1
1371592380,1
1371598680,1
1371605400,1
1371609540,1
1371610200,1
1371616560,1
1371636000,1
1371639600,1
1371640020,1
1371644580,1
1371646080,1
1371646740,2
1371646860,2
1371647100,1
1371647940,2
1371648240,1
1371648300,1
1371650160,1
1371650580,1
