datetime,arrivals
1371153840,1
1371162120,1
1371228900,2
1371228960,1
1371235560,1
1371251220,1
1371253200,1
1371264720,1
1371309960,1
1371325740,1
1371325980,1
1371327060,1
1371342420,4
1371350820,1
1371350880,2
1371404640,1
1371407460,1
1371410760,1
1371422640,1
1371430020,1
1371496740,1
1371499380,1
1371509160,1
1371509700,1
1371511320,1
1371561840,1
1371593760,1
1371593880,1
1371593940,1
1371594000,4
1371594060,3
1371602700,1
1371606720,1
1371652800,1
1371678540,1
1371680580,1
1371680880,1
1371681780,1
1371687720,1
1371689760,1
1371690960,1
1371698220,1
1371756240,1
1371762600,1
1371765960,1
1371766020,1
1371769980,1
1371771780,1
1371777000,1
1371780060,1
1371787800,1
1371796080,1
1371826200,2
1371835080,1
1371839520,1
1371846840,1
1371847200,1
1371857640,1
1371859200,1
1371859440,1
1371876660,1
1371880200,3
1371880380,2
1371914220,2
1371934440,1
1371934560,1
1371942720,1
1371957900,1
1372001340,2
1372013640,1
1372015140,1
1372031280,1
1372047480,1
1372048920,1
1372089000,1
1372099260,1
1372105740,1
1372110360,1
1372112640,1
1372112880,1
1372113180,1
1372114500,1
1372115640,1
1372115880,1
1372169820,1
1372195800,1
1372196040,1
1372200120,1
1372201920,1
1372202040,1
1372202820,1
1372211220,1
1372214820,1
1372216800,1
1372217160,1
1372217400,1
1372218480,1
1372218540,1
1372261920,2
1372271520,1
1372285560,1
1372286160,1
1372286580,1
1372289220,1
1372291620,1
1372291920,1
1372293300,2
1372294020,1
1372296180,1
1372297140,1
1372300320,1
1372309980,1
1372344900,1
1372347180,1
1372347780,1
1372360320,1
1372374060,2
1372374180,1
1372374720,1
1372375140,1
1372376040,1
1372379280,1
1372391460,1
1372391520,1
1372392780,1
1372397220,1
1372401060,1
1372409700,1
1372428840,2
1372435620,1
1372443840,1
1372458660,1
1372461060,1
1372462260,1
1372462620,1
1372476660,1
1372522800,1
1372525320,1
1372526100,1
1372532700,1
1372554120,1
1372579800,1
1372629120,1
1372629180,1
1372639140,1
1372639560,1
1372640880,2
1372662420,1
1372702260,1
1372704720,1
1372721940,1
1372725060,1
1372732500,1
1372768800,2
1372768860,1
1372768980,1
1372769100,1
1372773720,5
1372789440,1
1372799280,1
1372801440,1
1372807620,1
1372808580,1
1372810140,2
1372810560,1
1372815540,1
1372820820,1
1372823280,1
1372852500,2
1372852620,1
1372885560,1
1372886400,1
1372890540,1
1372905840,1
1372908180,1
1372951800,1
1372975680,1
1372977120,1
1372978320,2
1372978620,1
1372993140,1
1373001840,1
1373044920,1
1373065500,1
1373065920,1
1373066040,1
1373100900,1
1373123280,1
1373123460,2
1373123580,1
1373145360,1
1373178360,1
1373178540,1
1373217600,1
1373217720,1
1373218080,1
1373225880,1
1373232120,1
1373232660,1
1373238720,1
1373251860,1
1373251920,1
1373319720,1
1373327340,14
1373332680,1
1373373480,1
1373402280,1
1373405640,1
1373411520,1
1373412120,1
1373412720,1
1373414280,1
1373414340,1
1373415300,1
1373419860,1
1373420640,1
1373422800,1
1373448060,1
1373478060,1
1373478180,1
1373493060,1
1373493660,1
1373497080,2
1373498220,1
1373503320,2
1373504820,1
1373507940,1
1373508480,1
1373514180,1
1373514420,1
1373545260,1
1373552460,2
1373552580,2
1373552700,2
1373561460,1
1373575140,2
1373576460,1
1373578980,1
1373580900,1
1373589900,1
1373592900,1
1373597940,1
1373599920,1
1373600400,1
1373600520,1
1373604180,1
1373606820,1
1373611740,2
1373612640,1
1373640660,1
1373640900,1
1373647080,1
1373659260,1
1373662380,1
1373665200,1
1373666520,1
1373668560,1
1373670420,1
1373676240,1
1373684040,1
1373687460,1
1373706960,1
1373712540,1
1373728560,2
1373734800,1
1373735100,1
1373736540,1
1373739060,1
1373742840,1
1373744040,1
1373747280,1
1373749560,1
1373769300,1
1373770080,1
1373803920,4
1373810940,1
1373831280,1
1373836980,1
1373837040,3
1373837160,1
1373839080,1
1373841840,1
1373845140,2
1373846280,2
1373849460,1
1373857920,1
1373860200,1
1373892060,1
1373905140,1
1373909640,1
1373916240,1
1373919660,1
1373920320,1
1373920920,1
1373924940,1
1373925480,1
1373926800,1
1373929080,1
1373929500,1
1373931060,1
1373935560,1
1373941620,1
1373951220,1
1373990400,1
1373998980,1
1374003600,1
1374008340,1
1374009060,1
1374009360,1
1374009840,1
1374010260,1
1374010380,1
1374010440,2
1374010560,2
1374010680,2
1374010800,1
1374011460,1
1374012120,1
1374012900,1
1374014160,1
1374014880,1
1374020520,1
1374034020,1
1374036300,1
1374036720,1
1374042420,1
1374063720,1
1374066060,1
1374070020,1
1374076260,1
1374095280,2
1374095340,2
1374095520,1
1374096120,1
1374098040,2
1374098640,1
1374100440,1
1374101520,1
1374102180,1
1374103260,1
1374105540,1
1374108060,2
1374112560,1
1374128580,1
1374149040,1
1374149160,1
1374175260,1
1374187740,1
1374188580,1
1374189840,1
1374190560,1
1374191940,1
1374193020,1
1374193440,1
1374202080,1
1374203220,1
1374206580,1
1374214560,1
1374240480,1
1374252900,1
1374261060,1
1374263580,1
1374268140,2
1374270120,1
1374271020,1
1374280620,1
1374283200,2
1374285120,1
1374286560,1
1374288180,1
1374293640,1
1374305940,1
1374323160,1
1374335760,1
1374335880,1
1374337140,1
1374338820,1
1374341340,1
1374350220,1
1374360540,1
1374361620,1
1374369120,1
1374370860,1
1374376140,1
1374385800,1
1374396360,1
1374423360,1
1374435120,1
1374441120,1
1374446280,1
1374450060,2
1374451740,1
1374452280,1
1374464340,1
1374466680,1
1374495000,1
1374498360,1
1374499740,1
1374527340,1
1374528240,1
1374531300,2
1374533160,1
1374538320,1
1374547080,1
1374547260,1
1374581820,1
1374591180,1
1374606720,1
1374607860,1
1374608580,1
1374610140,1
1374612660,1
1374612780,1
1374612900,1
1374613020,3
1374613080,1
1374614580,1
1374621480,1
1374622260,1
1374622500,1
1374627360,1
1374627420,1
1374628020,1
1374667440,1
1374678720,1
1374679320,1
1374682980,1
1374686640,1
1374693960,1
1374701400,1
1374704280,1
1374706560,1
1374710460,1
1374711060,1
1374711240,1
1374711720,1
1374714420,1
1374714960,1
1374717120,1
1374769560,1
1374780960,1
1374784200,1
1374786180,1
1374788040,1
1374788460,1
1374788940,1
1374789660,1
1374790320,1
1374790680,1
1374790860,1
1374792900,1
1374793560,1
1374797040,1
1374798660,1
1374801900,1
1374841140,1
1374847080,1
1374855120,1
1374859860,1
1374862920,1
1374865560,1
1374878460,1
1374879720,1
1374881400,1
1374899280,1
1374908160,1
1374943860,1
1374945360,1
1374953760,1
1374955680,1
1374964380,1
1374969840,1
1374974520,1
1374979980,1
1374983760,1
1374988440,2
1375001340,1
1375001880,1
1375010820,1
1375016880,1
1375035240,1
1375037640,1
1375043160,1
1375050360,1
1375063140,1
1375067400,1
1375074180,3
1375115340,1
1375115460,1
1375115640,3
1375115700,1
1375132440,1
1375133580,1
1375134060,1
1375137780,1
1375137960,1
1375138080,1
1375138500,1
1375140840,1
1375141860,1
1375144560,1
1375144680,1
1375145160,1
1375151760,1
1375151820,1
1375152300,1
1375187280,1
1375192560,1
1375195380,1
1375205700,1
1375205760,3
1375205880,1
1375205940,3
1375207860,1
1375227120,1
1375228500,1
1375231500,1
1375231620,1
1375231740,1
1375234140,1
1375237380,2
1375272720,1
1375279680,1
1375287780,1
1375287900,1
1375301040,1
1375303860,1
1375306740,1
1375306860,1
1375308960,1
1375310580,1
1375311900,1
1375312140,1
1375314960,1
1375316700,1
1375316820,1
1375319100,1
1375320000,1
1375320360,1
1375323840,1
1375324020,1
1375324920,1
1375325400,1
1375325940,1
1375378860,1
1375378980,4
1375379040,3
1375379100,3
1375379400,1
1375395540,1
1375396680,1
1375399920,1
1375401900,1
1375402020,1
1375408140,1
1375424520,1
1375451340,1
1375463580,7
1375470300,1
1375470480,1
1375471920,2
1375473300,1
1375474560,1
1375484520,1
1375484880,1
1375487040,1
1375490040,1
1375500600,2
1375504620,1
1375504860,2
1375507140,1
1375509540,2
1375541160,1
1375542660,1
1375551180,2
1375555080,1
1375560600,2
1375568400,1
1375570620,1
1375570800,1
1375571100,1
1375572720,1
1375574220,1
1375574640,1
1375582560,1
1375583760,1
1375588800,1
1375603980,1
1375623300,1
1375645380,1
1375647960,1
1375648680,1
1375650840,1
1375656600,2
1375661760,1
1375681680,1
1375710360,2
1375710540,5
1375711560,1
1375714140,1
1375718460,1
1375720260,1
1375722300,1
1375722420,1
1375724520,1
1375732740,1
1375738920,1
1375739940,1
1375740060,1
1375741320,1
1375743180,1
1375743360,1
1375744320,1
1375744500,1
1375745400,1
1375746000,1
1375746420,1
1375746600,1
1375746720,1
1375752300,1
1375752780,1
1375753200,1
1375810020,2
1375813080,1
1375816440,1
1375825560,1
1375828020,1
1375829700,1
1375830000,1
1375831380,1
1375832940,1
1375834860,1
1375835940,1
1375838340,1
1375839060,1
1375839180,1
1375839300,1
1375845660,1
1375853760,1
1375869840,1
1375882920,1
1375896780,1
1375904940,1
1375906020,1
1375908480,1
1375912200,1
1375914660,1
1375915680,1
1375916220,1
1375917060,1
1375918200,1
1375919640,1
1375921020,1
1375921620,1
1375921800,1
1375933080,1
1375963740,1
1375967220,1
1375967760,1
1375987800,1
1375996020,1
1375998060,1
1376000820,1
1376001900,1
1376004240,2
1376004780,1
1376007660,1
1376009160,1
1376009820,1
1376011440,1
1376014020,1
1376028480,1
1376054160,1
1376064120,1
1376067180,1
1376085120,1
