datetime,arrivals
1371150660,1
1371153960,1
1371154500,1
1371159660,1
1371161280,1
1371163020,1
1371165300,1
1371165900,1
1371174840,1
1371185340,1
1371199500,1
1371214380,1
1371218160,1
1371220260,1
1371223320,1
1371228660,1
1371229320,1
1371237840,1
1371238800,1
1371239280,1
1371240060,1
1371248880,1
1371252180,1
1371252480,1
1371252660,1
1371255180,2
1371258420,1
1371258780,1
1371259920,1
1371260880,1
1371261240,1
1371262800,1
1371263700,1
1371266100,1
1371268200,1
1371270780,1
1371271380,1
1371272460,1
1371303480,1
1371306060,1
1371306960,1
1371307440,1
1371312060,1
1371312660,1
1371312720,1
1371313140,1
1371313920,1
1371315420,1
1371316620,1
1371321600,1
1371323100,1
1371326760,1
1371327000,1
1371328320,1
1371329400,1
1371330300,1
1371334500,2
1371335640,1
1371338400,2
1371338880,1
1371342360,3
1371342720,1
1371344580,1
1371347400,1
1371349200,1
1371356520,1
1371356820,1
1371356940,3
1371362700,1
1371363720,1
1371375060,1
1371391500,1
1371396180,1
1371400380,1
1371402000,1
1371403740,1
1371409380,1
1371411240,1
1371413100,1
1371415200,1
1371417240,1
1371417900,2
1371418980,1
1371419340,1
1371419460,2
1371422460,1
1371422820,1
1371424500,2
1371425160,1
1371429060,1
1371429840,1
1371439680,2
1371440100,1
1371441180,2
1371441900,1
1371456840,1
1371471360,1
1371474540,1
1371477060,1
1371485520,1
1371486960,1
1371489540,1
1371491580,1
1371505680,1
1371507360,2
1371509160,1
1371509220,1
1371509760,1
1371510780,1
1371511020,1
1371515340,1
1371517320,1
1371517440,1
1371519960,1
1371522060,1
1371523800,1
1371525180,1
1371526680,1
1371527400,1
1371530820,1
1371537060,1
1371561180,1
1371561420,1
1371561540,1
1371567600,1
1371569280,1
1371569640,1
1371569820,1
1371571680,1
1371573420,1
1371574560,1
1371575280,1
1371579180,1
1371583260,1
1371583740,1
1371584580,1
1371586200,1
1371588480,1
1371591240,1
1371593580,1
1371599460,1
1371600600,1
1371605940,1
1371606960,1
1371610020,1
1371612000,1
1371617100,1
1371645660,1
1371646080,1
1371647940,1
1371648240,1
1371649680,1
1371652320,1
1371653220,1
1371657540,1
1371657780,1
1371657900,2
1371658080,1
1371658260,1
1371661680,1
1371661980,1
1371670080,1
1371672300,1
1371677520,1
1371677580,1
1371679500,1
1371679860,1
1371680220,1
1371681000,1
1371681240,1
1371681420,1
1371681660,1
1371682140,1
1371682500,1
1371682860,1
1371684240,1
1371684420,1
1371685020,1
1371686280,1
1371686580,1
1371686820,2
1371686880,2
1371688140,1
1371688200,1
1371688620,1
1371689280,1
1371689640,1
1371690780,1
1371692940,1
1371693060,1
1371696600,1
1371700380,1
1371704580,1
1371730020,1
1371730260,2
1371730380,7
1371730680,1
1371732000,1
1371738900,1
1371741240,8
1371741300,4
1371756840,1
1371758580,2
1371761160,1
1371761400,1
1371764520,1
1371767400,1
1371767880,1
1371768120,3
1371768840,1
1371769440,1
1371769680,1
1371769740,2
1371770760,1
1371771600,1
