datetime,arrivals
1371150840,1
1371155040,1
1371155760,1
1371158580,1
1371162240,1
1371163860,2
1371164580,1
1371182520,2
1371217020,1
1371220380,1
1371228660,1
1371230400,1
1371230640,1
1371234900,1
1371236460,1
1371242460,1
1371243300,1
1371243780,1
1371243840,2
1371243900,1
1371243960,1
1371244020,1
1371244080,1
1371244140,1
1371244260,1
1371244980,1
1371245040,1
1371245520,1
1371247380,1
1371247680,1
1371247980,1
1371248700,1
1371248820,1
1371249600,2
1371249960,1
1371250080,1
1371250260,1
1371250560,1
1371250800,1
1371254940,1
1371255720,1
1371256680,2
1371258300,1
1371264600,1
1371264780,1
1371267660,1
1371271380,1
1371271680,1
1371321300,1
1371323100,1
1371325260,1
1371325980,1
1371326160,1
1371326220,2
1371330480,1
1371332100,1
1371332520,1
1371332580,1
1371333240,1
1371333540,1
1371334980,3
1371335040,1
1371335640,1
1371336000,1
1371336960,1
1371337140,1
1371337920,2
1371338100,1
1371338220,1
1371338400,1
1371338880,1
1371340080,1
1371341640,1
1371341880,1
1371342840,1
1371346080,1
1371347760,1
1371350520,1
1371350580,1
1371351420,1
1371352620,2
1371353100,1
1371353280,1
1371353580,1
1371354240,1
1371355320,1
1371387300,1
1371391140,1
1371395460,1
1371395820,1
1371396600,1
1371400080,1
1371403200,2
1371403620,1
1371404100,2
1371404700,1
1371406860,2
1371407460,2
1371408780,2
1371410280,1
1371412080,1
1371412680,1
1371412920,1
1371414060,1
1371414300,2
1371415380,1
1371417180,1
1371418620,1
1371418680,1
1371418860,1
1371419280,1
1371419880,2
1371420360,1
1371422940,2
1371426300,1
1371428520,1
1371428580,1
1371429120,1
1371432540,1
1371434760,1
1371439320,1
1371442800,1
1371446220,1
1371453480,1
1371453540,1
1371472980,1
1371479100,1
1371481260,1
1371487920,1
1371489060,2
1371491880,1
1371492600,1
1371492660,1
1371499200,2
1371499980,1
1371500100,1
1371504600,1
1371505620,1
1371505740,1
1371506940,1
1371507060,1
1371507360,2
1371507780,1
1371508800,1
1371508860,1
1371508920,1
1371508980,1
