datetime,arrivals
1371320580,23
1371320940,1
1371321120,1
1371322380,2
1371322800,1
1371323100,1
1371323460,2
1371323820,2
1371323940,3
1371324180,1
1371324660,2
1371324900,2
1371325980,1
1371326280,2
1371326340,3
1371327300,1
1371328440,3
1371328680,2
1371328980,1
1371329340,2
1371330120,1
1371330360,1
1371330480,2
1371331380,2
1371331740,1
1371331860,1
1371332040,1
1371332340,2
1371332520,2
1371332640,1
1371332760,3
1371332820,1
1371333180,1
1371333360,1
1371333840,1
1371334440,2
1371334680,2
1371334920,1
1371335340,1
1371335520,1
1371335640,2
1371336480,1
1371337080,3
1371337140,1
1371337260,1
1371337440,1
1371337800,2
1371337860,2
1371337920,1
1371338220,3
1371339060,3
1371340260,2
1371341880,1
1371342360,1
1371342540,3
1371343440,1
1371344040,1
1371344580,1
1371351540,3
1371354360,1
1371361800,1
1371363660,1
1371364560,1
1371378660,1
1371383400,1
1371387540,1
1371389460,1
1371389880,1
1371392280,1
1371392820,2
1371393420,1
1371394320,1
1371395160,1
1371395220,3
1371395580,1
1371395640,1
1371395820,1
1371396120,1
1371397860,1
1371398520,1
1371401580,1
1371403140,2
1371403860,1
1371404040,1
1371404400,1
1371405240,2
1371407040,1
1371407160,3
1371407580,1
1371407700,1
1371408900,1
1371410640,2
1371411780,1
1371411900,1
1371413220,3
1371413640,1
1371413820,1
1371414300,1
1371414480,1
1371414960,1
1371415560,1
1371415800,1
1371416520,2
1371418680,2
1371421200,1
1371421560,1
1371424140,1
1371424260,1
1371427080,1
1371429120,1
1371429180,1
1371429600,1
1371432120,1
1371432840,1
1371478560,2
1371481500,1
1371482340,4
1371482460,1
1371485160,1
1371486060,1
1371486420,1
1371486960,1
1371488820,1
1371488940,1
1371490800,1
1371493260,1
1371495300,2
1371495420,2
1371495480,1
1371495660,1
1371495720,1
1371495840,1
1371495900,1
1371495960,1
1371501660,1
1371502320,2
1371503160,1
1371503880,1
1371503940,1
1371504420,1
1371504900,1
1371505260,2
1371506700,1
1371507120,1
1371508440,1
1371509700,2
1371509760,1
1371510360,2
1371510780,1
1371512040,1
1371513120,1
1371516780,2
1371523740,2
1371558900,1
1371563220,2
1371567840,1
1371569940,1
1371573000,2
1371578160,2
1371578640,1
1371582480,5
1371583020,2
1371586500,2
1371588960,2
1371589500,1
1371589980,1
1371594780,2
1371601080,1
1371601740,1
1371602400,1
1371603480,1
1371613680,1
1371614760,1
1371618720,2
1371632040,1
1371649500,1
1371651480,1
1371656820,1
1371658620,1
1371660120,1
1371662340,1
1371670800,1
1371670920,1
1371671220,1
1371673440,1
1371674640,1
1371676140,2
1371678660,1
1371678840,2
1371680760,1
1371682620,1
1371683220,1
1371683520,1
1371686280,1
1371686580,1
1371687540,1
1371688200,1
1371688500,1
1371689280,1
1371694260,1
1371708180,5
1371708240,4
1371708360,1
1371728340,1
1371731520,1
1371731940,1
1371732420,1
1371733140,1
1371733680,2
1371734820,1
1371738300,2
1371738360,2
1371739380,1
1371742980,1
1371743520,1
1371745620,2
1371745680,1
1371746100,1
1371749040,1
1371750540,1
1371750840,2
1371751740,1
1371753540,1
1371753600,1
1371754740,2
1371755520,1
1371756780,1
1371758400,1
1371758520,1
1371758820,1
1371760260,1
1371760500,1
1371761100,1
1371762240,1
1371764400,1
1371766920,2
1371767400,2
1371767640,1
1371769680,1
1371770040,1
1371772020,1
1371773460,1
1371773760,1
1371773820,2
1371774780,2
1371775080,1
1371776040,1
1371778920,1
1371779580,1
1371783000,1
1371784140,1
1371788760,1
1371789120,1
1371789780,1
1371809520,1
1371822660,1
1371823440,2
1371826620,1
1371827520,1
1371829080,1
1371829680,1
1371832440,2
1371832560,1
1371832920,1
1371834840,1
1371834960,1
1371836760,2
1371837240,1
1371839520,1
1371840240,1
1371840540,1
1371840660,3
1371841140,1
1371853560,1
1371854160,1
1371855420,2
1371855480,1
1371872940,1
1371876840,1
1371876960,1
1371878760,1
1371881520,1
1371881640,1
1371881760,1
1371907260,1
1371909480,1
1371910320,1
1371913080,3
1371913140,2
1371915900,1
1371916860,2
1371921360,1
1371921720,2
1371923100,2
1371923760,1
1371930780,4
1371931080,1
1371931200,1
1371931260,1
1371932640,1
1371932820,1
1371933420,1
1371933600,1
1371935460,1
1371936600,2
1371938220,1
1371938460,1
1371938880,1
1371939240,3
1371939780,3
1371939840,1
1371940080,1
1371940680,1
1371941580,1
1371942120,1
1371942180,1
1371942300,1
1371943860,1
1371944760,1
1371945120,1
1371946680,1
1371946920,1
1371948720,1
1371949200,1
1371949860,1
1371950520,1
1371950820,1
1371950880,1
1371951060,1
1371952320,2
1371954540,1
1371954720,1
1371955020,1
1371959160,2
1371959880,1
1371961080,1
1371961140,1
