datetime,arrivals
1371151380,2
1371151620,1
1371160500,1
1371162900,1
1371241080,1
1371241680,1
1371252900,1
1371258780,2
1371264480,2
1371274440,1
1371274560,2
1371274680,2
1371278820,3
1371311940,1
1371325320,2
1371327300,3
1371332280,1
1371332340,1
1371336480,2
1371340980,2
1371342360,2
1371343140,2
1371346800,3
1371350940,1
1371354480,1
1371362100,5
1371363240,1
1371363300,1
1371363420,1
1371391260,2
1371392580,1
1371419040,1
1371420600,2
1371420660,1
1371421800,1
1371433080,1
1371478680,1
1371479640,1
1371479700,1
1371480840,1
1371482340,1
1371483780,1
1371492060,1
1371506460,1
1371507780,1
1371509400,1
1371518160,1
1371558600,1
1371568080,1
1371574920,1
1371574980,1
1371585060,1
1371592740,1
1371606720,1
1371652380,1
1371662640,2
1371665820,1
1371674400,1
1371674460,1
1371676500,1
1371682140,1
1371682740,1
1371687360,2
1371692640,1
1371697680,1
1371699600,1
1371704520,1
1371741240,1
1371742620,1
1371754260,2
1371762060,1
1371772140,1
1371772800,1
1371775080,1
1371778920,1
1371780840,1
1371782940,1
1371796020,1
1371796200,1
1371840660,2
1371842460,5
1371842580,2
1371842700,5
1371847500,2
1371851940,1
1371853260,1
1371858000,1
1371859920,1
1371860280,1
1371868860,1
1371868920,1
1371869280,1
1371869340,1
1371889860,1
1371909660,1
1371917880,1
1371931860,1
1371932040,1
1371932220,1
1371934860,1
1371936960,1
1371940320,1
1371943560,1
1371943860,1
1371944880,1
1371945900,1
1371948000,1
1371963120,1
1371963180,1
1371963900,1
1371990960,1
1371995580,1
1371998100,1
1371998640,1
1372005420,1
1372005540,1
1372008960,1
1372009140,1
1372024860,1
1372026900,1
1372027020,1
1372034760,2
1372040760,1
1372048500,4
1372048560,3
1372095720,1
1372097220,1
1372098900,2
1372099920,2
1372103640,1
1372114380,1
1372116180,1
1372118880,1
1372122840,1
1372124280,1
1372176900,1
1372177680,1
1372185180,1
1372187880,1
1372200120,1
1372200420,1
1372204020,1
1372204740,1
1372205280,1
1372211580,1
1372215840,1
1372222620,2
1372255740,1
1372284360,1
1372284420,1
1372285500,2
1372285620,1
1372289340,1
1372291860,1
1372297440,1
1372304520,1
1372306380,2
1372334700,1
1372340400,1
1372360380,1
1372374060,1
1372378140,1
1372378500,1
1372381380,2
1372394760,1
1372405440,1
1372432980,1
1372433100,1
1372433160,1
1372433460,1
1372438380,1
1372439220,1
1372455120,1
1372460760,1
1372461000,1
1372462260,1
1372463160,1
1372468800,1
1372472280,1
1372473900,1
1372492680,1
1372511400,1
1372528200,2
1372540260,2
1372540380,9
1372540800,1
1372541700,2
1372545960,2
1372549800,1
1372552500,2
1372562520,1
1372565940,1
1372573440,1
1372611660,1
1372618860,1
1372620180,1
1372620300,1
1372620660,1
1372621560,2
1372626780,1
1372627620,1
1372634940,1
1372635540,1
1372636020,1
1372641960,1
1372642020,1
1372647000,1
1372647060,1
1372647960,1
1372648800,1
1372661340,1
1372676160,1
1372681260,1
1372721580,1
1372722480,1
1372723980,1
1372724100,1
1372726680,1
1372728000,1
1372730940,1
1372734120,1
1372749660,1
1372766520,1
1372780860,1
1372782300,1
1372794300,1
1372795440,1
1372798680,2
1372803960,1
1372804860,1
1372805040,1
1372805400,2
1372805520,2
1372805760,2
1372806960,1
1372809240,1
1372809720,1
1372810140,3
1372868820,1
1372873740,1
1372886040,2
1372886520,2
1372889520,1
1372890840,1
1372894980,1
1372897500,1
1372898520,1
1372900500,1
1372905240,1
1372905300,1
1372914720,1
1372915020,1
1372916760,1
1372942020,1
1372956960,1
1372957080,1
1372959000,1
1372960560,1
1372962840,1
1372962900,1
1372963020,1
1372969080,1
1372970760,1
1372971000,1
1372973700,1
1372974120,1
1372974420,1
1372974480,1
1372977660,2
1372985640,1
1372987020,2
1372987560,2
1372988700,1
1372999560,2
1373000760,1
1373004900,1
1373032080,1
1373033820,1
1373038140,1
1373041260,1
1373044920,1
1373045640,1
1373056440,2
1373058360,2
1373062620,1
1373064480,1
1373066340,1
1373066640,1
1373067960,1
1373069220,1
1373070720,2
1373071740,1
1373075340,1
1373080500,1
1373121600,1
1373127120,1
1373131140,2
1373133720,1
1373136660,1
1373136720,1
1373139420,1
1373143080,1
1373148240,1
1373149080,1
1373151180,1
1373161620,1
1373161740,1
