datetime,arrivals
1371152760,1
1371153300,1
1371158040,1
1371159480,1
1371161820,1
1371163140,1
1371165540,1
1371166740,1
1371166920,1
1371176580,1
1371179220,1
1371211500,1
1371213600,1
1371214140,1
1371234360,1
1371237660,1
1371238260,1
1371244260,1
1371251400,1
1371253860,1
1371254220,2
1371254880,1
1371256140,1
1371299220,1
1371301380,1
1371302880,1
1371304020,1
1371304320,1
1371304680,1
1371305220,1
1371305340,1
1371307560,1
1371307680,2
1371311040,1
1371311100,1
1371311940,2
1371314640,1
1371316620,1
1371316920,1
1371318240,1
1371319320,2
1371322080,1
1371322500,1
1371323340,1
1371323700,1
1371324180,2
1371324480,2
1371326340,2
1371328740,1
1371330180,2
1371331740,1
1371333960,1
1371335460,2
1371335940,1
1371336240,1
1371336600,1
1371338100,2
1371339300,1
1371342120,1
1371346080,1
1371356640,2
1371357660,1
1371359520,1
1371390420,1
1371395280,1
1371395400,1
1371400440,1
1371400980,1
1371402000,2
1371404160,2
1371407040,1
1371409380,2
1371409680,1
1371409740,2
1371412680,1
1371412920,1
1371413460,1
1371413520,1
1371413760,1
1371414540,1
1371419280,1
1371421140,1
1371427800,1
1371428160,1
1371429360,1
1371430260,1
1371430920,2
1371431220,1
1371432960,1
1371433080,1
1371434640,2
1371437340,1
1371454680,1
1371470940,1
1371472320,1
1371480180,1
1371484080,1
1371484260,1
1371486660,1
1371498420,1
1371499200,1
1371500940,1
1371506700,1
1371506820,1
1371508860,1
1371510000,1
1371510060,1
1371511500,1
1371514440,1
1371518040,1
1371518100,1
1371519180,1
1371521640,1
1371523320,1
1371525540,1
1371527820,1
1371561540,1
1371562440,1
1371565920,1
1371572340,1
1371572700,1
1371578340,1
1371584760,1
1371592980,1
1371595860,1
1371599880,1
1371600000,1
1371602820,1
1371605040,1
1371612240,1
1371612480,2
1371645480,1
1371658620,1
1371660000,1
1371665460,1
1371673380,1
1371679860,1
1371680580,1
1371680820,1
1371681420,1
1371682140,1
1371682500,2
1371685380,1
1371686040,2
1371686100,1
1371686280,3
1371686460,1
1371689280,2
1371690360,1
1371691200,1
1371692160,1
1371692280,1
1371692460,1
1371725520,1
1371729840,1
1371731640,1
1371732060,1
1371734340,1
1371736140,1
1371744300,1
1371745680,1
1371750360,2
1371758340,1
1371760560,1
1371762780,1
1371765420,1
1371765840,1
1371765960,1
1371766500,1
1371767100,1
1371768480,1
1371769860,1
1371770220,1
1371770460,1
1371771120,1
1371771600,1
1371771780,1
1371773280,1
1371773760,1
1371774660,1
1371775320,1
1371775560,1
1371778560,1
1371780000,1
1371780480,1
1371782640,1
1371787860,1
1371790200,1
1371792120,1
1371816300,1
1371818580,1
1371839400,1
1371842160,1
1371842580,1
1371843540,1
1371845040,1
1371847680,1
1371848820,1
1371849720,1
1371851820,1
1371853260,3
1371853500,1
1371857760,1
1371861180,1
1371861840,1
1371862080,1
1371862260,2
1371863520,1
1371864300,1
1371864360,1
1371864720,1
1371865680,1
1371865860,1
1371866220,1
1371866460,1
1371867360,1
1371869160,1
1371869700,1
1371872520,1
1371873300,1
1371881340,3
1371881520,1
1371907860,1
1371916620,1
1371917040,1
1371918480,1
1371918540,1
1371918960,1
1371919680,1
1371920040,1
1371920640,2
1371921480,1
1371922620,1
1371924120,2
1371924360,1
1371924600,2
1371925500,1
1371929700,1
1371930240,1
1371931260,1
1371932400,1
1371933120,1
1371934860,3
1371935160,1
1371935460,1
1371936600,1
1371936720,1
1371941280,1
1371941700,2
1371941820,1
1371942300,1
1371947220,1
1371948240,1
1371949860,2
1371950400,2
1371951600,1
1371955980,1
1371956340,1
1371956640,1
1371960540,1
1371963540,1
1371967500,1
1371978840,2
1371994200,1
1371999300,1
1372003800,2
1372004400,1
1372005420,1
1372006140,2
1372006680,1
1372009680,1
1372011120,1
1372017060,1
1372018440,1
1372021680,1
1372024560,1
1372024620,1
1372026480,2
1372027140,1
1372028760,1
1372031820,1
1372036920,1
1372076400,1
1372078080,1
1372081260,1
1372083000,1
1372083480,1
1372084860,1
1372090680,1
1372091760,1
1372095240,1
1372108860,1
1372110720,1
1372113060,1
1372114260,1
1372114380,2
1372115760,1
1372115880,1
1372116180,1
1372116240,1
1372117140,1
1372117620,1
1372119300,1
1372119900,1
1372119960,1
1372120020,1
1372121100,1
1372123740,1
