datetime,arrivals
1371150900,1
1371151260,1
1371151320,1
1371151560,1
1371152760,1
1371153600,1
1371153960,1
1371155220,1
1371157140,1
1371157680,1
1371158400,1
1371159480,2
1371162360,1
1371210780,1
1371216060,1
1371223020,1
1371223320,2
1371228840,1
1371229920,1
1371230400,1
1371232440,1
1371233520,1
1371236460,1
1371236760,2
1371237060,1
1371237360,2
1371237480,1
1371237660,1
1371238020,1
1371239820,1
1371240480,1
1371241440,1
1371241620,1
1371243780,1
1371243840,1
1371244680,1
1371244800,1
1371245340,2
1371248160,1
1371248280,2
1371248520,1
1371250680,1
1371250980,1
1371251940,1
1371252300,1
1371252600,1
1371252660,1
1371252780,1
1371253200,1
1371254220,1
1371254940,1
1371256800,1
1371257040,1
1371257760,1
1371263700,1
1371297840,1
1371300240,1
1371305700,1
1371306480,1
1371306780,3
1371308940,1
1371309000,1
1371309780,1
1371310740,1
1371311820,1
1371313980,1
1371314820,2
1371315240,1
1371315300,2
1371316200,3
1371316620,1
1371316920,2
1371318300,1
1371318600,1
1371319380,1
1371319740,1
1371320040,1
1371322380,1
1371324720,1
1371328800,1
1371328920,1
1371328980,1
1371330300,1
1371330660,2
1371331680,1
1371332520,1
1371334080,1
1371336780,1
1371337380,1
1371338100,1
1371338220,1
1371340680,1
1371341640,2
1371343680,2
1371347700,2
1371349680,1
1371350280,1
1371351120,1
1371355260,1
1371356040,1
1371356940,1
1371357480,1
1371378480,2
1371388200,1
1371391560,1
1371391680,1
1371397800,1
1371398280,1
1371398400,1
1371399900,1
1371403740,1
1371405780,1
1371407100,2
1371408360,2
1371409800,2
1371412200,1
1371417180,1
1371421320,1
1371421860,2
1371421980,3
1371422040,1
1371422100,2
1371422160,1
1371422220,1
1371429000,1
1371429060,1
1371429120,1
1371433980,1
1371434520,1
1371434760,1
1371437340,1
1371437580,1
1371438600,1
1371438660,1
1371438780,1
1371439620,1
1371467700,1
1371473400,1
1371491340,1
1371494280,1
1371507780,1
1371508380,1
1371509700,1
1371510480,2
1371511320,1
1371512220,1
1371512280,1
1371514500,1
1371516480,1
1371516780,1
1371520380,1
1371559380,1
1371559920,1
1371565680,6
1371565920,1
1371567120,1
1371571200,1
1371573420,1
1371575100,1
1371575280,1
1371582360,1
1371590100,1
1371592560,1
1371593400,1
1371595080,1
1371598800,1
1371611520,1
1371615120,1
1371644700,1
1371646320,1
1371654180,1
1371658260,1
1371658380,1
1371658620,1
1371661440,1
1371668280,1
1371668460,1
1371670380,2
1371672360,1
1371675900,1
1371682560,1
1371683400,1
1371686100,1
1371690000,2
1371691500,1
1371693960,1
1371701700,1
1371732840,1
1371735480,1
1371736860,1
1371736980,1
1371737040,1
1371737100,1
1371737160,1
1371737220,1
1371737340,1
1371737580,1
1371740340,1
1371742200,1
1371744240,1
1371750480,2
1371757680,1
1371761280,1
1371761640,1
1371767700,1
1371767880,1
1371770220,3
1371770340,2
1371770520,3
1371770760,5
1371770820,1
1371770880,1
1371771420,1
1371772440,1
1371776280,1
1371781980,2
1371782280,1
1371815460,1
1371816000,1
1371816120,1
1371823740,1
1371824640,1
1371826800,1
1371826860,1
1371840360,1
1371842460,1
1371847920,1
1371849480,2
1371853560,1
1371855660,1
1371858120,1
1371858300,1
1371859500,1
1371859620,1
1371860400,1
1371861600,1
1371865680,1
1371870240,2
1371898380,1
1371904440,1
1371904500,2
1371904560,1
1371904680,3
1371904740,3
1371907260,1
1371908940,1
1371911400,2
1371911700,2
1371912180,1
1371912480,1
1371912600,1
1371913800,1
1371914640,1
1371916800,1
1371920280,1
1371920640,2
1371920820,2
1371920880,2
1371920940,1
1371921780,3
1371922080,1
1371922260,1
1371922800,1
1371923520,1
1371924420,1
1371925140,3
1371926640,1
1371928200,1
1371929100,1
1371933780,2
1371934860,2
1371935760,1
1371938820,1
1371939600,1
1371939720,1
1371941040,1
