datetime,arrivals
1371226440,1
1371227640,1
1371227760,1
1371231240,1
1371233700,1
1371234660,2
1371234720,2
1371234840,2
1371242100,2
1371250980,1
1371252840,1
1371253320,1
1371256680,1
1371257040,2
1371257880,2
1371303420,1
1371306840,1
1371309660,1
1371315720,1
1371316200,1
1371316440,1
1371317040,4
1371317100,1
1371318240,2
1371320100,1
1371321120,1
1371321180,1
1371321540,2
1371321840,1
1371323400,1
1371325500,1
1371325680,2
1371330720,1
1371333720,1
1371336360,2
1371337920,1
1371342360,1
1371343140,1
1371343200,1
1371349440,1
1371352620,1
1371354720,1
1371359160,1
1371377220,1
1371393480,1
1371396180,1
1371400980,1
1371401580,1
1371403200,1
1371405000,1
1371407040,2
1371408600,1
1371409260,1
1371415620,1
1371416400,1
1371417780,1
1371422820,2
1371427800,1
1371430380,1
1371445980,1
1371492600,1
1371494100,1
1371496680,1
1371501660,1
1371505020,1
1371507600,2
1371510000,1
1371511620,1
1371513120,1
1371513540,1
1371516840,1
1371524580,1
1371548820,2
1371548880,2
1371549000,1
1371561540,1
1371564720,1
1371564780,1
1371564840,2
1371564960,2
1371566520,1
1371575220,1
1371579840,1
1371582000,1
1371602280,1
1371602700,1
1371604020,1
1371606240,1
1371606600,1
1371607200,1
1371610380,1
1371615120,1
1371645540,1
1371650220,1
1371655740,1
1371661380,1
1371664680,1
1371665760,1
1371666000,1
1371666780,1
1371668940,1
1371676140,1
1371677400,1
1372547220,1
1372547700,2
1372556160,1
1372592520,1
1372592640,2
1372592760,2
1372592820,1
1372597500,1
1372604640,1
1372605060,1
1372616340,1
1372616400,1
1372616880,3
1372617180,1
1372617420,1
1372621140,1
1372631160,2
1372631460,1
1372631580,1
1372633260,1
1372639680,1
1372639980,1
1372652100,1
1372655640,1
1372687620,6
1372688880,1
1372718580,1
1372718640,1
1372723800,2
1372724100,1
1372724280,1
1372726320,1
1372727340,1
1372740180,1
1372742460,1
1372768260,2
1373727720,2
1373737200,1
1373737500,1
1373743020,1
1373748960,3
1373749200,1
1373749320,1
1373750580,1
1373752260,1
1373761200,1
1373761320,2
1373761620,1
1373761740,1
1373770620,1
1373803920,2
1373814720,1
1373821980,1
1373823720,1
1373824380,2
1373825700,2
1373826600,1
1373828520,1
1373830020,2
1373830740,3
1373834940,2
1373836200,1
1373836380,1
1373837400,1
1373837940,2
1373839140,1
1373844540,2
1373845020,1
1373845800,2
1373848440,1
1373849400,1
1373849460,1
1373852460,1
1373855820,1
1373859540,1
1373860380,2
1373901960,6
1373905200,1
1373905320,1
1373908260,1
1373911500,1
1373911740,1
1373917260,1
1373920980,1
1373922420,1
1373923320,1
1373923560,1
1373924940,1
1373925480,1
1373928360,1
1373930100,1
1373931060,1
1373932320,1
1373933460,1
1373934540,1
1373935860,1
