datetime,arrivals
1371151800,1
1371156360,1
1371158520,1
1371160140,1
1371160320,5
1371160380,1
1371161580,1
1371163560,1
1371164160,1
1371170220,1
1371213240,1
1371216180,1
1371221280,1
1371227700,1
1371229320,1
1371231480,1
1371231840,1
1371233280,1
1371239940,1
1371240180,2
1371240480,2
1371241980,1
1371242880,1
1371250980,1
1371251160,1
1371251340,1
1371252300,1
1371254280,1
1371255000,1
1371255720,1
1371256740,1
1371256800,1
1371257160,1
1371303720,2
1371306180,1
1371312360,1
1371312780,1
1371314460,2
1371314880,1
1371316140,1
1371317040,1
1371317880,1
1371320820,2
1371321120,1
1371321300,1
1371322380,1
1371322740,2
1371322800,1
1371323460,1
1371326280,1
1371330840,1
1371342420,2
1371388080,1
1371390960,1
1371394440,2
1371395880,1
1371400500,1
1371402060,1
1371402240,1
1371402360,1
1371404040,1
1371405120,1
1371406800,1
1371409260,1
1371412500,2
1371414660,1
1371418920,1
1371424200,3
1371426120,1
1371432240,1
1371434040,1
1371441420,1
1371471360,1
1371471720,1
1371471960,1
1371472020,1
1371472440,1
1371473100,1
1371474060,1
1371474180,1
1371474720,1
1371474780,1
1371475380,1
1371475680,1
1371476040,1
1371477180,1
1371477600,1
1371480960,1
1371485940,1
1371486120,2
1371486780,1
1371487140,1
1371488700,1
1371489840,1
1371491100,1
1371495300,1
1371497100,2
1371499740,1
1371500220,1
1371500700,1
1371502620,1
1371505920,1
1371506040,1
1371506820,1
1371507600,1
1371507660,1
1371509100,1
1371509220,2
1371509340,1
1371510000,1
1371510180,1
1371510480,1
1371510900,1
1371511200,1
1371513240,1
1371514320,2
1371514920,1
1371517500,1
1371518460,1
1371527580,1
1371529500,1
1371538980,1
1371554400,1
1371555780,1
1371557160,1
1371558900,1
1371559080,1
1371559200,1
1371560160,1
1371561720,1
1371562680,1
1371562980,1
1371563700,1
1371563880,1
1371564240,2
1371564780,1
1371565080,2
1371565200,2
1371565260,1
1371565680,1
1371567000,1
1371567900,1
1371569340,1
1371569820,1
1371570240,1
1371570720,1
1371571620,1
1371572040,1
1371572100,1
1371578640,1
1371579240,1
1371579900,1
1371580200,1
1371581640,2
1371581760,1
1371582840,1
1371582900,1
1371589680,1
1371605340,1
1371639900,1
1371642540,1
1371646260,1
1371646800,1
1371648600,1
1371649620,1
1371650220,1
1371651060,1
1371651180,1
1371651720,1
1371655020,1
1371655860,1
1371659040,1
1371659280,2
1371660600,1
1371661440,1
1371664020,1
1371664260,1
1371667800,1
1371668880,1
1371669660,1
1371669840,1
1371670260,1
1371670860,1
1371670920,1
1371671040,1
1371671160,1
1371671220,3
1371673200,1
1371674280,1
1371675300,1
1371675600,1
1371677880,1
1371679200,1
1371683580,8
1371695520,2
1371702780,2
1371709440,1
1371728580,3
1371741300,11
1371741540,1
1371743580,1
1371745200,2
1371745620,1
1371745860,1
1371747540,1
1371750540,1
1371751980,1
1371753540,1
1371754080,1
1371754500,1
1371755100,2
1371756420,1
1371757740,1
1371761040,1
1371762120,2
1371762720,1
1371763920,1
1371765420,1
1371766440,1
1371766920,2
1371768060,2
1371770820,1
1371771120,1
1371771180,2
1371771420,1
1371774840,1
1371777180,1
1371780600,1
1371781980,1
1371782640,2
1371783120,2
1371788400,1
1371789900,1
1371791460,2
1371813780,1
1371816720,1
1371816900,1
1371817740,1
1371819960,1
1371820620,2
1371821460,1
1371824520,1
1371824760,1
1371825420,1
1371827880,1
1371828660,1
1371831600,1
1371833760,1
1371833940,1
1371834360,1
1371834420,2
1371834720,1
1371834840,2
1371834960,1
1371837000,1
1371839520,1
1371840540,1
1371841740,1
1371841860,1
1371842280,1
1371842580,1
1371843060,1
1371844740,1
1371846120,1
1371848940,1
1371850440,1
1371850860,1
1371852180,1
1371853380,2
1371853740,2
1371855000,1
1371856620,1
1371859440,2
1371860280,1
1371860400,1
1371868680,1
1371869400,1
1371897840,1
1371904500,2
1371904740,1
1371906540,1
1371908160,1
1371908760,1
1371910020,1
1371911040,1
1371913080,1
1371913560,1
1371914700,1
1371914880,1
1371916140,1
1371918420,1
1371921240,1
1371921540,2
1371922920,1
1371924600,2
1371925500,1
1371927840,1
1371927900,1
1371931260,1
1371931380,2
1371931620,1
1371932280,1
1371932640,1
1371932880,1
