datetime,arrivals
1371151140,1
1371157920,2
1371162780,1
1371211320,1
1371213480,1
1371214380,1
1371215220,1
1371218340,1
1371223500,1
1371226740,1
1371229200,1
1371236340,1
1371236940,1
1371237000,1
1371248520,1
1371251160,1
1371251940,1
1371262200,1
1371271800,1
1371279480,1
1371304020,1
1371305460,1
1371308580,1
1371317220,1
1371318600,1
1371320040,1
1371322260,1
1371323100,2
1371323220,3
1371336900,2
1371339300,1
1371341160,2
1371341640,2
1371352740,2
1371390180,1
1371397440,1
1371398700,1
1371403440,3
1371409440,1
1371411180,1
1371417360,1
1371417420,1
1371420180,2
1371427560,1
1371432540,2
1371435300,2
1371440040,1
1371463740,1
1371466380,1
1371470280,1
1371472200,1
1371472680,1
1371472860,1
1371473040,1
1371473880,1
1371474780,1
1371478200,1
1371480960,1
1371481320,1
1371484560,1
1371485160,2
1371486360,1
1371492720,1
1371494880,1
1371494940,1
1371511620,1
1371513240,1
1371514380,1
1371529920,2
1371546240,1
1371558000,1
1371558600,1
1371559380,1
1371562320,1
1371563340,3
1371563580,1
1371563700,1
1371563880,1
1371566460,1
1371567840,1
1371574440,1
1371574680,1
1371577620,1
1371583440,1
1371583680,1
1371584760,1
1371585480,2
1371588480,3
1371600300,1
1371616740,1
1371642720,1
1371644940,1
1371646500,1
1371647640,1
1371649500,1
1371654900,1
1371655440,1
1371656760,1
1371661020,1
1371663420,1
1371664140,1
1371665760,1
1371667140,1
1371668580,2
1371669780,1
1371673200,1
1371677340,1
1371681000,1
1371682080,1
1371683340,1
1371694440,1
1371695880,1
1371725280,1
1371730080,1
1371731100,1
1371731820,1
1371732300,1
1371732420,1
1371734580,1
1371736260,1
1371739740,1
1371740640,1
1371746940,1
1371748740,1
1371750720,1
1371751380,1
1371752580,1
1371753360,1
1371753540,1
1371753720,1
1371757080,1
1371757260,1
1371761460,1
1371764760,1
1371766440,1
1371767520,1
1371767880,1
1371771720,2
1371773400,2
1371774960,1
1371809520,1
1371815400,1
1371816900,1
1371817140,1
1371817920,1
1371818100,1
1371819960,2
1371821160,1
1371822900,2
1371831300,1
1371832740,1
1371834840,1
1371843000,2
1371844020,1
1371844380,1
1371849540,4
1371849660,1
1371849720,1
1371849780,2
1371861240,1
1371865080,1
1371905340,1
1371905880,1
1371911700,1
1371914400,1
1371914640,3
1371914700,1
1371914820,2
1371917040,1
1371918960,1
1371919140,1
1371919380,2
1371920880,2
1371928620,1
1371936600,2
1371945720,1
1371954900,1
1371962220,1
1371991980,1
1371997980,1
1372005120,1
1372013880,1
1372023780,1
1372027440,2
1372027500,2
1372027560,2
1372027680,1
1372028940,1
1372029840,1
1372029900,1
1372038060,1
1372047360,1
1372068420,1
1372074420,1
1372074900,1
1372075440,1
1372076040,2
1372076220,1
1372076400,1
1372077420,1
1372078800,1
1372079280,1
1372081080,1
1372081260,1
1372082340,1
1372089420,1
1372097820,4
1372119480,4
1372121460,1
1372155180,1
1372159380,1
1372161120,1
1372161360,1
1372161840,1
1372163280,1
1372163520,1
1372164720,1
1372165680,1
1372166880,1
1372179840,1
1372181400,1
1372182600,1
1372194660,1
1372204800,1
1372207140,1
1372215300,2
1372221420,1
1372224960,1
1372241220,1
1372247460,1
1372247520,1
1372247820,1
1372248660,1
1372249140,1
1372249380,1
1372249620,1
1372249740,1
1372250280,1
1372251540,1
1372251960,1
1372254300,1
