datetime,arrivals
1371150900,2
1371152700,1
1371153120,1
1371153420,1
1371155220,1
1371155340,1
1371155640,1
1371157080,1
1371157980,1
1371158220,1
1371158760,1
1371159060,1
1371159420,1
1371159480,1
1371159540,1
1371159720,2
1371160080,1
1371160740,1
1371160920,1
1371161580,1
1371162120,1
1371162360,2
1371163140,1
1371163320,1
1371163560,1
1371163980,2
1371165180,2
1371165300,1
1371173820,1
1371186240,1
1371209040,2
1371209400,1
1371219480,1
1371223500,1
1371226860,1
1371228420,1
1371229020,1
1371229080,2
1371229860,1
1371230280,1
1371230640,1
1371231780,1
1371232740,1
1371234420,1
1371234480,1
1371236160,1
1371236220,1
1371237180,1
1371237360,1
1371237780,1
1371239820,1
1371240000,1
1371240180,1
1371240840,1
1371241620,1
1371241980,1
1371242100,1
1371242580,1
1371243240,2
1371243480,1
1371243720,1
1371243840,1
1371244560,1
1371246060,1
1371246600,1
1371246900,1
1371247020,1
1371247140,1
1371247680,1
1371248220,1
1371248520,1
1371248700,1
1371249120,1
1371249300,1
1371250080,1
1371250260,1
1371250440,1
1371250680,1
1371250740,2
1371251400,1
1371251520,1
1371251760,1
1371252120,1
1371254400,1
1371254940,1
1371257640,1
1371258120,1
1371258360,1
1371258780,1
1371260100,1
1371263040,1
1371263460,1
1371264960,1
1371265380,1
1371267060,1
1371267840,1
1371269640,1
1371298380,1
1371298500,2
1371301500,1
1371301800,1
1371302820,1
1371308940,1
1371309840,1
1371309960,1
1371310020,1
1371310920,1
1371311340,1
1371311460,1
1371312060,1
1371312420,1
1371313380,1
1371313500,1
1371313680,1
1371314040,1
1371315060,1
1371316740,2
1371318600,1
1371320040,2
1371320340,3
1371320760,1
1371321180,1
1371321900,1
1371322080,1
1371323640,2
1371323760,1
1371324180,2
1371324240,2
1371324720,1
1371324780,1
1371324900,2
1371325020,1
1371325680,1
1371326880,1
1371327060,1
1371327600,1
1371328320,2
1371328440,2
1371329160,3
1371329340,1
1371329940,2
1371331500,1
1371332460,2
1371332580,2
1371332640,2
1371332760,1
1371333000,2
1371333420,1
1371333780,1
1371334500,1
1371334680,2
1371335460,1
1371335760,1
1371335940,2
1371336000,2
1371337080,2
1371337140,1
1371337620,1
1371337980,1
1371339360,1
1371340020,1
1371340080,1
1371340320,1
1371340680,2
1371340800,1
1371341160,2
1371341880,1
1371342000,2
1371342600,1
1371342720,1
1371344040,2
1371344340,1
1371344580,1
1371344820,1
1371345540,1
1371347040,1
1371347220,1
1371347340,1
1371348660,1
1371350940,1
1371352560,1
1371352680,1
1371353940,1
1371355440,1
1371356040,1
1371356340,1
1371357540,1
1371361020,1
1371367560,1
1371368040,1
1371370080,1
1371371100,1
1371388200,1
1371391920,1
1371393900,1
1371393960,1
1371394200,1
1371395460,1
1371395700,2
1371395880,1
1371395940,1
1371399780,1
1371401160,2
1371401340,2
1371402780,1
1371403860,2
1371405120,1
1371405180,1
1371405720,1
1371406260,1
1371406500,2
1371406680,2
1371407700,1
1371407880,1
1371408120,1
1371408360,1
1371409260,1
1371409740,2
1371409920,1
1371410460,1
1371410580,1
1371410760,1
1371411420,1
1371411780,2
1371411840,1
1371412260,2
1371412860,1
1371413820,1
1371414300,1
1371414540,1
1371414600,2
1371414780,1
1371414840,1
1371415380,1
1371415620,2
1371415920,1
1371416400,1
1371417060,1
1371417840,1
1371418200,1
1371419340,1
1371419760,2
1371420360,2
1371421200,1
1371421380,1
1371421980,2
1371422160,1
1371422220,2
1371422820,4
1371423300,1
1371423600,3
1371423900,1
1371424080,2
1371424500,1
1371424920,2
1371424980,1
