datetime,arrivals
1371151860,1
1371151980,1
1371152220,1
1371152820,1
1371153060,1
1371153660,1
1371153780,1
1371154080,1
1371155220,1
1371156540,1
1371157260,1
1371157380,1
1371157740,1
1371158100,2
1371159660,1
1371160500,1
1371160800,1
1371161040,1
1371162540,1
1371162840,1
1371164340,1
1371164640,1
1371164700,1
1371164820,1
1371165180,1
1371165300,2
1371165660,1
1371166200,1
1371166800,1
1371179520,1
1371209880,1
1371211140,1
1371212760,2
1371213240,1
1371213360,1
1371214500,1
1371214560,1
1371214740,1
1371214860,1
1371215220,1
1371215640,1
1371216060,1
1371216180,1
1371216360,1
1371216720,2
1371216840,1
1371217140,1
1371217560,1
1371218220,1
1371219600,1
1371220260,2
1371220980,1
1371221580,1
1371221880,1
1371222060,2
1371222780,1
1371222840,1
1371223020,1
1371223860,1
1371224040,1
1371224460,1
1371224580,1
1371226200,1
1371226740,1
1371226860,1
1371227340,1
1371227520,1
1371227760,1
1371227940,1
1371228240,1
1371228540,1
1371228960,1
1371229380,1
1371229620,1
1371230940,1
1371231360,2
1371231840,1
1371232080,1
1371232560,1
1371233280,1
1371233700,1
1371234240,1
1371234600,2
1371234840,1
1371235080,2
1371235800,1
1371236040,1
1371236100,1
1371236460,1
1371236520,2
1371236700,2
1371236940,2
1371237300,2
1371237840,1
1371238140,1
1371238320,2
1371238860,1
1371239820,1
1371240120,1
1371240480,1
1371240540,1
1371240660,1
1371241080,2
1371241440,1
1371241980,1
1371244260,2
1371244380,1
1371244860,1
1371245040,2
1371245520,1
1371246780,1
1371246960,2
1371247140,2
1371247380,1
1371247920,2
1371247980,1
1371248640,1
1371248820,1
1371249060,1
1371249300,1
1371250260,1
1371250440,1
1371250980,1
1371252120,1
1371252600,1
1371252960,1
1371253620,1
1371253980,1
1371254520,1
1371254580,1
1371254640,1
1371254760,1
1371255480,1
1371255720,1
1371256500,1
1371256920,1
1371257040,2
1371258060,1
1371259260,1
1371259560,1
1371260640,1
1371262380,1
1371267720,1
1371268020,1
1371275460,1
1371275580,2
1371275700,1
1371276360,1
1371276720,1
1371292920,1
1371297540,1
1371298380,1
1371300180,2
1371300300,2
1371300780,1
1371301980,1
1371302220,1
1371302640,1
1371302700,1
1371303180,1
1371303420,1
1371304500,2
1371304740,2
1371305700,1
1371305820,1
1371306000,1
1371306180,1
1371307560,1
1371308520,2
1371308760,3
1371309060,3
1371309180,1
1371309240,2
1371309540,1
1371309660,2
1371310440,2
1371310980,1
1371311100,1
1371311160,1
1371311580,3
1371311640,1
1371312360,2
1371312600,1
1371312720,1
1371313260,1
1371313500,3
1371313560,1
1371314040,1
1371314220,2
1371315300,1
1371316020,3
1371316140,1
1371316380,2
1371316920,1
1371317040,2
1371317400,2
1371317700,1
1371318060,2
1371318480,1
1371319380,1
1371319680,2
1371319980,1
1371320100,1
1371320580,2
1371320760,1
1371320940,1
1371321720,2
1371321840,3
1371322200,1
1371322380,1
1371322500,3
1371322620,1
1371323040,1
1371323280,1
1371323400,2
1371323580,1
1371323760,4
1371323940,1
1371324180,3
1371324480,1
1371324540,1
1371324660,1
1371324720,1
1371324780,2
1371325080,2
1371325140,2
1371325260,1
1371325860,2
1371325980,1
1371326340,1
1371326460,1
1371326520,1
1371326640,2
1371326880,1
1371327060,2
1371327120,1
1371327300,1
1371327480,2
1371328500,1
1371329100,1
1371329160,1
1371329220,1
1371329880,1
1371329940,1
1371330000,2
1371330120,2
1371330480,1
1371330720,1
1371331080,1
1371331440,2
1371331920,2
1371332220,1
1371332340,1
1371332640,1
1371333060,1
1371333300,1
1371333840,1
1371333900,1
1371334080,1
1371334200,1
1371334440,1
1371334620,1
1371334680,2
1371334800,1
1371335340,1
1371336060,1
1371336600,1
1371336720,1
1371336780,1
1371337020,1
1371337140,2
1371337260,1
1371337500,2
1371337620,3
1371337680,1
1371339120,2
1371339540,2
1371339900,2
1371340140,1
1371340320,1
1371340440,2
1371342720,3
1371343020,1
1371343080,1
1371343140,1
1371346620,1
1371348720,1
1371349080,1
1371349860,1
1371351300,1
1371352920,1
1371354240,1
1371355740,1
1371355920,1
1371358680,1
1371360180,2
1371361320,1
1371375420,1
1371383100,2
1371384660,1
1371387780,1
1371388080,2
1371388920,1
1371390180,1
1371390300,1
1371390720,1
1371390900,1
1371392280,1
1371392460,1
1371392580,1
1371393000,1
1371393180,1
1371393420,1
1371394080,1
1371394200,1
1371394680,2
1371396720,2
1371396960,1
1371397080,1
1371397320,1
1371398220,1
1371398400,1
