datetime,arrivals
1371152220,1
1371154740,1
1371156360,1
1371157740,1
1371157860,1
1371158580,1
1371158700,1
1371159060,1
1371160980,1
1371162120,1
1371164220,2
1371165300,1
1371165480,1
1371170700,1
1371176400,1
1371177720,1
1371183240,1
1371193200,1
1371210240,1
1371211500,1
1371214380,1
1371216900,1
1371218340,1
1371220260,1
1371227340,2
1371227400,1
1371227760,1
1371227880,1
1371228420,1
1371230820,1
1371231240,2
1371231540,1
1371234120,1
1371240540,1
1371240600,1
1371244020,1
1371244440,1
1371245040,1
1371245640,1
1371245880,1
1371247140,1
1371248220,1
1371248820,1
1371249600,1
1371249900,1
1371250920,1
1371251760,1
1371252060,1
1371254220,1
1371254520,2
1371256380,1
1371256500,1
1371256680,1
1371257940,1
1371258060,1
1371258300,1
1371262740,1
1371263280,1
1371271260,1
1371271980,2
1371272280,1
1371273420,1
1371275040,2
1371280080,1
1371282000,1
1371297420,7
1371297480,2
1371297540,2
1371297600,2
1371297660,2
1371302340,1
1371303180,1
1371306540,1
1371306600,1
1371308460,1
1371309060,1
1371309240,1
1371310560,1
1371312000,1
1371312600,1
1371313980,1
1371316140,2
1371316620,2
1371320460,1
1371320700,1
1371320760,1
1371322080,1
1371322140,1
1371323280,1
1371324060,1
1371324780,1
1371325140,3
1371326760,1
1371327000,1
1371327060,2
1371327840,1
1371327900,1
1371329040,1
1371329100,1
1371330840,2
1371330900,1
1371331140,2
1371331620,1
1371332520,1
1371332820,1
1371333240,2
1371333540,1
1371333600,1
1371333960,1
1371334080,1
1371335040,1
1371335280,1
1371336060,1
1371337380,2
1371337500,1
1371338280,1
1371338580,1
1371339540,1
1371341160,1
1371341640,2
1371342600,1
1371343560,2
1371343980,2
1371344040,2
1371345360,1
1371345540,2
1371348180,2
1371348840,1
1371350580,1
1371350640,1
1371351480,1
1371351900,1
1371353520,2
1371354240,1
1371357660,1
1371357960,1
1371358140,2
1371360420,1
1371360600,1
1371360780,1
1371363480,1
1371372060,1
1371392880,1
1371393060,1
1371393180,1
1371395580,1
1371397440,2
1371398100,1
1371398280,1
1371399240,1
1371399480,2
1371402060,5
1371402720,1
1371402960,2
1371403140,1
1371403380,2
1371404820,1
1371406260,1
1371407100,2
1371407220,1
1371408480,1
1371408780,1
1371408900,1
1371409920,2
1371411120,1
1371411300,1
1371411540,1
1371412680,1
1371413760,3
1371414060,2
1371414120,2
1371414960,1
1371415920,1
1371416040,1
1371416280,1
1371416580,1
1371416820,1
1371417180,1
1371418320,2
1371418620,1
1371419160,1
1371419640,1
1371420540,2
1371420960,2
1371422280,1
1371422640,1
1371423420,1
1371425460,1
1371425580,1
1371426600,2
1371427020,1
1371428580,1
1371429360,1
1371429600,1
1371429780,1
1371430200,1
1371430740,1
1371431520,1
1371431880,1
1371433320,1
1371433500,1
1371433740,1
1371434160,1
1371435900,1
1371436440,1
1371437100,1
1371439080,1
1371440640,1
1371442500,1
1371467280,1
1371472440,2
1371474960,1
1371476340,1
1371483060,1
1371484740,1
1371486180,1
1371488220,1
1371491040,1
1371492360,1
1371493320,1
1371494460,1
1371494580,1
1371494880,1
1371495120,1
1371496620,1
