datetime,arrivals
1371153420,1
1371153600,1
1371156300,1
1371158880,1
1371160680,1
1371161340,1
1371162420,1
1371164280,1
1371166860,1
1371167640,1
1371169620,1
1371205440,1
1371207240,1
1371210180,1
1371212580,1
1371213000,1
1371213360,1
1371213780,1
1371215580,1
1371216180,1
1371216480,1
1371217560,1
1371219720,1
1371220380,1
1371222180,1
1371222780,1
1371223800,1
1371224700,1
1371225240,1
1371227160,1
1371229560,1
1371231360,1
1371233760,1
1371234120,1
1371234960,1
1371239280,1
1371241080,1
1371241800,2
1371242460,1
1371243420,1
1371243720,1
1371245640,1
1371248460,1
1371248820,1
1371250920,1
1371251340,1
1371252420,1
1371253440,1
1371255180,1
1371260040,1
1371260400,1
1371260580,1
1371263100,1
1371263700,2
1371268320,1
1371268380,1
1371301560,1
1371302880,1
1371307200,1
1371308520,1
1371308700,2
1371309420,1
1371316020,1
1371316920,6
1371317040,6
1371317100,2
1371317520,1
1371317580,1
1371319020,1
1371319320,1
1371321960,1
1371323220,1
1371323280,2
1371324480,2
1371325860,1
1371326280,1
1371327420,1
1371329040,1
1371330840,1
1371330900,1
1371331860,1
1371332280,1
1371332460,1
1371333960,1
1371334680,2
1371334860,1
1371336360,3
1371339420,2
1371339600,2
1371341400,2
1371343080,2
1371343320,1
1371346380,1
1371348120,1
1371350340,2
1371350820,1
1371350940,1
1371359340,1
1371359460,1
1371392100,1
1371395400,2
1371396000,2
1371396960,1
1371398280,1
1371398700,1
1371400020,1
1371401160,1
1371402420,1
1371403920,1
1371404820,1
1371405120,1
1371406140,1
1371406800,1
1371406980,1
1371407100,3
1371408240,1
1371412140,1
1371412200,1
1371412380,1
1371414120,1
1371414540,1
1371414900,1
1371416220,2
1371417660,1
1371418020,1
1371418200,1
1371423660,1
1371423780,1
1371424080,1
1371424800,1
1371424920,1
1371425760,1
1371428520,1
1371430680,2
1371430740,1
1371431340,1
1371431820,1
1371432240,2
1371432540,1
1371432960,2
1371433620,1
1371436740,1
1371438480,2
1371463620,1
1371466380,1
1371468780,1
1371470700,1
1371472020,1
1371472620,1
1371472680,1
1371473460,2
1371473580,1
1371473760,1
1371473940,1
1371474060,2
