datetime,arrivals
1371152940,1
1371153600,1
1371153960,1
1371157920,1
1371158880,1
1371159120,1
1371160080,1
1371160800,1
1371161760,1
1371162720,1
1371163140,1
1371163560,1
1371164340,1
1371164460,1
1371164760,1
1371165480,2
1371205260,1
1371210420,1
1371210840,1
1371212880,1
1371213060,1
1371214140,1
1371214920,1
1371214980,1
1371215520,1
1371217200,1
1371217560,2
1371219000,1
1371219120,1
1371220260,1
1371220680,1
1371221220,1
1371221400,1
1371224400,1
1371224580,1
1371225120,1
1371225180,1
1371227460,1
1371228000,1
1371228240,1
1371229680,2
1371230100,1
1371230820,1
1371232440,1
1371232680,1
1371232980,1
1371233640,1
1371238260,2
1371239160,1
1371240240,2
1371241320,1
1371241500,1
1371243660,1
1371243960,1
1371246240,1
1371248280,1
1371249120,2
1371249660,1
1371251400,1
1371252180,1
1371252300,1
1371252660,1
1371252900,1
1371253680,1
1371258420,4
1371258660,1
1371262680,1
1371267960,1
1371268680,1
1371269520,1
1371276420,1
1371291600,2
1371300720,1
1371301200,1
1371303960,2
1371307200,1
1371307980,1
1371311700,1
1371311940,1
1371313380,1
1371314280,1
1371316920,1
1371317280,1
1371321540,2
1371323100,1
1371324420,1
1371325860,3
1371326700,2
1371327120,2
1371328020,1
1371329160,1
1371329940,2
1371330360,1
1371331500,1
1371331740,2
1371332520,1
1371334920,1
1371334980,2
1371335400,1
1371338100,1
1371338220,1
1371339060,2
1371339900,1
1371342900,1
1371342960,1
1371344160,2
1371344640,1
1371346620,2
1371347760,1
1371351240,1
1371352320,1
1371355320,1
1371355500,1
1371366480,1
1371390360,1
1371394560,1
1371397500,1
1371397740,1
1371398880,1
1371400380,1
1371404700,2
1371408360,1
1371408420,1
1371409260,1
1371409620,1
1371410700,1
1371410760,1
1371412080,1
1371412200,1
1371413640,1
1371414000,2
1371414840,1
1371414900,3
1371416700,1
1371418500,2
1371420060,2
1371420420,1
1371420900,1
1371423000,3
1371425160,1
1371425280,1
1371425760,1
1371429600,1
1371430020,1
1371430380,1
1371430500,1
1371432540,2
1371433440,1
1371434340,1
1371438660,1
1371439380,3
1371447060,1
1371464040,2
1371466020,1
1371467460,1
1371468960,1
1371469080,1
1371469440,1
1371470040,1
1371473460,1
1371473580,1
1371473940,1
1371474540,1
1371474660,1
1371475380,1
1371475560,1
1371475800,1
1371476700,1
1371477240,1
1371477420,1
1371477900,1
1371478200,1
1371481320,1
1371483840,1
1371484740,3
1371484800,2
1371484920,1
1371484980,1
1371486540,1
1371487560,1
1371488340,1
1371488400,5
1371490500,1
1371491040,1
1371491340,1
1371491580,1
1371492000,1
1371494220,2
1371495120,1
1371495660,1
1371495780,1
1371496260,1
1371496560,1
1371498240,1
1371498960,1
1371499740,3
1371499980,1
1371500760,1
1371501300,1
1371501900,2
1371502140,1
1371502200,1
1371502740,1
1371503340,1
1371503880,1
1371504180,2
1371505620,1
1371505800,1
1371506280,1
1371506520,1
1371507780,1
1371508080,1
1371508440,1
1371509220,1
1371509580,1
1371510480,1
1371511020,1
1371511560,1
1371512220,1
1371513420,1
1371518460,1
1371520080,2
1371521100,1
1371521280,1
1371523620,1
1371527400,1
1371533100,1
1371550620,2
1371553620,1
1371553860,1
1371556260,1
1371556560,1
1371557520,1
1371557760,1
1371557820,2
1371559080,1
1371559200,1
1371559380,1
1371560580,1
1371560700,1
1371561000,1
1371562260,1
1371562680,2
1371563160,2
1371563400,1
1371564300,2
1371565200,2
1371566640,1
1371567900,1
1371568980,1
1371569640,1
1371571080,3
1371572340,1
1371572940,1
1371573480,1
1371573540,1
1371574440,1
1371574680,1
1371574740,1
1371574860,1
1371575280,1
1371575340,1
1371578700,2
1371579240,1
1371579780,1
1371580200,1
1371580500,1
1371583620,1
1371584220,1
1371584640,1
1371584760,1
1371586260,1
1371590100,1
1371590820,1
1371601380,1
1371602640,1
1371602700,1
1371604800,1
1371604920,3
1371609540,1
1371614160,1
1371621000,1
1371632760,1
1371634680,1
1371636840,1
1371638100,1
1371643680,1
1371643980,1
1371644220,1
1371644640,1
1371645660,1
1371646080,1
1371646800,1
1371646980,1
1371647040,2
1371647100,1
1371647160,1
1371647220,1
1371647700,1
1371648300,2
1371648360,1
1371648780,1
1371649200,2
1371650160,1
1371650220,1
1371651360,1
1371669480,14
1371669840,1
1371670260,1
1371670380,1
1371670800,1
1371671040,1
1371671160,1
1371671580,1
1371671640,1
1371671820,1
1371672600,1
1371672720,1
1371672780,1
1371672960,1
1371674100,1
1371674520,1
1371675000,1
1371676680,1
1371678120,1
1371679440,1
1371680880,1
1371683280,1
1371685320,1
1371686040,1
1371686280,1
1371686340,1
1371686460,1
1371686820,1
1371688140,1
1371688560,1
1371688800,1
1371688920,1
1371689880,1
1371690120,2
1371694920,1
1371696480,1
1371698040,1
1371703380,1
1371708660,1
1371708780,1
1371724860,2
1371726180,1
1371726540,1
1371727080,1
1371729780,1
1371729900,2
1371730380,1
1371730500,1
1371731280,1
1371731580,1
1371732420,3
1371732960,1
1371733260,1
1371733320,1
1371733740,1
1371734040,1
1371734340,1
1371734460,1
1371734520,1
1371735120,1
1371735480,1
1371735660,1
1371736680,2
1371736980,1
1371737100,1
1371737160,1
1371737580,1
1371739800,1
1371740220,1
1371740460,1
1371741660,3
1371744240,1
1371744480,1
1371744660,1
1371744720,2
1371745380,1
1371747240,2
1371747840,1
1371748200,1
1371748440,2
1371748860,1
1371749520,1
1371749700,1
1371750240,1
1371750480,1
1371750720,1
1371751020,2
1371751080,2
1371751200,1
1371751800,1
1371752340,1
1371753000,1
1371753420,1
1371753540,1
1371754680,2
1371755100,1
1371755580,1
1371755640,1
1371755940,1
1371756720,1
1371757080,1
1371757980,1
1371758520,1
1371758940,1
1371759360,1
1371759540,1
1371759600,2
1371759960,1
1371760320,1
1371760560,1
1371761220,1
1371761580,1
1371761640,1
1371764100,1
1371765420,1
1371765960,1
1371766020,1
1371766320,1
1371766440,1
1371766980,2
1371767400,1
1371767700,1
1371771600,1
1371771840,1
1371772140,1
1371773280,1
1371773820,1
1371778560,1
1371780420,1
1371780540,1
1371780840,1
1371781620,1
1371782640,1
