datetime,arrivals
1378933800,1
1378934280,1
1378934880,2
1378935300,2
1378935600,1
1378935660,1
1378936200,2
1378936500,1
1378936800,3
1378937640,2
1378937820,1
1378937940,1
1378938300,1
1378938720,1
1378939440,1
1378939560,1
1378940340,1
1378940460,1
1378940640,1
1378941660,1
1378942140,1
1378942320,1
1378942740,1
1378943280,1
1378943700,1
1378943820,1
1378944720,1
1378944900,1
1378945080,1
1378945980,1
1378947060,2
1378947420,1
1378947780,1
1378948200,1
1378949700,1
1378950720,1
1378955640,1
1378956300,1
1378957680,2
1378958760,1
1378959060,1
1378962000,1
1378978620,1
1378980000,1
1378980720,1
1378981920,1
1378982400,1
1378983300,1
1378984080,1
1378984260,1
1378985160,1
1378986120,1
1378986960,1
1378987380,4
1378987620,1
1378987740,3
1378987920,2
1378988100,1
1378988940,1
1378989060,1
1378989360,1
1378989720,1
1378990260,1
1378990560,2
1378990920,2
1378991400,2
1378991580,2
1378991700,2
1378991820,1
1378992060,1
1378992300,2
1378992540,1
1378992600,1
1378992780,5
1378993380,1
1378993440,1
1378993800,1
1378993980,2
1378995000,2
1378995180,3
1378995840,1
1378995960,1
1378996140,1
1378996260,1
1378996740,1
1378997040,1
1378997400,1
1378997940,2
1378998180,1
1378998240,1
1378998360,2
1378999140,1
1378999800,1
1379001420,1
1379001600,2
1379001780,1
1379002020,1
1379002440,1
1379002860,1
1379003760,2
1379004600,1
1379004720,3
1379004780,1
1379005320,1
1379006340,1
1379007360,1
1379007960,1
1379008860,1
1379009820,1
1379010420,2
1379010780,1
1379011500,1
1379012040,2
1379012160,1
1379013240,1
1379013780,1
1379013840,1
1379014020,2
1379014920,1
1379015880,1
1379016600,1
1379017140,1
1379017320,2
1379017440,1
1379017620,1
1379017740,1
1379018340,1
1379019120,2
1379019180,1
1379019360,2
1379019420,1
1379019480,2
1379019660,3
1379019960,1
1379020800,2
1379020980,1
1379021160,2
1379022180,2
1379022960,1
1379023500,1
1379023680,1
1379024640,1
1379025180,1
1379025240,1
1379025360,1
1379025660,1
1379026080,1
1379026980,1
1379027760,1
1379027820,1
1379029320,1
1379029920,1
1379030640,1
1379030820,1
1379031840,1
1379031960,1
1379033640,1
1379033880,1
1379036940,1
1379037300,1
1379041800,1
1379042160,1
1379044020,1
1379047500,1
1379067660,1
1379068680,1
1379069040,1
1379069520,1
1379069700,1
1379069880,1
1379070360,1
1379070900,2
1379071260,1
1379071440,1
1379071560,1
1379071680,1
1379072040,1
1379072220,1
1379072400,1
1379072880,1
1379073060,1
1379073840,2
1379074020,1
1379074380,1
1379074440,1
1379074560,1
1379075340,1
1379075460,1
1379076120,2
1379076240,3
1379076480,1
1379076720,1
1379076900,1
1379077020,2
1379077200,2
1379077260,1
1379077320,1
1379077440,1
1379077560,2
1379077740,1
1379077980,1
1379078280,1
1379078640,1
1379078760,2
1379079480,1
1379079720,2
1379079900,1
1379080020,1
1379080200,1
1379080320,1
1379080680,2
1379080740,1
1379080920,1
1379081040,1
1379081100,1
1379081220,1
1379081820,1
1379082120,1
1379082480,1
1379084340,1
1379084460,1
1379084580,1
1379087220,1
1379087460,2
1379087760,1
1379088540,1
1379089080,1
1379090520,1
1379091480,1
1379092560,1
1379092680,1
1379092860,1
1379093520,1
1379093820,1
1379093880,1
1379094660,1
1379095800,1
1379096100,1
1379096760,2
1379097180,2
1379097360,1
1379097540,1
1379097900,1
1379098560,4
1379098680,2
1379098800,1
1379098920,1
1379099160,1
1379099640,1
1379099880,1
1379100960,1
1379101140,1
1379101560,1
1379101800,1
1379102280,1
1379102520,1
1379103780,1
1379105520,1
1379106300,1
1379106480,1
1379106600,1
1379106960,1
1379107380,1
1379107680,1
1379108040,2
1379108220,1
1379109600,1
1379110440,1
1379110560,1
1379111640,1
1379112540,2
1379112720,1
1379113020,1
1379113680,2
1379114160,1
1379114640,1
1379114700,1
1379115360,1
1379116440,1
1379118000,1
1379118180,1
1379118540,1
1379118660,1
1379119560,1
1379121360,1
1379123820,1
1379124300,1
1379125020,1
1379125620,1
1379125740,1
1379126520,1
1379126940,1
1379129940,1
1379130180,1
1379130300,1
1379134920,1
1379135520,2
1379139720,1
1379140680,1
1379141040,1
1379141340,1
1379141580,1
1379142300,1
1379143860,1
1379156280,1
1379164560,1
1379166300,3
1379167080,1
1379167740,1
1379168640,1
1379168760,1
1379168940,1
1379169240,1
1379169840,1
1379170020,1
1379170080,1
1379171520,1
1379172120,1
1379172540,2
1379172900,1
1379173080,1
1379173560,1
1379173680,1
1379174160,1
1379174760,1
1379176380,1
1379177100,1
1379177640,1
1379177700,1
1379178720,1
1379178900,7
1379179200,1
1379179500,1
1379179920,1
1379179980,2
1379180100,2
1379181000,1
1379184240,1
1379185260,1
1379185380,1
1379185980,1
1379186040,1
1379186400,1
1379186940,2
1379187180,1
1379187600,1
1379187960,1
1379188200,1
1379189280,1
1379189760,1
1379190120,1
1379191740,1
1379192700,1
1379193240,1
1379193660,1
1379194140,1
1379195880,1
1379196060,1
1379196180,1
1379196660,1
1379197440,2
1379197560,2
1379198280,1
1379198760,2
1379200200,2
1379201520,2
1379201640,2
1379202000,1
1379203620,1
1379204040,1
1379204220,1
1379204520,2
1379205300,2
1379208660,1
1379209500,1
1379210340,1
1379211540,1
1379213340,1
1379214240,1
1379214480,1
1379215080,1
1379215320,1
1379216460,1
1379217780,1
1379218200,1
1379220180,1
1379224920,1
1379225220,1
1379226720,1
1379230920,1
1379231460,1
1379234580,1
1379243280,1
1379245980,1
1379252280,1
1379252880,1
1379253000,2
1379254620,1
1379256180,1
1379256600,3
1379257260,1
1379257440,1
1379258520,1
1379259540,1
1379260320,2
1379260500,1
1379260920,5
1379261100,4
1379261160,4
1379261220,8
1379262060,1
1379263020,1
1379263260,1
1379264040,1
1379264760,1
1379265120,1
1379266140,1
1379266740,1
1379266920,1
1379267220,1
1379267340,1
1379267460,1
1379268000,1
1379268180,1
1379268600,4
1379269200,2
1379269380,1
1379269740,1
1379270040,1
1379270160,1
1379270280,1
1379270580,1
1379270940,2
1379271120,2
1379271240,1
1379271420,1
1379271840,1
1379272140,1
1379276580,2
1379276880,2
1379277180,1
1379277360,3
1379277660,2
1379277780,1
1379277900,1
1379278620,1
1379278800,1
1379278920,1
1379279340,1
1379279460,1
1379279760,1
1379280060,2
1379280540,1
1379280900,1
