datetime,arrivals
1371155580,1
1371156960,1
1371158640,1
1371159420,1
1371160800,1
1371161460,1
1371161760,1
1371162120,1
1371162780,1
1371162840,1
1371163140,1
1371163560,1
1371164040,1
1371164100,1
1371165540,2
1371183420,1
1371209520,1
1371212280,1
1371213240,1
1371213660,1
1371213960,1
1371214740,1
1371216360,1
1371217200,1
1371217320,1
1371219360,2
1371220380,1
1371221460,1
1371221940,2
1371222120,1
1371222840,1
1371222960,1
1371223200,1
1371223320,1
1371225240,1
1371228000,1
1371230040,1
1371230820,1
1371231660,1
1371232680,1
1371234540,1
1371236760,1
1371239580,1
1371240780,1
1371241320,1
1371241620,1
1371245340,1
1371245400,1
1371246060,1
1371246900,1
1371246960,1
1371248220,1
1371248400,1
1371250980,1
1371251340,1
1371253800,1
1371258120,1
1371258420,1
1371259260,1
1371260640,1
1371262500,1
1371266280,1
1371270000,1
1371273240,1
1371273300,1
1371279180,1
1371301800,3
1371301860,4
1371301980,4
1371302100,2
1371303420,2
1371304620,1
1371306240,2
1371307440,1
1371308100,1
1371308160,1
1371309060,1
1371311340,1
1371311940,1
1371312780,1
1371313500,2
1371313620,1
1371313800,1
1371315900,1
1371316320,1
1371317100,1
1371317220,1
1371318300,1
1371321720,3
1371323040,1
1371325080,1
1371325740,1
1371327600,2
1371328560,1
1371330660,1
1371331080,1
1371331920,1
1371332280,1
1371332700,1
1371333240,1
1371333540,1
1371333600,1
1371333720,4
1371334200,1
1371339420,1
1371339540,3
1371340980,1
1371343140,1
1371343440,1
1371343500,1
1371344280,1
1371344880,1
1371348840,1
1371352860,1
1371353040,1
1371354480,1
1371354600,1
1371355500,1
1371355740,1
1371360780,2
1371361740,1
1371364560,1
1371375000,1
1371385080,1
1371386940,6
1371387120,3
1371387360,1
1371391560,1
1371395100,1
1371395880,1
1371396240,1
1371398520,2
1371400980,2
1371401940,1
1371402840,1
1371404280,1
1371404340,2
1371405300,1
1371407460,1
1371407880,1
1371408000,1
1371408600,2
1371408660,1
1371409140,1
1371411120,1
1371412920,1
1371414000,1
1371414300,2
1371416400,1
1371416520,1
1371416580,1
1371417780,1
1371420960,1
1371421740,1
1371422400,1
1371423240,1
1371423900,1
1371425520,1
1371425640,1
1371426900,2
1371427140,1
1371428160,1
1371428340,1
1371428580,2
1371429180,1
1371430080,1
1371433200,2
1371433800,1
1371441900,1
1371442680,2
1371453840,1
1371468120,1
1371468780,2
1371472200,1
1371472680,1
1371472860,1
1371473040,1
1371473580,1
1371473760,1
1371473880,1
1371474120,1
1371474720,1
1371475080,1
1371475440,1
1371475560,1
1371475620,1
1371475680,1
1371475800,1
1371476880,1
1371478560,2
1371480240,1
1371482160,1
1371484740,1
1371485820,1
1371487140,1
1371489900,1
1371492360,1
1371492480,1
1371493140,2
1371493680,1
1371493980,1
1371495120,1
1371495300,1
1371496440,1
1371498000,1
1371498660,10
1371502140,1
1371503040,1
1371504840,1
1371505620,1
1371505740,1
1371506400,1
1371506640,1
1371507120,3
1371507660,1
1371507780,1
1371508080,1
1371508320,1
1371508440,1
1371508740,1
1371509220,1
1371510240,1
1371510480,1
1371513060,2
1371514200,1
1371515340,2
1371518520,1
1371520260,1
1371521520,1
1371521940,1
1371524580,1
1371525960,1
1371543900,2
1371544020,3
1371549720,1
1371554040,1
1371554580,1
1371554880,1
1371555360,1
1371555540,1
1371556680,1
1371556980,1
1371557220,1
1371557640,2
1371558420,1
1371558480,1
1371558600,1
1371558960,1
1371559200,1
1371559380,1
1371559800,2
1371560100,1
1371560640,1
1371560820,1
1371561180,2
1371561660,1
1371562440,1
1371562980,1
1371564360,1
1371564540,1
1371564600,1
1371564720,1
1371565080,1
1371565680,1
1371567720,1
1371568380,1
1371569820,1
1371571080,1
1371572940,1
1371573720,1
1371575760,1
1371577020,1
1371577320,1
1371578340,1
1371579960,1
1371581820,1
1371586920,1
1371591420,1
1371592500,1
1371592860,1
1371593340,1
1371595800,1
1371596400,1
1371598380,1
1371600540,1
1371601080,2
1371606600,1
1371614460,1
1371619500,2
1371634920,1
1371639060,1
1371639900,1
1371640980,1
1371642660,2
1371642900,1
1371643080,1
1371643500,1
1371644220,1
1371645360,1
1371645720,1
1371645780,1
1371646200,1
1371646560,1
1371646980,1
1371647220,1
1371647820,1
1371648060,1
1371648540,2
1371649080,1
1371649260,1
1371649620,1
1371650040,1
1371650160,1
1371651120,1
1371651420,1
1371651660,3
1371651720,3
1371652620,1
1371653400,1
1371653880,1
1371654840,1
1371655380,1
1371655440,1
1371655560,1
1371655740,1
1371657300,1
1371659040,1
1371659700,1
1371661440,1
1371661740,1
1371663300,1
1371664020,1
1371665040,1
1371665820,1
1371666240,1
1371667500,1
1371667920,1
1371669600,1
1371671460,1
1371672180,1
1371672240,1
1371672360,1
1371675840,1
1371676140,1
1371677100,1
1371677520,1
1371677760,1
1371678000,1
1371678540,1
1371678780,1
1371678840,2
1371679020,1
1371679260,1
1371679440,1
1371679740,1
1371680760,1
1371681420,1
1371682560,2
1371682620,1
1371683400,2
1371684060,1
1371685080,1
1371685500,2
1371685860,1
1371686160,1
1371689100,1
1371689880,1
1371690600,1
1371691560,1
1371692640,1
1371692820,3
1371693840,1
1371695280,1
1371696900,1
1371697680,1
1371697860,1
1371698580,1
1371698940,1
1371700620,1
1371701820,1
1371704580,1
1371724860,2
1371724980,1
1371727080,1
1371727500,1
1371728040,1
1371728400,1
1371729000,1
1371729780,1
1371730260,1
1371730440,1
1371731400,3
1371732420,2
1371732660,1
1371733140,2
1371733680,2
1371733740,1
1371733860,1
1371734100,1
1371734340,1
1371734820,1
1371735780,1
1371737520,2
1371737820,1
1371738540,1
1371738660,1
1371738960,1
1371739320,1
1371739500,1
1371739560,2
1371740820,1
1371740880,1
1371741960,1
1371742200,1
1371744360,1
1371745200,1
1371745380,1
1371746400,1
1371746820,1
1371746940,1
1371747060,1
1371747360,1
1371747540,1
1371748140,1
1371748320,2
1371749280,1
1371749820,1
1371750000,1
1371750120,1
1371750540,1
1371751080,1
1371751920,1
1371753720,1
1371756720,1
1371757140,1
1371758940,1
1371759420,1
1371759840,1
1371760740,1
1371761280,1
1371763920,3
1371764640,1
1371765600,1
1371766560,1
1371767100,1
1371767640,1
1371767880,2
1371768060,1
1371768600,1
1371769080,1
1371769440,1
1371772020,1
1371772440,1
1371774240,2
1371774600,1
1371775620,1
1371776340,1
1371776640,1
1371780420,1
1371783540,1
1371784320,1
1371784620,1
1371786660,1
1371787920,1
1371790380,1
1371790440,1
1371795540,1
1371807840,1
1371810240,1
1371810840,1
1371814260,1
1371815340,1
1371815400,1
1371815580,1
1371815700,2
1371815880,1
1371817440,1
1371817620,2
1371817980,2
1371818100,1
1371819960,3
1371820080,1
1371820620,4
1371820680,1
1371821160,1
1371821400,1
1371821460,1
1371821640,1
1371821700,1
1371822480,1
1371822600,2
1371822660,1
1371823380,1
1371824160,1
1371824760,1
1371825420,1
1371825540,1
1371826200,1
1371827340,1
1371827400,1
1371828120,2
1371829680,1
1371830220,1
1371830400,2
1371830640,1
1371831480,1
1371831600,2
1371832200,1
1371833400,2
1371833520,1
1371834240,1
1371834420,1
1371836640,1
1371837240,1
1371838320,1
1371838500,1
1371838740,1
1371838800,1
1371839040,1
1371839340,1
1371840480,1
1371840540,2
1371842040,1
1371842580,1
1371842700,2
1371842820,1
1371844320,1
1371844500,1
1371844980,1
1371846420,1
1371847260,2
1371847620,1
1371848040,1
1371848220,1
1371851820,1
1371853500,1
1371853860,1
1371855840,1
1371856560,1
1371856980,3
1371859140,1
1371859680,1
1371862380,2
1371864960,1
1371865560,2
1371868440,1
1371869340,1
1371870480,1
1371870780,1
1371872460,1
1371875700,2
1371892140,2
1371899700,1
1371906060,1
1371908760,1
1371909060,1
1371910320,1
1371913740,1
1371914220,1
1371915420,1
1371916200,1
1371916620,2
1371918480,1
1371919140,2
1371920160,1
1371920940,1
1371921180,1
1371921480,1
1371922080,1
1371922440,1
1371922560,2
1371924180,1
1371924540,1
1371924720,2
1371924780,2
1371925560,1
1371926220,1
1371927060,2
1371928380,1
1371929580,1
1371930000,1
1371931500,1
1371936000,1
1371936600,1
1371937080,2
1371939300,1
1371939480,1
1371941580,3
1371941820,1
1371942720,1
1371942840,1
1371943020,1
1371944040,2
1371945180,1
1371946680,1
1371948720,1
1371949500,1
1371949800,2
1371949860,1
1371950040,1
1371950640,1
1371950940,2
1371952320,1
1371952620,1
1371955440,2
1371955620,1
1371955800,1
1371956280,1
1371956760,3
1371957720,1
1371958200,1
1371960600,1
1371962880,1
1371966840,1
1371974460,1
1371975720,2
1371986940,1
1371997320,1
1371998400,1
1371999720,1
1372001340,1
1372002300,1
1372002840,1
1372002960,1
1372003620,1
1372004280,2
1372005540,1
1372005900,1
1372006020,1
1372006680,2
1372008840,2
1372009380,1
1372009860,1
1372010160,1
1372010400,1
1372010640,1
1372012080,1
1372012140,2
1372012860,2
1372014480,1
1372014900,2
1372016100,1
1372017240,1
1372017780,1
1372018440,1
1372018560,1
1372019760,1
1372021020,2
1372022160,1
1372022760,2
1372023660,2
1372024800,1
1372025040,1
1372026480,1
1372026540,1
1372027140,1
1372028160,1
1372030140,1
1372031220,5
1372031520,2
1372032420,1
1372034820,2
1372034880,1
1372035120,1
1372035600,2
1372036020,2
1372036320,1
1372036620,1
1372038360,1
1372038840,1
1372038960,1
1372039380,1
1372039920,1
1372040220,1
1372040580,1
1372042320,1
1372043280,1
