datetime,arrivals
1371154680,1
1371155880,1
1371158580,1
1371158940,1
1371159240,1
1371160680,1
1371162600,1
1371162900,1
1371164640,1
1371165240,1
1371165840,1
1371165900,1
1371170280,1
1371172200,1
1371216480,1
1371227940,1
1371230820,1
1371231180,1
1371236820,1
1371242220,2
1371242460,1
1371244440,1
1371245160,1
1371247380,1
1371249000,1
1371249480,1
1371249900,1
1371250500,1
1371253740,1
1371254700,1
1371254880,2
1371255360,1
1371258360,1
1371258660,2
1371259080,1
1371261660,1
1371261960,1
1371266220,1
1371268440,1
1371305460,1
1371307380,1
1371320760,1
1371328440,1
1371329160,1
1371329520,1
1371329640,1
1371333000,1
1371333600,1
1371333720,1
1371336240,1
1371336720,1
1371337680,2
1371340020,1
1371342960,1
1371343680,1
1371344280,1
1371344640,1
1371344820,1
1371344880,2
1371346920,2
1371353280,1
1371353640,1
1371355920,1
1371356040,1
1371360480,1
1371361380,3
1371365100,1
1371365160,1
1371374160,1
1371391920,1
1371399240,1
1371400860,1
1371402240,1
1371402780,1
1371404940,1
1371405480,3
1371407940,1
1371410940,1
1371412260,1
1371418440,2
1371418860,1
1371419460,1
1371419640,1
1371419760,1
1371420180,1
1371424380,1
1371426600,1
1371437580,1
1371441420,1
1371442680,1
1371446100,1
1371446580,1
1371474060,1
1371476940,1
1371483300,4
1371483360,1
1371486660,1
1371487260,1
1371498480,1
1371500700,1
1371501960,1
1371507420,1
1371508320,1
1371508560,1
1371508980,1
1371510480,1
1371510660,1
1371511620,1
1371513060,2
1371513840,1
1371514680,1
1371515460,1
1371518820,1
1371519180,1
1371519420,1
1371519480,1
1371519540,1
1371521580,1
1371521640,1
1371521940,1
1371522480,1
1371522600,1
1371522960,1
1371524400,1
1371528960,1
1371529440,1
1371532200,1
1371538800,2
1371540060,1
1371558720,1
1371574320,1
1371577140,1
1371577200,1
1371577920,1
1371579960,1
1371586080,1
1371586200,1
1371588420,1
1371588480,1
1371592800,1
1371592860,1
1371595140,1
1371595320,1
1371596100,1
1371604620,1
1371604740,1
1371604980,1
1371606420,1
1371606780,1
1371609540,1
1371610620,1
1371610680,1
1371610740,1
1371612180,1
1371620040,1
1371621360,2
1371625140,1
1371631620,3
1371631680,3
1371631740,3
1371634380,1
1371658380,1
1371664260,1
1371671820,1
1371674520,1
1371677400,1
1371677700,1
1371680280,1
1371681120,2
1371681480,1
1371682140,1
1371682380,1
1371682500,1
1371683880,1
1371684000,1
1371686820,1
1371687720,1
1371689100,1
1371690540,1
1371690600,1
1371690720,1
1371691140,1
1371691320,1
1371692340,2
1371692640,1
1371692820,1
1371693060,1
1371694800,1
1371696480,2
1371696840,1
1371697860,1
1371706380,1
1371724860,3
1371736140,1
1371743940,1
1371748080,1
1371750720,1
1371752460,1
1371755280,2
1371758520,1
1371762900,2
1371763920,2
1371763980,1
1371764700,1
1371766260,1
1371766500,1
1371767100,2
1371767700,1
1371769020,1
1371769440,2
1371769980,1
1371770760,3
1371770880,1
1371772500,1
1371777120,1
1371777300,1
1371777720,1
1371777840,1
1371778200,2
1371778500,1
1371780480,1
1371780840,1
1371781620,1
1371781680,1
1371784800,1
1371784980,1
1371786480,1
1371786660,1
1371789780,2
1371790080,1
1371792060,1
1371796680,1
1371796980,1
1371803280,1
1371808140,1
1371823560,1
1371841740,1
1371842160,1
1371842700,1
1371842820,1
1371845160,1
1371846000,1
1371847020,1
1371847860,2
1371848040,1
1371850560,1
1371850620,1
1371850740,1
1371851820,1
1371852180,1
1371854340,1
1371857280,1
1371858000,1
1371858300,1
1371858420,1
1371859020,1
1371859500,4
1371859800,1
1371859920,1
1371860520,1
1371860700,1
1371860820,1
1371861600,1
1371862560,2
1371862680,1
1371862740,1
1371863040,1
1371864240,2
1371864540,1
1371864960,1
1371866160,2
1371866340,3
1371866460,2
1371867420,2
1371873600,1
1371874020,2
1371876060,1
1371877260,1
1371879780,1
1371884760,1
1371914940,1
1371915900,1
1371917220,1
1371921960,2
1371922800,1
1371924600,1
1371928860,1
1371928920,1
1371929100,1
1371933780,1
1371933900,1
1371934380,1
1371935460,1
1371936900,1
1371937440,2
1371938640,1
1371939240,1
1371940440,1
1371940680,2
1371941160,1
1371941820,1
1371941940,1
1371942720,1
1371942840,1
1371944040,1
1371945540,2
1371945900,2
1371947760,1
1371947880,1
1371950520,1
1371951180,1
1371953700,1
1371953880,1
1371958740,1
1371961500,1
1371961620,1
1371963720,4
1371966180,2
1371969960,1
1371976080,1
1371981660,1
1371996000,1
1372001340,2
1372002660,1
1372002720,1
1372002900,1
1372003800,2
1372006260,1
1372007460,1
1372007700,1
1372007820,1
1372011720,1
1372012080,1
1372014360,1
1372015680,1
1372016460,1
1372016940,1
1372017480,1
1372019220,1
1372019520,1
1372020180,1
1372021740,2
1372022580,1
1372027320,2
1372030500,1
1372030800,2
1372035960,1
1372037160,2
1372037280,2
1372038000,2
1372038660,2
1372043820,1
1372044600,1
1372046040,1
1372046940,1
1372047720,1
1372048440,2
1372049400,1
1372062240,1
1372066980,1
1372088760,1
1372093560,1
1372099380,1
1372101900,1
1372101960,1
1372104120,2
1372104480,1
1372106280,1
1372107840,1
1372108740,1
1372110000,1
1372110480,1
1372110660,1
1372110960,2
1372111080,1
1372111740,1
1372112280,1
1372112820,1
1372113360,1
1372113900,2
1372114740,1
1372114860,1
1372114980,2
1372115040,1
1372116120,1
1372116540,1
1372117260,1
1372118340,1
1372119780,1
1372119900,1
1372120440,1
1372120680,1
1372121100,1
1372122780,1
1372122960,1
1372123260,1
1372127340,1
1372161480,1
1372175280,1
1372176060,1
1372176240,1
1372177200,1
1372178400,1
1372179960,1
1372187160,1
1372188060,1
1372189140,1
1372190640,1
1372194540,1
1372195440,1
1372195980,1
1372196100,1
1372197180,1
1372197960,1
1372198080,2
