datetime,arrivals
1372034880,11
1372038960,1
1372044660,1
1372044720,2
1372044780,2
1372048080,2
1372066680,1
1372077720,1
1372079520,1
1372081620,1
1372086060,1
1372086120,1
1372087980,1
1372088760,1
1372090860,1
1372090920,1
1372090980,1
1372094760,1
1372098420,1
1372101840,1
1372102140,1
1372106160,1
1372110120,1
1372111440,1
1372112820,1
1372112940,1
1372113300,1
1372113660,1
1372115640,1
1372117140,1
1372118100,1
1372121580,1
1372161720,1
1372167480,1
1372173960,2
1372174020,3
1372174080,3
1372174140,1
1372174200,4
1372176300,1
1372176360,1
1372180200,1
1372184280,1
1372185060,1
1372191240,1
1372194240,1
1372194540,1
1372194780,1
1372194960,2
1372195260,1
1372196160,1
1372197180,1
1372198080,1
1372198620,1
1372199580,1
1372200600,1
1372202700,1
1372204020,1
1372204620,1
1372207380,1
1372208640,1
1372213080,1
1372215240,1
1372216920,1
1372251300,1
1372253940,1
1372258620,3
1372258680,5
1372259460,1
1372264080,1
1372265580,1
1372267440,1
1372277280,1
1372278300,1
1372282500,1
1372285560,2
1372286400,1
1372290540,1
1372291200,1
1372291560,2
1372292580,1
1372293540,1
1372293720,1
1372293840,1
1372295580,1
1372298220,1
1372298460,1
1372301220,1
1372303260,1
1372304640,1
1372307220,1
1372311960,1
1372332180,1
1372333980,2
1372339380,1
1372340400,2
1372358100,2
1372363020,1
1372370400,2
1372370520,1
1372370760,1
1372375140,2
1372376520,1
1372376760,1
1372377360,1
1372378140,1
1372379160,1
1372380960,1
1372384140,1
1372387560,1
1372392180,1
1372395720,1
1372419840,1
1372423980,1
1372424460,1
1372430880,1
1372433160,1
1372433220,1
1372436880,1
1372437780,1
1372438200,1
1372441440,1
1372442340,1
1372442460,1
1372442940,1
1372444680,1
1372448820,1
1372449000,2
1372449180,1
1372451520,1
1372451640,1
1372452840,1
1372454280,1
1372454340,1
1372456560,1
1372462260,1
1372462980,1
1372466640,1
1372466760,1
1372471020,1
1372474620,1
1372474920,1
1372483380,1
1372484340,1
1372488000,1
1372508160,1
1372513260,1
1372515300,1
1372518660,1
1372519020,1
1372519980,1
1372523160,1
1372527240,1
1372527300,1
1372534320,1
1372535340,1
1372537140,1
1372537320,1
1372541520,2
1372545960,2
1372548840,1
1372549620,1
1372550280,1
1372550700,1
1372555020,2
1372559940,1
1372566780,1
1372567620,2
1372567800,1
1372572240,1
1372592520,1
1372594500,1
1372601760,1
1372601880,1
1372605900,2
1372608420,1
1372610460,1
1372610940,1
1372611060,1
1372611420,1
1372616520,2
1372618140,1
1372618260,1
1372619520,1
1372620300,1
1372620960,2
1372624140,1
1372627320,1
