datetime,arrivals
1374797280,1
1374799800,1
1374800100,1
1374800400,1
1374800700,1
1374801540,1
1374829020,2
1374829080,3
1374839940,1
1374840120,1
1374841560,1
1374842640,1
1374842760,1
1374843960,1
1374844320,2
1374844500,1
1374844560,2
1374844980,1
1374845160,1
1374845280,2
1374845400,1
1374845820,1
1374846840,1
1374846900,1
1374848040,1
1374848460,1
1374850320,1
1374850560,1
1374851400,1
1374852720,1
1374854100,1
1374854580,2
1374856260,1
1374857040,1
1374857280,2
1374858180,1
1374858840,1
1374861000,1
1374861360,1
1374861840,1
1374862020,1
1374862140,1
1374862740,1
1374865800,2
1374865980,1
1374867300,1
1374868320,2
1374868380,1
1374868740,1
1374870660,1
1374871620,2
1374873420,1
1374874560,1
1374876420,1
1374877560,1
1374878340,1
1374880380,1
1374881640,1
1374882120,1
1374882480,1
1374882840,1
1374886200,2
1374887100,2
1374891240,1
1374895500,2
