datetime,arrivals
1371150420,1
1371154080,1
1371155640,1
1371156540,1
1371157020,1
1371157500,1
1371159660,1
1371160200,1
1371160740,1
1371161040,1
1371161880,2
1371162360,1
1371164220,1
1371164580,1
1371165000,1
1371165540,1
1371165960,1
1371184020,1
1371185760,1
1371211320,4
1371215580,3
1371215640,1
1371226080,2
1371227700,1
1371228000,1
1371231060,1
1371232200,1
1371233280,1
1371237660,1
1371237780,2
1371237840,1
1371240960,2
1371241500,1
1371242580,1
1371243600,1
1371244020,1
1371244320,1
1371244860,2
1371244980,1
1371245280,1
1371245700,2
1371246660,2
1371247440,1
1371248040,1
1371251220,2
1371252600,1
1371253920,1
1371254580,1
1371255180,2
1371256020,1
1371256320,3
1371256500,4
1371257220,1
1371257640,2
1371257760,1
1371258480,1
1371258660,1
1371258720,1
1371259140,2
1371259260,1
1371260580,1
1371261060,2
1371261840,1
1371262860,1
1371263100,1
1371264060,1
1371264240,1
1371265500,1
1371267240,1
1371267300,1
1371268320,1
1371271740,2
1371272820,1
1371275760,1
1371276480,1
1371278940,1
1371304020,1
1371306780,1
1371306840,1
1371310740,1
1371312600,2
1371313140,1
1371314640,1
1371316140,1
1371316380,1
1371316920,2
1371317100,1
1371318000,1
1371318240,1
1371318600,2
1371318840,1
1371319020,1
1371319440,2
1371319920,1
1371320580,1
1371320700,1
1371320940,1
1371321420,1
1371321480,1
1371322440,2
1371322500,1
1371322680,1
1371322740,2
1371322980,1
1371323100,1
1371325860,1
1371326640,1
1371326700,1
1371327000,1
1371327060,3
1371328200,1
1371329100,1
1371329880,1
1371330000,1
1371330060,1
1371330480,1
1371332460,1
1371332580,3
1371332640,1
1371332700,2
1371332760,2
1371332820,2
1371332880,2
1371333060,2
1371334080,1
1371334200,1
1371334680,1
1371334800,1
1371334980,2
1371335400,1
1371336060,2
1371336720,1
1371338400,1
1371338520,2
1371339060,1
1371339600,1
1371339900,1
1371341160,1
1371341220,1
1371341820,2
1371342240,1
1371343440,2
1371344040,3
1371344820,2
1371345780,1
1371345840,1
1371345900,1
1371350880,1
1371351240,1
1371351660,2
1371352740,1
1371354240,1
1371354600,2
1371355620,2
1371356040,1
1371359160,1
1371359220,1
1371360900,1
1371361020,1
1371362280,2
1371363120,1
1371363420,1
1371386520,1
1371388020,1
1371388380,1
1371389160,2
1371390000,2
1371394020,1
1371394200,1
1371396120,1
1371396540,1
1371398700,1
1371398760,2
1371399060,1
1371399660,2
1371399900,1
1371400440,1
1371401280,2
1371403380,2
1371403440,1
1371403740,4
1371404280,1
1371405120,1
1371405840,1
1371406140,1
1371406980,1
1371407220,1
1371407760,2
1371407880,2
1371409260,1
1371409680,1
1371411180,1
1371412380,2
1371412920,1
1371413040,2
1371414540,1
1371415980,2
1371418860,1
1371419280,2
1371419760,1
1371419940,1
1371420180,1
1371420360,1
1371421140,2
1371422100,3
1371422220,1
1371422460,1
1371422820,1
1371423420,1
1371424140,1
1371424260,1
1371424680,1
1371424800,1
1371425460,1
1371425940,1
1371427140,1
1371427800,1
1371427980,1
1371428040,1
1371428820,1
1371429060,1
1371429240,2
1371429900,1
1371431280,1
1371432780,1
1371432840,1
1371433140,4
1371433200,4
1371433800,1
1371433980,1
1371436380,1
1371436560,1
1371438060,1
1371438420,1
1371438600,1
1371439320,1
1371440100,1
1371440340,1
1371440820,1
1371440940,1
1371441840,1
1371443400,2
1371460740,1
1371463020,1
1371472200,1
1371480000,1
1371480660,1
1371481980,1
1371482280,1
1371485280,1
1371486600,1
1371486780,1
1371489060,1
1371490680,1
1371491580,1
1371492060,1
1371492180,2
1371492900,1
1371493140,1
1371494760,2
1371495780,1
1371496260,1
1371496680,1
1371497520,1
1371501180,1
1371501720,1
1371502440,1
1371504420,1
1371504900,1
1371505740,2
1371506220,1
1371506640,1
1371506700,1
1371506940,3
1371507240,1
1371507420,1
1371507600,1
1371507660,1
1371508140,1
1371508620,1
1371510000,1
1371510900,1
1371510960,1
1371511380,1
1371511560,3
1371511620,1
1371511920,1
1371512760,3
1371513240,2
1371513420,1
1371513540,1
1371513720,1
1371513840,1
1371514260,1
1371514320,1
1371515100,1
1371515340,1
1371515460,2
1371516420,1
1371516660,1
1371517020,1
1371517260,1
1371517860,1
1371524580,1
1371526260,1
1371526860,1
1371527940,1
1371528600,1
1371530580,1
1371534180,2
1371548220,1
1371558000,1
1371566760,1
1371568560,1
1371571320,1
1371571920,1
1371571980,1
1371572040,2
1371574740,1
1371579180,1
1371583260,1
1371584040,2
1371586320,1
1371590280,1
1371590400,2
1371592320,1
1371592740,1
1371593400,1
1371595560,1
1371596280,1
1371597120,1
1371599280,1
1371601440,1
1371602100,2
1371603900,1
1371604800,1
1371605280,1
1371605460,1
1371605820,1
1371609540,1
1371611220,1
1371611700,2
1371612000,1
1371612240,5
1371612300,3
1371612780,1
1371613620,1
1371615420,1
1371617820,1
1371617880,1
1371623520,1
1371623580,1
1371639060,1
1371645360,1
1371645900,1
1371651120,1
1371661380,1
1371661980,1
1371662100,1
1371663060,1
1371663420,1
1371663780,1
1371664020,1
1371664800,1
1371665160,1
1371666120,1
1371667740,2
1371669840,1
1371670200,2
1371671460,1
1371671700,1
1371671760,1
1371672660,2
1371672900,1
1371673380,1
1371674340,1
1371675900,1
1371677520,2
1371678240,1
1371678480,2
1371678840,1
1371679380,1
1371680100,1
1371680220,2
1371680280,1
1371680520,1
1371680580,3
1371680760,1
1371681660,1
1371681900,2
1371683040,1
1371683400,1
1371683580,1
1371684000,1
1371684300,1
1371684600,1
1371684720,1
1371685380,1
1371685860,1
1371686160,2
1371686280,2
1371686520,2
1371686820,1
1371686880,1
1371687600,1
1371689280,1
1371689460,1
1371689700,2
1371690960,1
1371691860,1
1371692340,1
1371693060,1
1371693600,1
1371693900,1
1371694200,1
1371694380,1
1371695460,1
1371696780,1
1371698700,1
1371698820,1
1371699840,1
1371700140,1
1371700260,1
1371700800,1
