datetime,arrivals
1371428100,1
1371440040,2
1371478500,1
1371481380,2
1371484680,2
1371486180,2
1371490080,1
1371490980,2
1371492000,1
1371494100,1
1371494340,1
1371494580,1
1371495420,1
1371495720,1
1371496080,2
1371503700,1
1371506940,1
1371508740,2
1371508800,1
1371509220,1
1371510540,2
1371512640,2
1371512880,1
1371513540,1
1371515340,1
1371515640,1
1371518460,2
1371519180,1
1371521280,1
1371526440,1
1371526500,1
1371529440,2
1371539100,1
1371539160,2
1371556920,1
1371563460,1
1371564120,1
1371566340,1
1371567960,1
1371571140,1
1371572760,2
1371572820,1
1371573300,1
1371575340,1
1371577320,1
1371579000,1
1371580200,1
1371581280,1
1371581760,1
1371583440,1
1371585480,1
1371591000,1
1371592620,1
1371592920,1
1371601860,1
1371604200,1
1371606240,1
1371615840,1
1371616140,1
1371643500,1
1371651660,1
1371652980,1
1371653100,1
1371656760,1
1371657900,1
1371659340,1
1371661020,1
1371662460,1
1371662820,1
1371662940,1
1371670080,1
1371672000,1
1371674340,1
1371675480,1
1371677400,1
1371679380,1
1371679680,1
1371681900,1
1371682080,1
1371682740,1
1371683100,2
1371683640,1
1371687600,2
1371688020,1
1371688200,1
1371688680,1
1371689280,1
1371689460,1
1371692580,1
1371692820,1
1371703140,1
1371709260,1
1371709380,1
1371728700,1
1371730620,1
1371730920,1
1371735000,1
1371736140,1
1371736440,2
1371741060,2
1371741840,1
1371742500,1
1371744660,1
1371745920,1
1371746400,1
1371746640,1
1371751140,1
1371752760,1
1371753780,1
1371757140,1
1371758340,1
1371759060,1
1371759780,1
1371760020,1
1371760740,1
1371762060,1
1371762300,1
1371763920,3
1371764400,1
1371764760,1
1371765720,1
1371766560,1
1371767220,1
1371768060,1
1371768300,1
1371769440,1
1371770100,1
1371770940,1
1371771000,1
1371771360,1
1371772140,1
1371772500,1
1371772980,2
1371774420,1
1371774480,1
1371776040,1
1371776940,1
1371783600,1
1371784800,1
1371786300,1
1371786540,1
1371787800,1
1371790800,1
1371792000,1
1371792240,1
1371795900,1
1371804540,1
1371816480,1
1371816960,1
1371822480,1
1371822660,1
1371824040,1
1371827520,2
1371829740,1
1371830580,1
1371832260,1
1371833280,2
1371833400,1
1371833580,1
1371833940,2
1371836880,1
1371836940,1
1371837060,1
1371839700,1
1371839940,2
1371840240,1
1371840480,1
1371840840,1
