datetime,arrivals
1371152940,1
1371153600,1
1371154260,3
1371155580,1
1371157020,1
1371157620,1
1371158340,1
1371158400,1
1371160560,1
1371160740,1
1371161340,1
1371161640,1
1371162420,1
1371162600,1
1371162840,2
1371163380,1
1371163980,2
1371213360,1
1371216480,1
1371219300,1
1371219360,1
1371228240,1
1371228300,1
1371229440,1
1371230640,1
1371230820,1
1371230940,1
1371231060,1
1371231180,2
1371231240,1
1371231960,1
1371232080,1
1371238260,1
1371239580,2
1371240780,1
1371241680,1
1371242460,2
1371243840,1
1371244680,1
1371244920,1
1371245520,1
1371246300,1
1371246360,1
1371246900,1
1371247980,1
1371248220,1
1371248400,1
1371248700,2
1371249060,1
1371250380,1
1371250560,1
1371255060,1
1371255720,1
1371256140,1
1371259140,1
1371263220,2
1371287580,1
1371299460,1
1371301320,1
1371301380,1
1371304980,1
1371306000,1
1371307440,1
1371308040,1
1371309300,1
1371310560,3
1371311100,1
1371311280,2
1371311580,1
1371312780,1
1371313260,1
1371313920,1
1371314220,2
1371315240,2
1371315420,1
1371316020,1
1371316380,1
1371316740,1
1371317820,1
1371319140,2
1371319800,1
1371320040,2
1371320940,1
1371321540,1
1371321960,2
1371323400,1
1371324720,1
1371324900,1
1371325140,2
1371326220,1
1371326280,2
1371326640,2
1371327180,1
1371327720,1
1371328200,2
1371328440,1
1371328740,1
1371329520,1
1371329940,1
1371331200,3
1371332520,1
1371333360,2
1371333720,1
1371334140,1
1371334200,1
1371334680,1
1371335640,2
1371337020,1
1371337800,1
1371337860,1
1371338700,1
1371338760,1
1371338880,1
1371339660,1
1371341340,1
1371341880,2
1371343200,1
1371345540,1
1371346380,1
1371348720,1
1371349080,2
1371357360,1
1371386280,1
1371386340,1
1371391740,1
1371392580,1
1371394380,2
1371396240,1
1371396300,1
1371398880,1
1371400740,1
1371401580,2
1371401760,1
1371402240,1
1371403440,1
1371403560,2
1371403740,1
1371403860,1
1371403920,1
1371404040,2
1371404100,3
1371404940,1
1371405840,1
1371406440,1
1371408900,1
1371410220,1
1371410520,2
1371410580,3
1371410640,1
1371411720,1
1371412200,2
1371414060,1
1371414600,2
1371415140,1
1371417480,1
1371418680,2
1371418980,1
1371419640,2
1371422520,2
1371422820,1
1371423180,1
1371423240,2
1371425100,1
1371425160,1
1371426360,1
1371429480,3
1371433740,1
1371434280,1
1371435900,3
1371439680,1
1371444360,1
1371462720,1
1371473820,1
1371477720,1
1371482160,1
1371482280,1
1371482340,3
1371482460,4
1371488640,2
1371492360,2
1371494460,1
1371496860,1
1371496920,1
1371497340,1
1371497520,1
1371499200,1
1371499440,1
1371499740,1
1371500340,1
1371500760,2
1371502200,1
1371502440,1
1371502620,1
1371502680,1
1371503820,1
1371504480,1
1371504600,3
1371505020,1
1371505680,1
1371506460,1
1371506700,1
1371507240,2
1371507360,1
1371507780,1
1371508320,1
1371508680,1
1371508800,1
1371509220,1
1371509700,1
1371512400,1
1371512460,3
1371514440,1
1371516360,2
1371516900,1
1371519060,1
1371519480,1
1371521760,1
1371522720,1
1371523260,1
1371524700,1
1371554880,1
1371557640,1
1371558300,1
1371562320,1
1371564960,1
1371565320,1
1371566100,1
1371567000,2
1371576300,1
1371576660,1
1371582480,1
1371582540,1
1371583800,1
1371584160,1
1371584460,1
1371584760,1
1371584820,3
1371585240,1
1371585360,1
1371585780,1
1371586500,1
1371587220,1
1371587640,1
1371588960,2
1371589500,1
1371590460,1
1371591780,1
1371592440,2
1371592740,1
1371594360,1
1371595860,1
1371599280,2
1371599820,1
1371604620,1
1371606180,1
1371615060,1
1371635520,1
1371650220,1
1371650580,2
1371655560,1
1371657120,1
1371658380,1
1371662460,1
1371662820,1
1371663360,1
1371664440,2
1371664620,1
1371664680,2
1371665640,1
1371668400,1
1371671940,1
1371672480,1
1371675480,1
1371676500,2
1371677340,1
1371677520,3
1371678120,1
1371678240,2
1371678660,1
1371678780,1
1371679140,1
1371679380,1
1371679620,1
1371680040,1
1371680520,1
1371680820,1
1371681000,3
1371681780,3
1371681960,1
1371682140,1
1371682980,1
1371683340,1
1371683400,1
1371683820,1
1371684720,1
1371685080,1
1371686040,1
1371686340,1
1371687360,1
1371688440,1
1371689580,1
1371691560,1
1371692460,2
1371692940,1
1371694800,1
1371707820,1
1371729060,1
1371731820,1
1371732540,1
1371733500,1
1371735420,1
1371735840,1
1371736440,1
1371736620,2
1371738060,1
1371739200,1
1371740460,1
1371744300,1
1371745320,1
1371747660,1
1371748200,1
1371750360,1
1371750720,1
1371751860,1
1371752580,1
1371753720,1
1371754980,1
1371757980,2
1371758940,1
1371759180,1
1371759360,1
1371760200,1
1371761400,1
1371761460,1
1371761820,1
1371761940,1
1371762600,1
1371763080,2
1371764280,2
1371764520,3
1371764640,1
1371764820,3
1371765420,1
1371766320,1
1371766440,1
1371767640,1
1371768480,1
1371770520,1
1371771180,3
1371771720,1
1371772500,1
1371772860,2
1371772980,1
1371773160,1
1371773460,1
1371776520,1
1371780600,1
1371781380,1
1371781920,1
1371784680,1
1371787860,2
1371821460,1
1371823680,1
1371832020,1
1371833100,2
1371833700,1
1371834540,1
1371835200,1
1371838500,2
1371839520,1
1371839640,1
1371839940,1
1371840840,1
1371842160,3
1371842820,2
1371843000,2
1371844320,1
1371844380,1
1371844680,1
1371845100,1
1371845520,4
1371846060,1
1371846120,3
1371846420,1
1371846960,1
1371847140,1
1371847680,1
1371848820,4
1371848880,1
1371849660,1
1371850620,1
1371850860,1
1371851040,1
1371851940,2
1371853260,3
1371853500,1
1371853680,1
1371854160,1
1371854280,1
1371854940,1
1371855240,2
1371855480,1
1371856740,1
1371857760,1
1371857940,1
1371859440,1
1371860400,2
1371861060,2
1371863400,1
1371872520,1
1371880020,1
1371884400,1
1371886500,1
1371906600,2
1371906720,1
1371909660,1
1371909900,1
1371910200,2
1371910920,1
1371912060,1
1371914880,1
1371917580,4
1371919440,1
1371921240,1
1371921780,2
1371922200,1
1371922740,2
1371924300,1
1371924360,1
1371924720,1
1371925560,1
1371925980,1
1371926160,1
1371926400,1
1371927300,1
1371927840,5
1371928380,1
1371929280,1
1371930240,1
