datetime,arrivals
1371150480,1
1371151260,1
1371151980,2
1371154860,1
1371157260,1
1371158520,1
1371159360,2
1371160680,1
1371162120,1
1371162360,1
1371162600,1
1371162660,1
1371165300,1
1371212400,1
1371213480,1
1371214140,1
1371216720,1
1371217860,1
1371218340,1
1371226080,1
1371227220,1
1371228540,1
1371228660,1
1371230280,1
1371237960,1
1371239160,1
1371239760,1
1371240480,1
1371243240,1
1371243780,1
1371244680,1
1371245520,1
1371247800,1
1371248160,1
1371249600,1
1371249900,1
1371250260,1
1371250920,1
1371252840,1
1371254220,2
1371254880,4
1371255240,1
1371255900,1
1371258480,1
1371259380,1
1371259920,1
1371262020,1
1371264720,1
1371265260,1
1371269520,1
1371274380,1
1371275700,1
1371280920,1
1371286680,1
1371286740,1
1371287100,1
1371293700,2
1371295980,1
1371299100,1
1371299580,1
1371311340,2
1371311400,2
1371313020,1
1371314340,4
1371315060,1
1371315240,1
1371317040,1
1371318000,1
1371320580,2
1371321720,1
1371323100,1
1371325680,1
1371325920,2
1371327900,1
1371328260,2
1371328320,3
1371329400,1
1371329520,5
1371331920,1
1371333240,2
1371333900,1
1371334380,3
1371334680,1
1371335460,1
1371335760,1
1371336480,1
1371338700,1
1371339240,2
1371341880,1
1371342240,2
1371342720,3
1371344400,4
1371346080,1
1371346620,1
1371346920,1
1371347220,1
1371353100,1
1371353280,1
1371357540,1
1371357840,1
1371363480,2
1371365820,1
1371368220,1
1371368520,1
1371372240,1
1371372420,1
1371372480,1
1371372540,1
1371372660,1
1371372720,2
1371372780,1
1371372840,1
1371377400,1
1371382320,1
1371385140,1
1371385860,1
1371391680,1
1371392580,1
1371392820,1
1371394980,1
1371399900,1
1371402360,1
1371402600,1
1371403560,4
1371404160,1
1371405000,1
1371405120,1
1371406680,1
1371407340,2
1371408960,1
1371409260,1
1371410580,1
1371411240,2
1371411300,1
1371411780,1
1371412380,2
1371412680,1
1371413160,1
1371413220,1
1371413880,1
1371414840,1
1371415920,1
1371416940,1
1371418440,1
1371420780,3
1371421560,2
1371421980,2
1371422460,1
1371422520,3
1371423000,1
1371423120,1
1371423240,1
1371423420,1
1371424200,1
1371424380,3
1371424440,1
1371424680,1
1371426060,1
1371427140,1
1371429000,1
1371429120,1
1371429240,1
1371430560,1
1371431220,1
1371431820,1
1371432840,1
1371436500,1
1371440280,1
1371441540,2
1371447420,1
1371448020,1
1371469140,1
1371470640,1
1371472260,1
1371475200,2
1371476460,1
1371477660,1
1371478740,1
1371480060,1
1371484080,3
1371484800,1
1371487740,1
1371489600,1
1371490740,1
1371491280,1
1371492360,1
1371493500,1
1371499740,1
1371500940,1
1371502380,2
1371505920,1
1371508080,1
1371509520,1
1371509580,1
1371511800,1
1371512940,1
1371513720,2
1371514320,1
1371518460,1
1371520620,1
1371520860,1
1371522420,1
1371523140,1
1371524640,1
1371525000,1
1371525720,1
1371538740,1
1371554820,1
1371555480,1
1371555960,1
1371557640,1
1371558300,1
1371563580,1
1371564060,1
1371566460,1
1371566760,1
1371575880,1
1371577680,1
1371580440,1
1371581280,1
1371583260,1
1371584820,1
1371590160,1
1371594360,1
1371599340,1
1371599520,1
1371599820,5
1371599880,5
1371599940,2
1371602460,1
1371605940,1
1371619380,1
1371624720,1
1371641700,1
1371643440,1
1371643500,1
1371645000,1
1371646980,1
1371651060,1
1371654060,1
1371654180,1
1371655140,1
1371656760,1
1371658260,1
1371659400,1
1371660540,1
1371661020,1
1371661500,1
1371661620,1
1371662160,1
1371664440,1
1371667500,1
1371675240,1
1371676860,1
1371677220,1
1371677340,2
1371677520,2
1371677700,1
1371678780,1
1371678960,1
1371679020,1
1371679080,1
1371679500,1
1371679680,2
1371679860,1
1371680040,1
1371680100,1
1371680220,1
1371680280,1
1371681120,1
1371682140,1
1371682200,3
1371682320,1
1371683040,1
1371683700,2
1371684900,1
1371685080,1
1371685680,1
1371686880,1
1371688080,2
1371688920,1
1371689760,2
1371690420,1
1371693000,1
1371693420,1
1371693480,1
1371694200,1
1371700500,1
1371700800,1
1371702360,1
1371708360,1
1371724860,1
1371729600,1
1371730020,1
1371730680,1
1371731220,1
1371732660,1
1371734520,1
1371735780,2
1371736980,1
1371737160,1
1371740340,1
1371745620,1
1371746640,1
1371747240,1
1371750900,1
1371751920,1
1371752460,1
1371754560,2
1371756240,1
1371756480,1
1371756900,1
1371759120,1
1371760560,1
1371762600,1
1371763920,1
1371764280,1
1371765600,1
1371765720,1
1371765840,1
1371766080,1
1371766140,1
1371768540,1
1371769440,1
1371769620,1
1371769680,1
1371770040,1
1371771600,1
1371772020,1
1371772320,2
1371772440,1
1371772740,1
1371773280,2
1371773460,1
1371774060,1
1371774180,3
1371774480,1
1371776700,1
1371778740,1
1371779400,1
1371781980,1
1371784680,1
1371786240,1
1371789300,1
1371789780,1
1371790020,1
1371791280,1
1371793620,1
1371798780,1
1371800640,1
1371805680,1
1371807180,2
1371816360,1
1371818220,1
1371818340,1
1371818640,1
1371819960,1
1371820620,2
1371821700,1
1371824760,3
1371827280,1
1371827760,1
1371831600,1
1371832440,3
1371832560,1
1371832920,1
1371833940,1
1371835740,1
1371835920,1
1371840240,1
1371841020,1
1371841560,1
1371842160,2
1371842580,1
1371843840,1
1371845520,1
1371846240,1
1371847020,1
1371847260,1
1371848820,2
1371850560,1
1371851820,2
1371851940,1
1371853680,1
1371855000,1
1371856320,1
1371856980,1
1371857160,2
1371857340,1
1371857640,1
1371858660,1
1371859020,2
1371859320,1
1371860160,1
1371861840,2
1371862560,2
1371863160,1
1371863220,1
1371863640,1
1371863700,1
1371863880,1
1371864540,2
1371865500,1
1371866220,1
1371866880,1
1371868980,1
1371870000,1
1371870300,1
1371870360,1
1371871380,1
1371871800,1
1371872520,1
1371872580,1
1371872700,1
1371873180,3
1371873660,2
1371873720,1
1371874020,1
1371876300,1
1371876780,1
1371877140,1
1371877380,1
1371877440,1
1371886860,1
1371893580,1
1371896340,1
1371898740,1
1371903180,1
1371905520,1
1371907620,1
1371909600,1
1371910740,1
1371912780,1
1371913080,1
1371914940,1
1371916740,1
1371916800,1
1371917880,1
1371918000,1
1371918240,1
1371918960,1
1371920880,2
1371921960,2
1371922260,1
1371924360,2
1371924720,2
1371925140,2
1371927060,1
1371927240,1
1371927360,1
1371927480,1
1371927540,2
1371927720,2
1371928680,1
1371928740,1
1371930720,1
1371931200,1
1371932220,1
1371933720,2
1371935040,1
1371935160,1
1371935460,3
1371936180,2
1371937560,1
1371939120,2
1371939780,1
1371942060,2
1371942120,1
1371943380,1
1371943500,1
1371943860,1
1371944040,1
1371945360,1
1371945900,1
1371946560,1
1371946680,3
1371947100,1
1371947880,2
1371948840,1
1371949560,1
1371951060,1
1371952020,1
1371956100,1
1371956160,1
1371957180,1
1371957360,2
1371958320,1
1371958740,2
1371959220,1
1371959340,1
1371962400,1
1371962520,1
1371963360,2
1371963660,1
1371965220,1
1371966060,1
1371966300,1
1371966420,1
1371968460,1
1371979020,1
1371981900,1
1371987060,1
1371989280,1
1371990960,1
1371994860,1
1371995820,1
1371997260,1
1371997680,1
1371997740,1
1371998520,1
1371999000,2
1372000320,1
1372000380,1
1372002360,1
1372002720,1
1372003920,2
1372004820,2
1372006440,1
1372006680,2
1372007460,1
1372010880,1
1372011300,1
1372011720,2
1372011900,2
1372012080,1
1372012860,2
1372015800,2
1372016400,1
1372018080,2
1372019340,1
1372019880,1
1372020300,2
1372021740,2
1372022520,1
1372022760,1
1372022820,1
1372023420,1
1372023960,1
1372024320,1
1372024380,1
1372024620,1
1372025220,1
1372027260,1
1372027680,1
1372029360,1
1372030380,1
1372031700,2
1372035060,2
1372036260,1
1372036680,1
1372042080,1
1372042320,1
1372044660,1
1372045260,2
1372047240,1
1372047540,1
1372047720,1
1372049580,2
1372051800,1
1372071000,1
1372072020,1
1372073520,1
1372075920,1
1372075980,1
1372076940,1
1372077600,1
1372081080,1
1372081260,1
1372082160,1
1372086060,1
1372086480,3
1372086540,2
1372086960,1
1372090680,1
1372090920,1
1372094460,1
1372097400,1
1372099320,1
1372100400,1
1372101180,1
1372103340,1
1372105200,1
1372106160,2
1372106400,1
1372107540,1
1372107600,1
1372108740,1
1372109820,1
1372109880,1
1372110000,1
1372111020,1
1372111080,2
1372111200,2
1372111740,1
1372113360,1
1372113660,1
1372114260,1
1372114560,1
1372114980,1
1372115880,1
1372116120,1
1372116240,2
1372117860,1
1372118940,1
1372119000,1
1372119240,1
1372120680,1
1372120920,1
1372121820,1
1372122240,1
1372123560,2
1372125360,1
1372128660,1
1372129140,1
1372130340,1
1372130820,1
1372131000,2
1372131360,1
1372131420,3
1372131480,5
1372131540,3
1372131600,2
1372131660,1
1372131780,1
1372132020,1
1372156260,1
1372159500,1
1372162020,1
1372162980,1
1372163040,1
1372164240,1
1372165080,1
1372175580,1
1372176720,1
1372180200,1
1372180680,1
1372181700,1
1372181940,1
1372183440,1
1372183620,1
1372184880,1
1372186800,1
1372187520,1
1372187820,1
1372188120,1
1372190220,1
1372192380,1
1372193280,1
1372193400,1
1372194840,1
1372195320,1
1372196460,1
1372196760,1
1372196820,1
1372197420,1
1372199280,1
1372199400,1
