datetime,arrivals
1371152940,2
1371154380,1
1371155040,1
1371157140,1
1371158700,1
1371158880,1
1371165300,1
1371168840,1
1371171360,1
1371180300,1
1371208920,1
1371220620,1
1371221460,1
1371224880,1
1371225420,1
1371226740,1
1371228000,1
1371234300,1
1371235380,1
1371237480,2
1371239760,1
1371240000,1
1371241500,2
1371244260,1
1371244620,1
1371245280,2
1371246000,1
1371247800,2
1371248520,1
1371250080,1
1371252000,3
1371252060,1
1371256200,1
1371256320,1
1371256620,1
1371256800,1
1371258420,1
1371258720,1
1371259080,1
1371261060,1
1371261660,1
1371263100,1
1371263220,1
1371264360,1
1371266040,1
1371269100,1
1371269580,1
1371271080,2
1371272520,1
1371282840,2
1371298500,1
1371301620,1
1371301800,2
1371303420,1
1371305820,1
1371308880,3
1371310980,2
1371311460,2
1371311700,1
1371312120,1
1371312240,1
1371312600,1
1371312900,2
1371313020,1
1371313140,1
1371314280,2
1371314400,1
1371314460,3
1371316380,1
1371316560,2
1371317880,1
1371318300,1
1371318480,4
1371319020,2
1371319140,1
1371319440,1
1371319680,1
1371320820,1
1371320940,1
1371321300,1
1371321600,1
1371322260,2
1371323280,2
1371323640,2
1371323700,2
1371324060,3
1371325140,1
1371325260,1
1371325380,1
1371325500,1
1371325680,2
1371326100,2
1371327060,1
1371327180,1
1371327720,1
1371328020,1
1371328680,1
1371328980,2
1371329100,1
1371333060,1
1371333540,4
1371335640,2
1371335880,2
1371336480,1
1371337140,3
1371338220,1
1371339900,1
1371340320,2
1371340440,2
1371340980,2
1371341040,1
1371341640,2
1371341940,1
1371344640,1
1371347880,2
1371348360,1
1371348840,2
1371351300,2
1371357960,2
1371360900,1
1371362100,1
1371362160,3
1371362760,1
1371375000,5
1371379380,1
1371389880,1
1371391260,1
1371393480,2
1371395100,1
1371395880,1
1371397980,1
1371398220,1
1371399000,1
1371399240,1
1371399360,2
1371399480,1
1371401040,1
1371401460,1
1371401580,1
1371401760,2
1371402420,1
1371403020,1
1371403200,1
1371405120,5
1371406440,1
1371407160,1
1371408120,1
1371408600,2
1371408900,2
1371408960,1
1371409500,1
1371411120,4
1371411540,1
1371413040,2
1371413100,1
1371413160,1
1371414120,1
1371415380,1
1371416580,1
