datetime,arrivals
1371155280,1
1371161160,1
1371181560,1
1371211620,1
1371213060,1
1371227640,1
1371232440,1
1371234120,1
1371234180,1
1371236160,1
1371245280,1
1371250080,1
1371256380,1
1371257940,1
1371259500,1
1371267720,1
1371273600,1
1371281520,1
1371304740,1
1371315900,1
1371316200,1
1371317400,1
1371322380,1
1371324240,2
1371330600,3
1371330660,1
1371333900,1
1371339060,1
1371339240,1
1371342600,1
1371342720,1
1371343500,1
1371343560,1
1371344580,1
1371344760,1
1371344940,1
1371353160,1
1371364020,1
1371366480,1
1371371340,1
1371371580,1
1371378480,2
1371402960,1
1371404940,1
1371407280,1
1371407340,1
1371410580,2
1371410760,1
1371413220,1
1371427200,1
1371427320,1
1371427980,1
1371430200,1
1371435660,1
1371438120,2
1371445740,1
1371503700,1
1371511320,1
1371511800,1
1371515640,1
1371527220,1
1371535800,1
1371573420,1
1371574860,1
1371582480,1
1371583920,1
1371585540,1
1371595860,1
1371599160,2
1371601500,1
1371614100,1
1371657060,1
1371662820,1
1371667680,1
1371678660,1
1371680760,1
1371682380,1
1371683340,1
1371697200,1
1371701340,1
1371747660,1
1371768600,1
1371777540,1
1371778560,2
1371778740,1
1371778920,2
1371779040,1
1371779160,1
1371820380,1
1371835440,2
1371835920,1
1371836580,1
1371848100,1
1371848220,1
1371852060,1
1371852120,2
1371855960,2
1371856260,1
1371872160,1
1371879120,1
1371882660,1
1371912780,1
1371922560,1
1371923700,1
1371923880,1
1371928800,1
1371928920,1
1371932100,1
1371933060,1
1371934380,2
1371935760,1
1371939840,1
1371949800,1
1371953880,1
1371954720,1
1371977100,1
1372009800,1
1372013880,1
1372019880,1
1372020300,1
1372023540,2
1372027680,1
1372027740,1
1372035180,1
1372038660,2
1372041600,1
1372041660,1
1372060380,1
1372095900,2
1372116420,1
1372116600,1
1372122720,1
1372125780,3
1372129140,1
1372153080,1
1372174320,1
1372186260,1
1372198080,1
1372206420,1
1372206600,1
1372207380,1
1372208520,1
1372217640,1
1372225140,1
1372263780,1
1372285080,1
1372285140,1
1372302540,1
1372310880,2
1372332000,1
1372359120,1
1372370400,2
1372375320,1
1372385760,1
1372391460,1
1372401000,2
1372410540,2
1372413780,1
1372413840,1
1372413960,1
1372425840,2
1372427880,1
1372445880,1
1372449360,1
1372453140,1
1372457820,2
1372458120,1
1372460580,1
1372464720,1
1372477380,1
1372489320,1
1372501140,1
1372501320,1
1372504380,2
1372520100,1
1372525080,1
1372525500,1
1372527240,2
1372529700,1
1372541940,1
1372585740,1
1372585920,1
1372585980,1
1372590900,3
1372597140,1
1372607760,1
1372609860,1
1372609920,1
1372619520,1
1372619760,1
1372628400,2
1372637940,1
1372639020,1
1372644000,1
1372645620,1
1372657080,1
1372666080,1
1372718520,1
1372720200,1
1372731960,1
1372745400,1
1372745460,1
1372745640,3
1372763220,1
1372763340,1
1372763760,1
1372781400,1
1372781700,1
1372793160,1
1372797600,1
1372798920,1
1372799580,2
1372799700,2
1372800000,2
1372800120,1
1372802580,1
1372811460,1
1372816740,2
1372817580,1
1372825920,1
1372844700,1
1372877220,1
1372901460,3
1372905480,1
1372906860,1
1372949820,1
1372971540,1
1372971900,2
1372972020,1
1372980060,2
1372986360,2
1372987380,2
1372990740,1
1372993260,1
1372999080,3
1372999200,1
1372999320,1
1373005380,1
1373013120,3
1373026020,1
1373039880,1
1373050800,2
1373050920,1
1373051760,1
1373054880,1
1373061840,2
1373078880,1
1373093820,2
1373094600,1
1373094780,1
1373094960,1
1373097900,1
1373126460,2
1373149200,1
1373149320,1
1373154480,1
1373154540,1
1373156520,2
1373161440,1
1373181360,1
1373181420,1
1373187960,1
1373198760,1
1373210280,1
1373231220,2
1373231880,1
1373250360,1
1373251440,1
1373259420,2
1373273880,1
1373284320,1
1373290440,1
1373302800,1
1373327340,1
1373339700,1
1373345940,1
1373375640,1
1373385120,1
1373388120,1
1373388300,1
1373401740,1
1373408640,1
1373410860,1
1373417640,1
1373422620,1
1373426460,1
1373479920,1
1373486700,1
1373488680,1
1373493780,1
1373499240,1
1373507700,1
1373513940,2
1373556300,1
1373556420,1
1373568540,1
1373580480,1
1373586480,1
1373588340,1
1373588640,1
1373589120,1
1373590080,1
1373592540,1
1373596740,1
1373602680,1
1373602800,2
1373602980,1
1373649840,1
1373667120,1
1373667840,1
1373695860,1
1373696880,1
1373731920,1
1373736120,1
1373741400,2
1373741760,1
1373760960,1
1373765340,1
1373768460,1
1373768520,1
1373807820,1
1373816220,1
1373823300,1
1373827260,1
1373829360,1
1373830020,2
1373830140,1
1373830680,1
1373833260,1
1373835180,1
1373837400,1
1373838300,1
1373838420,2
1373840040,1
1373844600,2
1373844720,2
1373847900,1
1373884560,1
1373911140,1
1373917380,1
1373927520,1
1373927760,1
1373930880,1
1373935980,1
1373944980,1
1373955600,1
1373977800,2
1373991960,1
1373992260,2
1374003540,1
1374011520,1
1374013560,1
1374014460,1
1374019320,1
1374072300,1
1374080160,1
1374097260,1
1374102180,1
1374105120,1
1374107520,1
1374111000,1
1374116760,1
1374117240,1
1374119160,1
1374119520,1
1374135720,1
1374149100,1
1374176760,1
1374185220,1
1374185940,1
1374186840,1
1374194880,1
1374198180,1
1374202920,1
1374205620,1
1374214080,1
1374220980,1
1374250020,1
1374253440,1
1374257220,1
1374264780,1
1374268560,1
1374273480,1
1374279780,1
1374289980,1
1374292200,1
1374299940,2
1374300900,1
1374302760,1
1374339840,1
1374340020,1
1374347580,1
1374350400,1
1374351540,1
1374355920,1
1374364680,1
1374367320,1
1374378420,1
1374409020,1
1374422220,1
1374424620,1
1374438360,2
1374438840,1
1374439020,1
1374446640,1
1374475440,1
1374506100,1
1374524280,1
1374524460,1
1374531900,1
1374533460,1
1374538920,1
1374548940,1
1374556200,1
1374585660,1
1374592860,2
1374604680,1
1374605760,1
1374613320,1
1374613980,1
1374614160,1
1374616980,1
1374617220,1
1374628200,1
1374630960,1
1374632640,1
1374644340,1
1374649620,1
1374652800,2
1374657960,1
1374669420,1
1374675240,1
1374686100,2
1374693540,1
1374696900,1
1374703800,1
1374709440,1
1374712980,1
1374713520,1
1374714360,1
1374717960,1
1374718140,1
1374719340,1
1374720000,1
1374721620,1
1374727260,2
1374733740,1
1374756660,1
1374766680,1
1374778440,1
1374781200,1
1374794700,1
1374795960,1
1374796020,2
1374799980,2
1374801660,1
1374833460,1
1374836760,1
1374850380,1
1374850860,1
1374858600,1
1374864660,1
