datetime,arrivals
1376569020,2
1376569140,3
1376569320,2
1376569380,4
1376569440,2
1376572500,1
1376574720,1
1376574840,1
1376575080,1
1376585940,1
1376595060,1
1376595720,1
1376608260,1
1376609400,1
1376658300,1
1376658360,1
1376661060,1
1376661540,1
1376667840,2
1376670780,1
1376678460,2
1376678520,1
1376683800,1
1376690220,1
1376690520,1
1376692860,1
1376696220,1
1376696880,1
1376702340,1
1376707080,1
1376741760,1
1376746200,1
1376747940,1
1376757060,2
1376759460,1
1376767080,1
1376771760,2
1376773680,1
1376778900,2
1376780640,1
1376781780,2
1376823060,2
1376829540,1
1376851620,1
1376859720,1
1376861520,1
1376873220,1
1376907840,1
1376932740,1
1376935200,1
1376939580,1
1376947140,1
1376950140,1
1376952720,1
1376952840,1
1376964420,1
1376984340,1
1376996640,1
1376999520,1
1377002580,1
1377002700,1
1377005880,1
1377008220,1
1377014760,1
1377022020,1
1377028980,2
1377029100,2
1377031920,1
1377034740,1
1377047280,1
1377056460,1
1377079140,1
1377080880,1
1377081240,1
1377082320,1
1377085080,1
1377087060,1
1377087120,1
1377091560,1
1377098880,1
1377101340,1
1377101940,1
1377112380,1
1377119100,1
1377120780,1
1377123240,1
1377128940,1
1377129900,1
1377131520,1
1377142380,1
1377162540,1
1377168180,1
1377172380,1
1377176760,1
1377177840,1
1377182340,1
1377185220,1
1377209340,1
1377210720,1
1377212520,1
1377212640,1
1377213300,1
1377216240,1
1377216300,3
1377216360,4
1377216420,3
1377216540,3
1377216600,2
1377216720,2
1377216840,2
1377217080,1
1377218460,1
1377219180,1
1377264360,1
1377272040,1
1377278580,1
1377293280,2
1377296100,1
1377299520,1
1377299820,1
1377300120,1
1377300960,1
1377302520,1
1377306000,1
1377315300,1
1377318600,1
1377342960,1
1377347940,1
1377348120,1
1377349980,1
1377354060,1
1377356040,1
1377356760,1
1377363120,1
1377366180,1
1377367080,1
1377370020,1
1377374640,1
1377375600,2
1377376920,1
1377380760,1
1377393120,1
1377439080,1
1377441780,1
1377442920,1
1377457080,1
1377460620,1
1377462120,2
1377462240,2
1377462600,1
1377462840,1
1377470820,1
1377471420,1
1377471960,1
1377474960,2
1377475260,1
1377511680,1
1377511800,1
1377512520,1
1377515580,1
1377517440,1
1377521580,1
1377521760,1
1377524400,1
1377530880,1
1377531960,1
1377540720,1
1377547680,1
1377556800,1
1377561060,1
1377565980,1
1377596820,1
1377598560,1
1377598620,1
1377603900,2
1377604500,1
1377605400,1
1377608100,1
1377609960,1
1377610740,1
1377611700,1
1377613980,1
1377615480,1
1377618240,2
1377624840,1
1377630360,1
1377634320,1
1377639360,1
1377641100,1
1377641940,1
1377643800,1
1377644100,1
1377644880,2
1377646320,1
1377651660,1
1377653580,2
1377654360,1
1377658200,1
1377661080,2
1377665940,1
1377682020,1
1377685800,1
1377686160,1
1377689760,1
1377690240,1
1377690360,1
1377691200,1
1377692220,1
1377693360,1
1377693660,1
1377693780,1
1377694680,4
1377694800,1
1377695580,2
1377696360,2
1377696540,1
1377696900,1
1377697680,2
1377698520,2
1377698820,1
1377700440,1
1377701160,1
1377707880,1
1377707940,1
1377708720,1
1377712200,1
1377713340,1
1377713640,1
1377718680,1
1377724860,1
1377727020,1
1377727080,1
1377729660,1
1377730020,1
1377730860,1
1377733140,1
1377734340,2
1377736200,1
1377736620,1
1377737580,2
1377737760,2
1377748020,1
1377771780,1
1377771960,1
1377774780,1
1377774900,2
1377775200,1
1377775380,1
1377776460,1
1377776700,2
1377776940,1
1377777540,1
1377778140,1
1377778500,1
1377779220,1
1377779340,1
1377779460,1
1377779820,1
1377779940,2
1377780600,1
1377780840,1
1377781500,1
1377781560,1
1377781800,1
1377781920,1
1377782280,2
1377782940,2
1377783060,1
1377783360,3
1377783780,1
1377784080,1
1377785640,1
1377786360,1
1377786840,1
1377789180,1
1377789780,1
1377789960,1
1377790920,1
1377791760,1
1377793320,1
1377794040,1
1377802200,2
1377804780,1
1377807960,1
1377808200,1
1377808560,1
1377811800,2
1377814440,1
1377815340,1
1377816060,1
1377816600,1
1377817320,1
1377821100,1
1377831900,1
1377834600,1
1377834780,2
1377835560,1
1377835800,1
1377858060,1
1377858660,1
1377861420,1
1377862260,1
1377863280,1
1377865260,1
1377865380,1
1377865500,1
1377865560,1
1377865980,1
1377868020,1
1377868380,1
1377872460,1
1377873720,1
1377876360,1
1377877080,1
1377884940,1
1377885180,1
1377886980,1
1377891060,1
1377891480,1
1377893460,1
1377894660,1
1377900180,1
1377902520,1
1377903120,1
1377903480,1
1377907020,1
1377907140,1
1377909720,1
1377910320,1
1377919800,1
1377929160,1
1377946380,1
1377949020,1
1377949380,1
1377954840,2
1377954900,2
1377954960,4
1377955020,1
1377955200,1
1377958380,1
1377960720,1
1377964860,1
1377969180,1
1377971280,1
1377973320,1
1377973440,1
1377978180,1
1377980340,1
1377983040,1
1377987120,2
1377989520,1
1377989640,2
1377990060,1
1377990120,1
1377991800,1
1377997740,1
1377998940,1
1378001160,1
1378001760,1
1378001820,1
1378001940,1
1378007340,1
1378016280,3
1378016400,3
1378024320,1
1378043640,1
1378044720,1
1378046220,1
1378047720,2
1378047840,3
1378047960,2
1378048200,3
1378049100,1
1378049580,1
1378051560,1
1378051620,1
1378053000,1
1378055640,2
1378059060,2
1378059480,1
1378060080,1
1378060380,2
1378060500,1
1378061520,2
1378061880,1
1378064700,1
1378065300,1
1378071300,1
1378073460,1
1378074900,2
1378076100,1
1378076220,1
1378076340,1
1378076580,2
1378078740,1
1378078860,1
1378080840,1
1378081800,1
1378082760,1
1378083840,1
1378085520,1
1378089900,1
1378091520,1
1378096560,1
1378097280,2
1378097700,1
1378098600,1
1378100940,1
1378125120,1
1378131600,1
1378135020,1
1378138800,1
1378139460,1
1378141020,1
1378141260,1
1378143900,1
1378145100,1
1378145280,1
1378146540,1
1378148460,1
1378149120,1
1378153080,3
1378153260,2
1378153440,2
1378153860,1
1378154100,1
1378157040,1
1378158060,1
1378158120,2
1378160760,1
1378160880,2
1378160940,1
1378161300,1
1378165140,1
1378165500,1
1378166460,1
1378171500,1
1378172940,1
1378174500,1
1378176600,1
1378204920,1
1378205760,1
1378206180,1
1378206780,1
1378207200,1
1378208280,1
1378208400,1
1378208460,1
1378208580,1
1378208640,1
1378210200,1
1378210320,1
1378210440,1
1378210680,1
1378211040,1
1378211340,1
1378211520,2
1378212000,2
1378212360,2
1378212540,2
1378212960,1
1378213140,1
1378213680,2
1378214940,1
1378215480,1
1378216440,1
1378230300,1
1378231020,1
1378235460,1
1378237080,1
1378237980,1
1378238100,1
1378240980,1
1378244340,1
1378244520,3
1378244880,1
1378245120,1
1378245420,1
1378245540,1
1378245660,1
1378247040,1
1378247160,1
1378247280,1
1378247460,1
1378247640,1
1378248240,1
1378248420,1
1378248660,1
1378249800,1
1378250460,1
1378252020,1
1378256100,1
1378258620,1
1378273440,1
1378292520,1
1378293600,1
1378293720,1
1378293900,1
1378293960,1
1378294500,1
1378295100,1
1378295280,2
1378295520,1
1378295760,1
1378295820,1
1378296120,1
1378296300,3
1378296720,1
1378297860,1
1378298220,1
1378298940,1
1378299060,2
1378299360,1
1378299600,1
1378300140,1
1378301280,1
1378302120,1
1378303320,2
1378303620,1
1378306440,1
1378307340,1
1378307400,1
1378308300,1
1378310400,1
1378312920,1
1378313160,1
1378313880,1
1378314780,1
1378314960,1
1378315620,1
1378317360,1
1378319940,1
1378320180,1
1378320300,1
1378326120,1
1378326300,1
1378326900,1
1378331340,1
1378331700,1
1378332060,1
1378333620,1
1378334340,1
1378334760,1
1378337280,1
1378338780,1
1378342140,1
1378347420,1
1378378500,1
1378384380,1
1378384740,1
1378385280,1
1378385340,1
1378385520,1
1378385880,1
1378386780,1
1378387740,1
1378389120,1
1378389900,1
1378390980,1
1378404480,1
1378412580,2
1378413480,1
1378414680,1
1378421400,1
1378422720,1
1378423200,1
1378429980,1
1378430520,1
1378465140,1
1378468860,1
1378469040,1
1378469820,1
1378470840,1
1378471680,2
1378472460,2
1378472820,1
1378473900,1
1378475220,1
1378475880,1
1378476840,1
1378477620,1
1378479900,1
1378480740,1
1378488720,1
1378489200,1
1378496940,1
1378501080,1
1378502040,1
1378504800,1
1378505340,1
1378506180,1
1378506840,1
1378507260,1
1378510740,1
1378511880,2
1378521060,2
1378555260,1
1378555740,1
1378556160,1
1378560180,1
1378565580,1
1378566840,1
1378572240,1
1378573320,1
1378573920,2
1378574520,1
1378574700,1
1378576620,1
1378578480,1
1378578780,1
1378581180,1
1378582020,1
1378582080,1
1378583160,1
1378583400,1
1378583700,1
1378584000,1
1378585140,1
1378585620,1
1378588680,1
1378596000,1
1378600740,2
1378600860,2
1378641420,1
1378641540,1
1378644600,1
1378644840,1
1378645020,1
1378645200,1
1378646460,1
1378647600,1
1378653120,1
1378653300,1
1378653780,1
1378653840,1
1378655700,2
1378656420,1
1378660320,1
1378661160,1
1378662660,1
1378664220,1
1378664880,2
1378668900,1
1378669740,1
1378673700,1
1378675440,1
1378695240,1
1378695360,1
1378697160,1
1378725180,1
1378726800,1
1378729680,1
1378730820,1
1378731960,1
1378732380,1
1378733040,2
1378733160,1
1378738140,1
1378739940,1
1378740480,1
1378742940,1
1378743060,1
1378745100,1
1378746240,1
1378763160,1
1378764000,1
1378764120,1
1378764360,1
1378764540,1
1378766760,1
1378771440,1
1378772820,1
