datetime,arrivals
1371167460,1
1371244620,1
1371251040,1
1371258960,1
1371262140,1
1371263820,1
1371295500,1
1371298800,1
1371312360,1
1371316620,1
1371317340,1
1371317700,2
1371324780,1
1371328320,1
1371329520,1
1371331320,1
1371331380,1
1371332220,1
1371332280,1
1371338220,1
1371339060,2
1371339240,1
1371339420,1
1371342720,1
1371345240,2
1371345600,2
1371347580,1
1371352200,2
1371358080,3
1371361500,2
1371362760,1
1371366240,1
1371392940,1
1371396720,1
1371402360,1
1371409980,1
1371412860,1
1371417540,1
1371417600,1
1371420180,1
1371427080,1
1371428040,1
1371428280,1
1371433440,1
1371434820,1
1371435060,1
1371441420,1
1371443520,2
1371474180,1
1371484260,1
1371487920,1
1371489960,1
1371492300,2
1371501660,1
1371503040,1
1371506700,1
1371509340,1
1371510000,1
1371513600,1
1371515340,1
1371515880,1
1371519660,1
1371520560,1
1371521580,4
1371527940,1
1371529020,1
1371556680,1
1371573420,1
1371578040,1
1371578160,1
1371580800,1
1371584580,1
1371593280,1
1371601140,1
1371601740,1
1371606720,1
1371609540,1
1371643560,1
1371647640,1
1371660720,1
1371663240,1
1371666900,1
1371669780,1
1371671700,1
1371673200,1
1371681900,1
1371682620,1
1371685080,1
1371686880,1
1371688020,1
1371688440,1
1371690780,1
1371696120,1
1371697080,2
1371698220,1
1371701820,1
1371734280,1
1371749820,1
1371750000,1
1371762420,1
1371768840,3
1371768960,3
1371769980,1
1371771180,1
1371771720,1
1371772860,1
1371773220,1
1371778380,1
1371782640,1
1371784260,1
1371785280,1
1371787800,1
1371792780,1
1371820260,1
1371820740,1
1371820860,1
1371833940,1
1371845640,1
1371846720,1
1371849900,1
1371850380,1
1371853260,1
1371853500,1
1371853560,1
1371855420,1
1371858540,1
1371858660,2
1371861660,1
1371861840,1
1371863400,1
1371865200,1
1371870720,1
1371899340,1
1371907860,1
1371912780,2
1371912840,3
1371913260,14
1371913320,1
1371913620,1
1371920940,1
1371924720,1
1371927360,1
1371928620,1
1371929880,1
1371930660,1
1371942420,1
1371943380,1
1371943500,1
1371946020,3
1371948840,1
1371956340,1
1371956460,1
1371961680,2
1371965100,1
1371965280,1
1371969720,1
1371988680,1
1371994440,1
1371997380,1
1371999720,1
1372001340,1
1372001580,1
1372001640,1
1372002420,1
1372003380,2
1372004580,2
1372005540,1
1372005660,1
1372007280,1
1372007940,1
1372010160,1
1372011420,1
1372011900,1
1372012740,2
1372014900,1
1372015680,1
1372019040,1
1372019220,2
1372021680,1
1372023120,1
1372030020,1
1372030200,2
1372033260,1
1372033980,1
1372036320,2
1372038900,1
1372039080,1
1372040400,1
1372046160,1
1372079160,1
1372081080,1
1372082580,1
1372086600,1
1372091220,2
1372092540,1
1372099020,1
1372101120,1
1372102080,1
1372102680,1
1372103160,1
1372104360,1
1372109700,2
1372110360,1
1372110840,1
1372113300,1
1372113420,1
1372113720,1
1372114020,1
1372114080,1
1372114200,1
1372114260,2
1372114320,1
1372114500,1
1372115760,1
1372116180,1
1372117140,1
1372126200,1
1372160760,1
1372165320,1
1372166160,1
1372171320,1
1372172400,1
1372172460,1
1372172520,2
1372172700,1
1372180080,1
1372180200,1
1372181760,1
1372186440,1
1372187520,1
1372188840,1
1372189140,1
1372192740,1
1372195620,1
1372197060,1
1372199040,1
1372199220,1
1372202160,1
1372202460,1
1372203300,2
1372204380,1
1372204620,1
1372204740,1
1372204800,1
1372245480,1
1372248480,1
1372251780,1
1372255020,1
1372256040,1
1372256700,1
1372257240,1
1372257480,1
1372257540,2
1372259580,1
1372260720,3
1372265160,1
1372270200,1
1372271640,1
1372271940,1
1372272300,2
1372273020,1
1372278540,1
1372282500,1
1372282620,1
1372285980,1
1372286280,1
1372286880,1
1372287540,1
1372290540,1
1372291020,1
1372291260,1
1372292160,1
1372292460,1
1372293180,2
1372293540,2
1372294020,1
1372294080,1
1372294380,1
1372294920,3
1372295040,1
1372295640,1
1372297320,1
1372304340,1
1372331460,1
1372335420,1
1372340400,1
1372344420,1
1372344540,1
1372346220,1
1372348260,1
1372351260,1
1372361520,1
1372370400,2
1372370580,1
1372374060,2
1372374540,1
1372375560,1
1372376160,1
1372378140,1
1372378980,1
1372379880,1
1372381680,1
1372381860,1
1372385160,1
1372387560,1
1372390680,1
1372396980,1
1372397820,1
1372402860,1
1372414020,1
1372416180,1
1372418160,1
1372422960,1
1372427100,1
1372427160,1
1372427280,1
1372427580,1
1372428060,1
1372438620,1
1372441620,1
1372442940,1
1372443300,1
1372447980,1
1372448280,2
1372452600,1
1372456440,1
1372457520,1
1372458120,1
1372458960,1
1372460100,2
1372460940,1
1372461060,1
1372461180,1
1372461240,2
1372462140,1
1372463520,1
1372464780,1
1372468140,1
1372471080,1
1372472700,1
1372474020,1
1372474620,1
1372475460,1
1372476660,1
1372484400,1
1372484460,1
1372485180,1
1372485840,1
1372497180,1
1372507440,1
1372509660,1
1372510620,1
1372510800,2
1372512720,1
1372514880,1
1372514940,1
1372515120,1
1372517220,1
1372518840,1
1372519860,1
1372521900,1
1372522560,1
1372525080,1
1372525140,1
1372529520,1
1372531020,1
1372532700,1
1372533660,2
1372535340,1
1372537140,1
1372542600,1
1372542660,1
1372543380,1
1372543680,1
1372543800,2
1372545960,2
1372546080,2
1372546860,3
1372547580,1
1372547820,1
1372548180,2
1372549320,1
1372549380,1
1372560120,1
1372560420,1
1372561680,1
1372573320,1
1372591320,1
1372595460,1
1372595760,1
1372601460,1
1372604400,1
1372607160,1
1372607820,1
1372607880,1
1372613160,1
1372615440,1
1372619580,1
1372619640,1
1372619760,1
1372620360,1
1372622160,1
1372622340,1
1372623060,2
1372623900,2
1372624140,2
1372624680,1
1372626480,2
1372628100,1
1372629480,2
1372630860,1
1372632300,1
1372636020,1
1372637400,1
1372638540,1
1372639800,1
1372642680,1
1372643520,2
1372643940,1
1372644660,1
1372647060,2
1372648140,1
1372650600,2
1372657800,1
1372676220,1
1372677360,1
1372687020,1
1372689360,1
1372698780,1
1372707660,1
1372711620,1
1372717860,5
1372718640,1
1372719420,1
1372721880,1
1372722480,1
1372723800,2
1372724340,1
1372724520,2
1372726740,1
1372728240,1
1372731000,2
1372731300,1
1372732020,1
1372762140,1
1372766220,1
1372766280,1
1372767840,1
1372768740,1
1372776000,1
1372780020,1
1372788900,1
1372793220,1
1372794480,1
1372798260,1
1372800480,1
1372800780,1
1372802100,1
