datetime,arrivals
1373825580,1
1373829000,1
1373829180,1
1373829600,1
1373829720,1
1373830920,1
1373832840,1
1373834940,1
1373840580,1
1373845860,1
1373845980,1
1373846880,1
1373850000,2
1373864760,1
1373896920,1
1373897040,1
1373904900,1
1373906280,3
1373906580,1
1373907540,1
1373908200,1
1373908560,2
1373910540,1
1373911020,1
1373911320,1
1373911680,1
1373911980,1
1373912520,2
1373913360,1
1373913480,1
1373915160,1
1373915280,1
1373917560,1
1373917680,1
1373917740,1
1373918100,1
1373918760,2
1373919240,1
1373919480,1
1373923200,1
1373923320,2
1373927400,1
1373928540,1
1373928720,1
1373928780,1
1373929920,1
1373930040,1
1373930460,1
1373930760,1
1373931180,1
1373931900,1
1373932080,1
1373932980,1
1373934240,1
1373937540,2
1373938860,1
1373966940,2
1373967060,1
1373967180,3
1373967300,2
1373972400,1
1373972640,1
1373972760,1
1373975640,1
1373979120,1
1373979240,1
1373979540,1
1373979840,1
1373980260,1
1373982360,1
1373982960,2
1373983080,1
1373983500,1
1373983860,2
1373984160,1
1373984580,2
1373984760,1
1373984940,1
1373986800,1
1373987160,1
1373989200,1
1373991240,1
1373991900,1
1373993580,1
1373994000,1
1373994480,1
1373994840,1
1373995320,1
1373996100,1
1373996880,1
1373997840,1
1373998380,1
1373998620,1
1373999460,1
1373999700,1
1374000000,1
1374001440,1
1374001800,1
1374002580,1
1374004020,1
1374004980,1
1374006180,1
1374006660,1
1374006720,1
1374008520,2
1374009720,1
1374011040,1
1374011160,1
1374011640,1
1374012600,1
1374012720,1
1374012900,1
1374014340,2
1374015660,2
1374016020,1
1374016320,1
1374017940,1
1374018000,1
1374018120,1
1374020520,1
1374020640,1
1374026520,1
1374028200,1
1374028560,1
1374033360,1
1374053100,1
1374058620,1
1374060360,1
1374061740,1
1374062640,1
1374063120,1
1374063540,1
1374065460,2
1374065580,1
1374066060,1
1374067260,1
1374067500,1
1374067740,1
1374068700,1
1374069000,1
1374069180,2
1374069480,1
1374070140,1
1374070200,1
1374071220,2
1374071580,1
1374071700,1
1374078420,1
1374078540,1
1374079380,1
1374082440,1
1374082860,1
1374083760,1
1374084120,1
1374085200,1
1374085320,1
1374085440,1
1374085500,1
1374086640,1
1374087180,1
1374087360,1
1374088440,1
1374088740,1
1374089040,1
1374089160,1
1374094320,1
1374096420,1
1374097980,1
1374098040,1
1374099120,1
1374099300,1
1374100380,1
1374100680,1
1374100980,1
1374102120,1
1374103140,1
1374103440,1
1374108300,1
1374111480,1
1374111960,1
1374113760,1
1374144480,1
1374145260,1
1374145500,1
1374146880,1
1374147180,1
1374149340,1
1374150780,1
1374150840,1
1374151800,1
1374152580,1
1374153660,1
1374154440,2
1374154980,1
1374155400,2
1374156120,1
1374156180,5
1374156480,1
1374157200,1
1374157500,2
1374160500,1
1374164580,1
1374165720,1
1374165960,1
1374166140,1
1374166680,1
1374168540,1
1374169020,2
1374169980,1
1374189720,1
1374189840,1
1374191700,1
1374192060,1
1374192360,2
1374192660,1
1374192960,1
1374193080,3
1374193200,3
1374193260,5
1374193320,3
1374193440,1
1374193560,1
1374194100,1
1374196740,1
1374197580,2
1374201900,1
1374207660,1
1374231780,1
1374233400,1
1374233520,1
1374233640,1
1374235920,1
1374237600,1
1374237900,1
1374239100,1
1374239160,1
1374239700,1
1374240000,1
1374240120,1
1374240900,1
1374241140,1
1374242100,1
1374242280,1
1374242520,1
1374242580,2
1374242820,1
1374243420,1
1374243780,1
1374245520,1
1374245940,1
1374247200,1
1374247320,1
1374247680,1
1374247800,2
1374249480,1
1374250680,1
1374250860,1
1374251280,1
1374252180,1
1374252540,1
1374253320,1
1374253620,1
1374256260,2
1374256320,1
1374256860,1
1374256980,1
1374257040,1
1374257280,1
1374258960,1
1374260520,1
1374260700,1
1374261420,1
1374261600,1
1374262560,1
1374266220,1
1374266340,1
1374267240,1
1374267780,1
1374268920,1
1374269580,1
1374269760,1
1374270960,1
1374271740,1
1374274020,1
1374277200,1
1374277980,1
1374280620,1
1374282240,1
1374288960,2
1374291360,1
1374294300,1
1374295020,1
1374302160,1
1374318180,1
1374318900,1
1374323220,1
1374323280,1
1374329220,1
1374329700,1
1374332580,1
1374333180,1
1374334920,1
1374335460,1
1374336840,1
1374337440,1
1374337620,2
1374338640,1
1374339240,2
1374339420,1
1374340200,2
1374340680,1
1374340920,2
1374341040,1
1374341280,2
1374341520,1
1374342960,2
1374343320,1
1374343620,2
1374345360,1
1374347580,1
1374348060,1
1374348660,2
1374348840,1
1374348960,2
1374349560,1
1374349740,1
1374350160,1
1374350280,2
1374351420,1
1374351660,1
1374352020,1
1374352560,1
1374353400,2
1374354060,1
1374354900,3
1374355920,1
1374356160,1
1374357120,2
1374357720,1
1374359040,1
1374361140,1
1374362100,1
1374363480,1
1374366540,1
1374367140,2
1374371400,1
1374371640,1
1374372720,1
1374376020,1
1374381120,2
1374385980,1
1374386520,1
1374391440,1
1374410460,1
1374413700,1
1374419040,1
1374420360,1
1374420420,1
1374420900,2
1374421440,1
1374422340,1
1374422700,1
1374422940,1
1374423540,3
1374423780,1
1374424200,1
1374424980,1
1374426720,1
1374426900,1
1374427140,1
1374427860,1
1374429060,1
1374429840,1
1374430140,2
1374430260,2
1374431820,2
1374432780,2
1374432840,2
1374434220,1
1374434400,1
1374436620,1
1374436800,1
1374437160,1
1374439200,1
1374439620,2
1374441240,2
1374441360,1
1374441660,1
1374442440,1
1374443280,1
1374444180,1
1374444660,3
1374445260,1
1374445980,1
1374446100,1
1374448980,2
1374449640,1
1374449700,1
1374449940,1
1374450420,1
1374451500,1
1374452520,1
1374454380,3
1374455220,1
1374455520,1
1374456180,1
1374456240,1
1374458940,1
1374461400,1
1374491460,1
1374493800,1
1374494220,1
1374494400,1
1374494640,1
1374498300,1
1374498360,1
1374498720,1
1374498960,1
1374499560,1
1374499740,1
1374499860,1
1374501060,1
1374501300,1
1374501360,1
1374501480,1
1374501720,2
1374502080,1
1374503640,1
1374504000,1
1374504540,2
1374505620,1
1374505980,1
1374506340,1
1374508380,1
1374509640,1
1374509700,2
1374510060,1
1374510300,1
1374510540,1
1374510840,1
1374511380,1
1374512940,1
1374514620,1
1374515100,1
1374516420,1
1374517080,1
1374517260,1
1374519900,1
1374520620,1
1374521520,2
1374523260,1
1374523320,1
1374523800,1
1374523920,1
1374524280,1
1374528000,2
1374528060,1
1374528360,1
1374528900,1
1374529620,1
1374530520,1
1374531480,1
1374531600,2
1374531720,1
1374534780,1
1374535680,1
1374536220,1
1374537300,1
1374538020,1
1374538080,1
1374538920,3
1374540300,1
1374543900,1
1374547800,1
1374548640,1
1374554040,1
1374554100,1
1374563100,1
1374581460,1
1374581940,1
1374583320,2
1374583560,1
1374583980,1
