datetime,arrivals
1371150600,2
1371152400,1
1371152640,2
1371154800,1
1371154980,1
1371156780,1
1371159120,1
1371160320,2
1371160740,1
1371162240,1
1371162660,2
1371163140,1
1371164040,1
1371164100,1
1371165300,1
1371167460,1
1371170760,1
1371205440,1
1371207900,1
1371211920,1
1371212760,1
1371212880,1
1371213240,1
1371214140,1
1371214380,1
1371214860,1
1371215100,1
1371215520,1
1371215700,1
1371217200,1
1371217560,1
1371217980,1
1371218220,1
1371218340,1
1371221580,1
1371223500,1
1371223980,1
1371226980,2
1371227520,1
1371227880,1
1371227940,1
1371229860,1
1371231840,1
1371232440,2
1371232620,1
1371233340,2
1371233400,1
1371233700,1
1371234720,1
1371235020,1
1371235500,1
1371235740,1
1371236460,2
1371236820,1
1371237480,1
1371238800,1
1371239400,1
1371240660,1
1371241080,1
1371241140,2
1371241260,1
1371241980,1
1371243600,2
1371244080,1
1371244260,2
1371244560,2
1371245400,1
1371245880,1
1371248400,1
1371250140,1
1371253440,1
1371255180,1
1371256500,1
1371256800,1
1371258660,1
1371259140,1
1371263940,1
1371288600,1
1371297720,1
1371298860,1
1371300960,1
1371302880,4
1371303060,2
1371304980,2
1371306600,1
1371307080,1
1371307800,1
1371307860,1
1371308880,1
1371309600,1
1371310260,1
1371310560,1
1371311820,3
1371312960,1
1371313380,1
1371316920,1
1371318660,1
1371319920,1
1371320100,1
1371322140,1
1371322860,1
1371324000,1
1371325440,1
1371326880,1
1371327600,1
1371336960,1
1371338520,1
1371341700,1
1371343440,1
1371344760,1
1371350580,1
1371353040,1
1371375240,1
1371384120,1
1371385500,1
1371388200,1
1371389460,1
1371389580,1
1371394740,1
1371395160,1
1371396180,2
1371396420,2
1371396480,1
1371396780,1
1371399480,2
1371399660,1
1371400440,1
1371401820,1
1371403020,1
1371403620,1
1371404940,1
1371405000,1
1371405420,2
1371408120,1
1371409140,2
1371409740,2
1371410700,1
1371411720,1
1371412680,1
1371414000,2
1371414060,4
1371414120,4
1371414180,2
1371414540,2
1371414600,2
1371417180,1
1371418200,1
1371419460,1
1371419760,1
1371421800,1
1371421860,1
1371421980,2
1371422640,2
1371423780,1
1371424200,1
1371425160,2
1371426120,1
1371426240,1
1371427620,1
1371429600,1
1371433080,1
1371438360,1
1371441420,1
1371447120,2
1371462480,1
1371464580,1
1371464700,1
1371464760,1
1371469140,1
1371470160,1
1371470220,1
1371471240,1
1371472020,1
