datetime,arrivals
1371151320,1
1371154860,1
1371156600,1
1371157320,1
1371158940,1
1371159120,1
1371163320,1
1371164640,2
1371164700,1
1371164760,1
1371165000,1
1371165240,1
1371213360,1
1371217320,1
1371217500,1
1371218160,1
1371222360,1
1371222900,1
1371223560,1
1371223860,1
1371227460,1
1371235800,1
1371236100,1
1371237060,1
1371237660,1
1371239280,1
1371239940,1
1371240480,1
1371241140,1
1371242880,2
1371244080,1
1371244260,1
1371244560,1
1371245640,2
1371247200,1
1371248460,1
1371248880,1
1371249060,1
1371250080,1
1371250560,1
1371250800,1
1371251220,1
1371251640,1
1371252000,2
1371252120,1
1371253620,2
1371253740,1
1371254760,1
1371255720,3
1371256680,2
1371256800,1
1371258060,3
1371261120,2
1371261360,1
1371262380,1
1371265440,1
1371265860,2
1371266640,2
1371267240,1
1371267360,1
1371269760,1
1371272040,1
1371277320,1
1371281820,1
1371284520,1
1371295620,1
1371297840,1
1371298320,1
1371299820,1
1371300180,1
1371300420,2
1371303000,1
1371304260,1
1371309540,2
1371310440,1
1371312060,1
1371314100,1
1371314280,1
1371314700,1
1371315000,4
1371316200,1
1371316320,1
1371317700,1
1371317880,1
1371318000,1
1371318600,3
1371319380,1
1371319860,1
1371320580,1
1371320760,1
1371322740,1
1371323760,1
1371324180,1
1371324780,1
1371324900,2
1371325080,1
1371326580,1
1371327060,1
1371328080,1
1371328620,1
1371329040,1
1371329520,2
1371330120,1
1371330300,1
1371331620,2
1371332160,2
1371332280,1
1371334800,1
1371335460,1
1371337260,4
1371337380,1
1371337440,2
1371337500,3
1371337620,2
1371337740,1
1371339300,1
1371342360,1
1371343200,2
1371344160,1
1371347100,1
1371355260,1
1371358140,1
1371358500,1
1371359580,1
1371383580,1
1371383640,5
1371383760,6
1371385740,1
1371385980,1
1371387240,1
1371387780,1
1371388920,1
1371390900,1
1371391500,1
1371391740,1
1371391920,1
1371394200,2
1371394440,1
1371394980,1
1371396480,1
1371398580,1
1371399180,1
1371400320,1
1371400740,1
1371401940,1
1371402360,1
1371402720,2
1371403860,1
1371403920,1
1371404040,1
1371404580,1
1371404940,1
1371409080,1
1371409740,1
1371410340,1
1371411840,1
1371412020,1
1371412260,1
1371412440,1
1371412500,1
1371412740,2
1371412860,3
1371412920,2
1371413040,1
1371413160,4
1371413220,3
1371414840,1
1371415200,1
1371415680,1
1371415800,1
1371415980,2
1371416520,1
1371416820,1
1371416880,1
1371417060,1
1371417480,1
1371418200,1
1371419040,1
1371419340,1
1371420180,1
1371420780,1
1371422520,1
1371422880,1
1371425220,1
1371427080,2
1371427320,1
1371429600,1
1371429840,1
1371429900,1
1371430440,1
1371431220,1
1371431280,1
1371431340,1
1371436920,2
1371440880,2
1371460260,1
1371460380,2
1371460500,1
1371460620,1
1371460680,1
1371461400,4
1371463380,1
1371463980,1
1371464760,1
1371468180,1
1371471360,1
1371471420,1
1371471720,1
1371472680,2
1371473400,1
1371474120,1
1371474660,1
1371479520,1
1371483300,1
1371486420,2
1371486660,1
1371488280,1
1371490380,1
1371490560,1
1371491760,1
1371492720,2
1371493500,1
1371494460,1
1371495240,1
1371495300,1
1371495420,1
1371496440,1
1371499140,1
1371499260,1
1371500160,1
1371500220,1
1371501480,1
1371501900,1
1371503280,2
1371504060,2
1371504480,1
1371504900,1
1371505200,1
1371506640,1
1371506820,1
1371507300,1
1371507540,1
1371508200,2
1371508440,1
1371508740,2
1371510000,1
1371510960,2
1371511080,1
1371511320,3
1371511500,1
1371511620,1
1371511680,1
1371512100,1
1371512760,1
1371513540,1
1371514260,1
1371514320,1
1371514800,2
1371515100,2
1371515220,1
1371515340,2
1371515580,1
1371516120,1
1371516780,1
1371516900,1
