datetime,arrivals
1371153600,1
1371157980,1
1371161700,1
1371174420,1
1371177180,1
1371212940,1
1371213660,1
1371215340,1
1371217560,1
1371219600,1
1371219720,1
1371219900,1
1371222840,1
1371226620,1
1371229140,1
1371231480,1
1371233640,1
1371234480,1
1371239880,1
1371240480,1
1371242220,1
1371243120,1
1371244440,1
1371244680,1
1371244800,1
1371246300,2
1371249300,1
1371250800,1
1371251160,1
1371251640,1
1371252360,1
1371252900,1
1371253800,2
1371255060,1
1371255900,1
1371258780,1
1371272520,1
1371273480,1
1371302100,1
1371302160,1
1371309300,1
1371309600,1
1371311280,1
1371311400,2
1371311580,2
1371314040,2
1371317280,1
1371319980,1
1371320760,2
1371327600,1
1371330060,1
1371332880,1
1371333240,2
1371338220,1
1371338400,1
1371338760,2
1371339360,1
1371347460,1
1371347520,1
1371347880,1
1371348000,1
1371354780,2
1371359700,2
1371386940,1
1371388800,1
1371391680,1
1371393840,2
1371394560,2
1371394620,2
1371399180,1
1371402720,1
1371402780,1
1371403200,2
1371405600,1
1371405720,1
1371406260,1
1371407040,2
1371408600,1
1371409440,1
1371412200,2
1371413460,1
1371414300,2
1371415140,1
1371415320,1
1371416640,1
1371418260,1
1371418920,2
1371419640,3
1371419760,2
1371420420,1
1371421140,1
1371421620,1
1371422160,1
1371424920,1
1371424980,1
1371469560,1
1371471420,1
1371471600,2
1371472200,2
1371472500,1
1371472680,1
1371473160,2
1371476340,1
1371477420,2
1371477660,1
1371478560,2
1371478800,1
1371479340,1
1371480720,1
1371482580,1
1371483780,1
1371485940,1
1371486600,2
1371488460,1
1371490200,1
1371490860,1
1371492180,1
1371493620,1
1371494640,1
1371495780,1
1371495840,1
1371495960,1
1371496440,2
1371500100,1
1371501720,1
1371502620,1
1371504300,1
1371505200,1
1371505920,1
1371506040,1
1371507420,1
1371508800,1
1371510780,1
1371510840,1
1371511200,1
1371516420,1
1371519360,1
1371519780,1
1371546360,3
1371546420,2
1371554580,1
1371554880,1
1371555060,1
1371555540,1
1371556560,1
1371556800,2
1371556920,2
1371557880,1
1371558300,1
1371558420,1
1371559380,1
1371559440,1
1371559680,1
1371560100,1
1371560160,1
1371560280,1
1371560700,1
1371561540,1
1371562440,1
1371565680,1
1371577560,1
1371577620,18
1371577680,6
1371578220,1
1371579780,3
1371594660,1
1371602040,1
1371605880,1
1371642660,1
1371644340,1
1371644820,1
1371646860,1
1371647040,1
1371647460,1
1371648660,1
1371649140,1
1371649200,1
1371649500,1
1371649560,1
1371649620,1
1371649800,1
1371650040,1
1371651900,1
1371653340,1
1371655560,1
1371656880,1
1371658740,1
1371659160,1
1371660240,1
1371660420,1
1371661620,1
1371664020,2
1371665760,1
1371669240,1
1371671460,1
1371674220,1
1371674640,1
1371675540,1
1371675600,1
1371679440,1
1371679680,1
1371679860,1
1371681780,1
1371681960,1
1371682380,1
1371682860,2
1371685680,1
1371686760,1
1371687540,1
1371688140,1
1371691080,2
1371696720,1
1371726360,1
1371728220,1
1371728940,1
1371729060,1
1371729180,1
1371729240,1
1371729300,1
1371729840,1
1371729900,1
1371730260,1
1371731220,1
1371731700,1
1371731820,3
1371731940,1
1371732300,1
1371732420,2
1371732840,1
1371733080,1
1371733320,1
1371733860,1
1371734160,1
1371744120,1
1371748080,1
1371759960,1
1371761100,2
1371761940,1
1371762420,1
1371763200,1
1371764400,1
1371764700,1
1371766860,1
1371767820,1
1371768540,1
1371768660,1
1371769440,1
1371769500,2
1371772500,1
1371779880,1
1371780840,1
1371783060,1
1371784500,1
1371791280,1
1371791460,1
1371814740,1
1371815100,2
1371815340,1
1371815400,2
1371816360,1
1371816480,1
1371817620,2
1371817740,1
1371817980,1
1371818100,2
1371818520,1
1371818580,1
1371819960,6
1371822540,1
1371823320,1
1371823380,1
1371824280,1
1371826200,1
1371827280,1
1371835620,2
1371837960,1
1371840180,1
1371842700,1
1371845700,1
1371846060,1
1371846840,1
1371847260,1
1371848880,1
1371849180,1
1371849480,1
1371853500,2
1371854400,1
1371855960,2
1371857040,2
1371859680,1
1371860400,1
1371867660,2
1371868440,1
1371870720,1
1371908040,1
1371908160,3
1371908340,2
1371908400,1
1371908520,1
1371908580,1
1371908640,2
1371909780,1
1371910860,1
1371911580,1
1371915360,1
1371915720,1
1371917880,1
1371919320,1
1371919620,1
1371920400,1
1371920520,1
1371922080,2
1371922320,1
1371923580,1
1371923700,1
1371925680,1
1371925860,4
1371927120,2
1371930960,1
1371931380,1
1371933900,3
1371937320,1
1371938100,1
1371939240,1
1371939600,2
1371939720,1
1371940140,2
1371940500,2
1371940560,5
1371940620,7
1371940680,1
1371940800,1
1371941580,1
1371943740,2
1371947580,1
1371950940,2
1371952680,1
1371955560,2
1371956280,1
1371956340,1
1371969960,1
1371989520,1
1371990960,1
1371992700,1
1371999480,1
1371999780,2
1372002360,1
1372003080,1
1372004400,1
1372004640,1
1372007400,1
1372010400,1
1372014540,2
1372015260,2
1372015560,2
1372016040,2
1372016400,1
1372016460,1
1372016580,2
1372016880,1
1372018560,1
1372020840,1
1372020900,1
1372022760,2
1372023960,2
1372025520,2
1372025820,2
1372026600,1
1372027500,1
1372029060,1
1372030500,1
1372032360,2
1372034460,2
1372035600,2
1372037160,1
1372037220,1
1372037820,2
1372043100,2
1372071120,1
1372071540,2
1372071900,1
1372073040,1
1372073280,2
1372073520,1
1372073640,1
1372073820,1
1372074480,1
1372074540,1
1372075440,1
1372075560,1
1372075680,1
1372076160,1
1372076220,1
1372076580,1
1372077000,1
1372077540,1
1372077720,1
1372077780,3
1372078680,1
1372080480,1
1372088640,1
1372088820,1
1372092060,1
1372093320,1
1372093380,1
1372097760,1
1372098720,1
1372098840,1
1372099800,1
1372103700,1
1372105380,1
1372105740,1
1372108800,1
1372108980,1
1372109280,1
1372111800,1
1372112520,1
1372115940,1
1372116180,1
1372118280,1
1372118700,1
1372120140,1
1372120260,1
1372120320,2
1372120800,1
1372121100,1
1372121940,1
1372122240,1
1372126980,1
1372127400,1
1372131480,1
1372132860,1
1372158240,1
1372158300,1
1372158960,1
1372159260,2
1372159680,2
1372160040,1
1372160220,1
1372161000,1
1372161360,1
1372161540,1
1372161660,1
1372161720,1
1372161780,1
1372161960,1
1372162200,1
1372162320,1
1372162380,1
1372162680,2
1372166160,1
1372167180,1
1372171440,1
1372172400,1
1372177800,1
1372179600,1
1372180200,1
1372182840,1
1372183680,1
1372183800,1
1372184460,1
1372185000,1
1372187460,1
1372188300,1
1372191960,1
1372192680,1
1372193760,1
1372194180,2
1372197720,1
1372201440,1
1372202940,1
1372203540,1
1372205160,1
1372206900,2
1372210980,1
1372211340,2
1372225380,1
1372225500,9
1372239960,1
1372243380,1
1372244640,1
1372245240,1
1372246740,1
1372246860,1
1372247100,1
1372247340,2
1372247400,1
1372247760,1
1372249500,1
1372250040,2
1372250280,1
1372250880,1
1372251120,1
1372251960,1
1372252080,2
1372252320,1
1372252440,1
1372252560,2
1372253100,2
1372253640,2
1372254360,1
1372255260,1
1372255560,1
1372259100,1
1372259280,1
1372263660,1
1372264080,1
1372264560,1
1372266300,1
1372272360,1
1372275540,1
1372279800,1
1372280580,1
1372280760,1
1372283280,1
1372284240,1
1372284780,1
1372285140,1
1372286280,1
1372287360,1
1372287540,1
1372295040,1
1372295100,1
1372295700,1
1372298820,1
1372302360,2
1372325520,6
1372330860,1
1372330920,1
1372331160,1
1372333620,1
1372333800,1
1372333980,1
1372334520,1
1372334760,1
1372335660,1
1372336500,1
1372336920,1
1372337040,1
1372337880,1
1372338120,1
1372338540,2
1372339800,1
1372340400,4
1372349460,1
1372351200,1
1372360440,1
1372361220,1
1372362660,2
1372364400,1
1372365300,1
1372365660,1
1372366260,2
1372370460,1
1372374540,2
1372377060,1
1372379040,2
1372379160,1
1372388940,1
1372417200,1
1372419480,1
1372419720,1
1372420260,2
1372421040,1
1372422420,1
1372423920,1
1372423980,1
1372424220,1
1372424580,2
1372425480,1
1372425840,2
1372427640,1
1372427940,1
1372428840,1
1372430580,1
1372431240,1
1372433220,1
1372437420,1
1372437780,2
1372438320,1
1372439220,1
1372441920,1
1372442580,1
1372442640,1
1372443780,1
1372444140,1
1372445100,1
1372446180,1
1372448640,1
1372451940,1
1372455120,1
1372461600,1
1372472640,1
1372490640,1
1372506300,1
1372509600,1
1372509960,1
1372511880,1
1372514460,1
1372515960,1
1372523460,2
1372524840,1
1372525800,1
1372528920,1
1372529160,1
1372535340,1
1372537440,1
1372547580,2
1372553220,1
1372556940,2
1372560900,1
1372573440,1
1372579800,1
1372585080,1
1372598340,1
1372599480,1
1372602120,1
1372609080,1
1372610220,1
1372613100,1
1372614360,1
1372614960,1
1372616940,2
1372618440,2
1372619580,1
1372622460,1
1372630020,1
1372630080,2
1372630320,2
1372630560,1
1372632180,1
1372632720,1
1372632900,1
1372633020,1
1372633380,2
1372633800,1
1372634340,3
1372634520,1
1372635840,2
1372636380,1
1372636440,1
1372639980,1
1372645860,1
1372645980,2
1372648140,1
1372680000,2
1372681260,1
1372687020,4
1372694460,1
1372697400,1
1372699260,1
1372703640,1
1372711260,1
1372711320,1
1372713420,1
1372718820,1
1372719420,1
1372719660,1
1372720920,1
1372723800,1
1372725540,1
1372728240,1
1372728360,1
1372742100,2
1372744080,1
1372762680,1
1372764060,1
1372764300,1
1372764480,1
1372765080,1
1372765140,1
1372765500,1
1372765560,1
1372765680,1
1372766280,2
1372766460,1
1372767120,1
1372767480,1
1372767720,1
1372768080,1
1372768320,1
1372768740,1
1372768860,2
1372768980,2
1372769100,2
1372773720,6
1372775460,1
1372776000,2
1372781760,1
1372786260,1
1372787100,1
1372789500,1
1372791900,1
1372792740,1
1372799280,2
1372803720,1
1372804800,1
1372806000,1
1372806300,1
1372807320,2
1372808940,1
1372809420,1
1372810140,1
1372814940,1
1372819440,1
1372821360,1
1372828140,1
1372842060,1
1372849920,1
1372849980,1
1372850340,1
1372851540,2
1372851660,1
1372851960,1
1372852080,1
1372852740,1
1372852860,1
1372853040,2
1372853340,1
1372854300,1
1372854780,3
1372854900,1
1372855080,2
1372855320,1
1372855500,1
1372855560,1
1372855680,1
1372855920,3
1372856520,1
1372856700,1
1372857000,1
1372857600,2
1372864980,1
1372870320,1
1372870440,1
1372871220,1
1372872300,1
1372872540,1
1372886220,1
1372886760,1
1372889280,1
1372890000,1
1372900980,1
1372902720,1
1372905300,1
1372908900,1
1372931580,1
1372941720,1
1372942920,1
1372944960,1
1372949340,1
1372949940,1
1372956420,1
1372966140,1
1372967700,1
1372968480,1
1372968660,1
1372969200,1
1372969980,2
1372970460,1
1372973940,1
1372974120,1
1372975260,1
1372975380,1
1372980000,1
1372980060,1
1372983480,1
1372985940,2
1372988100,2
1372988700,1
1372994520,1
1373003040,1
1373003220,1
1373005440,2
1373026920,1
1373027280,1
1373027460,1
1373027760,1
1373027820,1
1373028480,2
1373029080,2
1373031000,1
1373034840,1
1373037420,1
1373038140,1
