datetime,arrivals
1372800600,1
1372800720,2
1372800780,2
1372800840,2
1372800900,2
1372801080,4
1372801140,1
1372810560,1
1372812480,1
1372861680,1
1372881960,2
1372882080,3
1372882260,2
1372882320,1
1372882380,1
1372884720,1
1372887120,1
1372902660,1
1372903200,1
1372946280,1
1372960560,2
1372963740,1
1372966260,2
1372983120,2
1372990200,1
1373014920,2
1373014980,6
1373040360,1
1373043660,1
1373044320,1
1373050980,1
1373051100,1
1373058360,1
1373060280,1
1373060820,1
1373060940,4
1373061000,1
1373061120,1
1373061300,2
1373061360,2
1373061420,2
1373061540,1
1373067360,1
1373076120,2
1373076180,1
1373088780,1
1373122080,1
1373124600,1
1373136900,1
1373137140,1
1373140260,2
1373146920,1
1373154600,2
1373156520,1
1373159700,1
1373160240,1
1373202540,2
1373202600,1
1373202720,3
1373202840,1
1373202900,1
1373203020,2
1373203140,1
1373203260,2
1373208540,1
1373213400,2
1373213520,3
1373219280,1
1373223540,1
1373225880,2
1373240880,1
1373249640,1
1373249760,1
1373253660,2
1373289660,1
1373317920,1
1373327340,2
1373330880,1
1373370960,1
1373380380,1
1373389680,1
1373390220,1
1373394300,1
1373394840,1
1373398320,1
1373399100,1
1373399640,1
1373409660,1
1373415720,1
1373484540,1
1373499180,1
1373505960,1
1373544480,1
1373547720,4
1373547840,4
1373547900,2
1373548020,4
1373548080,2
1373551740,1
1373558700,1
1373579700,1
1373579820,1
1373580900,3
1373581260,1
1373581980,1
1373583900,1
1373584620,1
1373589420,1
1373591100,1
1373643240,1
1373647320,1
1373647560,1
1373648100,1
1373652420,1
1373652900,1
1373653740,1
1373673840,1
1373732160,1
1373735340,2
1373736060,1
1373736540,3
1373738040,1
1373743740,1
1373744040,1
1373744340,1
1373746860,3
1373747040,1
1373747880,1
1373748480,1
1373748900,2
1373753520,1
1373753640,2
1373755740,2
1373757420,1
1373760360,2
1373760780,2
1373761200,1
1373761320,1
1373767920,1
1373767980,1
1373768820,1
1373809860,1
1373816040,1
1373819520,1
1373824860,1
1373825640,4
1373825700,10
1373827200,1
1373827320,1
1373830020,3
1373834760,1
1373836560,1
1373836980,1
1373840700,2
1373842620,1
1373859660,1
1373889360,1
1373890740,3
1373891040,1
1373899500,1
1373908080,1
1373916300,2
1373924760,1
1373930400,1
1373930520,1
1373931000,1
1373931420,2
1373931540,2
1373931720,1
1373966340,1
1373982360,1
1373995680,1
1373996700,2
1374017220,1
1374021300,1
1374040560,4
1374040680,1
1374040740,2
1374040800,3
1374065100,1
1374085560,1
1374106080,1
1374114180,1
1374149400,1
1374163260,1
1374166800,2
1374166860,2
1374166920,4
1374184740,2
1374186540,1
1374187140,1
1374191460,1
1374248220,3
1374248340,6
1374248400,1
1374249840,1
1374251580,1
1374265020,1
1374268320,1
1374269040,1
1374270840,1
1374278940,1
1374295080,1
1374321540,2
1374327240,1
1374329100,1
1374333960,1
1374337380,1
1374337500,1
1374339840,1
1374342060,1
1374342120,1
1374342300,1
1374342660,1
1374342840,1
1374343800,1
1374346320,2
1374346980,2
1374348480,2
1374348540,5
1374348600,2
1374352380,1
1374352500,1
1374356640,1
1374356700,2
1374356820,4
1374356880,2
1374358200,1
1374367620,1
1374368460,2
1374409020,1
1374418080,3
1374419760,1
1374428220,1
1374430320,1
1374430380,1
1374430440,1
1374430800,1
1374431640,2
1374437700,1
1374437760,1
1374437820,1
1374437880,1
1374438000,3
1374438120,3
1374438600,2
1374438720,3
1374438780,1
1374438840,1
1374439020,3
1374439380,1
1374440100,2
1374441720,1
1374446100,1
1374448200,1
1374448260,1
1374449820,1
1374450420,1
1374450720,2
1374450900,2
1374462480,1
1374463020,1
1374497400,1
1374504300,1
1374513660,1
1374516660,1
1374521520,3
1374521580,3
1374521640,2
1374521760,1
1374529260,1
1374529620,1
1374532560,1
1374533160,1
1374552000,1
1374552120,1
1374591180,2
1374592800,1
1374593220,1
1374614940,1
1374616980,2
1374619980,1
1374620160,1
1374624480,1
1374627960,1
1374632520,1
1374675480,2
1374676500,1
1374694380,2
1374697200,1
1374708660,1
1374709920,2
1374713640,1
1374713880,1
1374716400,1
1374716520,1
1374719640,1
1374727020,2
1374727860,1
1374758280,1
1374763080,1
1374768120,1
1374786720,2
1374792300,1
1374792960,1
1374794940,1
1374796740,1
1374800460,1
1374806940,1
1374819960,1
1374840060,2
1374840120,2
1374840240,3
1374840300,3
1374840420,2
1374840480,1
1374840600,2
1374846420,1
1374866040,1
1374868140,1
1374870600,1
1374870720,1
1374871920,1
1374873840,1
1374875880,1
1374875940,1
1374876600,1
1374883080,1
1374936000,1
1374936360,2
1374937380,1
1374951060,2
1374951720,1
1374954900,1
1374956220,1
1374957360,1
1374957780,1
1374958260,1
1374960780,1
1374961020,2
1374961320,1
1374961620,1
1374962160,1
1374962400,1
1374964080,1
1374965280,1
1374968520,1
1374968880,1
1374970800,1
1374972540,2
1374975600,1
1375017480,1
1375023360,1
1375023600,1
1375026960,1
1375027260,1
1375028700,1
1375034460,2
1375036380,1
1375036440,1
1375036560,1
1375043460,1
1375043520,3
1375043580,1
1375043640,1
1375043760,1
1375043880,2
1375044960,2
1375051380,1
1375051560,1
1375062480,2
1375068240,1
1375068960,2
1375101480,1
1375103040,1
1375111980,1
1375112760,1
1375117740,1
1375119360,1
1375125300,1
1375125420,1
1375128360,1
1375129980,1
1375138140,1
1375138560,1
1375142220,1
1375148460,1
1375157460,1
1375170360,2
1375170540,2
1375170660,2
1375170720,1
1375170840,2
1375170960,2
1375185000,1
1375190820,1
1375195680,1
1375195860,2
1375195920,1
1375195980,2
1375196100,2
1375196160,3
1375196220,1
1375196340,2
1375196400,1
1375196460,2
1375198980,1
1375206120,1
1375207560,1
1375208100,1
1375210020,1
1375218960,1
1375222260,1
1375224540,1
1375225020,1
1375228980,1
1375232280,2
1375232880,1
1375235400,1
1375246920,1
1375247100,1
1375278420,1
1375293900,1
1375295880,1
1375296720,2
1375304820,1
1375305000,1
1375307820,1
1375311840,1
1375318380,2
1375320360,1
1375321800,1
1375322640,1
1375332300,1
1375342560,3
1375370580,1
1375370760,6
1375370880,3
1375371120,1
1375372740,1
1375379400,1
1375391580,1
1375397940,1
1375404660,2
1375409880,1
1375448580,1
1375450500,1
1375453140,1
1375454100,1
1375455240,1
1375455360,1
1375455900,1
1375458300,1
1375467480,2
1375471320,1
1375471440,1
1375473300,1
1375474500,2
1375475220,1
1375484520,1
1375486500,1
1375487700,1
1375488480,1
1375489440,1
1375493280,1
1375502820,2
1375504800,1
1375513980,1
1375548000,1
1375548300,1
1375548540,1
1375550460,2
1375558440,1
1375559160,3
1375559340,1
1375567500,2
1375570200,1
1375573860,1
1375581720,1
1375584660,2
1375586340,1
1375586400,1
1375623240,1
1375623360,1
1375630620,1
1375631160,1
1375632420,1
1375632540,2
1375633860,1
1375638720,1
1375638900,4
1375638960,3
1375639020,1
1375639140,2
1375639200,2
1375639260,4
1375639380,1
1375639440,3
1375639620,1
1375639680,1
1375639740,2
1375640340,1
1375640580,2
1375643280,1
1375643340,1
1375643400,1
1375643760,1
1375644480,1
1375645260,1
1375646040,2
1375648500,2
1375650540,2
1375650720,2
1375652700,1
1375654800,1
1375655040,2
1375655580,1
1375655640,1
1375657440,1
1375658040,1
1375660200,4
1375660260,1
1375661700,1
1375662120,1
1375663860,1
1375673880,2
1375708080,1
1375708200,6
1375708320,3
1375709820,1
1375713000,1
1375715160,1
1375720980,1
1375721100,2
1375721160,1
1375724220,2
1375724700,1
1375728360,2
1375730700,1
1375735440,1
1375735500,1
1375735680,1
1375746540,1
1375749600,1
1375759680,1
1375762080,1
1375763220,2
1375763400,1
1375779060,1
1375779120,3
1375805160,1
1375810200,2
1375813680,1
1375816920,1
1375825020,1
1375826940,1
1375833000,1
1375833060,5
1375833120,3
1375834680,2
1375835100,1
1375850280,1
1375851840,1
1375872600,1
1375878660,1
1375890960,1
1375894320,1
1375895400,2
1375896960,1
1375903140,1
1375904700,1
1375908480,1
1375909020,1
1375909320,1
1375913520,1
1375915200,1
1375928220,1
1375933020,1
1375936260,1
1375945020,1
1375960800,1
1375960980,1
1375964880,1
1375967220,1
1375968120,1
1375969440,1
1375976220,1
1375979880,1
1375981800,1
1375986900,1
1375993860,1
1376008980,1
1376018940,1
1376030940,1
1376031060,3
1376031120,2
1376031180,1
1376050560,1
1376052360,1
1376053440,1
1376058900,1
1376058960,2
1376059080,4
1376059200,6
1376061780,1
1376077320,1
1376077500,1
1376080140,1
1376094120,1
1376096880,1
1376105460,1
1376144100,1
1376144400,1
1376152740,2
1376155380,1
1376163120,1
1376165280,1
1376165520,1
1376166240,1
1376166360,1
1376174880,1
1376175000,2
1376179980,1
1376180100,2
1376182920,2
1376183100,1
1376183940,2
1376184120,1
1376189040,1
1376197560,1
1376197800,1
1376215080,1
1376215440,1
1376235600,1
