datetime,arrivals
1371151560,1
1371152100,1
1371152340,1
1371152760,1
1371155400,1
1371156900,1
1371157620,2
1371158340,1
1371159660,1
1371160380,1
1371170160,3
1371170220,3
1371170280,2
1371170340,2
1371190860,1
1371201420,1
1371209880,1
1371212520,1
1371213420,1
1371213840,1
1371213960,1
1371214200,1
1371214740,1
1371214920,1
1371215100,1
1371215400,2
1371216060,1
1371216480,1
1371216660,1
1371225600,1
1371228000,1
1371228960,1
1371229440,1
1371229860,1
1371230400,1
1371230940,1
1371231360,1
1371233640,1
1371234120,1
1371234660,1
1371235380,1
1371236340,1
1371236460,1
1371236940,1
1371237000,1
1371240780,1
1371241500,1
1371248640,1
1371249360,1
1371250380,1
1371250920,1
1371252480,1
1371252840,1
1371252900,1
1371253080,1
1371254760,1
1371255000,1
1371255060,1
1371255180,1
1371256500,1
1371256680,1
1371256740,1
1371257640,1
1371257880,1
1371258660,1
1371259440,1
1371261060,2
1371263280,1
1371263760,3
1371272640,1
1371272700,1
1371272760,2
1371276120,1
1371276600,1
1371280680,1
1371296940,1
1371298320,1
1371298740,1
1371298920,1
1371301020,1
1371303300,1
1371303540,1
1371304860,1
1371306720,1
1371306840,1
1371307560,1
1371309060,1
1371311820,2
1371312240,2
1371313140,1
1371313620,1
1371315420,1
1371315480,2
1371316380,2
1371317040,1
1371317280,1
1371318480,1
1371319860,2
1371319920,1
1371320940,4
1371322080,1
1371322740,1
1371323040,1
1371325320,1
1371325500,1
1371326520,2
1371327000,1
1371327060,1
1371327420,4
1371328560,1
1371328620,2
1371328680,2
1371329040,5
1371329160,1
1371329640,1
1371331620,1
1371331680,4
1371331740,1
1371333300,1
1371335040,1
1371335160,3
1371335640,1
1371336540,1
1371336600,2
1371337440,1
1371337920,1
1371338100,1
1371338700,1
1371339720,1
1371342780,1
1371343020,2
1371344340,1
1371344820,1
1371344940,1
1371345240,1
1371345300,1
1371351720,1
1371352800,1
1371353100,2
1371353340,1
1371354240,1
1371354600,1
1371358080,1
1371363780,4
1371366480,1
1371367680,2
1371373320,1
1371377760,1
1371382380,1
1371386220,2
1371388860,1
1371390780,1
1371391680,1
1371392580,1
1371392700,1
1371392880,1
1371395400,2
1371395460,1
1371396420,1
1371399360,1
1371400620,1
1371401280,2
1371401640,1
1371401760,1
1371401940,1
1371402360,1
1371402720,2
1371402840,1
1371402960,2
1371403380,1
1371403440,2
1371405360,2
1371405780,1
1371406680,1
1371407880,1
1371408000,1
1371408600,2
1371408780,3
1371409620,1
1371409680,1
1371409740,1
1371410280,1
1371410340,2
1371410460,1
1371410520,1
1371411900,1
1371412560,1
1371413340,1
1371413820,1
1371414660,1
1371414840,1
1371415920,1
1371416820,1
1371417600,1
1371417660,1
1371417840,1
1371418200,1
1371418980,2
1371419640,1
1371419880,2
1371420600,1
1371421800,2
1371425940,1
1371427920,1
1371429360,1
1371430920,2
1371431940,1
1371433080,1
1371434880,1
1371436260,1
1371436500,2
1371439500,2
1371440040,1
1371442380,2
1371456000,1
1371463080,1
1371465120,1
1371468540,1
1371469800,1
1371470040,1
1371472440,1
1371473160,1
1371474180,1
1371475140,1
1371475380,1
1371475560,1
1371475800,2
1371477480,1
1371478680,1
1371479100,1
1371482760,1
1371483660,1
1371484980,1
1371487500,1
1371488400,1
1371489060,2
1371489420,1
1371491040,1
1371491760,1
1371495360,1
1371495720,4
1371496560,1
1371496740,1
1371497040,1
1371499380,1
1371500940,1
1371501420,1
1371502680,1
1371503700,1
1371504600,1
1371505620,1
1371506160,1
1371506280,1
1371506940,1
1371507840,1
1371508140,1
1371508200,1
1371508380,1
1371509220,1
1371509580,1
1371511740,1
1371512640,2
1371512880,1
1371514440,1
1371514740,1
1371522720,1
1371535380,1
1371547020,1
1371547080,4
1371550140,1
1371554160,1
1371557100,1
1371559080,1
1371559380,1
1371559680,1
1371561060,1
1371561420,1
1371561840,2
1371562920,1
1371563400,1
1371563760,1
1371565080,1
1371565440,1
1371566520,1
1371568380,1
1371570480,1
1371571320,1
1371573120,1
1371573300,2
1371573360,1
1371575340,1
1371575400,2
1371578640,1
1371579900,1
1371579960,1
1371580020,1
1371580860,1
1371581820,1
1371582840,2
1371583080,1
1371584820,2
1371586080,1
1371589020,1
1371591480,1
1371600780,1
1371604680,1
1371609540,1
1371609780,1
1371616260,1
1371641340,1
1371643680,1
1371644640,1
1371644700,2
1371644820,2
1371645360,1
1371645780,1
1371645900,1
1371646200,1
1371646320,1
1371647220,1
1371647400,1
1371647460,1
1371647640,1
1371647700,1
1371647820,2
1371647940,1
1371648660,1
1371651540,1
1371652860,1
1371655140,1
1371656880,1
1371657540,1
1371657720,1
1371657900,1
1371658500,1
1371658980,1
1371659160,1
1371659580,1
1371660960,1
1371661200,1
1371661980,1
1371662340,1
1371663360,1
1371664380,1
1371664620,1
1371665340,1
1371665460,1
1371666120,1
1371666480,1
1371668400,1
1371668820,2
1371669000,1
1371669840,1
1371670260,3
1371670560,1
1371672060,1
1371673440,1
1371673920,1
1371676440,1
1371677400,1
1371677880,1
1371678480,1
1371678540,1
1371679020,2
1371679080,1
1371679140,1
1371679860,1
1371681120,2
1371682860,1
1371683040,1
1371683220,3
1371683340,1
1371683400,1
1371683520,1
1371683640,1
1371684000,1
1371684420,1
1371684780,1
1371685740,1
1371687900,1
