datetime,arrivals
1371152820,2
1371155880,1
1371156480,1
1371156900,1
1371158520,2
1371158580,1
1371159480,1
1371162120,1
1371162540,1
1371163320,1
1371163680,1
1371163860,1
1371164700,1
1371166020,1
1371166860,1
1371169020,4
1371169080,1
1371173640,1
1371207660,1
1371209160,1
1371212580,1
1371213060,1
1371215340,1
1371216180,1
1371216360,1
1371219720,1
1371219960,1
1371221700,1
1371226500,2
1371226980,1
1371227640,1
1371231960,1
1371234600,1
1371238140,1
1371238860,1
1371240480,1
1371241140,1
1371241800,1
1371244560,1
1371244980,1
1371245160,1
1371246780,1
1371246900,1
1371248820,1
1371250740,1
1371252840,1
1371259260,1
1371262740,2
1371262860,2
1371266460,1
1371269760,1
1371272280,1
1371272400,1
1371281400,1
1371295380,1
1371306360,1
1371310560,1
1371312600,1
1371313020,1
1371314100,2
1371315000,1
1371315180,1
1371319860,1
1371319980,1
1371320460,1
1371321420,1
1371321480,1
1371321720,1
1371322200,1
1371325080,1
1371325500,1
1371326160,1
1371326880,1
1371327420,1
1371327840,1
1371328560,1
1371328620,1
1371329520,1
1371331320,1
1371332160,1
1371333360,1
1371333720,2
1371333780,1
1371340320,2
1371340800,1
1371341160,2
1371341580,1
1371343500,1
1371343680,1
1371344280,1
1371344820,2
1371346440,1
1371346620,2
1371347400,1
1371347580,1
1371347640,1
1371350160,1
1371350520,1
1371351240,1
1371351300,1
1371352320,1
1371353040,1
1371354480,1
1371360180,1
1371365280,2
1371367260,2
1371369180,1
1371383760,1
1371390960,1
1371393180,1
1371395640,1
1371398400,1
1371401760,1
1371403560,1
1371406680,1
1371409260,1
1371410220,1
1371411000,1
1371412260,1
1371412500,2
1371412860,2
1371413640,2
1371416160,1
1371418260,1
1371418320,1
1371418980,1
1371419640,1
1371420360,1
1371420780,1
1371420900,1
1371421980,2
1371422100,1
1371422460,1
1371424920,1
1371426600,1
1371428820,1
1371430080,2
1371431040,1
1371435300,2
1371446580,1
1371448680,1
1371448740,2
1371448920,2
1371467700,1
1371468720,1
1371470940,1
1371472620,1
1371472680,1
1371475560,2
1371476040,1
1371476640,1
1371477060,2
1371477240,1
1371478440,1
1371478740,1
1371481800,1
1371482880,1
1371488100,1
1371491460,1
1371492720,1
1371493260,2
1371494340,1
1371495060,1
1371495600,1
1371495660,1
1371496860,1
1371501180,1
1371503940,1
1371504480,1
1371505380,1
1371506280,1
1371507840,1
1371509700,1
1371510180,1
1371511920,1
1371512940,1
1371513060,1
1371514260,1
1371514500,1
1371515280,2
1371516420,1
1371517440,1
1371519060,2
1371519660,1
1371520800,2
1371522120,1
1371524400,1
1371526440,1
1371531240,1
1371553260,1
1371554880,1
1371558000,1
1371559080,1
1371559680,1
1371560460,1
1371560820,1
1371561300,1
1371562740,1
1371562860,1
1371564600,1
1371565260,1
1371568080,1
1371570960,1
1371572940,10
1371573000,1
1371573960,1
1371575220,1
1371575280,1
1371578220,1
1371579840,1
1371581460,1
1371582240,1
