datetime,arrivals
1371158100,1
1371160080,1
1371160560,1
1371160980,1
1371162420,1
1371164580,1
1371165180,1
1371206280,1
1371207180,1
1371207660,1
1371208980,1
1371210180,1
1371211560,1
1371211920,1
1371212280,1
1371212580,1
1371213240,1
1371213360,1
1371213780,1
1371213840,1
1371214440,1
1371214860,1
1371219600,1
1371220020,1
1371221160,1
1371222840,1
1371224700,1
1371228840,1
1371231060,1
1371234120,1
1371235800,1
1371235860,1
1371236460,1
1371237840,5
1371242220,1
1371242340,1
1371242760,1
1371244140,1
1371244740,2
1371244980,1
1371245280,1
1371245400,1
1371245700,1
1371248220,1
1371249660,1
1371249720,1
1371250380,1
1371250740,1
1371250800,1
1371251880,1
1371252180,1
1371253020,1
1371255180,1
1371255780,1
1371257880,1
1371262560,2
1371262800,1
1371265680,2
1371267300,1
1371276000,2
1371277980,2
1371295740,1
1371297180,1
1371300540,1
1371300660,1
1371301200,1
1371303180,2
1371304320,1
1371304800,2
1371307260,1
1371308640,1
1371309420,1
1371309720,1
1371311340,1
1371311640,1
1371311940,2
1371313980,1
1371314040,1
1371314700,2
1371316020,1
1371317100,1
1371319020,3
1371319140,1
1371319500,1
1371320340,2
1371321420,1
1371323400,1
1371325800,1
1371325860,3
1371326700,1
1371329160,2
1371331080,1
1371332100,1
1371332640,2
1371332880,1
1371333000,1
1371334620,1
1371337260,1
1371338940,1
1371339600,2
1371341160,2
1371346200,2
1371346620,2
1371348720,1
1371354480,1
1371354600,2
1371354660,3
1371354720,5
1371355620,1
1371356520,1
1371357780,1
1371358500,1
1371360480,1
1371360600,1
1371362220,2
1371362400,1
1371362520,1
1371363840,1
1371380100,2
1371385620,1
1371387240,1
1371392460,1
1371394980,1
1371401160,1
1371401940,1
1371403620,1
1371405000,1
1371405840,1
1371407280,2
1371407880,2
1371408360,1
1371408780,1
1371409140,1
1371409980,1
1371410580,1
1371411240,2
1371411540,1
1371413160,1
1371413880,1
1371416640,1
1371416940,1
1371418680,1
1371420780,1
1371421260,1
1371421440,1
1371421500,1
1371422820,1
1371424200,1
1371431220,2
1371434280,2
1371440820,1
1371440880,1
1371441000,1
1371451080,1
1371467040,1
1371467940,1
1371468720,1
1371469380,1
1371471720,1
1371471960,1
1371472440,1
1371472680,1
1371473040,1
1371476700,1
1371478260,2
1371481200,1
1371481620,1
1371482640,1
1371485160,2
1371486120,1
1371487800,1
1371490140,1
1371491460,1
1371491580,4
1371492960,1
1371494340,1
1371494880,5
1371501960,1
1371503160,1
1371505200,1
1371506400,1
1371506460,1
1371508380,1
