datetime,arrivals
1371159660,1
1371163320,1
1371196080,1
1371202320,1
1371213780,1
1371216300,1
1371221880,1
1371237060,2
1371240840,1
1371247920,2
1371260280,2
1371270240,1
1371275400,2
1371301140,1
1371385980,1
1371395100,1
1371402060,1
1371405600,2
1371406080,1
1371406860,1
1371406980,1
1371410340,1
1371410460,1
1371412680,2
1371412740,1
1371418440,1
1371418500,1
1371418740,1
1371418980,1
1371419280,1
1371419880,1
1371427620,2
1371427800,1
1371427980,1
1371429060,1
1371429120,1
1371430560,1
1371433140,1
1371433440,1
1371472800,1
1371473640,1
1371479340,1
1371488040,1
1371491160,1
1371497280,1
1371508560,1
1371509400,1
1371520920,2
1371526020,1
1371567900,1
1371568200,1
1371577140,1
1371584280,1
1371641220,1
1371647160,1
1371647280,1
1371653520,1
1371654060,1
1371654240,1
1371661620,1
1371663480,2
1371667920,1
1371668100,1
1371672180,1
1371673200,1
1371675540,1
1371679380,1
1371685260,1
1371685320,1
1371688680,1
1371691860,1
1371701340,1
1371703920,1
1371724860,1
1371734340,1
1371735720,1
1371740820,1
1371746400,1
1371759960,3
1371760020,1
1371765960,2
1371766080,1
1371771120,1
1371771300,1
1371778260,1
1371779400,1
1371782940,1
1371784080,1
1371784980,1
1371788880,1
1371789780,1
1371814680,1
1371822480,1
1371824340,1
1371835620,1
1371836580,1
1371848820,1
1371855240,1
1371856260,1
1371856380,1
1371857280,1
1371857820,1
1371861120,1
1371863880,1
1371865200,1
1371872280,1
1371910020,1
1371914640,1
1371918900,1
1371919080,1
1371922080,1
1371922200,1
1371922260,1
1371922440,3
1371922620,1
1371924540,1
1371932400,1
1371932460,1
1371932640,1
1371932940,1
1371934020,1
1371938040,1
1371939840,1
1371941580,1
1371941640,2
1371946140,1
1371946740,1
1371946980,1
1371960780,1
1371961320,1
1371964620,1
1371966240,1
1371966360,1
1371966540,1
1371979860,1
1371995280,2
1372000140,1
1372004580,4
1372005540,3
1372006680,1
1372006920,1
1372007460,1
1372007940,1
1372008180,1
1372008780,1
1372010460,1
1372010880,1
1372011720,1
1372011900,1
1372011960,1
1372024560,1
1372026360,1
1372030140,1
1372031640,1
1372032540,1
1372033440,1
1372038420,1
1372038900,1
1372040940,1
1372041240,1
1372059480,3
1372068120,1
1372070220,1
1372076160,1
1372083000,1
1372105080,1
1372108380,1
1372108620,1
1372110360,2
1372118760,1
1372124820,1
1372125840,1
1372129980,1
1372130220,2
1372130280,1
1372130400,1
1372159260,1
1372162380,1
1372163940,1
1372164960,1
1372175160,1
1372182240,1
1372182300,1
1372182480,1
1372183200,1
1372191480,1
1372196520,1
1372197240,1
1372199820,1
1372206540,2
1372207860,1
1372209720,2
1372211880,1
1372214820,2
1372218300,1
1372218720,1
1372219860,1
1372221720,1
1372253700,1
1372254420,1
1372255800,1
1372261560,1
1372262460,1
1372263900,1
1372270080,1
1372277580,1
1372280220,1
1372291560,1
1372295700,1
1372296780,1
1372297200,1
1372298460,1
1372303200,1
1372303680,1
1372303980,1
1372304040,1
1372305600,2
1372326300,1
1372341120,3
1372363920,2
1372364820,1
1372374060,1
1372379160,1
1372381320,1
1372387920,1
1372388520,1
1372388580,1
1372418520,1
1372427940,1
1372428600,1
1372429140,1
1372433880,1
1372443420,1
1372445820,1
1372451520,2
1372452480,1
1372453080,1
1372456140,1
1372458480,1
1372460400,1
1372461000,1
1372462440,1
1372471080,1
1372474860,1
1372475460,1
1372475640,1
1372477440,1
1372482420,1
1372513380,1
1372513440,1
1372514280,2
1372515120,1
1372515420,1
1372521480,1
1372524540,1
1372524720,1
1372524840,1
1372528920,1
1372530600,1
1372534680,1
1372535400,1
1372540260,3
1372541580,2
1372551120,2
1372551660,1
1372560060,1
1372560480,2
1372564260,1
1372567680,1
1372568100,1
1372572060,1
1372602540,1
1372607160,1
1372608420,2
1372609140,1
1372617600,2
1372629180,1
1372631160,1
1372632840,1
1372633020,1
1372634100,1
1372638420,2
1372641120,1
1372646400,1
1372646520,1
1372647480,2
1372651440,1
1372653480,1
1372654200,1
1372671420,1
1372687620,1
1372700340,1
1372720500,1
1372722420,1
1372723800,1
1372733220,1
1372733520,1
1372734240,2
1372735980,1
1372774140,2
1372777260,1
1372780440,1
1372787160,1
1372794360,1
1372796220,1
1372799040,1
1372803180,1
1372803540,1
1372803900,1
1372806720,1
1372816440,1
1372819680,1
1372827600,1
1372857240,1
1372858440,1
1372859700,1
1372860600,1
1372864020,1
1372867980,1
1372872000,1
1372873680,1
1372880340,1
1372882500,1
1372889280,1
1372890900,1
1372899000,1
1372899120,1
1372900320,1
1372905660,1
1372907280,1
1372908780,1
1372911540,1
1372916940,1
1372955820,2
1372956060,1
1372956960,1
1372957080,1
1372959000,1
1372959180,1
1372960320,1
1372960380,1
1372962120,1
1372964400,1
1372969980,2
1372978860,1
1372981680,1
1372982520,2
1372984800,1
1372986420,1
1372987260,1
1372990860,1
1372990980,1
1372995600,1
1372997100,1
1373017380,1
1373025660,1
1373031540,1
1373034600,1
1373046240,1
1373048700,1
1373050260,1
1373051700,1
1373055000,1
1373055120,1
1373059560,1
1373063040,1
1373071860,1
1373079660,1
1373081700,1
1373082180,1
1373083860,1
1373114700,2
1373119680,1
1373124600,1
1373125140,2
1373129760,2
1373129880,1
1373129940,1
1373130120,2
1373130180,1
1373130240,2
1373130720,1
1373130840,2
1373131860,1
1373132580,1
1373134140,1
1373135700,2
1373137440,1
1373137620,1
1373143920,1
1373143980,1
1373150580,2
1373152320,2
1373159580,1
1373165280,1
1373169840,2
1373172600,1
1373174700,2
1373174880,4
1373175180,3
1373175900,2
1373198100,1
1373213340,1
1373214360,1
1373216340,2
1373223420,1
1373225520,1
1373234880,1
1373236740,1
1373239140,1
1373240880,2
1373241060,1
1373244960,1
1373245320,1
1373245980,1
1373247840,1
1373248740,1
1373257440,2
1373283240,1
1373283600,1
1373284440,1
1373285580,1
1373302200,1
1373302860,1
1373314440,1
1373327340,4
1373329380,1
1373333040,1
1373335200,2
1373335320,2
1373336700,1
1373375700,1
1373376600,1
1373377680,1
1373380380,1
1373389440,1
1373394120,1
1373394180,1
1373399520,1
1373404140,1
1373407980,1
1373410440,1
1373410860,1
1373411460,1
1373414160,1
1373415540,1
1373417160,1
1373417220,1
1373479620,2
1373482860,1
1373486340,1
1373491560,2
1373493060,1
1373497080,1
1373500320,1
1373501040,1
1373503440,1
1373504340,2
1373505300,1
1373506080,1
1373510700,1
1373510820,1
1373513520,1
1373542800,1
1373545920,1
1373552160,1
1373560200,1
1373561400,1
1373561520,1
1373573520,1
1373573760,1
1373586780,1
1373589840,1
1373591220,1
1373592780,1
1373595000,1
1373596680,1
1373597400,1
1373597520,3
1373598420,1
1373599620,1
1373600100,1
1373600820,1
1373601600,1
1373603520,1
1373604180,1
1373606280,2
1373606640,1
1373606880,2
1373642340,1
1373655840,1
1373657820,1
1373658660,1
1373665980,1
1373667360,1
1373668440,1
1373671260,1
1373711700,1
1373724420,1
1373729340,1
1373729820,1
1373731560,1
1373734680,1
1373735040,1
1373736960,1
1373737260,1
1373737320,1
1373738640,2
1373739720,1
1373740020,1
1373742420,1
1373742660,1
1373744520,1
1373745780,2
1373746620,1
1373747520,1
1373748000,1
1373749560,1
1373752020,1
1373752200,1
1373752260,2
1373752980,1
1373766840,1
1373767620,2
1373767680,1
1373768400,1
1373810700,1
1373813520,1
1373817300,1
1373818920,1
1373822820,1
1373823300,1
1373826480,1
1373829420,1
1373836440,2
1373836740,2
1373837700,1
1373839140,1
1373839740,1
1373844660,1
1373847540,2
1373849580,1
1373852400,1
1373856300,2
1373856900,1
1373857200,1
1373891280,1
1373891640,1
1373897280,1
1373901960,1
1373903400,1
1373906820,1
1373920800,1
1373920920,1
1373923800,1
1373923920,2
1373926320,1
1373929860,1
1373930340,1
1373934240,1
1373941620,1
1373946600,1
1373946720,1
1373947380,1
1373948820,1
1373948880,1
1373976240,2
1373979000,1
1373981760,1
1374000360,1
1374000420,1
1374002220,1
1374016500,1
1374017220,3
1374019140,1
1374024540,1
1374033480,1
1374034740,1
1374038460,2
1374064020,1
1374065580,1
1374066000,1
1374067800,1
1374067980,1
1374070020,1
1374087840,1
1374089880,1
1374095880,2
1374097260,1
1374099180,1
1374101160,1
1374101340,1
1374104820,1
1374108780,1
1374111000,1
1374121140,1
1374121320,1
1374148560,1
1374149400,1
1374159060,1
1374168240,2
1374175080,1
1374176400,1
1374176520,1
1374176760,1
1374178260,1
1374180840,1
1374181680,1
1374188100,1
1374189360,1
1374195960,1
