datetime,arrivals
1371159480,1
1371171660,1
1371179340,1
1371218460,1
1371229740,3
1371229860,2
1371230400,1
1371234600,1
1371243420,1
1371251460,1
1371252000,1
1371252780,1
1371253080,1
1371255180,1
1371263460,1
1371263700,2
1371264120,1
1371267840,2
1371295500,1
1371308760,2
1371310800,1
1371314280,1
1371317400,2
1371322800,1
1371323400,1
1371325680,2
1371325920,1
1371330120,1
1371334260,1
1371335640,2
1371335760,1
1371337980,3
1371338400,1
1371339300,1
1371340140,1
1371343140,1
1371343800,1
1371343980,2
1371347460,1
1371348240,1
1371351120,2
1371351720,1
1371356340,1
1371357600,1
1371367020,1
1371403740,2
1371405120,1
1371412200,1
1371413040,2
1371419580,2
1371426180,2
1371428700,1
1371433200,2
1371435060,1
1371437940,1
1371485280,2
1371489240,1
1371491580,1
1371495840,1
1371504060,1
1371510600,1
1371513060,8
1371513120,1
1371513600,1
1371516420,2
1371517740,1
1371520920,1
1371521820,1
1371562080,1
1371570480,1
1371576420,1
1371578220,1
1371586080,1
1371592200,1
1371595980,1
1371598020,1
1371599100,1
1371607200,1
1371610620,1
1371615060,1
1371643200,1
1371648300,1
1371649980,1
1371651720,1
1371655740,2
1371664440,1
1371668220,1
1371676440,1
1371676680,1
1371679380,1
1371681120,1
1371683640,1
1371686520,2
1371686760,1
1371688140,1
1371689640,1
1371689880,1
1371691140,1
1371693780,1
1371694620,1
1371695580,1
1371730740,1
1371738120,1
1371740640,1
1371744000,1
1371745500,2
1371747420,2
1371748080,1
1371748740,1
1371751680,1
1371777240,2
1371778380,1
1371779760,1
1371787020,4
1371826860,1
1371826920,1
1371827100,1
1371828180,1
1371828540,1
1371832500,1
1371835260,1
1371840360,1
1371841020,1
1371844080,1
1371848460,1
1371848940,1
1371858780,1
1371860280,1
1371864120,2
1371867420,1
1371870120,1
1371870480,1
1371876180,1
1371915720,1
1371921060,1
1371921180,1
1371923160,1
1371926400,1
1371926760,2
1371933300,1
1371934260,1
1371939360,1
1371939480,1
1371940080,2
1371942720,1
1371943140,1
1371945480,1
1371947880,1
1371952440,1
1371953940,1
1371956520,1
1371956700,1
1371960900,1
1371969960,1
1371973620,1
1372003080,2
1372007820,1
1372007880,1
1372011480,2
1372013640,1
1372013880,2
1372022040,1
1372023780,1
1372037160,1
1372037280,1
1372037580,1
1372039860,2
1372039920,1
1372044960,1
1372078620,1
1372082100,1
1372095060,1
1372101240,1
1372107780,1
1372116960,1
1372117140,1
1372117380,1
1372119480,1
1372121340,1
1372121820,1
1372130340,1
1372177800,2
1372195920,1
1372198320,1
1372202760,1
1372204020,1
1372210140,1
1372211160,1
1372211520,1
1372212060,1
1372213020,1
1372214220,1
1372215660,1
1372217160,1
1372220100,1
1372228440,1
1372249260,1
1372249620,1
1372249680,1
1372249740,2
1372256160,1
1372269000,1
1372269240,1
1372270200,1
1372283880,1
1372289760,1
1372296180,1
1372296960,1
1372297080,1
1372298580,1
1372299540,1
1372300080,1
1372304460,1
1372310040,1
1372310220,1
1372338120,1
1372347300,1
1372374060,2
1372374540,2
1372376160,1
1372376220,1
1372379580,1
1372388880,1
1372400880,2
1372401000,1
1372401060,3
1372423020,1
1372435380,1
1372439280,2
1372440240,1
1372443360,1
1372451940,1
1372454340,1
1372454820,1
1372454880,2
1372461540,1
1372462440,1
1372462920,1
1372464900,1
1372464960,1
1372466940,1
1372468980,1
1372475580,1
1372482660,1
1372498380,1
1372513920,1
1372514280,1
1372514580,1
1372515060,1
1372515840,1
1372517520,1
1372523160,1
1372523400,1
1372526820,1
1372531260,1
1372532940,1
1372540260,2
1372542480,1
1372543380,1
1372543500,1
1372545960,1
1372547880,1
1372553880,1
1372554300,1
1372559220,1
1372566780,1
1372569000,2
1372598700,1
1372599180,2
1372605720,1
1372607220,1
1372612380,1
1372614360,1
1372621320,1
1372624500,1
1372626180,1
1372626300,1
1372642020,2
1372642380,1
1372645860,1
1372688340,1
1372723800,2
1372728480,3
1372728600,1
1372728960,1
1372731900,1
1372732620,1
1372737840,1
1372776120,3
1372776240,2
1372778640,1
1372778880,1
1372779000,1
1372779120,1
1372804800,1
1372805520,1
1372805640,1
1372806000,1
1372808040,1
1372809900,1
1372810620,2
1372814940,1
1372817700,1
1372821360,1
1372851780,1
1372858860,1
1372874460,2
1372874640,1
1372876680,1
1372882380,1
1372884060,1
1372884720,1
1372885080,1
1372885860,1
1372887180,1
1372889520,1
1372894320,1
1372897080,1
1372897920,1
1372899900,1
1372903080,1
1372903440,1
1372903680,1
1372908420,1
1372942380,1
1372950900,1
1372955520,2
1372955820,1
1372959000,1
1372967520,1
1372974120,1
1372975620,1
1372975680,1
1372976280,1
1372978860,2
1372992540,2
1373030820,1
1373032500,1
1373050920,1
1373053920,1
1373059560,2
1373060040,1
1373061660,1
1373062620,1
1373075460,1
1373084940,1
1373086500,1
1373095140,1
1373119380,1
1373123580,1
1373128860,1
1373129700,2
1373132340,2
1373132880,2
1373134740,1
1373136000,1
1373142060,1
1373143080,1
1373143500,1
1373144520,2
1373145360,1
1373150580,1
1373152080,1
1373152440,1
1373152980,1
1373155140,1
1373155380,2
1373155860,1
1373159100,1
1373160240,1
1373160660,1
1373161440,1
1373162940,1
1373203140,1
1373203680,1
1373205540,1
1373206020,1
1373206560,1
1373206740,1
1373211420,1
1373218260,1
1373222040,1
1373222640,1
1373224500,1
1373225520,1
1373225640,1
1373229780,1
1373233620,1
1373238360,1
1373245800,2
1373245920,2
1373247420,2
1373248500,1
1373260680,1
1373262540,1
1373319720,1
1373327340,1
1373328300,1
1373328480,1
1373328600,1
1373330700,1
1373331420,1
1373332200,1
1373334120,1
1373340060,1
1373344980,1
1373371440,1
1373376960,1
1373392140,1
1373396880,1
1373403780,1
1373409180,1
1373409900,1
1373410860,2
1373411340,1
1373413320,1
1373414340,1
1373415060,1
1373415240,1
1373416140,1
1373420820,1
1373427060,1
1373479680,1
1373480580,1
1373485140,2
1373485200,3
1373489340,1
1373490540,1
1373493420,1
1373493720,1
1373502840,1
1373503860,1
1373508360,1
1373509800,3
1373510700,1
1373511120,1
1373512560,1
1373513940,1
1373516400,1
1373516700,2
1373549280,1
1373550660,2
1373556300,1
1373571480,2
1373578980,1
1373581020,1
1373584680,1
1373591280,1
1373592840,1
1373594280,3
1373598240,1
1373598420,1
1373600160,1
1373602500,1
1373636820,1
1373639280,1
1373640720,1
1373649540,1
1373665980,1
1373667720,1
1373668440,1
1373675280,1
1373680080,1
1373708460,1
1373721720,1
1373729220,1
1373730840,1
1373731440,1
1373731500,1
1373731800,1
1373734260,1
1373736060,1
1373737560,1
1373741280,1
1373741400,1
1373743080,1
1373746620,1
1373748000,2
1373748060,2
1373751540,1
1373761200,1
1373761320,1
1373763300,2
1373763480,1
1373768820,1
1373803920,3
1373809260,1
1373817060,1
1373819640,1
1373819760,1
1373822940,2
1373823060,1
1373827740,1
1373827980,1
1373830020,1
1373830680,1
1373837400,1
1373837700,1
1373842620,1
1373846280,1
1373847660,1
1373849280,1
1373849400,1
1373849820,1
1373854020,2
1373854500,1
1373854920,1
1373859240,1
1373860320,1
1373865780,1
1373893860,1
1373895600,1
1373908920,2
1373913120,1
1373921580,1
1373923440,1
1373924340,1
1373925780,1
1373931420,2
1373932200,1
1373933580,1
1373934960,1
1373935020,1
1373935560,2
1373935860,1
1373936460,1
1373936880,1
1373937720,1
1373939100,1
1373939160,1
1373940420,1
1373941140,1
1373941380,1
1373944380,1
1373945820,1
1373980260,1
1373986800,1
1373993280,1
1373994480,1
1373995620,1
1373998200,1
1374004020,1
1374013200,1
1374014220,1
1374015180,1
1374015900,1
1374016140,1
1374018480,1
1374020880,1
1374020940,1
1374021120,2
1374021720,1
1374023100,1
1374025920,2
1374026340,1
1374026580,2
1374030900,1
1374033660,2
1374034020,2
1374040320,1
1374041700,1
1374087720,1
1374091560,1
1374098100,1
1374100380,1
1374101280,1
1374101640,1
1374103560,1
1374103860,1
1374104160,1
1374106080,2
1374106800,1
1374106920,1
1374107580,1
1374107820,1
1374116160,2
1374118020,1
1374124620,1
1374130560,2
1374148560,1
1374156300,1
1374157920,1
1374166140,1
1374169140,1
1374172080,1
1374173040,1
1374174420,1
1374182220,1
1374188940,1
1374189060,2
1374189360,1
1374192420,1
1374193260,1
1374196980,1
1374198960,1
1374200580,1
1374202440,3
1374203700,1
1374204300,1
1374206280,2
1374207000,1
1374209820,1
1374238920,1
1374249240,1
1374251880,1
1374255420,1
1374256560,1
1374261780,1
1374268920,1
1374269940,1
1374271680,1
1374271740,1
1374272340,1
1374273360,1
1374273480,1
1374277740,2
1374278400,1
1374278520,2
1374279600,1
1374279780,1
1374279840,1
1374280200,1
1374281520,1
1374283560,1
1374285420,1
1374285660,1
1374286380,1
1374299820,1
1374316560,2
1374326340,1
1374326400,1
1374328440,1
1374333300,1
1374338760,1
1374340140,1
1374341340,1
1374341580,1
1374343500,1
1374345060,1
1374348660,1
1374349380,1
1374349500,1
1374349860,1
1374349920,1
1374351420,2
1374353880,1
1374358080,1
1374364380,1
1374365160,2
1374365880,1
1374369900,1
1374370440,1
1374372120,1
1374373020,2
1374374160,1
1374386700,1
1374422100,1
1374426120,1
1374427740,1
1374435300,1
1374439320,1
1374441420,1
1374442140,1
1374442560,1
1374447240,1
1374448620,1
1374451380,1
1374454560,1
1374456180,1
1374457920,1
1374462960,1
1374463200,1
1374465060,1
1374467820,1
1374497820,1
1374528960,1
1374531120,1
1374534120,1
1374534840,1
1374538620,2
1374540420,1
1374543180,1
1374544140,1
1374544920,1
1374553920,1
1374599640,1
1374601200,1
1374603840,1
1374607380,1
1374617520,1
1374618540,1
1374620160,1
1374620760,1
1374625680,2
1374627360,2
1374628020,2
1374630960,1
1374631080,1
1374633420,1
1374672180,2
1374672600,1
1374683580,1
1374691020,1
1374698160,3
1374699480,1
1374700800,1
1374703320,1
1374703440,1
1374708660,1
1374715320,1
1374716340,2
1374716940,1
1374720000,1
1374720120,1
1374721500,1
1374724080,1
1374727860,1
1374728280,1
1374749640,1
1374751440,1
1374767100,1
1374770880,1
1374773040,1
1374783180,1
1374786840,1
1374787380,1
1374787560,1
1374790860,1
1374795240,1
1374799740,1
1374801120,1
1374802440,1
1374802800,2
1374806520,1
1374813780,1
1374837900,1
1374842580,1
1374850680,1
1374856440,1
1374861660,1
1374865980,1
1374873180,1
1374874020,1
1374880860,1
1374884340,2
1374887340,1
1374889380,1
1374893220,1
1374900180,1
1374901800,1
1374903420,1
1374921120,1
1374934500,1
1374939780,1
1374943860,8
1374943980,5
1374945960,1
1374952740,1
1374953400,1
1374954480,1
1374956760,1
1374957060,1
1374958260,2
1374958440,1
1374962040,1
1374962340,1
1374962760,1
1374965700,1
1374970800,1
1374972780,1
1374975840,1
1374975900,1
1374976200,2
1374981180,1
1374986220,1
1375014300,1
1375033980,1
1375035660,1
1375043700,1
1375046160,1
1375048620,1
1375054080,1
1375056180,1
1375056420,1
1375061580,1
1375062120,1
1375062240,1
1375066860,1
1375076280,1
1375078860,1
1375079040,1
1375096800,1
1375132320,1
1375133280,1
1375136820,1
1375136940,1
1375137660,1
1375139460,1
1375139520,1
1375140840,2
1375140960,2
1375141380,1
1375144440,1
1375144560,1
1375147500,1
1375148820,1
1375149300,1
1375153200,1
1375153560,1
1375155600,1
1375157640,1
1375187520,1
1375189680,1
1375192080,1
1375207680,1
1375209300,1
1375213320,1
1375223460,1
1375224900,1
1375225200,1
1375227000,1
1375227120,1
1375227180,1
1375227660,1
1375228680,1
1375231980,1
1375233480,1
1375236240,1
1375237980,1
1375241640,1
1375243800,1
1375276080,1
1375285560,1
1375305540,1
1375306080,1
1375312020,1
1375318140,1
1375318380,1
1375318440,1
1375318620,1
1375318980,1
1375319640,1
1375319820,1
1375321980,1
1375324020,1
1375324740,1
1375325040,2
1375325100,1
1375325220,1
1375327320,1
1375331100,1
1375347840,1
1375359720,1
1375367880,1
1375399020,1
1375400460,1
1375402140,1
1375402320,1
1375404480,1
1375406160,1
1375408860,1
1375408980,1
1375409160,1
1375409280,1
1375409340,1
1375449000,1
1375462980,1
1375463880,1
1375468680,1
1375475940,1
1375476300,1
1375479240,1
1375480260,1
1375483860,1
1375484100,1
1375485360,1
1375486020,2
1375487640,1
1375492020,1
1375495860,1
1375512240,1
1375520820,1
1375532940,1
1375539240,2
1375540920,1
1375545780,1
1375555860,1
1375556040,1
1375557960,1
1375558800,1
1375559460,1
1375562940,1
1375563420,1
1375569240,1
1375569480,1
1375570380,1
1375572120,1
1375574280,1
1375575900,1
1375576620,2
1375576740,1
1375581060,1
1375588080,1
1375601580,1
1375629300,1
1375629360,1
1375634400,1
1375644240,1
1375647180,2
1375650360,1
1375650720,2
1375651920,1
1375652400,1
1375652520,1
1375653060,1
1375654140,1
1375656840,1
1375658640,1
1375661040,1
1375661460,1
1375661520,1
1375662180,2
1375665300,1
1375666560,2
1375667400,1
1375671240,1
1375706820,1
1375707540,1
1375710540,1
1375732020,1
1375735920,1
1375737240,1
1375737600,1
1375741020,1
1375742640,1
1375744200,1
1375744620,1
1375745220,2
1375751160,1
1375751280,1
1375752420,1
1375756320,1
1375756440,1
1375801200,2
1375801320,2
1375801380,1
1375801560,1
1375816380,1
1375819800,1
1375823760,1
1375823820,1
1375825860,1
1375826160,1
1375827000,1
1375828140,1
1375828860,1
1375829220,1
1375829700,1
1375830120,1
1375830240,1
1375833480,1
1375833600,1
1375834860,1
1375835220,2
1375839060,1
1375839180,1
1375840080,1
1375843380,1
1375843500,1
1375858200,1
1375881000,1
1375881360,1
1375881720,1
1375881960,1
1375903860,3
1375908780,1
1375910940,1
1375912200,1
1375913220,1
1375913820,1
1375914540,1
1375914660,1
1375915260,1
1375919160,1
1375921200,1
1375922520,1
1375924680,1
1375966320,1
1375967520,1
1375971120,1
1375975920,1
1375983360,1
1375985580,1
1375998240,1
1376003280,1
1376005920,1
1376007420,1
1376011440,1
1376011920,1
1376012040,1
1376013540,1
1376014320,1
1376053920,1
1376064120,1
1376067840,1
1376070960,1
1376073180,1
1376073360,1
1376083980,1
1376084160,2
1376090400,1
1376091720,1
1376092560,1
1376093940,1
1376094420,1
1376099640,1
1376101620,1
1376147520,1
1376148360,1
1376150280,1
1376152620,1
1376155140,1
1376161020,1
1376161320,1
1376161620,1
