datetime,arrivals
1371151320,1
1371152940,1
1371153180,1
1371153420,2
1371154260,2
1371154440,1
1371154860,1
1371156720,1
1371157920,1
1371158340,1
1371159120,1
1371159420,1
1371161880,1
1371163080,1
1371164220,1
1371165060,1
1371165180,1
1371167280,1
1371170940,1
1371181020,1
1371210420,1
1371215520,1
1371215760,1
1371216480,2
1371216840,1
1371220740,1
1371228240,1
1371229620,1
1371229740,1
1371229860,1
1371229920,1
1371232080,1
1371233400,1
1371234120,1
1371236340,2
1371236820,1
1371238020,1
1371238320,1
1371238560,1
1371240300,1
1371241620,1
1371242880,1
1371243900,2
1371244380,1
1371246180,1
1371248880,1
1371249120,1
1371250260,1
1371250800,1
1371251640,1
1371251880,1
1371252000,1
1371252420,1
1371253140,1
1371253920,1
1371253980,1
1371254220,1
1371254700,1
1371254880,1
1371254940,1
1371256020,1
1371256860,1
1371260940,1
1371261480,1
1371262260,1
1371266040,1
1371269520,1
1371277320,1
1371279480,1
1371307260,1
1371308580,2
1371308640,3
1371309240,1
1371309960,1
1371311580,2
1371313020,1
1371313980,2
1371315060,1
1371315480,1
1371318360,1
1371319320,1
1371320220,1
1371320340,1
1371322200,2
1371322620,3
1371322740,3
1371324480,1
1371324900,2
1371325440,1
1371326880,2
1371327900,1
1371328020,2
1371329520,1
1371330180,1
1371330660,2
1371330720,1
1371332220,2
1371333720,1
1371334080,1
1371336780,1
1371336960,2
1371337260,1
1371337380,1
1371337980,2
1371338940,1
1371340440,1
1371344040,1
1371345120,1
1371347400,1
1371349560,2
1371352560,2
1371353280,2
1371353340,1
1371385620,1
1371389160,1
1371389880,1
1371393540,1
1371394920,2
1371395220,1
1371395640,1
1371397980,1
1371399060,1
1371401400,2
1371402480,2
1371404340,2
1371404820,1
1371405480,2
1371405600,1
1371406260,2
1371406680,2
1371408900,2
1371411000,1
1371411300,2
1371412200,1
1371413100,2
1371413220,2
1371414300,2
1371415380,1
1371416280,1
1371416400,1
1371416820,1
1371417480,1
1371421860,1
1371422040,1
1371422100,2
1371424260,1
1371425160,1
1371425580,1
1371425880,1
1371426600,1
1371427920,1
1371429780,2
1371430080,1
1371431040,1
1371432720,1
1371436080,1
1371438360,1
1371439740,2
1371469140,1
1371470160,1
1371472500,1
1371474660,1
1371474720,1
1371476280,1
1371477420,1
1371478920,1
1371480540,1
1371481320,1
1371484020,1
1371485520,1
1371487800,1
1371488100,1
1371488280,1
1371489060,1
1371489240,2
1371490200,1
1371491160,1
1371491580,1
1371491640,1
1371492720,1
1371494220,1
1371497100,1
1371497160,1
1371498360,1
1371501000,2
1371503040,1
1371503580,1
1371503940,1
1371504240,2
1371504300,1
1371505260,1
1371505920,1
1371506460,1
1371506940,3
1371508560,1
1371508740,2
1371509880,1
1371510180,1
1371510240,2
1371510780,1
1371511020,1
1371511380,1
1371511500,2
1371511620,1
1371512280,1
1371512880,1
1371513060,3
1371514920,1
1371517620,1
1371518640,2
1371519480,3
1371520080,1
1371520680,1
1371521340,1
1371521700,1
1371522360,1
1371524880,4
1371526260,1
1371532140,1
1371533100,1
1371534180,1
1371553620,1
1371556500,1
1371556800,1
1371558240,1
1371559980,2
1371560400,1
1371560760,1
1371561840,1
1371561960,1
1371563760,1
1371564240,1
1371564960,1
1371567360,1
1371567540,1
1371568080,1
1371568260,1
1371569220,1
1371572520,1
1371574920,1
1371575280,1
1371575400,2
1371575640,1
1371575760,1
1371576660,1
1371576960,1
1371577140,1
1371577440,1
1371577620,1
1371577680,1
1371578220,1
1371578400,1
1371580200,1
1371582180,1
1371582720,1
1371585120,1
1371585960,1
1371586020,2
1371586680,1
1371591420,1
1371592320,1
1371592380,1
1371594960,1
1371595500,1
1371600000,1
1371600180,1
1371601560,2
1371604320,1
1371606180,1
1371607080,2
1371609540,4
1371609900,1
1371617100,1
1371617160,1
1371637020,1
1371642360,1
1371642900,1
1371643200,1
1371643860,1
1371647460,1
1371648240,1
1371649080,1
1371651420,1
1371652320,1
1371652380,1
1371653220,1
1371654300,1
1371655980,1
1371656280,2
1371656760,1
1371658860,1
1371659160,1
1371659700,1
1371661140,1
1371661860,1
1371662520,1
1371664800,1
1371666120,2
1371666300,1
1371667140,1
1371671700,1
1371673500,1
