datetime,arrivals
1371150420,1
1371153240,3
1371154020,1
1371156300,1
1371157680,1
1371160920,1
1371161820,1
1371164580,1
1371166320,1
1371169320,1
1371207900,1
1371209700,1
1371211860,1
1371212400,1
1371212640,1
1371213060,1
1371213240,1
1371215340,1
1371215400,2
1371215760,1
1371216180,1
1371216900,1
1371217140,1
1371217800,1
1371218280,2
1371221160,1
1371221460,1
1371222540,1
1371223680,1
1371226440,2
1371226500,1
1371229380,1
1371230940,2
1371231720,1
1371231840,1
1371233220,1
1371234480,1
1371235920,1
1371236040,1
1371239940,1
1371244860,2
1371245460,1
1371246780,1
1371247620,1
1371249120,1
1371249240,1
1371249660,1
1371252000,1
1371252300,1
1371252360,1
1371253740,1
1371253800,1
1371253860,1
1371255480,2
1371256020,1
1371259140,1
1371268440,2
1371268560,6
1371268620,3
1371268680,2
1371268740,3
1371268800,2
1371268860,3
1371271020,1
1371272220,1
1371274560,1
1371274800,2
1371281580,1
1371282960,1
1371294660,1
1371296940,1
1371302220,1
1371303540,2
1371306540,3
1371308220,1
1371311580,1
1371311820,1
1371312240,1
1371312660,1
1371312900,4
1371316560,1
1371316920,2
1371317580,2
1371317820,1
1371318120,2
1371318180,1
1371318300,1
1371318600,1
1371319380,1
1371320700,1
1371320940,1
1371323040,3
1371323340,1
1371324180,1
1371324420,2
1371324660,1
1371325980,2
1371328080,2
1371328740,1
1371329880,3
1371330180,1
1371331080,1
1371333300,1
1371333360,1
1371334080,1
1371334620,3
1371336360,2
1371336480,2
1371337020,1
1371337860,2
1371343680,1
1371343740,1
1371344760,1
1371344820,1
1371347580,2
1371348660,2
1371349440,2
1371349740,2
1371350580,3
1371355440,1
1371359460,3
1371359520,2
1371359580,4
1371359640,2
1371364020,1
1371364140,1
1371377640,2
1371382320,1
1371386760,1
1371387420,1
1371388680,1
1371388800,1
1371390720,1
1371391140,1
1371392460,2
1371394380,1
1371396960,1
1371401040,1
1371401280,2
1371402060,1
1371402780,1
1371403560,2
1371405960,1
1371406680,3
1371406800,2
1371407100,3
1371407160,1
1371407280,2
1371407700,1
1371408420,1
1371409380,1
1371409680,1
1371409800,1
1371411120,1
1371411300,2
1371411540,2
1371414060,1
1371415680,1
1371416280,2
1371416940,2
1371417180,1
1371417600,1
1371418200,1
1371418680,1
1371419280,1
1371421200,1
1371422220,2
1371422520,3
1371422820,1
1371423300,1
1371425580,1
1371425760,1
1371426600,1
1371428160,1
1371428400,2
1371428520,2
1371430680,1
1371431340,1
1371434640,1
1371435540,2
1371438540,2
1371440520,1
1371464640,1
1371466380,1
1371467280,1
1371467580,1
1371467700,1
1371469560,2
1371470520,2
1371470820,1
1371471540,2
1371471780,1
1371472140,1
1371472260,1
1371472320,1
1371473160,1
1371473640,1
1371474120,1
1371475800,2
1371476100,1
1371476280,1
1371476580,1
1371477420,1
1371478080,1
1371478260,1
1371480060,1
1371480960,1
1371483300,2
1371483780,1
1371484020,2
1371484980,1
1371486420,3
1371487140,1
1371490740,1
1371490980,1
1371493980,1
1371495720,1
1371497520,1
1371499440,1
1371503700,1
1371504180,1
1371506220,1
1371506460,1
1371506580,1
1371506700,1
1371507420,2
1371508920,1
1371509100,1
1371510000,1
1371511920,1
1371513600,1
1371514200,1
1371515340,1
1371518040,1
1371521760,1
1371522960,2
1371524400,1
1371527880,2
1371538200,2
1371551160,2
1371551340,1
1371551880,1
1371552720,1
1371553860,1
1371553980,2
1371554100,1
1371555840,1
1371556200,1
1371556740,1
1371557340,2
1371558000,1
1371558300,1
1371558600,1
1371558780,1
1371558960,1
1371559020,1
1371559380,1
1371559620,1
1371559920,1
1371560160,1
1371561060,1
1371561180,1
1371561540,1
1371561720,1
1371562080,1
1371562560,1
1371564000,1
1371564240,1
1371564720,1
1371566280,1
1371566520,2
1371567300,1
1371572280,1
1371573840,1
1371574860,1
1371575100,1
1371576300,1
1371576420,1
1371576600,1
1371576660,1
1371578460,2
1371578580,1
1371579000,2
1371580440,1
1371580860,1
1371581520,1
1371586980,2
1371587460,1
1371591420,1
1371592500,1
1371593580,2
1371596340,1
1371596400,2
1371596460,1
1371600660,1
1371606180,1
1371611940,1
1371614760,2
1371615060,1
1371615300,1
1371615420,2
1371617820,1
1371617880,1
1371637740,1
1371639780,1
1371640620,1
1371640740,1
1371641340,1
1371641820,1
1371642240,1
1371642540,1
1371643140,1
1371644220,1
1371644400,1
1371644520,2
1371644820,1
1371645780,1
1371646740,2
1371647400,1
1371648060,1
1371648240,3
1371649440,1
1371649500,1
1371650160,1
1371650820,1
1371652980,1
1371654060,1
1371654660,1
1371654780,1
1371655560,1
1371655740,1
1371655980,1
1371657000,3
1371657120,1
1371658860,1
1371660120,1
1371661200,1
1371661380,1
1371662700,1
1371664440,4
1371664500,1
1371665160,1
1371665460,1
1371665580,1
1371665640,1
1371666480,1
1371667140,1
1371668160,1
1371669240,2
1371670260,1
1371670740,1
1371671040,1
1371671700,1
1371672000,4
1371673560,1
1371674220,3
1371674580,1
1371674940,1
1371675300,1
1371675720,1
1371676140,2
1371677160,1
1371677340,1
1371677580,1
1371677640,1
1371679740,1
1371679980,1
1371681000,1
1371681780,1
1371682500,1
1371684180,2
1371684240,1
1371684480,1
1371685320,1
1371686460,2
1371686640,2
1371688860,1
1371689460,2
1371689640,2
1371690900,1
1371690960,2
1371691080,4
1371691140,1
1371691200,7
1371691320,1
1371691500,1
1371695280,1
1371696480,2
1371697500,1
1371698820,1
1371698880,1
1371700800,2
1371704040,2
1371706920,1
1371710280,1
1371710340,1
1371710400,1
1371710940,2
1371725160,1
1371727080,3
1371727860,1
1371728220,1
1371728580,1
1371730020,1
1371730680,2
1371730740,2
1371731040,1
1371731400,1
1371731520,1
1371731580,1
1371732300,1
1371732420,3
1371734940,1
1371735420,1
1371735900,1
1371736320,1
1371737100,1
1371738660,1
1371738900,1
1371741900,1
1371742140,1
1371743100,2
1371745260,1
1371747000,1
1371747060,1
1371747240,1
1371748140,1
1371748440,1
1371749880,1
1371750060,1
1371750600,1
1371751080,1
1371751560,1
1371752760,1
1371753000,1
1371753780,1
1371755220,1
1371755520,1
1371755640,2
1371756300,1
1371756720,2
1371757380,1
1371757680,1
1371758640,1
1371758760,1
1371760500,2
1371760860,3
1371764940,1
1371765600,1
1371766320,2
1371767220,1
1371768480,1
1371771780,1
1371772140,1
1371772260,2
1371773400,1
1371773940,2
1371774780,1
1371776220,1
1371776880,1
1371777300,1
1371783720,1
1371784140,1
1371788760,1
1371789780,1
1371791100,1
1371794640,1
1371803280,2
1371805680,1
1371805740,1
1371805860,3
1371805920,1
1371806040,1
1371806100,2
1371806220,1
1371806280,2
1371807060,6
1371810780,1
1371811020,1
1371811800,1
1371812460,1
1371813240,1
1371813900,2
1371814260,1
1371815040,1
1371815760,1
1371816000,1
1371816120,1
1371817080,2
1371817500,1
1371817740,1
1371818100,1
1371818460,1
1371819960,5
1371820260,1
1371820500,1
1371821040,1
1371822480,1
1371823200,1
1371825960,1
1371828660,1
1371829080,1
1371829980,1
1371830220,1
1371830820,1
1371831480,1
1371831840,1
1371832320,1
1371832500,1
1371832560,1
1371832740,1
1371833220,2
1371833340,1
1371834060,2
1371835200,2
1371835680,1
1371837060,1
1371837240,1
1371839580,1
1371840960,2
1371841020,1
1371842460,1
1371842700,1
1371845040,1
1371845640,1
1371847260,1
1371847620,1
1371850080,1
1371853680,1
1371856200,1
1371856380,1
1371857160,1
1371857820,1
1371857940,1
1371858300,1
1371858360,1
1371858780,1
1371859140,1
1371859440,1
1371863760,2
1371865980,1
1371872700,2
1371873360,1
1371875100,1
1371876420,1
1371877080,1
1371887160,2
1371903900,1
1371905640,1
1371906480,1
1371906720,1
1371911220,1
1371911280,1
1371911640,1
1371911700,1
1371912180,1
1371913740,1
1371916260,1
1371917580,1
1371919320,1
1371919740,1
1371921000,1
1371921240,3
1371921300,1
1371921720,1
1371921780,1
1371922560,1
1371922620,2
1371923280,1
1371923700,1
1371924000,1
1371925200,2
1371925320,1
1371925680,2
1371925800,3
1371926580,1
1371927120,1
1371927780,1
1371928560,1
1371928800,2
1371929340,1
1371929400,9
1371929460,1
1371930540,3
1371930660,1
1371930720,1
1371931680,2
1371932460,2
1371933120,1
1371933660,1
1371934020,1
1371934080,1
1371934680,2
1371935040,2
1371935160,2
1371935760,1
1371937800,1
1371938460,1
1371938820,1
1371939720,1
1371939780,1
1371940440,2
1371940920,2
1371941820,3
1371942720,2
1371943860,2
1371944040,1
1371944520,1
1371944940,1
1371945480,2
1371945600,5
1371945780,3
1371947100,1
1371948120,1
1371949560,1
1371950640,1
1371953220,1
1371955440,2
1371955560,2
1371956520,1
1371960240,2
1371960600,1
1371960660,3
1371960900,1
1371961800,2
1371964800,1
1371966840,2
1371970080,2
1371973620,2
1371979980,1
1371991980,2
1371992940,1
1371993180,1
1371993960,1
1371995100,1
1371995820,1
1371996420,1
1371996540,1
1371997020,1
1371997560,1
1371998280,1
1371999000,1
1371999720,1
1372000140,1
1372000380,3
1372002300,1
1372002840,1
1372003800,1
1372004160,1
1372004520,1
1372004580,1
1372004640,1
1372004700,1
1372004940,1
1372007040,1
1372007700,1
1372008960,2
1372011000,2
1372011900,1
1372012260,2
1372013160,2
1372013280,1
1372014660,1
1372015200,1
1372015320,2
1372016400,2
1372017060,2
1372018020,1
1372018200,1
1372020300,1
1372020420,2
1372021440,1
1372022820,1
1372022880,1
1372023120,1
1372023780,2
1372023960,1
1372024440,2
1372024560,1
1372024680,2
1372024980,1
1372025040,5
1372025100,3
1372025220,1
1372025280,2
1372025520,1
1372025760,1
1372025940,2
1372026240,1
1372027080,1
1372028400,2
1372028520,1
1372028640,2
1372029060,1
1372029600,1
1372030860,1
1372031280,1
1372031820,3
1372032540,1
1372034880,1
1372035000,1
1372035180,1
1372035840,1
1372036980,1
1372037640,1
1372038960,1
1372040340,1
1372042260,2
1372046640,1
1372046940,1
1372047000,1
1372062840,2
1372069740,1
1372069860,1
1372071120,1
1372071660,1
1372072620,1
1372072860,1
1372072920,1
1372073100,3
1372073820,1
1372074180,1
1372075620,2
1372076040,1
1372076160,2
1372076340,1
1372076400,2
1372076580,1
1372076640,1
1372077180,1
1372077240,1
1372077480,1
1372077960,1
1372078080,1
1372078140,2
1372078500,1
1372078560,1
1372078920,1
1372079040,1
1372080180,1
1372080480,1
1372081800,1
1372083600,1
1372084020,1
1372084200,1
1372085940,1
1372086240,1
1372086540,1
1372087380,1
1372088460,1
1372089000,1
1372089780,1
1372091100,1
1372093200,1
1372094100,1
1372094220,1
1372097760,1
1372098960,1
1372099680,1
1372099920,1
1372100040,2
1372100460,1
1372102980,1
1372104420,1
1372104600,2
1372108620,1
1372111080,1
1372111440,1
1372112460,1
1372112940,1
1372114080,1
1372115520,2
1372116600,1
1372117260,1
1372117680,1
1372119960,1
1372121340,1
1372126020,1
1372126140,1
1372133220,1
1372155780,1
1372156380,1
1372158240,1
1372158420,1
1372158600,1
1372158720,1
1372159560,1
1372160160,1
1372161120,1
1372161720,1
1372161840,1
1372162080,1
1372162560,1
1372162680,2
1372163220,1
1372164120,1
1372164540,1
1372164600,2
1372164900,2
1372164960,1
1372165020,1
1372165320,1
1372165380,1
1372165500,1
1372165620,1
1372165860,1
1372166880,1
1372166940,1
1372167300,1
1372167480,1
1372167960,1
1372168140,1
1372169820,1
1372170840,1
1372171740,1
1372173060,1
1372174680,1
1372175220,1
1372175340,1
1372176720,1
1372179960,1
1372180860,1
1372181040,1
1372181580,1
1372181940,2
1372182300,1
1372182840,1
1372183020,1
1372183380,1
1372183620,1
1372184520,1
1372185480,1
1372185720,1
1372186440,1
1372186800,2
1372187100,1
1372188000,1
1372188720,3
1372189500,1
1372189620,1
1372189740,1
1372190700,1
1372191300,1
1372191900,1
1372194180,2
1372194600,1
1372195680,1
1372195800,2
1372196940,1
1372199400,1
1372200240,3
1372200300,1
1372200600,1
1372203840,1
1372204500,1
1372206420,2
1372210260,1
1372214280,1
1372214580,1
1372215360,2
1372216560,1
1372216740,1
1372217940,1
1372219920,1
1372220040,1
1372220100,2
1372220220,1
1372220580,1
1372223880,1
1372237560,1
1372242420,1
1372242720,1
1372242900,1
1372243440,1
1372243500,1
1372243620,1
1372243740,1
1372245360,1
1372245960,1
1372246200,1
1372247100,1
1372247580,1
1372248000,1
1372248300,1
1372248780,1
1372249020,1
1372249140,1
1372249200,2
1372249800,1
1372250040,2
1372250100,1
1372250580,1
1372251060,1
1372251420,1
1372251780,1
1372252080,1
1372252440,1
1372252560,1
1372252800,1
1372253340,1
1372253820,1
1372254660,1
1372254840,1
1372254900,1
1372255020,1
1372255740,1
1372255800,1
1372257180,2
1372259220,1
1372260840,1
1372261260,3
1372261680,1
1372263360,1
1372264740,1
1372264860,1
1372266420,1
1372266720,1
1372266780,2
1372266960,1
1372267320,1
1372267380,2
1372267740,1
1372267980,1
1372268700,1
1372269000,1
1372269120,1
1372269660,1
1372271280,2
1372271460,1
1372272060,1
1372272360,2
1372272480,1
1372274580,1
1372274760,1
1372275060,1
1372275300,1
1372276380,1
1372276740,1
1372277940,1
1372278480,1
1372282500,2
1372283400,1
1372283820,1
1372284720,2
1372285140,1
1372286880,1
1372288800,1
1372290300,2
1372290420,1
1372292220,1
1372292580,1
1372293060,1
1372294020,1
1372295820,1
1372296180,1
1372296420,1
1372296960,1
1372297440,1
1372300740,2
1372301580,1
1372306860,2
1372306980,3
1372327380,1
1372329240,1
1372329960,1
1372330260,1
1372331040,1
1372331280,1
1372331580,1
1372331760,1
1372332240,1
1372332480,1
1372332960,1
1372334220,1
1372334340,1
1372335060,1
1372335420,1
1372335780,1
1372335840,1
1372336320,5
1372337040,1
1372337880,1
1372338540,3
1372338660,1
1372339080,1
1372339140,1
1372339200,1
1372339380,1
1372339740,1
1372341120,4
1372343760,1
1372344420,1
1372344960,1
1372346040,1
1372346880,1
1372347720,1
1372348620,1
1372348680,1
1372349760,1
1372350060,1
1372350660,1
1372351740,1
1372358580,2
1372359300,1
1372359420,2
1372359480,1
1372359600,1
1372359660,1
1372359720,1
1372360140,1
1372362000,1
1372362120,1
1372362360,2
1372363500,1
1372363680,1
1372363980,1
1372364460,2
1372365540,1
