datetime,arrivals
1371151380,1
1371152460,1
1371153780,1
1371154260,1
1371154320,1
1371157020,1
1371157260,1
1371158520,1
1371160320,1
1371162480,1
1371162840,1
1371164400,1
1371165240,1
1371181320,1
1371184440,1
1371184860,1
1371194880,2
1371194940,3
1371195000,2
1371195060,2
1371195120,2
1371210180,1
1371213540,1
1371214080,1
1371214500,1
1371214560,1
1371215880,2
1371216360,1
1371217200,1
1371217620,1
1371218160,1
1371218460,1
1371218880,1
1371219180,1
1371219360,1
1371219840,1
1371219960,2
1371221700,1
1371222780,1
1371223020,1
1371223800,1
1371225480,1
1371230460,1
1371232380,1
1371232440,1
1371234300,1
1371236880,1
1371238800,2
1371240180,1
1371241140,2
1371247800,1
1371249480,1
1371249900,2
1371250020,1
1371250920,1
1371251640,1
1371251760,1
1371253620,1
1371254100,1
1371254280,1
1371255360,1
1371255840,1
1371256680,1
1371256800,1
1371256860,1
1371259860,2
1371261060,1
1371269400,1
1371270600,1
1371279000,1
1371293580,1
1371300960,1
1371301080,1
1371301320,1
1371302520,1
1371305220,1
1371305340,1
1371306480,1
1371306540,1
1371306960,1
1371307440,1
1371308880,2
1371309240,1
1371310200,1
1371312720,2
1371312960,1
1371315180,1
1371315720,1
1371317040,1
1371317580,1
1371318240,1
1371318600,3
1371319800,1
1371321300,1
1371322380,2
1371323640,1
1371324240,5
1371324420,2
1371324480,3
1371324780,1
1371324900,1
1371325440,1
1371326220,1
1371327360,1
1371327900,1
1371328200,3
1371329400,1
1371329520,1
1371331620,2
1371332160,1
1371336360,1
1371337440,1
1371339420,1
1371350520,1
1371353520,1
1371354660,1
1371383280,1
1371386940,1
1371388920,2
1371388980,1
1371389040,2
1371389160,3
1371389280,1
1371391800,2
1371393000,1
1371393300,1
1371398280,1
1371398700,3
1371401040,1
1371403920,1
1371404340,2
1371404520,2
1371404820,2
1371404880,2
1371405360,1
1371405960,2
1371406320,2
1371406860,1
1371407460,1
1371407640,2
1371407880,2
1371413460,1
1371413760,1
1371414420,1
1371416400,2
1371416520,1
1371418440,2
1371418860,2
1371422460,2
1371423240,2
1371426060,2
1371428700,1
1371432240,1
1371433620,2
1371434040,1
1371437100,1
1371437700,1
1371438660,3
1371441840,1
1371466440,1
1371470520,1
1371472500,1
1371472800,1
1371475380,1
1371475560,2
1371475800,1
1371476280,1
1371476340,1
1371476580,1
1371476700,1
1371476880,2
1371477840,1
1371478860,1
1371479040,1
1371479640,1
1371479700,1
1371480180,1
1371480720,1
1371482280,1
1371483060,1
1371484680,1
1371488520,1
1371489540,1
1371492300,1
1371493320,1
1371494640,1
1371495120,1
1371496380,1
1371498960,1
1371500340,1
1371500580,1
1371504180,3
1371504300,1
1371505020,1
1371506460,1
1371506820,1
1371507120,1
1371509340,1
1371509580,1
1371509880,1
1371510000,1
1371511500,1
1371512220,4
1371512640,1
1371512760,1
1371513120,1
1371513360,1
1371514800,2
1371515460,1
1371517800,1
1371518940,1
1371520080,2
1371522120,1
1371522960,1
1371523800,2
1371524220,1
1371533520,1
1371555360,1
1371556440,1
1371559800,2
1371560100,1
1371560760,1
1371561660,1
1371561960,1
1371562440,1
1371562560,1
1371562680,1
1371563460,2
1371563760,1
1371564240,1
1371565680,1
1371568680,1
1371569940,1
1371571380,1
1371574260,1
1371576900,1
1371577500,1
1371580200,1
1371580740,2
1371584460,1
1371584520,1
1371590700,1
1371590940,1
1371595200,1
1371596100,1
1371603540,1
1371611100,1
1371642300,1
1371645420,1
1371645540,1
1371645600,1
1371646260,1
1371646500,2
1371646740,1
1371646920,1
1371646980,1
1371647460,1
1371647820,1
1371648240,1
1371648480,1
1371648600,1
1371648720,1
1371649020,1
1371649260,1
1371649620,1
1371649680,3
1371649800,1
1371651180,1
1371651240,1
1371652680,1
1371652980,1
1371653220,1
1371653760,1
1371655860,1
1371656280,1
1371658980,1
1371660600,1
1371660720,1
1371664800,1
1371665520,2
1371667740,1
1371667800,1
1371668100,1
1371669840,1
1371670080,1
1371670500,1
1371671220,1
1371672060,1
1371672240,1
1371672360,1
1371673500,1
1371674640,1
1371674880,1
1371675120,1
1371676320,1
1371676560,1
1371679380,1
1371682500,1
1371682560,1
1371684900,1
1371685980,1
1371688800,1
1371689640,1
1371693840,1
1371694980,1
1371698220,1
1371698880,1
1371704280,2
1371706800,1
1371706920,2
1371707040,1
1371707460,1
1371725880,1
1371727500,1
1371728220,1
1371730020,1
1371731220,1
1371732420,1
1371733140,2
1371733800,1
1371734580,1
