datetime,arrivals
1371152640,1
1371153900,1
1371156780,1
1371158700,1
1371160320,1
1371160680,1
1371162780,1
1371163020,1
1371164280,1
1371167040,1
1371189780,1
1371207840,1
1371220440,1
1371221580,1
1371233820,1
1371241440,1
1371242940,1
1371244260,1
1371244740,1
1371246240,1
1371246300,1
1371246960,1
1371250980,1
1371253680,1
1371269520,1
1371272580,1
1371275280,1
1371282540,1
1371318120,1
1371320280,1
1371322680,2
1371324660,1
1371328740,1
1371329400,1
1371329520,1
1371330000,2
1371336240,2
1371338880,1
1371340800,3
1371341160,1
1371344520,2
1371390600,1
1371399360,1
1371399480,1
1371400020,1
1371409740,1
1371410580,1
1371411240,2
1371413160,1
1371413460,1
1371424080,1
1371427380,1
1371427980,1
1371429960,1
1371431700,2
1371433500,1
1371439800,1
1371443760,2
1371445980,2
1371467220,1
1371475680,1
1371478440,1
1371496740,1
1371505500,1
1371511020,2
1371516780,1
1371520260,1
1371521280,1
1371525840,1
1371554040,1
1371567600,1
1371577980,2
1371583800,1
1371584040,1
1371585120,1
1371601140,1
1371612780,1
1371615780,1
1371617040,1
1371619620,1
1371620460,1
1371648780,1
1371655440,1
1371669480,1
1371679260,1
1371679740,1
1371686040,1
1371686100,1
1371686160,2
1371686280,1
1371686340,1
1371686400,1
1371686460,1
1371686520,1
1371686820,1
1371690780,1
1371692820,1
1371692880,1
1371694200,1
1371694500,1
1371697440,1
1371698880,1
1371700020,1
1371704880,1
1371707700,2
1371709380,1
1371726480,1
1371734520,1
1371734580,1
1371735060,1
1371735720,1
1371744540,1
1371766080,1
1371767520,1
1371768660,1
1371769260,1
1371769620,1
1371770760,1
1371774960,1
1371775080,1
1371781020,1
1371782280,1
1371812820,1
1371823140,1
1371825840,1
1371827100,1
1371834300,1
1371845100,2
1371849900,1
1371850380,1
1371851940,1
1371854340,2
1371855240,1
1371857940,1
1371858900,1
1371864300,3
1371911580,1
1371912060,1
1371919140,1
1371919740,1
1371920820,1
1371923460,1
1371926040,1
1371928680,1
1371929280,1
1371938040,1
1371938100,1
1371940440,2
1371941220,1
1371943500,1
1371943560,3
1371944520,1
1371946320,1
1371947460,1
1371950820,2
1371952020,2
1371953640,1
1371953700,1
1371956160,1
1371960420,1
1371964740,1
1371971640,1
1371997140,1
1372002420,1
1372002960,1
1372004340,1
1372004640,1
1372005720,1
1372009020,1
1372012200,2
1372013280,1
1372017060,1
1372017480,1
1372019340,1
1372019760,2
1372023600,1
1372024440,1
1372027860,1
1372028940,2
1372030200,1
1372030680,3
1372031280,1
1372032240,1
1372033800,1
1372036260,1
1372045800,2
1372046940,1
1372048140,1
1372063140,1
1372072080,1
1372083600,1
1372084620,1
1372090920,1
