datetime,arrivals
1371182580,4
1371182640,1
1371183060,1
1371183720,1
1371205200,1
1371207060,1
1371211260,2
1371213420,1
1371213840,1
1371214560,1
1371214920,1
1371215220,1
1371215340,2
1371215520,1
1371215700,1
1371216180,1
1371216720,1
1371217560,1
1371217620,1
1371217800,1
1371218820,1
1371219180,1
1371221160,1
1371221580,1
1371221700,1
1371222660,1
1371224160,1
1371228420,1
1371228960,1
1371229860,1
1371230820,2
1371231720,1
1371234420,2
1371235320,2
1371237180,1
1371237480,1
1371237540,2
1371238440,1
1371239160,1
1371239580,1
1371239880,1
1371240060,1
1371242880,1
1371243480,1
1371244260,1
1371244440,1
1371245400,1
1371246180,1
1371248280,1
1371250560,1
1371250680,1
1371251940,1
1371253500,1
1371254520,1
1371255180,1
1371257760,1
1371264960,1
1371272640,2
1371275220,1
1371277260,1
1371281940,1
1371282120,1
1371301620,1
1371307380,1
1371308760,1
1371309180,1
1371314820,1
1371315060,1
1371316920,1
1371319320,1
1371319800,2
1371319980,1
1371321900,1
1371322080,1
1371322680,1
1371325980,2
1371327000,1
1371327120,1
1371327720,2
1371328680,3
1371329400,1
1371331200,1
1371333240,2
1371333420,2
1371334140,2
1371334200,1
1371334440,2
1371335340,1
1371337740,2
1371341520,1
1371341580,2
1371344820,1
1371346680,1
1371351780,1
1371351840,1
1371359520,1
1371362940,2
1371363000,3
1371363120,5
1371368880,1
1371388680,1
1371394860,1
1371401940,1
1371402240,1
1371407280,1
1371410820,2
1371411780,2
1371414420,1
1371414480,1
1371414900,1
1371415920,1
1371416640,1
1371416700,1
1371417060,1
1371417600,1
1371417780,1
1371417840,2
1371421440,1
1371421500,1
1371425640,1
1371426060,2
1371426180,1
1371426240,1
1371426480,1
1371429360,1
1371430020,1
1371434040,1
1371447480,1
1371463380,1
1371465900,1
1371466260,1
1371468720,1
1371468960,1
1371470520,1
1371470820,1
1371472260,2
1371473160,3
1371473340,1
1371473400,2
1371473820,1
1371474120,1
1371474540,1
1371474960,1
1371475080,1
1371477060,1
1371477600,1
1371479640,1
1371483600,1
1371485040,3
1371485400,2
1371490740,1
1371491820,1
1371491880,1
1371499980,1
1371503100,1
1371503340,1
1371504480,1
1371506040,2
1371506580,1
1371506940,1
1371507120,1
1371508440,1
1371508560,1
1371510240,1
1371510480,1
1371510660,1
1371510960,1
1371512640,2
1371513240,1
1371514260,1
1371514980,2
1371515280,1
1371515580,2
1371517140,1
1371519240,1
1371551700,1
1371552000,1
1371552540,1
1371552840,1
1371554820,1
1371555840,1
1371556560,1
1371557340,1
1371558600,1
1371558780,1
1371559080,2
1371559680,2
1371559920,1
1371559980,1
1371560100,1
1371562860,1
1371568980,1
1371574020,1
1371574080,1
1371576840,1
1371578580,1
1371578700,2
1371579180,1
1371579780,1
1371579840,1
1371580560,1
1371584760,1
1371590580,1
1371591120,1
1371594960,1
1371595500,1
1371596820,1
1371602640,1
1371635940,1
1371638940,1
1371641220,1
1371641700,1
1371642660,1
1371643680,1
1371644640,1
1371645900,1
1371646200,2
1371646740,1
1371646980,1
1371647220,1
1371647640,1
1371647700,1
1371647940,1
1371648660,1
1371648720,1
1371648780,1
1371649080,1
1371649680,1
1371651420,1
1371653220,1
1371657360,1
1371658080,1
1371659280,1
1371661140,1
1371661860,1
1371662160,1
1371662820,1
1371662880,1
1371663000,1
1371663300,1
1371663780,1
1371663900,1
1371664980,1
1371667200,1
1371667740,1
1371672000,1
1371674880,1
1371674940,1
1371675240,1
1371675600,1
1371676740,1
1371677700,2
1371682080,1
1371682140,2
1371682200,2
1371682260,2
1371682320,1
1371682380,2
1371683580,1
1371683640,1
1371685020,1
1371685320,3
1371685980,1
1371686100,1
1371690000,3
1371690120,2
1371690420,2
1371690960,1
1371691800,1
1371692040,1
1371693060,1
1371724860,1
1371725460,1
1371728220,1
1371728400,1
1371729780,1
1371731220,1
1371731640,1
1371731820,1
1371732420,1
1371732660,2
1371733320,1
1371733500,1
1371733680,2
1371733920,1
1371734100,1
1371734280,1
1371734340,1
1371734580,1
1371734640,2
1371734820,1
1371735180,1
1371735300,1
1371737700,1
1371739200,1
1371739800,1
1371740160,1
1371741000,1
1371743100,1
1371748020,1
1371748560,1
1371748740,1
1371749340,1
1371750240,1
1371750720,1
1371753300,1
1371753720,1
1371755340,1
1371755520,1
1371755820,1
1371761040,1
1371762900,1
1371763020,1
1371766140,1
1371766440,1
1371767700,2
1371768960,1
1371769620,1
1371770460,1
1371771300,1
1371771420,1
1371773280,1
1371774300,1
1371774600,1
1371774780,1
1371780120,1
1371782280,1
1371786300,2
1371787620,5
1371787800,1
1371793740,1
1371809880,1
1371811260,1
1371814800,1
1371815400,1
1371815880,1
1371817620,1
1371818340,1
1371818640,1
1371819960,2
1371820020,1
1371820380,1
1371821040,1
1371821220,1
1371821400,2
1371821640,1
1371822480,1
1371822540,1
1371822660,1
1371823740,1
1371824040,2
1371826800,1
1371827280,1
1371827760,1
1371829860,1
1371830580,1
1371831300,1
1371833520,1
1371834420,1
1371834540,1
1371834840,1
1371834900,1
1371835080,1
1371836100,2
1371836760,1
1371840480,1
1371841020,1
1371841560,1
1371843960,1
1371844920,1
1371845700,1
1371846300,1
1371846720,1
1371847380,1
1371847500,1
1371850860,1
1371850920,1
1371853740,1
1371856380,2
1371856980,2
1371857040,2
1371858660,1
1371858900,1
1371859140,1
1371859500,1
1371859680,2
1371860700,1
1371862560,1
1371862920,3
1371863220,2
1371864180,1
1371866520,1
1371867780,1
1371872100,1
1371873480,1
1371873900,2
1371910860,1
1371919620,1
1371922440,1
1371922920,1
1371924840,1
1371924900,1
1371925440,1
1371925980,1
1371928380,1
1371929040,1
1371930120,1
1371931080,1
1371931200,1
1371932340,1
1371934380,1
1371935640,3
1371936000,2
1371937260,1
1371938160,1
1371938880,1
1371939480,1
1371940920,2
1371941940,2
1371942900,2
1371943860,1
1371945780,1
1371947220,1
1371947640,1
1371948480,1
1371950280,1
1371953280,1
1371953700,1
1371954300,1
1371954900,2
1371961800,1
1371962520,1
1371965040,1
1371967740,1
1371985080,1
1371988380,1
1371996180,1
1371997500,1
1371999660,1
1372001760,1
1372005180,2
1372005780,1
1372006620,2
1372007700,1
1372009800,1
1372010160,1
1372010760,1
1372011060,1
1372011660,1
1372011720,1
1372012260,2
1372012740,2
1372013040,1
1372015200,1
1372015920,1
1372017840,1
1372018620,1
1372020420,2
1372022040,1
1372022400,2
1372024980,1
1372025100,1
1372025820,1
1372027440,1
1372027860,2
1372029780,1
1372029840,1
1372029900,1
1372030500,3
1372031280,1
1372031460,1
1372032000,1
1372032960,1
1372033860,2
1372034220,1
1372034280,1
1372034340,1
1372035720,4
1372035780,1
1372038060,1
1372040820,1
1372046280,1
1372049040,1
1372049880,1
1372053480,1
1372053960,1
1372070820,2
1372071240,1
1372072380,1
1372072560,1
1372074120,1
1372076220,1
1372077180,1
1372078320,1
1372079580,1
1372081560,1
1372082400,1
1372087920,1
1372088820,1
1372089300,2
1372090380,1
1372093740,1
1372095000,1
1372096380,1
1372096680,1
1372097580,1
1372098900,1
1372100040,1
1372100700,1
1372101480,1
1372101660,1
1372101780,1
1372103520,1
1372104180,1
1372109700,1
1372110420,1
1372111380,1
1372111440,1
1372112520,1
1372114500,1
1372115040,1
1372118100,1
1372118700,1
1372118940,1
1372120740,1
1372122360,1
1372123860,1
1372125000,1
1372129200,1
1372137120,3
1372137180,1
1372155060,1
1372155780,1
1372156440,1
1372159380,1
1372161000,1
1372163880,1
1372164060,1
1372164120,1
1372164300,1
1372164420,1
1372164480,2
1372164660,1
1372164720,2
1372164960,1
1372165320,1
1372165380,1
1372165440,1
1372165680,1
1372165740,1
1372166040,1
1372166280,1
1372166880,1
1372167180,1
1372167240,1
1372167480,1
1372167840,1
1372167900,1
1372168020,1
1372173060,1
1372174800,1
1372175580,1
1372178520,1
1372179600,1
1372179840,2
1372180560,2
1372181400,2
1372181460,1
1372182840,1
1372184640,1
1372184880,1
1372188060,1
1372189080,2
1372190100,1
1372190280,1
1372193040,1
1372193880,1
1372194300,1
1372194360,1
1372196640,1
1372197240,1
1372197660,1
1372198980,1
1372199220,2
1372199640,1
1372200240,1
1372200480,1
1372200960,1
1372201440,1
1372201980,1
1372202760,1
1372205340,1
1372205940,1
1372206300,1
1372207140,1
1372207380,3
1372210680,1
1372210860,1
1372211940,1
1372212360,1
1372222620,1
1372243200,2
1372243800,1
1372245960,1
1372246500,1
1372246620,1
1372247640,1
1372248360,1
1372248600,1
1372249140,1
1372249200,1
1372249680,1
1372249740,1
1372250340,2
1372251300,2
1372251660,1
1372251900,2
1372251960,3
1372252200,2
1372253580,1
1372253940,1
1372254900,2
1372255260,1
1372255440,1
1372255560,1
1372256520,1
1372259100,1
1372261800,1
1372262760,1
1372263360,3
1372263720,1
1372264020,1
1372265580,1
1372266480,1
1372266600,1
1372266960,1
1372267620,1
1372267680,1
1372268700,1
1372270500,1
1372270860,1
1372278840,1
1372280460,1
1372281060,1
1372283640,1
1372284360,1
1372285020,1
1372286940,1
1372287120,1
1372289820,1
1372291020,1
1372292340,1
1372292700,1
1372293720,1
1372295100,1
1372296180,1
1372299420,1
1372299720,1
1372299780,1
1372301280,2
1372301820,1
1372301940,1
1372303020,2
1372303080,1
1372305600,1
1372305900,1
1372329180,1
1372330020,1
1372330260,1
1372330860,1
1372332120,2
1372332600,1
1372334220,2
1372335120,1
1372335780,1
1372337040,1
1372337100,2
1372337580,3
1372337760,1
1372337880,1
1372338000,1
1372338180,1
1372338540,1
1372338600,1
1372338780,1
1372339200,1
1372339320,1
1372339440,1
1372339560,1
1372339740,1
1372340400,2
1372344900,1
1372345860,1
1372346160,1
1372351260,1
1372358100,1
1372359720,1
1372360140,1
1372360680,1
1372361820,1
1372363020,1
1372374720,2
1372375140,1
1372376760,1
1372377120,1
1372377780,1
1372380120,2
1372380720,1
1372382040,1
1372382820,1
1372385280,1
1372395180,1
1372413960,1
1372414680,1
1372416060,1
1372416660,1
1372417560,1
1372418460,1
1372419060,1
1372420260,1
1372420560,1
1372420860,1
1372421760,2
1372421880,1
1372423200,1
1372423380,1
1372423920,1
1372423980,1
1372424040,1
1372424760,1
1372424820,3
1372425480,2
1372426620,1
1372427040,1
1372427160,1
1372430940,1
1372431360,1
1372432260,3
1372435800,1
1372436040,1
1372436100,1
1372436160,1
1372438080,1
1372438260,1
1372439640,2
1372440420,1
1372441740,1
1372441920,1
1372442880,2
1372443600,1
1372444680,1
1372445640,1
1372446060,1
1372446360,1
1372447200,2
1372448760,1
1372450020,1
1372452120,2
1372459740,1
1372460340,1
1372461180,1
1372462860,1
1372463880,1
1372464600,1
1372466220,3
1372467600,1
1372472100,1
1372473840,1
1372474920,1
1372474980,1
1372476780,1
1372477320,1
1372477440,1
1372479840,1
1372482120,1
1372483080,2
1372488060,1
1372518840,1
1372519080,1
1372519440,2
1372521060,1
1372525920,2
1372526820,2
1372527300,1
1372528920,1
1372529520,1
1372531200,1
1372531620,4
1372531740,4
1372532700,2
1372533660,1
1372537140,2
1372537260,1
1372537500,2
1372537560,1
1372540260,2
1372540800,3
1372541280,1
1372541520,1
1372543080,2
1372551360,1
1372551960,1
1372552560,1
1372553100,1
1372554600,1
1372555560,1
1372556040,1
1372558560,1
1372559520,1
1372564260,1
1372566540,1
1372575540,1
1372581360,1
1372593720,1
1372594260,1
1372595700,1
1372600560,1
1372601460,1
1372603740,1
1372604400,1
1372604880,1
