datetime,arrivals
1371152520,1
1371152580,1
1371153780,1
1371154260,1
1371156000,1
1371156660,1
1371157380,1
1371157920,1
1371159060,2
1371159960,1
1371161340,2
1371162000,1
1371163560,1
1371163980,1
1371164340,1
1371164940,1
1371165300,1
1371167880,1
1371171900,1
1371208500,2
1371211080,1
1371212160,1
1371212280,1
1371212520,1
1371213060,1
1371214140,1
1371214380,1
1371214860,1
1371214980,2
1371215520,1
1371216300,2
1371217800,1
1371219600,2
1371219840,1
1371220740,1
1371220860,1
1371221640,1
1371221700,1
1371225000,1
1371225300,1
1371227160,1
1371228000,1
1371228300,1
1371229920,1
1371230640,1
1371230940,1
1371233160,1
1371235980,1
1371237960,1
1371238860,1
1371239760,1
1371239820,1
1371239880,1
1371240000,1
1371240120,1
1371240840,1
1371240900,1
1371242640,1
1371242760,1
1371243300,1
1371243720,1
1371243780,1
1371244140,2
1371244260,1
1371244620,1
1371244860,1
1371247320,2
1371247440,1
1371249480,2
1371249600,1
1371250440,2
1371250680,1
1371251400,1
1371251700,1
1371252420,1
1371252480,1
1371252660,3
1371252780,1
1371254100,1
1371254220,1
1371254580,2
1371254640,1
1371255180,1
1371255480,1
1371256740,1
1371258300,1
1371258720,2
1371261180,1
1371263940,1
1371264360,1
1371264540,1
1371264600,1
1371264840,1
1371269880,1
1371270540,1
1371273780,1
1371277440,3
1371281160,1
1371297720,1
1371299280,1
1371299460,1
1371301080,1
1371301560,1
1371303060,1
1371303960,1
1371305460,1
1371306600,1
1371308220,1
1371309960,1
1371311460,1
1371311580,1
1371312060,1
1371312360,1
1371312720,1
1371312780,1
1371313260,2
1371313680,1
1371314460,2
1371316620,1
1371317820,1
1371318180,1
1371320340,1
1371320580,4
1371321600,1
1371321960,1
1371322260,1
1371322740,1
1371323040,1
1371324480,1
1371324900,1
1371325380,1
1371325860,1
1371325980,2
1371326340,1
1371326460,1
1371326880,1
1371327300,1
1371327480,2
1371327720,1
1371327900,1
1371328080,3
1371329820,1
1371330060,1
1371331140,1
1371331320,1
1371331860,1
1371332640,1
1371333720,1
1371335040,1
1371335520,1
1371336480,1
1371336960,3
1371337020,2
1371337620,1
1371339360,1
1371339600,1
1371339900,1
1371341880,2
1371341940,1
1371344160,1
1371348900,1
1371349740,1
1371355740,1
1371364380,1
1371389280,1
1371389580,1
1371390360,1
1371390780,1
1371391260,2
1371392460,1
1371393660,1
1371394440,1
1371395100,1
1371397020,1
1371397200,1
1371397500,1
1371398940,1
1371399060,2
1371400200,1
1371401040,1
1371401100,1
1371401160,1
1371401640,1
1371401760,2
1371402240,1
1371402720,3
1371402840,1
1371403560,1
1371403740,2
1371404340,2
1371404520,1
1371405240,2
1371407040,1
1371407700,1
1371407760,1
1371408360,2
1371410820,1
1371411420,2
1371411780,1
1371411840,1
1371412020,2
1371414540,2
1371415380,1
1371415500,1
1371418680,1
1371419040,1
1371420180,1
1371420420,2
1371420540,5
1371420600,2
1371420660,2
1371420780,1
1371421140,1
1371422400,1
1371423300,1
1371424620,1
1371425880,1
1371425940,1
1371426120,1
1371426300,1
1371426480,2
1371428160,2
1371430200,1
1371430980,1
1371431100,1
1371432120,1
1371436140,1
1371442260,1
1371446040,1
1371467460,1
1371468600,1
1371469140,1
1371471120,1
1371471840,1
1371472260,1
1371472800,1
1371473160,2
1371473460,1
1371473880,1
1371474180,2
1371474840,1
1371475200,1
1371475800,1
1371475920,1
1371476040,5
1371478080,1
1371478380,1
1371478740,1
1371478860,1
1371479280,1
1371480180,1
1371485940,1
1371486060,1
1371486120,1
1371486600,1
1371487320,1
1371488100,1
1371488400,1
1371489120,1
1371489600,1
1371490680,1
1371491340,1
1371495000,1
1371495120,1
1371496920,1
1371497640,1
1371497880,1
1371499380,1
1371499980,1
1371500580,1
1371501660,1
1371501840,1
1371501960,1
1371502260,2
1371503040,2
1371503340,1
1371505140,1
1371505740,1
1371505920,1
1371506400,1
1371506460,1
1371506700,1
1371507540,1
1371507660,1
1371507900,1
1371508560,1
1371508920,1
1371509520,1
1371510780,1
1371511080,1
1371512220,2
1371513060,1
1371513720,1
1371514740,1
1371515100,1
1371515280,1
1371515580,1
1371516540,2
1371516660,2
1371516780,1
1371517440,1
1371520380,1
1371520860,1
1371521040,1
1371523920,1
1371527220,1
1371527940,1
1371529080,2
1371552360,1
1371553500,1
1371554700,1
1371557100,1
1371557460,2
1371558000,1
1371558300,1
1371558780,1
1371559200,1
1371559380,1
1371561060,1
1371561720,1
1371562080,1
1371562680,4
1371562980,1
1371565080,1
1371565740,2
1371566340,2
1371566520,1
1371568260,1
1371571020,1
1371576240,1
1371576420,1
1371576720,1
1371576840,2
1371578160,1
1371578340,1
1371578880,1
1371580740,1
1371582360,1
1371582480,1
1371582720,1
1371583020,1
1371584460,1
1371584940,1
1371585000,1
1371585120,1
1371586440,1
1371587220,1
1371589680,1
1371589860,1
1371590460,1
1371592380,1
1371592740,1
1371593700,1
1371594180,1
1371600360,1
1371602640,1
1371604320,1
1371604380,1
1371607440,1
1371609540,2
1371610320,1
1371617100,2
1371617760,1
1371619140,1
1371639240,1
1371641940,1
1371642060,1
1371643500,1
1371644580,1
1371644700,1
1371645120,1
1371646080,1
1371646860,1
1371647220,1
1371647520,1
1371649500,1
1371650820,2
1371651240,1
1371652800,1
1371653400,1
1371655980,1
1371656460,1
1371656520,1
1371657180,2
1371657840,1
1371658080,2
1371658500,1
1371660300,1
1371661620,1
1371662460,1
1371662820,1
1371662940,1
1371663420,1
1371663660,1
1371664020,1
1371664440,1
1371665160,1
1371665340,1
1371666660,1
1371667800,1
1371669960,1
1371670260,1
1371671940,2
1371672660,1
1371672900,2
1371673680,1
1371674100,1
1371674220,1
1371674640,1
1371674940,1
1371675660,1
1371677040,1
1371677880,1
1371678120,2
1371678240,2
1371679680,2
1371680280,1
1371680700,1
1371681720,1
1371681780,1
1371682140,1
1371682260,1
1371683340,1
1371683640,1
1371684600,1
1371685500,1
1371686460,1
1371686880,1
1371687060,1
1371688500,2
1371688800,1
1371688860,1
1371689580,1
1371689700,1
1371690120,1
1371690660,1
1371690720,1
1371690960,1
1371691320,1
1371691620,1
1371692340,1
1371692940,1
1371693960,1
1371694800,2
1371698880,1
1371701460,1
1371702300,1
1371705900,1
1371706140,1
1371727620,1
1371728400,1
1371729060,1
1371730680,1
1371731100,1
1371732300,1
1371732600,1
1371732660,1
1371732720,1
1371732840,1
1371734340,1
1371734460,1
1371734940,1
1371735300,1
1371735420,1
1371735720,1
1371736140,1
1371736320,1
1371736440,1
1371736680,1
1371737700,1
1371738180,1
1371738540,1
1371739020,1
1371742140,1
1371744480,1
1371744840,1
1371745620,1
1371745740,1
1371747780,1
1371748740,1
1371751800,1
1371751860,1
1371751920,1
1371752040,1
1371752400,1
1371752580,1
1371753300,1
1371753600,2
1371753960,1
1371754440,1
1371755940,1
1371756120,1
1371756780,1
1371757140,1
1371758340,1
1371759660,1
1371760320,1
1371760500,1
1371760560,1
1371762060,1
1371762300,1
1371762900,1
1371764520,1
1371764700,1
1371765840,2
1371766020,3
1371766560,1
1371768000,2
1371768180,1
1371768300,1
1371768540,1
1371769020,1
1371769080,1
1371769440,1
1371770040,2
1371770220,1
1371770340,1
1371770460,1
1371771960,1
1371772020,1
1371772800,1
1371773700,1
1371773820,1
1371774240,1
1371775020,2
1371777420,1
1371778200,1
1371778560,1
1371778620,1
1371778800,1
1371778920,1
1371779400,1
1371780480,1
1371784560,1
1371785040,1
1371788400,1
1371789240,1
1371793620,1
1371794280,1
1371809460,1
1371811860,1
1371812100,2
1371812820,1
1371812880,1
1371814980,1
1371816900,1
1371817740,1
1371817980,1
1371818340,1
1371819960,3
1371820260,1
1371820620,1
1371820740,1
1371821220,1
1371821400,1
1371822720,1
1371824580,1
1371826740,1
1371828060,1
1371829380,1
1371829680,1
1371829740,1
1371829980,2
1371831540,1
1371831600,1
1371832500,1
1371832560,2
1371832740,1
1371833220,2
1371833400,1
1371833700,1
1371834120,1
1371834420,1
1371834540,1
1371834660,2
1371834720,1
1371835440,1
1371836580,1
1371836700,1
1371836760,1
1371837060,1
1371838380,1
1371838620,1
1371839880,2
1371840360,1
1371840960,2
1371841140,1
1371841620,1
1371841920,1
1371842160,1
1371842820,1
1371844140,1
1371844380,2
1371845160,1
1371845220,1
1371845880,1
1371846600,2
1371846840,1
1371847440,2
1371848040,2
1371848280,1
1371849120,1
1371850440,1
1371851820,1
1371853440,1
1371854340,2
1371854760,1
1371854940,1
1371855720,1
1371857760,2
1371857820,1
1371858540,1
1371859020,2
1371860400,1
1371860820,1
1371861720,1
1371862260,2
1371862440,1
1371862560,1
1371862680,1
1371863040,1
1371863700,1
1371864120,1
1371864180,1
1371864360,1
1371866460,1
1371867660,1
1371867780,1
1371872940,1
1371879000,3
1371879300,1
1371879960,1
1371886260,1
1371895860,1
1371903120,1
1371904740,1
1371906240,1
1371908400,1
1371910020,2
1371910140,1
1371911520,1
1371912060,1
1371912780,1
1371912960,1
1371913740,2
1371913980,1
1371914040,1
1371914220,1
1371915120,1
1371915360,1
1371915600,2
1371916740,1
1371917280,2
1371917340,1
1371918060,1
1371918420,1
1371918540,1
1371919380,1
1371921060,1
1371921180,1
1371921240,1
1371922260,1
1371922440,1
1371923460,1
1371923580,2
1371924480,1
1371925140,1
1371926400,1
1371926880,1
1371927060,1
1371927120,1
1371927600,1
1371927840,1
1371928380,1
1371929340,1
1371929880,1
1371930660,1
1371931620,1
1371932100,1
1371932460,1
1371932700,2
1371933900,1
1371934560,1
1371935700,1
1371935940,1
1371936300,1
1371936960,1
1371937080,3
1371937260,1
1371937560,2
1371938640,1
1371938880,2
1371939240,1
1371939720,1
1371940620,1
1371941040,1
1371941580,1
1371942060,1
1371943200,2
1371944220,1
1371945180,1
1371945540,2
1371948240,1
1371949260,1
1371950400,1
1371954300,1
1371954900,3
1371963180,2
1371963840,1
1371964620,1
1371965040,1
1371966240,2
1371966720,1
1371986340,1
1371990960,1
1371992520,1
1371993600,1
1371995100,1
1371996840,1
1371997980,1
1371998160,1
1371998520,1
1371999120,1
1371999720,1
1372000380,1
1372001340,1
1372001760,1
1372002240,1
1372002300,1
1372002720,1
1372003800,1
1372003980,1
1372004340,1
1372006260,1
1372006440,2
1372006800,1
1372007640,1
1372008480,1
1372008960,1
1372009140,1
1372009260,2
1372009800,1
1372012620,1
1372013340,1
1372013460,1
1372013940,1
1372014240,1
1372014360,1
1372015380,1
1372015560,1
1372015800,1
1372015920,2
1372016100,1
1372016880,2
1372017060,1
1372017480,2
1372017660,1
1372018080,1
1372018200,1
1372018380,2
1372019220,2
1372019760,1
1372020180,1
1372020300,1
1372022040,1
1372022880,1
1372023120,1
1372024260,1
1372024440,1
1372024680,1
1372026060,1
1372027080,1
1372027980,1
1372028340,2
1372028520,1
1372028760,1
1372030020,1
1372031040,1
1372031280,1
1372035000,2
1372035780,1
1372035840,1
1372036560,1
1372036800,1
1372037760,1
1372038900,2
1372041900,2
1372043280,1
1372043580,1
1372047840,1
1372049700,1
1372050600,1
1372061040,1
1372061160,1
1372061220,1
1372061280,2
1372061340,2
1372061520,1
1372069860,1
1372071900,1
1372073640,1
1372076640,1
1372077180,1
1372077300,1
1372077720,3
1372077780,1
1372078200,1
1372078320,1
1372078680,2
1372079580,2
1372079820,1
1372079940,1
