datetime,arrivals
1371151740,1
1371152340,1
1371153420,1
1371153960,1
1371155520,1
1371155760,1
1371157680,1
1371157920,1
1371157980,1
1371158100,1
1371158580,1
1371160020,1
1371161280,1
1371161640,1
1371161760,1
1371163140,1
1371163740,1
1371164460,1
1371164640,1
1371165060,1
1371173100,1
1371182760,1
1371207660,1
1371209580,1
1371209940,1
1371210000,1
1371211440,1
1371213600,1
1371214380,1
1371215340,2
1371215580,1
1371215880,1
1371216060,1
1371216180,1
1371216360,1
1371216600,1
1371216660,2
1371217320,1
1371217500,1
1371217680,2
1371218460,1
1371221220,1
1371222420,2
1371223860,1
1371225180,2
1371225420,1
1371226200,1
1371227400,1
1371228300,2
1371228540,1
1371228840,1
1371229740,1
1371230400,1
1371231180,3
1371231960,1
1371232380,1
1371233340,1
1371234000,1
1371234120,1
1371234540,1
1371234840,1
1371235380,1
1371235680,1
1371237660,1
1371237960,1
1371239580,1
1371240540,1
1371240900,1
1371240960,1
1371243240,1
1371243480,1
1371243600,1
1371243720,1
1371244320,1
1371244860,1
1371244920,1
1371245280,1
1371247200,1
1371247380,1
1371247620,1
1371247680,1
1371248760,1
1371249000,1
1371249960,1
1371250560,1
1371251460,1
1371251700,1
1371252000,1
1371252660,1
1371253200,1
1371253500,1
1371258780,2
1371258960,1
1371259380,2
1371261420,1
1371266880,3
1371271380,2
1371271440,1
1371300900,1
1371301320,1
1371304080,1
1371304500,3
1371305580,1
1371305640,1
1371305820,2
1371306360,1
1371306540,1
1371307380,2
1371307980,1
1371308700,1
1371309000,1
1371312420,1
1371312960,1
1371313500,1
1371313560,1
1371313980,1
1371316620,1
1371316740,1
1371317280,1
1371317520,1
1371320280,1
1371321420,1
1371321840,1
1371321900,1
1371322440,1
1371322620,1
1371323760,1
1371324000,1
1371324180,1
1371325320,1
1371325380,2
1371326220,1
1371326340,1
1371326580,1
1371327420,1
1371327600,1
1371328320,1
1371328500,2
1371329400,1
1371330300,3
1371330480,1
1371330720,1
1371331500,1
1371331680,2
1371333120,1
1371333720,1
1371333780,2
1371334860,1
1371335040,2
1371336120,2
1371338520,2
1371338580,1
1371338700,5
1371339240,1
1371339420,1
1371343380,1
1371343440,1
1371344160,1
1371344280,1
1371345900,1
1371348600,2
1371348780,1
1371364740,1
1371364800,3
1371364980,1
1371381300,1
1371382440,1
1371385500,1
1371388020,1
1371388080,1
1371390780,1
1371392160,2
1371394620,2
1371395820,3
1371395880,1
1371397200,1
1371399480,1
1371399780,1
1371400620,1
1371400680,1
1371400740,1
1371400860,1
1371402120,1
1371402840,1
1371403620,3
1371403920,2
1371405960,1
1371406260,1
1371407700,1
1371408360,1
1371408420,2
1371409080,1
1371409380,1
1371410520,1
1371411120,1
1371412080,2
1371413640,2
1371414060,1
1371414120,2
1371414300,1
1371414900,2
1371415920,1
1371417900,1
1371419580,1
1371420840,1
1371421500,2
1371421560,1
1371421620,1
1371421740,1
1371421800,1
1371421860,1
1371422460,3
1371423000,5
1371423420,1
1371426060,2
1371428160,1
1371432780,1
1371434040,1
1371435240,2
1371436080,2
1371438900,1
1371462180,1
1371466380,1
1371470160,1
1371471600,1
1371473100,1
1371473220,1
1371473580,2
1371474060,1
1371474420,1
1371475200,1
1371478140,1
1371478560,1
1371478680,1
1371479580,2
1371480000,1
1371482460,1
1371482940,1
1371484140,1
1371484980,1
1371486120,1
1371487140,1
1371487740,1
1371487920,1
1371488040,1
1371488700,1
1371489180,1
1371491100,1
1371491280,3
1371491760,1
1371492000,1
1371492900,1
1371492960,1
1371493080,1
1371493440,1
1371495360,1
1371495420,1
1371495600,1
1371496620,1
1371497040,1
1371497100,1
1371497160,1
1371497340,1
1371499260,1
1371499740,1
1371500100,1
1371500820,1
1371501180,1
1371501420,1
1371501480,1
1371501720,1
1371502140,1
1371502800,1
1371504720,1
1371504840,2
1371504900,1
1371505260,2
1371505380,1
1371505440,1
1371505620,1
1371506040,1
1371506640,1
1371507660,1
1371508320,1
1371508920,1
1371509580,1
1371510000,1
1371510600,2
1371510780,1
1371511380,1
1371511500,1
1371511740,1
1371512940,2
1371513540,1
1371516300,1
1371516540,1
1371516960,1
1371517080,2
1371519360,1
1371549360,1
1371556260,2
1371557700,1
1371558720,1
1371559380,2
1371559980,2
1371560400,1
1371561060,2
1371561180,2
1371561300,1
1371561360,1
1371561420,3
1371561540,1
1371561960,1
1371562260,2
1371562440,1
1371562680,1
1371562860,2
1371567540,3
1371569520,1
1371572280,1
1371572820,1
1371573120,1
1371573420,1
1371573480,1
1371575160,1
1371575220,2
1371575880,1
1371578640,2
1371579900,1
1371579960,1
1371580740,1
1371580800,1
1371581760,1
1371582840,1
1371583080,1
1371584580,1
1371585000,3
1371585240,1
1371589860,1
1371591540,1
1371595860,1
1371600300,1
1371602100,1
1371609540,1
1371609660,1
1371614940,1
1371616140,1
1371616560,1
1371642360,1
1371643140,1
1371643980,1
1371644220,1
1371644940,1
1371645120,1
1371646080,1
1371646200,1
1371646260,1
1371646800,1
1371647160,1
1371647280,1
1371647460,1
1371647640,2
1371647940,1
1371648300,1
1371648480,1
1371648540,1
1371649020,1
1371649140,1
1371650100,1
1371655560,1
1371656580,1
1371657060,1
1371658080,1
1371659520,1
1371661020,1
1371661380,1
1371661440,1
1371661680,1
1371662520,1
1371662940,1
1371664980,1
1371665640,2
1371666240,1
1371668160,1
1371668940,1
1371669000,1
1371669780,1
1371670560,1
1371670800,1
1371671220,1
1371671460,2
1371671940,1
1371672360,1
1371672900,1
1371674220,1
1371675120,1
1371675900,1
1371676320,1
1371676440,1
1371676500,1
1371676680,1
1371677100,1
1371677640,1
1371677700,1
1371678240,1
1371678780,1
1371680280,1
1371680760,3
1371681120,1
1371681420,2
1371682140,1
1371682200,1
1371682260,1
1371683640,1
1371683880,1
1371684240,1
1371684540,1
1371685020,1
1371685740,1
1371687060,2
1371688500,2
1371688800,1
1371689280,2
1371693480,2
1371698040,1
1371699000,1
1371725280,1
1371729360,2
1371729480,1
1371732600,1
1371732780,1
1371733140,1
1371733500,2
1371733740,1
1371733860,1
1371734040,1
1371734280,1
1371734340,1
1371734580,1
1371734760,1
1371734940,2
1371735120,1
1371735420,1
1371735660,1
1371735720,1
1371735780,1
1371739200,1
1371742140,1
1371742320,1
1371745380,1
1371746340,1
1371747060,1
1371747480,1
1371747840,1
1371748440,1
1371749040,1
1371749460,1
1371750000,1
1371750900,1
1371751080,1
1371751380,1
1371751680,1
1371752760,1
1371753960,1
1371756120,1
1371758580,1
1371759120,1
1371759840,1
1371760860,2
1371761400,1
1371761640,2
1371761760,2
1371762120,2
1371762420,1
1371762720,1
1371763080,1
1371763920,3
1371764280,1
1371765480,1
1371765540,2
1371765600,1
1371765720,1
1371765960,2
1371766920,1
1371768600,1
1371768780,2
1371769080,1
1371769740,1
1371771600,1
1371771780,2
1371772140,2
1371775020,1
1371775680,1
1371776280,2
1371779220,1
1371780480,1
1371781980,1
1371783000,1
1371784980,1
1371788640,1
1371788940,1
1371789240,1
1371792600,3
1371793680,1
1371810120,1
1371814440,1
1371815700,1
1371819960,3
1371820380,2
1371820620,1
1371821340,2
1371822480,1
1371822780,2
1371822840,1
1371822900,1
1371823080,1
1371823140,1
1371823320,1
1371823980,2
1371824040,1
1371825180,1
1371827100,1
1371827280,1
1371829080,1
1371830460,1
1371830820,1
1371831300,1
1371831600,1
1371831780,1
1371831840,1
1371832020,3
1371834360,1
1371834600,1
1371834720,1
1371835380,1
1371835860,1
1371837000,1
1371838380,1
1371838440,1
1371838500,1
1371838620,1
1371838980,1
1371840240,1
1371841620,2
1371843780,1
1371843900,1
1371846180,2
1371846600,1
1371846840,1
1371847140,1
1371847380,1
1371848040,1
1371849480,1
1371849900,1
1371850140,1
1371852180,1
1371855120,1
1371855240,2
1371855300,1
1371855720,1
1371858120,1
1371859200,1
1371860820,2
1371861180,1
1371861420,1
1371861840,3
1371862680,1
1371864360,1
1371865380,3
1371868620,1
1371868980,1
1371873660,1
1371878880,1
1371887880,1
1371907200,1
1371911280,1
1371913740,1
1371913920,1
1371915360,1
1371915900,2
1371916440,1
1371916800,1
1371916860,1
1371917340,1
1371917580,1
1371917700,2
1371918240,2
1371918900,4
1371919080,1
1371921000,1
1371921600,3
1371922920,1
1371923400,1
1371923700,1
1371923880,1
1371924120,1
1371924540,1
1371925680,3
1371926640,1
1371927540,1
1371928200,1
1371928620,1
1371928800,1
1371930060,1
1371930180,1
1371930480,1
1371931020,1
1371931620,2
1371932040,1
1371932100,1
1371933780,1
1371933900,1
1371934440,1
1371934560,1
1371935580,1
1371936000,1
1371936060,1
1371936480,1
1371936780,1
1371936900,2
1371937080,1
1371937860,1
1371938040,1
1371938160,1
1371938340,1
1371939060,1
1371939300,1
1371939960,1
1371942840,1
1371943020,1
1371943980,1
1371944040,1
1371945240,2
1371946320,1
1371946860,1
1371947640,1
1371948480,1
1371949500,3
1371955200,1
1371961020,1
1371962880,2
1371969660,1
1371990300,1
1371991320,1
1371994080,1
1371998220,1
1371998520,1
1371999420,2
1371999480,1
1371999900,1
1371999960,1
1372000080,1
1372000200,1
1372000320,1
1372001340,4
1372001580,2
1372001880,2
1372001940,1
1372002480,1
1372002720,1
1372003080,1
1372003380,2
1372004280,1
1372004520,1
1372005180,1
1372005420,1
1372005960,1
1372006200,1
1372006260,1
1372006440,1
1372006560,1
1372007460,2
1372007580,1
1372007700,1
1372007940,1
1372008420,1
1372008960,1
1372009140,2
1372009380,1
1372009620,1
1372010040,1
1372010280,1
1372011480,1
1372011960,1
1372012080,1
1372012320,1
1372012680,1
1372012740,1
1372013640,2
1372013940,1
1372014360,1
1372014660,3
1372015260,3
1372015740,1
1372016040,2
1372016220,1
1372016400,2
1372016640,1
1372018440,1
1372019040,2
1372019160,1
1372020900,1
1372021320,1
1372021380,1
1372022460,1
1372023420,2
1372023600,1
1372025100,2
1372025220,1
1372025640,1
1372025760,1
1372026060,1
1372026180,1
1372026840,2
1372028040,2
1372028340,2
1372028760,1
1372028940,2
1372029420,1
1372029780,1
1372030080,2
1372031160,1
1372031400,2
1372031940,1
1372032720,1
1372032960,1
1372033080,1
1372034220,2
1372034880,1
1372035480,1
1372035600,1
1372036620,2
1372039200,1
1372039260,1
1372042140,2
1372045440,1
1372046640,1
1372070880,1
1372072560,1
1372074120,1
1372075980,1
1372076820,1
1372077180,1
1372078080,1
1372078380,1
1372078800,1
1372079280,1
1372079520,1
1372079880,1
1372080420,1
1372081080,6
1372082160,1
1372087500,1
1372088040,1
1372088220,1
1372096500,1
1372098360,1
1372100280,1
1372102320,1
1372102680,1
1372103040,1
1372104720,1
1372105920,1
1372107900,1
1372108020,1
1372109580,1
1372110600,1
1372111020,1
1372111260,1
1372111620,1
1372112160,1
1372112460,3
1372113840,1
1372113960,1
1372114200,1
1372114500,2
1372114800,2
1372115340,1
1372115520,1
1372115580,1
1372115760,1
1372116180,1
1372117260,1
1372124400,1
1372126140,1
1372128120,1
1372149600,2
1372149660,1
1372149720,4
1372149780,1
1372156680,1
1372157460,1
1372158180,1
1372160760,1
1372162320,2
1372164240,1
1372164540,1
1372164720,1
1372165260,3
1372165380,1
1372165500,2
1372165860,1
1372166160,1
1372171920,1
1372172520,1
1372176120,1
1372176480,1
1372177980,1
1372179420,1
1372179600,1
1372179780,1
1372180920,1
1372181280,1
1372181580,1
1372182120,1
1372183080,1
1372183980,1
1372186680,1
1372188300,1
1372188420,1
1372189440,1
1372190520,4
1372192620,1
1372194360,1
1372196280,1
1372197240,1
1372197600,1
1372197960,1
1372198200,1
1372198740,1
1372199280,3
1372199640,1
1372200120,1
1372200180,1
1372200480,1
1372200720,1
1372200900,2
1372201620,1
1372202160,2
1372202280,2
1372202640,1
1372202700,1
1372202760,1
1372203300,2
1372203420,1
1372204200,1
1372204320,1
1372205100,1
1372205340,1
1372205520,1
1372205700,1
1372206360,2
1372213080,1
1372218540,1
1372221900,1
1372232820,4
1372245240,1
1372246200,1
1372246440,1
1372247340,1
1372247880,1
1372249080,1
1372249800,1
1372250880,1
1372251600,2
1372251660,1
1372251960,1
1372252200,1
1372252680,1
1372253100,3
1372253160,1
1372253340,1
1372253640,2
1372254000,1
1372254120,1
1372254720,1
1372254900,1
1372255080,2
1372255560,1
1372255680,1
1372256040,1
1372256160,1
1372257840,1
1372259280,1
1372260180,1
1372260420,1
1372260960,1
1372262160,1
1372262700,1
1372263240,1
1372264740,1
1372265700,1
1372265880,1
1372266120,1
1372266660,1
1372266840,1
1372267800,1
1372267920,1
1372268400,1
1372268820,1
1372269240,1
1372271160,1
1372271400,1
1372272300,1
1372272600,1
1372272660,1
1372273020,1
1372273440,1
1372274220,1
1372274340,1
1372275900,2
1372276620,1
1372276680,1
1372282500,1
1372283100,2
1372283880,13
1372283940,1
1372285920,1
1372285980,3
1372289220,1
1372290180,3
1372291560,1
1372292460,1
1372294020,1
1372298160,1
1372300020,1
1372302360,1
1372303680,1
1372304160,1
1372326060,1
1372329180,1
1372330020,1
1372331580,1
1372333980,1
1372334220,2
1372336320,2
1372336800,1
1372337100,1
1372337580,1
1372337640,2
1372337760,1
1372337880,1
1372338000,1
1372338540,1
1372338780,1
1372338840,1
1372339080,1
1372339200,1
1372339380,1
1372339740,1
1372340400,1
1372341240,2
1372341300,1
1372342680,3
1372342740,1
1372346640,1
1372347840,1
1372348500,1
1372349400,1
1372349760,1
1372350240,1
1372351080,1
1372351380,1
1372351620,1
1372358100,1
1372359300,2
1372359420,1
1372359600,1
1372361460,1
1372362420,2
1372362960,1
1372363020,1
1372364640,1
1372365120,1
1372365360,2
1372365780,1
1372366380,2
1372370580,1
1372370880,1
1372374720,1
1372375620,1
1372375740,1
1372375980,1
1372377000,1
1372377300,1
1372378380,1
1372379040,1
1372380540,1
1372380660,1
1372390020,1
1372394520,1
1372416840,2
1372416960,1
1372419360,1
1372421640,1
1372422120,1
1372422960,1
1372423080,1
1372424040,1
1372424280,1
1372424820,1
1372425060,1
1372425240,1
1372425720,1
1372426200,1
1372426440,1
1372426500,1
1372426560,1
1372426680,2
1372426740,1
1372426800,1
1372427460,2
1372427640,1
1372427760,1
1372427880,1
1372427940,1
1372428060,1
1372428540,1
1372428840,1
1372430340,1
1372430640,1
1372431000,1
1372434060,1
1372434360,1
1372436400,2
1372436760,1
1372437060,1
1372438980,1
1372440480,1
1372440540,1
1372441440,1
1372441920,1
1372442340,2
1372443600,1
1372443720,1
1372444140,1
1372445400,1
1372447080,1
1372447260,1
1372447620,1
1372448280,1
1372448760,1
1372448880,1
1372449120,1
1372450080,1
1372450680,1
1372450800,1
1372450860,1
1372451520,2
1372451940,1
1372452480,2
1372452660,1
1372452780,1
1372453200,1
1372453680,1
1372454280,1
1372454520,1
1372454880,1
1372455480,1
1372455780,1
1372456680,1
1372457040,1
1372458600,1
1372458960,1
1372459080,1
1372459800,1
1372460040,1
1372460160,2
1372461180,1
1372461480,1
1372462020,1
1372462920,1
1372463580,1
1372463880,1
1372466040,1
1372468980,1
1372470780,1
1372473120,1
1372477320,1
1372484220,1
1372510380,1
1372512360,1
1372512720,2
1372514280,1
1372515000,1
1372515420,1
1372515660,1
1372516080,2
1372517280,1
1372517760,1
1372517880,1
1372520340,1
1372520460,1
1372520940,2
1372521060,1
1372521180,1
1372521420,1
1372521480,1
1372522080,1
1372522800,2
1372522980,1
1372523220,3
1372524480,3
1372524960,1
1372525080,1
1372525320,1
1372525800,2
1372525920,1
1372526160,2
1372526940,1
1372527300,1
1372528200,3
1372528260,1
1372529340,1
1372529700,1
1372529760,2
1372530420,3
1372531320,1
1372531440,2
1372533780,1
1372535400,1
1372537140,1
1372537320,1
1372540800,1
1372541280,2
1372541520,1
1372542420,2
1372547700,1
1372547880,1
1372547940,1
1372548180,1
1372550040,1
1372550280,1
1372551840,3
1372553580,1
